
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:29:55 2022
Timers Off: Thu Nov  3 12:30:00 2022

Wall Time:        5.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.500u      0.000s      0.150w      1 calls
build grid                          :      0.333u      0.000s      0.102w      1 calls
post-process grid                   :      0.167u      0.000s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.016w      4 calls
DFH: initialize()                   :      1.850u      0.067s      0.579w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.017u      0.000s      0.009w      1 calls
DFH: AO Construction                :      0.333u      0.000s      0.109w      1 calls
DFH: AO-Met. Contraction            :      0.433u      0.000s      0.134w      2 calls
DFH: wAO Construction               :      0.433u      0.000s      0.128w      1 calls
DFH: wAO Copy                       :      0.083u      0.000s      0.024w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.002w      1 calls
HF: Guess                           :      0.233u      0.000s      0.073w      1 calls
SAD Guess                           :      0.233u      0.000s      0.071w      1 calls
HF: Form G                          :      9.633u      0.067s      2.915w     10 calls
RV: Form V                          :      8.600u      0.033s      2.589w     10 calls
Properties                          :      1.552p                          12100 calls
Functional                          :      1.419p                          12100 calls
V_xc                                :      2.171p                          12100 calls
JK: D                               :      0.017u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      1.017u      0.033s      0.324w     10 calls
DFH: compute_JK()                   :      0.450u      0.033s      0.150w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.167u      0.017s      0.045w     10 calls
DFH: compute_K                      :      0.250u      0.017s      0.098w     10 calls
DFH: compute_wK()                   :      0.567u      0.000s      0.174w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.150u      0.033s      0.060w      9 calls
HF: Form C                          :      0.067u      0.000s      0.020w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.500u      0.000s      0.150w      1 calls
| build grid                        :      0.333u      0.000s      0.102w      1 calls
| post-process grid                 :      0.167u      0.000s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      1.850u      0.067s      0.579w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.007w      3 calls
| Libint2ErfERI::Libint2ErfERI      :      0.017u      0.000s      0.009w      1 calls
| DFH: AO Construction              :      0.333u      0.000s      0.109w      1 calls
| DFH: AO-Met. Contraction          :      0.433u      0.000s      0.134w      2 calls
| DFH: wAO Construction             :      0.433u      0.000s      0.128w      1 calls
| DFH: wAO Copy                     :      0.083u      0.000s      0.024w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.002w      1 calls
HF: Guess                           :      0.233u      0.000s      0.073w      1 calls
| SAD Guess                         :      0.233u      0.000s      0.071w      1 calls
HF: Form G                          :      9.633u      0.067s      2.915w     10 calls
| RV: Form V                        :      8.600u      0.033s      2.589w     10 calls
| | Properties                      :      1.552p                          12100 calls
| | Functional                      :      1.419p                          12100 calls
| | V_xc                            :      2.171p                          12100 calls
| JK: D                             :      0.017u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      1.017u      0.033s      0.324w     10 calls
| | DFH: compute_JK()               :      0.450u      0.033s      0.150w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.167u      0.017s      0.045w     10 calls
| | | DFH: compute_K                :      0.250u      0.017s      0.098w     10 calls
| | DFH: compute_wK()               :      0.567u      0.000s      0.174w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.150u      0.033s      0.060w      9 calls
HF: Form C                          :      0.067u      0.000s      0.020w      9 calls

**************************************************************************************

Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:29:55 2022
Timers Off: Thu Nov  3 12:30:00 2022

Wall Time:        5.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.467u      0.000s      0.147w      1 calls
build grid                          :      0.333u      0.000s      0.108w      1 calls
post-process grid                   :      0.133u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.022w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.024w      4 calls
DFH: initialize()                   :      1.800u      0.117s      0.580w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.017u      0.017s      0.013w      1 calls
DFH: AO Construction                :      0.400u      0.000s      0.123w      1 calls
DFH: AO-Met. Contraction            :      0.417u      0.017s      0.128w      2 calls
DFH: wAO Construction               :      0.367u      0.000s      0.112w      1 calls
DFH: wAO Copy                       :      0.083u      0.000s      0.021w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.250u      0.050s      0.091w      1 calls
SAD Guess                           :      0.233u      0.050s      0.088w      1 calls
HF: Form G                          :      9.800u      0.033s      2.950w     10 calls
RV: Form V                          :      8.850u      0.017s      2.657w     10 calls
Properties                          :      1.590p                          12110 calls
Functional                          :      1.489p                          12110 calls
V_xc                                :      2.190p                          12110 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.950u      0.017s      0.292w     10 calls
DFH: compute_JK()                   :      0.400u      0.017s      0.126w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.083u      0.000s      0.032w     10 calls
DFH: compute_K                      :      0.267u      0.017s      0.088w     10 calls
DFH: compute_wK()                   :      0.517u      0.000s      0.165w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.183u      0.017s      0.062w      9 calls
HF: Form C                          :      0.017u      0.017s      0.016w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.467u      0.000s      0.147w      1 calls
| build grid                        :      0.333u      0.000s      0.108w      1 calls
| post-process grid                 :      0.133u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.022w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      1.800u      0.117s      0.580w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.010w      3 calls
| Libint2ErfERI::Libint2ErfERI      :      0.017u      0.017s      0.013w      1 calls
| DFH: AO Construction              :      0.400u      0.000s      0.123w      1 calls
| DFH: AO-Met. Contraction          :      0.417u      0.017s      0.128w      2 calls
| DFH: wAO Construction             :      0.367u      0.000s      0.112w      1 calls
| DFH: wAO Copy                     :      0.083u      0.000s      0.021w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.250u      0.050s      0.091w      1 calls
| SAD Guess                         :      0.233u      0.050s      0.088w      1 calls
HF: Form G                          :      9.800u      0.033s      2.950w     10 calls
| RV: Form V                        :      8.850u      0.017s      2.657w     10 calls
| | Properties                      :      1.590p                          12110 calls
| | Functional                      :      1.489p                          12110 calls
| | V_xc                            :      2.190p                          12110 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.950u      0.017s      0.292w     10 calls
| | DFH: compute_JK()               :      0.400u      0.017s      0.126w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.032w     10 calls
| | | DFH: compute_K                :      0.267u      0.017s      0.088w     10 calls
| | DFH: compute_wK()               :      0.517u      0.000s      0.165w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.183u      0.017s      0.062w      9 calls
HF: Form C                          :      0.017u      0.017s      0.016w      9 calls

**************************************************************************************

Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:29:55 2022
Timers Off: Thu Nov  3 12:30:00 2022

Wall Time:        5.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.467u      0.000s      0.141w      1 calls
build grid                          :      0.317u      0.000s      0.093w      1 calls
post-process grid                   :      0.150u      0.000s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.020w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.025w      4 calls
DFH: initialize()                   :      1.750u      0.083s      0.553w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.033u      0.017s      0.014w      1 calls
DFH: AO Construction                :      0.367u      0.000s      0.109w      1 calls
DFH: AO-Met. Contraction            :      0.450u      0.000s      0.133w      2 calls
DFH: wAO Construction               :      0.317u      0.000s      0.097w      1 calls
DFH: wAO Copy                       :      0.083u      0.000s      0.025w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.267u      0.017s      0.084w      1 calls
SAD Guess                           :      0.250u      0.017s      0.081w      1 calls
HF: Form G                          :     10.533u      0.050s      3.174w     11 calls
RV: Form V                          :      9.500u      0.000s      2.852w     11 calls
Properties                          :      1.713p                          13299 calls
Functional                          :      1.579p                          13299 calls
V_xc                                :      2.369p                          13299 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      1.033u      0.050s      0.320w     11 calls
DFH: compute_JK()                   :      0.483u      0.033s      0.148w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.117u      0.000s      0.039w     11 calls
DFH: compute_K                      :      0.333u      0.000s      0.101w     11 calls
DFH: compute_wK()                   :      0.550u      0.017s      0.171w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.233u      0.000s      0.068w     10 calls
HF: Form C                          :      0.050u      0.000s      0.019w     10 calls

