
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 11:58:45 2022
Timers Off: Thu Nov  3 11:58:52 2022

Wall Time:        7.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.183u      0.067s      0.131w     12 calls
Libint2ERI::Libint2ERI              :      7.717u      0.300s      0.820w    360 calls
DFH: initialize()                   :      6.717u      0.333s      0.709w     12 calls
DFH: AO Construction                :      1.283u      0.033s      0.131w     12 calls
DFH: AO-Met. Contraction            :      0.983u      0.017s      0.100w     12 calls
HF: Form core H                     :      0.150u      0.000s      0.018w      6 calls
HF: Form S/X                        :      0.067u      0.000s      0.007w      6 calls
HF: Guess                           :      0.767u      0.000s      0.079w      6 calls
SAD Guess                           :      0.750u      0.000s      0.076w      1 calls
HF: Form G                          :      2.400u      0.050s      0.245w     93 calls
JK: D                               :      0.000u      0.000s      0.003w    175 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w    175 calls
JK: JK                              :      5.633u      0.067s      0.590w    175 calls
DFH: compute_JK()                   :      5.600u      0.067s      0.588w    175 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    175 calls
DFH: compute_J                      :      1.600u      0.033s      0.167w    175 calls
DFH: compute_K                      :      3.333u      0.033s      0.381w    175 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    175 calls
HF: Form F                          :      0.050u      0.017s      0.004w     93 calls
HF: Form D                          :      0.000u      0.000s      0.001w     93 calls
HF: DIIS                            :      3.583u      0.067s      0.369w     92 calls
HF: Form C                          :      0.883u      0.000s      0.097w     92 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      6 calls
DFMP2 Aia                           :      2.383u      0.117s      0.245w      6 calls
DFMP2 (A|mn)                        :      0.367u      0.000s      0.059w      6 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.006w      6 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.003w      6 calls
DFMP2 Aia Write                     :      0.067u      0.000s      0.006w      6 calls
DFMP2 iaB                           :      1.150u      0.067s      0.126w      6 calls
DFMP2 Metric                        :      0.867u      0.000s      0.089w      6 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.003w      6 calls
DFMP2 (ia|A)(A|Q)                   :      0.050u      0.017s      0.007w      6 calls
