
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:38:23 2022
Timers Off: Thu Nov  3 12:38:26 2022

Wall Time:        3.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.045w      4 calls
Libint2ERI::Libint2ERI              :      3.233u      0.083s      0.323w    120 calls
DFH: initialize()                   :      3.333u      0.100s      0.355w      4 calls
DFH: AO Construction                :      0.700u      0.050s      0.078w      4 calls
DFH: AO-Met. Contraction            :      0.550u      0.017s      0.060w      4 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.683u      0.067s      0.075w      2 calls
SAD Guess                           :      0.667u      0.067s      0.073w      1 calls
HF: Form G                          :      0.800u      0.050s      0.085w     25 calls
JK: D                               :      0.017u      0.000s      0.001w     47 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     47 calls
JK: JK                              :      1.967u      0.183s      0.216w     47 calls
DFH: compute_JK()                   :      1.967u      0.183s      0.215w     47 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     47 calls
DFH: compute_J                      :      0.533u      0.033s      0.058w     47 calls
DFH: compute_K                      :      1.067u      0.150s      0.142w     47 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     47 calls
HF: Form F                          :      0.033u      0.017s      0.001w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.900u      0.017s      0.097w     24 calls
HF: Form C                          :      0.267u      0.000s      0.027w     24 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      2 calls
DFMP2 Aia                           :      1.017u      0.050s      0.104w      2 calls
DFMP2 (A|mn)                        :      0.283u      0.000s      0.032w      2 calls
DFMP2 (A|mn)C_mi                    :      0.033u      0.000s      0.003w      2 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      2 calls
DFMP2 Aia Write                     :      0.033u      0.000s      0.003w      2 calls
DFMP2 iaB                           :      0.567u      0.000s      0.056w      2 calls
DFMP2 Metric                        :      0.383u      0.000s      0.038w      2 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      2 calls
DFMP2 (ia|A)(A|Q)                   :      0.033u      0.000s      0.004w      2 calls
DFMP2 Bia Write                     :      0.033u      0.000s      0.003w      2 calls
DFMP2 Bia Read                      :      0.033u      0.000s      0.002w      6 calls
DFMP2 (ia|B)(B|Q)                   :      0.033u      0.000s      0.004w      2 calls
DFMP2 Cia Write                     :      0.033u      0.000s      0.002w      2 calls
DFMP2 aiB                           :      0.033u      0.000s      0.005w      2 calls
DFMP2 Tij                           :      0.367u      0.000s      0.035w      2 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.002w      4 calls
DFMP2 I                             :      0.217u      0.000s      0.024w      4 calls
DFMP2 T2                            :      0.017u      0.000s      0.005w      4 calls
DFMP2 G                             :      0.117u      0.000s      0.011w      2 calls
DFMP2 Pab                           :      0.033u      0.000s      0.003w      2 calls
DFMP2 Gia Write                     :      0.033u      0.000s      0.003w      2 calls
DFMP2 Tab                           :      0.200u      0.000s      0.021w      2 calls
DFMP2 Bai Read                      :      0.000u      0.000s      0.001w      2 calls
DFMP2 Qai Read                      :      0.017u      0.000s      0.000w      2 calls
DFMP2 Pij                           :      0.000u      0.000s      0.002w      2 calls
DFMP2 gamma                         :      0.083u      0.000s      0.008w      2 calls
DFMP2 Gia Read                      :      0.017u      0.000s      0.001w      4 calls
DFMP2 g                             :      0.050u      0.000s      0.004w      2 calls
DFMP2 Gia                           :      0.067u      0.000s      0.008w      2 calls
DFMP2 aiG Write                     :      0.000u      0.000s      0.001w      2 calls
