
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:46:59 2022
Timers Off: Thu Nov  3 12:47:03 2022

Wall Time:        3.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.533u      0.033s      0.161w      1 calls
build grid                          :      0.367u      0.000s      0.112w      1 calls
post-process grid                   :      0.150u      0.017s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.010w      4 calls
DFH: initialize()                   :      0.717u      0.017s      0.222w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.017u      0.000s      0.007w      1 calls
DFH: AO Construction                :      0.117u      0.000s      0.036w      1 calls
DFH: AO-Met. Contraction            :      0.117u      0.000s      0.036w      2 calls
DFH: wAO Construction               :      0.183u      0.000s      0.054w      1 calls
DFH: wAO Copy                       :      0.017u      0.000s      0.006w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.233u      0.017s      0.075w      1 calls
SAD Guess                           :      0.233u      0.017s      0.072w      1 calls
HF: Form G                          :      5.417u      0.000s      1.622w      8 calls
RV: Form V                          :      5.200u      0.000s      1.565w      8 calls
Properties                          :      0.805p                          10840 calls
Functional                          :      1.212p                          10840 calls
V_xc                                :      1.089p                          10840 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.200u      0.000s      0.057w      8 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.026w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.017u      0.000s      0.008w      8 calls
DFH: compute_K                      :      0.067u      0.000s      0.017w      8 calls
DFH: compute_wK()                   :      0.067u      0.000s      0.031w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.117u      0.017s      0.036w      7 calls
HF: Form C                          :      0.000u      0.000s      0.008w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.533u      0.033s      0.161w      1 calls
| build grid                        :      0.367u      0.000s      0.112w      1 calls
| post-process grid                 :      0.150u      0.017s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      0.717u      0.017s      0.222w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      3 calls
| Libint2ErfERI::Libint2ErfERI      :      0.017u      0.000s      0.007w      1 calls
| DFH: AO Construction              :      0.117u      0.000s      0.036w      1 calls
| DFH: AO-Met. Contraction          :      0.117u      0.000s      0.036w      2 calls
| DFH: wAO Construction             :      0.183u      0.000s      0.054w      1 calls
| DFH: wAO Copy                     :      0.017u      0.000s      0.006w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.233u      0.017s      0.075w      1 calls
| SAD Guess                         :      0.233u      0.017s      0.072w      1 calls
HF: Form G                          :      5.417u      0.000s      1.622w      8 calls
| RV: Form V                        :      5.200u      0.000s      1.565w      8 calls
| | Properties                      :      0.805p                          10840 calls
| | Functional                      :      1.212p                          10840 calls
| | V_xc                            :      1.089p                          10840 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
