
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:44:22 2022
Timers Off: Thu Nov  3 12:44:25 2022

Wall Time:        3.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.017s      0.038w      6 calls
Libint2ERI::Libint2ERI              :      2.150u      0.083s      0.227w    180 calls
DFH: initialize()                   :      2.117u      0.117s      0.232w      6 calls
DFH: AO Construction                :      0.317u      0.000s      0.037w      6 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.014w      6 calls
HF: Form core H                     :      0.050u      0.033s      0.007w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.700u      0.033s      0.074w      3 calls
SAD Guess                           :      0.683u      0.033s      0.072w      1 calls
HF: Form G                          :      0.233u      0.000s      0.025w     34 calls
JK: D                               :      0.017u      0.000s      0.001w     67 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     67 calls
JK: JK                              :      0.550u      0.033s      0.060w     67 calls
DFH: compute_JK()                   :      0.483u      0.033s      0.060w     67 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     67 calls
DFH: compute_J                      :      0.050u      0.000s      0.016w     67 calls
DFH: compute_K                      :      0.367u      0.033s      0.037w     67 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     67 calls
HF: Form F                          :      0.000u      0.000s      0.002w     34 calls
HF: Form D                          :      0.000u      0.000s      0.000w     34 calls
HF: DIIS                            :      1.233u      0.033s      0.120w     33 calls
HF: Form C                          :      0.233u      0.000s      0.022w     33 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      0.700u      0.000s      0.069w      3 calls
DFMP2 (A|mn)                        :      0.117u      0.000s      0.014w      3 calls
DFMP2 (A|mn)C_mi                    :      0.017u      0.000s      0.001w      3 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.001w      3 calls
DFMP2 iaB                           :      0.433u      0.000s      0.043w      3 calls
DFMP2 Metric                        :      0.367u      0.000s      0.036w      3 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      9 calls
DFMP2 (ia|B)(B|Q)                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Cia Write                     :      0.017u      0.000s      0.001w      3 calls
DFMP2 aiB                           :      0.017u      0.000s      0.003w      3 calls
DFMP2 Tij                           :      0.083u      0.000s      0.008w      3 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.000w      6 calls
DFMP2 I                             :      0.017u      0.000s      0.003w      6 calls
DFMP2 T2                            :      0.017u      0.000s      0.001w      6 calls
DFMP2 G                             :      0.033u      0.000s      0.002w      3 calls
DFMP2 Pab                           :      0.000u      0.000s      0.000w      3 calls
DFMP2 Gia Write                     :      0.017u      0.000s      0.001w      3 calls
DFMP2 Tab                           :      0.050u      0.000s      0.005w      3 calls
DFMP2 Bai Read                      :      0.000u      0.000s      0.000w      3 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.000w      3 calls
DFMP2 Pij                           :      0.017u      0.000s      0.000w      3 calls
DFMP2 gamma                         :      0.033u      0.000s      0.004w      3 calls
DFMP2 Gia Read                      :      0.017u      0.000s      0.000w      6 calls
DFMP2 g                             :      0.017u      0.000s      0.001w      3 calls
DFMP2 Gia                           :      0.050u      0.000s      0.005w      3 calls
DFMP2 aiG Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 AB^x                          :      0.133u      0.000s      0.014w      3 calls
DFMP2 Amn^x                         :      0.833u      0.000s      0.082w      3 calls
DFMP2 L                             :      0.633u      0.033s      0.068w      3 calls
DFMP2 P                             :      0.017u      0.000s      0.002w      3 calls
DFMP2 W                             :      0.033u      0.000s      0.003w      3 calls
DFMP2 Z                             :      1.800u      0.067s      0.187w      3 calls
DFMP2 grad                          :      2.567u      0.167s      0.276w      3 calls
Grad: V T Perturb                   :      0.017u      0.017s      0.006w      3 calls
Grad: S                             :      0.033u      0.000s      0.002w      3 calls
Grad: JK                            :      2.400u      0.150s      0.256w      3 calls
CorrGrad: Amn                       :      0.633u      0.067s      0.070w      3 calls
CorrGrad: AB                        :      0.633u      0.033s      0.067w      3 calls
CorrGrad: UV                        :      0.033u      0.017s      0.006w      3 calls
CorrGrad: ABx                       :      0.150u      0.000s      0.015w      3 calls
CorrGrad: Amnx                      :      0.867u      0.017s      0.089w      3 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.133u      0.000s      0.019w      3 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.010w      3 calls
DFH: initialize()                   :      1.033u      0.100s      0.120w      3 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.011w     21 calls
| DFH: AO Construction              :      0.150u      0.000s      0.020w      3 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.007w      3 calls
HF: Form core H                     :      0.050u      0.033s      0.007w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.700u      0.033s      0.074w      3 calls
| SAD Guess                         :      0.683u      0.033s      0.072w      1 calls
HF: Form G                          :      0.233u      0.000s      0.025w     34 calls
| JK: D                             :      0.000u      0.000s      0.000w     34 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     34 calls
| JK: JK                            :      0.200u      0.000s      0.022w     34 calls
| | DFH: compute_JK()               :      0.183u      0.000s      0.022w     34 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     34 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.008w     34 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.012w     34 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     34 calls
HF: Form F                          :      0.000u      0.000s      0.002w     34 calls
HF: Form D                          :      0.000u      0.000s      0.000w     34 calls
HF: DIIS                            :      1.233u      0.033s      0.120w     33 calls
HF: Form C                          :      0.233u      0.000s      0.022w     33 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      0.700u      0.000s      0.069w      3 calls
| Libint2ERI::Libint2ERI            :      0.400u      0.000s      0.041w     18 calls
| DFMP2 (A|mn)                      :      0.117u      0.000s      0.014w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.017u      0.000s      0.001w      3 calls
| DFMP2 (A|mi)C_na                  :      0.017u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 iaB                           :      0.433u      0.000s      0.043w      3 calls
| DFMP2 Metric                      :      0.367u      0.000s      0.036w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      3 calls
| DFMP2 (ia|B)(B|Q)                 :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Cia Write                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 aiB                           :      0.017u      0.000s      0.003w      3 calls
DFMP2 Tij                           :      0.083u      0.000s      0.008w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      6 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      3 calls
| DFMP2 I                           :      0.000u      0.000s      0.002w      3 calls
| DFMP2 T2                          :      0.000u      0.000s      0.000w      3 calls
| DFMP2 G                           :      0.033u      0.000s      0.002w      3 calls
| DFMP2 Pab                         :      0.000u      0.000s      0.000w      3 calls
| DFMP2 Gia Write                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 Tab                           :      0.050u      0.000s      0.005w      3 calls
| DFMP2 Bai Read                    :      0.000u      0.000s      0.000w      3 calls
| DFMP2 Qai Read                    :      0.000u      0.000s      0.000w      3 calls
| DFMP2 I                           :      0.017u      0.000s      0.001w      3 calls
| DFMP2 T2                          :      0.017u      0.000s      0.001w      3 calls
| DFMP2 Pij                         :      0.017u      0.000s      0.000w      3 calls
DFMP2 gamma                         :      0.033u      0.000s      0.004w      3 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      3 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      3 calls
| DFMP2 g                           :      0.017u      0.000s      0.001w      3 calls
DFMP2 Gia                           :      0.050u      0.000s      0.005w      3 calls
| DFMP2 Gia Read                    :      0.017u      0.000s      0.000w      3 calls
| DFMP2 aiG Write                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 AB^x                          :      0.133u      0.000s      0.014w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      3 calls
DFMP2 Amn^x                         :      0.833u      0.000s      0.082w      3 calls
| Libint2ERI::Libint2ERI            :      0.367u      0.000s      0.038w     18 calls
DFMP2 L                             :      0.633u      0.033s      0.068w      3 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.033s      0.038w     18 calls
DFMP2 P                             :      0.017u      0.000s      0.002w      3 calls
DFMP2 W                             :      0.033u      0.000s      0.003w      3 calls
DFMP2 Z                             :      1.800u      0.067s      0.187w      3 calls
| DFH: sparsity prep                :      0.183u      0.017s      0.019w      3 calls
| | Libint2ERI::Libint2ERI          :      0.067u      0.000s      0.007w      3 calls
| DFH: initialize()                 :      1.083u      0.017s      0.112w      3 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.017s      0.008w     21 calls
| | DFH: AO Construction            :      0.167u      0.000s      0.017w      3 calls
| | DFH: AO-Met. Contraction        :      0.067u      0.000s      0.007w      3 calls
| JK: D                             :      0.017u      0.000s      0.000w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     33 calls
| JK: JK                            :      0.350u      0.033s      0.037w     33 calls
| | DFH: compute_JK()               :      0.300u      0.033s      0.037w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.008w     33 calls
| | | DFH: compute_K                :      0.250u      0.033s      0.025w     33 calls
