
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:50:41 2022
Timers Off: Thu Nov  3 12:50:52 2022

Wall Time:       11.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.550u      0.067s      0.185w      8 calls
Libint2ERI::Libint2ERI              :     15.450u      0.417s      1.608w    240 calls
DFH: initialize()                   :     14.500u      0.283s      1.487w      8 calls
DFH: AO Construction                :      3.800u      0.050s      0.381w      8 calls
DFH: AO-Met. Contraction            :      3.600u      0.033s      0.363w      8 calls
HF: Form core H                     :      0.183u      0.017s      0.017w      4 calls
HF: Form S/X                        :      0.067u      0.000s      0.006w      4 calls
HF: Guess                           :      1.017u      0.033s      0.105w      4 calls
SAD Guess                           :      1.000u      0.033s      0.103w      1 calls
HF: Form G                          :      6.800u      0.250s      0.720w     63 calls
JK: D                               :      0.017u      0.017s      0.003w    119 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    119 calls
JK: JK                              :     17.167u      0.850s      1.814w    119 calls
DFH: compute_JK()                   :     17.117u      0.850s      1.812w    119 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w    119 calls
DFH: compute_J                      :      3.583u      0.033s      0.355w    119 calls
DFH: compute_K                      :     12.050u      0.717s      1.323w    119 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    119 calls
HF: Form F                          :      0.017u      0.000s      0.003w     63 calls
HF: Form D                          :      0.017u      0.000s      0.001w     63 calls
HF: DIIS                            :      2.367u      0.150s      0.255w     62 calls
HF: Form C                          :      1.067u      0.017s      0.104w     62 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      4.867u      0.083s      0.496w      4 calls
DFMP2 (A|mn)                        :      1.267u      0.000s      0.137w      4 calls
DFMP2 (A|mn)C_mi                    :      0.167u      0.000s      0.017w      4 calls
DFMP2 (A|mi)C_na                    :      0.067u      0.000s      0.007w      4 calls
DFMP2 Aia Write                     :      0.167u      0.017s      0.016w      4 calls
DFMP2 iaB                           :      2.150u      0.150s      0.229w      4 calls
DFMP2 Metric                        :      1.183u      0.050s      0.121w      4 calls
DFMP2 Aia Read                      :      0.067u      0.000s      0.006w      4 calls
DFMP2 (ia|A)(A|Q)                   :      0.283u      0.000s      0.030w      4 calls
DFMP2 Bia Write                     :      0.067u      0.050s      0.013w      4 calls
DFMP2 Bia Read                      :      0.050u      0.000s      0.010w     12 calls
DFMP2 (ia|B)(B|Q)                   :      0.300u      0.033s      0.030w      4 calls
DFMP2 Cia Write                     :      0.117u      0.017s      0.016w      4 calls
DFMP2 aiB                           :      0.250u      0.050s      0.031w      4 calls
DFMP2 Tij                           :      4.183u      0.150s      0.432w      4 calls
DFMP2 Cia Read                      :      0.050u      0.000s      0.009w      8 calls
DFMP2 I                             :      2.900u      0.033s      0.296w      8 calls
DFMP2 T2                            :      0.433u      0.000s      0.045w      8 calls
DFMP2 G                             :      1.567u      0.000s      0.158w      4 calls
DFMP2 Pab                           :      0.333u      0.033s      0.039w      4 calls
DFMP2 Gia Write                     :      0.100u      0.050s      0.015w      4 calls
DFMP2 Tab                           :      2.167u      0.050s      0.222w      4 calls
DFMP2 Bai Read                      :      0.017u      0.000s      0.004w      4 calls
DFMP2 Qai Read                      :      0.033u      0.033s      0.002w      4 calls
DFMP2 Pij                           :      0.200u      0.000s      0.022w      4 calls
DFMP2 gamma                         :      0.400u      0.033s      0.045w      4 calls
DFMP2 Gia Read                      :      0.067u      0.017s      0.008w      8 calls
DFMP2 g                             :      0.283u      0.017s      0.030w      4 calls
DFMP2 Gia                           :      0.417u      0.050s      0.046w      4 calls
DFMP2 aiG Write                     :      0.050u      0.000s      0.006w      4 calls
DFMP2 AB^x                          :      0.300u      0.017s      0.030w      4 calls
DFMP2 Amn^x                         :      6.750u      0.100s      0.685w      4 calls
DFMP2 L                             :      4.950u      0.100s      0.506w      4 calls
DFMP2 P                             :      0.017u      0.000s      0.002w      4 calls
DFMP2 W                             :      0.050u      0.000s      0.003w      4 calls
DFMP2 Z                             :     18.900u      0.817s      1.975w      4 calls
DFMP2 grad                          :     19.350u      0.617s      1.996w      4 calls
Grad: V T Perturb                   :      0.150u      0.000s      0.017w      4 calls
Grad: S                             :      0.067u      0.000s      0.005w      4 calls
Grad: JK                            :     18.933u      0.600s      1.954w      4 calls
CorrGrad: Amn                       :      5.967u      0.217s      0.619w      4 calls
CorrGrad: AB                        :      3.833u      0.150s      0.397w      4 calls
CorrGrad: UV                        :      1.150u      0.117s      0.127w      4 calls
CorrGrad: ABx                       :      0.283u      0.017s      0.032w      4 calls
CorrGrad: Amnx                      :      7.533u      0.083s      0.761w      4 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.733u      0.050s      0.099w      4 calls
| Libint2ERI::Libint2ERI            :      0.467u      0.050s      0.065w      4 calls
DFH: initialize()                   :      7.267u      0.150s      0.751w      4 calls
| Libint2ERI::Libint2ERI            :      0.717u      0.017s      0.074w     28 calls
| DFH: AO Construction              :      1.917u      0.033s      0.191w      4 calls
| DFH: AO-Met. Contraction          :      1.767u      0.000s      0.178w      4 calls
HF: Form core H                     :      0.183u      0.017s      0.017w      4 calls
HF: Form S/X                        :      0.067u      0.000s      0.006w      4 calls
HF: Guess                           :      1.017u      0.033s      0.105w      4 calls
| SAD Guess                         :      1.000u      0.033s      0.103w      1 calls
HF: Form G                          :      6.800u      0.250s      0.720w     63 calls
| JK: D                             :      0.000u      0.000s      0.002w     63 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     63 calls
| JK: JK                            :      6.800u      0.250s      0.712w     63 calls
| | DFH: compute_JK()               :      6.783u      0.250s      0.711w     63 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w     63 calls
| | | DFH: compute_J                :      1.583u      0.017s      0.158w     63 calls
| | | DFH: compute_K                :      4.650u      0.233s      0.513w     63 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     63 calls
HF: Form F                          :      0.017u      0.000s      0.003w     63 calls
HF: Form D                          :      0.017u      0.000s      0.001w     63 calls
HF: DIIS                            :      2.367u      0.150s      0.255w     62 calls
HF: Form C                          :      1.067u      0.017s      0.104w     62 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      4.867u      0.083s      0.496w      4 calls
| Libint2ERI::Libint2ERI            :      2.600u      0.050s      0.267w     24 calls
| DFMP2 (A|mn)                      :      1.267u      0.000s      0.137w      4 calls
| DFMP2 (A|mn)C_mi                  :      0.167u      0.000s      0.017w      4 calls
| DFMP2 (A|mi)C_na                  :      0.067u      0.000s      0.007w      4 calls
| DFMP2 Aia Write                   :      0.167u      0.017s      0.016w      4 calls
DFMP2 iaB                           :      2.150u      0.150s      0.229w      4 calls
| DFMP2 Metric                      :      1.183u      0.050s      0.121w      4 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w     24 calls
| DFMP2 Aia Read                    :      0.067u      0.000s      0.006w      4 calls
| DFMP2 (ia|A)(A|Q)                 :      0.283u      0.000s      0.030w      4 calls
| DFMP2 Bia Write                   :      0.067u      0.050s      0.013w      4 calls
| DFMP2 Bia Read                    :      0.017u      0.000s      0.004w      4 calls
| DFMP2 (ia|B)(B|Q)                 :      0.300u      0.033s      0.030w      4 calls
| DFMP2 Cia Write                   :      0.117u      0.017s      0.016w      4 calls
DFMP2 aiB                           :      0.250u      0.050s      0.031w      4 calls
DFMP2 Tij                           :      4.183u      0.150s      0.432w      4 calls
| DFMP2 Bia Read                    :      0.033u      0.000s      0.006w      8 calls
| DFMP2 Cia Read                    :      0.017u      0.000s      0.004w      4 calls
| DFMP2 I                           :      1.467u      0.033s      0.151w      4 calls
| DFMP2 T2                          :      0.183u      0.000s      0.023w      4 calls
| DFMP2 G                           :      1.567u      0.000s      0.158w      4 calls
| DFMP2 Pab                         :      0.333u      0.033s      0.039w      4 calls
| DFMP2 Gia Write                   :      0.100u      0.050s      0.015w      4 calls
DFMP2 Tab                           :      2.167u      0.050s      0.222w      4 calls
| DFMP2 Bai Read                    :      0.017u      0.000s      0.004w      4 calls
| DFMP2 Qai Read                    :      0.033u      0.033s      0.002w      4 calls
| DFMP2 I                           :      1.433u      0.000s      0.145w      4 calls
| DFMP2 T2                          :      0.250u      0.000s      0.022w      4 calls
| DFMP2 Pij                         :      0.200u      0.000s      0.022w      4 calls
DFMP2 gamma                         :      0.400u      0.033s      0.045w      4 calls
| DFMP2 Gia Read                    :      0.050u      0.017s      0.004w      4 calls
| DFMP2 Cia Read                    :      0.033u      0.000s      0.005w      4 calls
| DFMP2 g                           :      0.283u      0.017s      0.030w      4 calls
DFMP2 Gia                           :      0.417u      0.050s      0.046w      4 calls
| DFMP2 Gia Read                    :      0.017u      0.000s      0.004w      4 calls
| DFMP2 aiG Write                   :      0.050u      0.000s      0.006w      4 calls
DFMP2 AB^x                          :      0.300u      0.017s      0.030w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
DFMP2 Amn^x                         :      6.750u      0.100s      0.685w      4 calls
| Libint2ERI::Libint2ERI            :      2.833u      0.083s      0.290w     24 calls
DFMP2 L                             :      4.950u      0.100s      0.506w      4 calls
| Libint2ERI::Libint2ERI            :      2.600u      0.017s      0.262w     24 calls
DFMP2 P                             :      0.017u      0.000s      0.002w      4 calls
DFMP2 W                             :      0.050u      0.000s      0.003w      4 calls
DFMP2 Z                             :     18.900u      0.817s      1.975w      4 calls
| DFH: sparsity prep                :      0.817u      0.017s      0.086w      4 calls
| | Libint2ERI::Libint2ERI          :      0.367u      0.000s      0.040w      4 calls
| DFH: initialize()                 :      7.233u      0.133s      0.736w      4 calls
| | Libint2ERI::Libint2ERI          :      0.483u      0.033s      0.048w     28 calls
| | DFH: AO Construction            :      1.883u      0.017s      0.190w      4 calls
| | DFH: AO-Met. Contraction        :      1.833u      0.033s      0.184w      4 calls
| JK: D                             :      0.017u      0.017s      0.001w     56 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     56 calls
| JK: JK                            :     10.367u      0.600s      1.102w     56 calls
| | DFH: compute_JK()               :     10.333u      0.600s      1.101w     56 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     56 calls
| | | DFH: compute_J                :      2.000u      0.017s      0.197w     56 calls
| | | DFH: compute_K                :      7.400u      0.483s      0.810w     56 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     56 calls
DFMP2 grad                          :     19.350u      0.617s      1.996w      4 calls
| Grad: V T Perturb                 :      0.150u      0.000s      0.017w      4 calls
| Grad: S                           :      0.067u      0.000s      0.005w      4 calls
| Grad: JK                          :     18.933u      0.600s      1.954w      4 calls
| | CorrGrad: Amn                   :      5.967u      0.217s      0.619w      4 calls
| | | Libint2ERI::Libint2ERI        :      2.717u      0.117s      0.282w     24 calls
| | CorrGrad: AB                    :      3.833u      0.150s      0.397w      4 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.003w     24 calls
| | CorrGrad: UV                    :      1.150u      0.117s      0.127w      4 calls
| | CorrGrad: ABx                   :      0.283u      0.017s      0.032w      4 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.001w      4 calls
| | CorrGrad: Amnx                  :      7.533u      0.083s      0.761w      4 calls
| | | Libint2ERI::Libint2ERI        :      2.617u      0.050s      0.274w     24 calls

**************************************************************************************

Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:50:55 2022
Timers Off: Thu Nov  3 12:51:04 2022

Wall Time:        8.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.283u      0.000s      0.045w      2 calls
Libint2ERI::Libint2ERI              :      2.633u      0.100s      0.359w     48 calls
DFH: initialize()                   :      4.917u      0.150s      0.515w      2 calls
DFH: AO Construction                :      1.467u      0.017s      0.150w      2 calls
DFH: AO-Met. Contraction            :      1.600u      0.050s      0.164w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.003w      1 calls
HF: Guess                           :      0.967u      0.017s      0.098w      1 calls
SAD Guess                           :      0.950u      0.017s      0.096w      1 calls
HF: Form G                          :      3.250u      0.100s      0.338w     18 calls
JK: D                               :      0.017u      0.000s      0.001w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      7.450u      0.267s      0.784w     31 calls
