#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-56453.83702890496,16390.207850010982,-40063.629178893985,292.107712493235,44.58048454741587,1.0065372191049577,0.0007534027099609375
2000,1.9999999999998905,-56618.119962861696,16672.681917840328,-39945.438045021365,297.14198994397725,44.69646243146882,1.0039254675134013,8.043563604354858
3000,2.9999999999997806,-57390.88438660247,16756.06536344536,-40634.819023157106,298.6280569773171,44.70261622800077,1.003787266361397,16.103237867355347
4000,3.9999999999996705,-56910.189643084625,16479.035960490142,-40431.15368259448,293.69081481839225,45.09091590598586,0.9951431688871666,24.205745935440063
5000,5.000000000000004,-56129.433177424005,16795.60181130819,-39333.83136611582,299.3326789962082,44.9309580543744,0.9986859592088948,32.36790227890015
6000,6.000000000000338,-56726.51771397978,16733.480878556093,-39993.036835423685,298.2255543196807,44.87494042570943,0.9999326242447737,40.57658576965332
7000,7.000000000000672,-56747.630647457045,16601.940115726353,-40145.690531730696,295.88122338248735,44.867981327702765,1.0000877154462557,48.81260132789612
8000,8.000000000001005,-56291.856977756026,16811.672894696763,-39480.18408305926,299.61909924474224,44.784759069303455,1.0019461503246938,57.0725371837616
9000,9.000000000000451,-55908.91890171486,16504.656522669826,-39404.26237904503,294.1474267100525,44.978531091775274,0.997629665832123,65.36904001235962
10000,9.999999999999897,-56542.52697313446,16780.827896789095,-39761.699076345365,299.0693770042972,44.87018943618647,1.000038500094222,73.67658138275146
11000,10.999999999999343,-56546.09283119317,16654.011125810604,-39892.08170538257,296.80923746151035,45.09877591436985,0.9949697310611472,81.99645900726318
12000,11.999999999998789,-56540.555002460904,16726.11709703502,-39814.43790542588,298.0943163637558,45.109891780813406,0.9947245531143768,90.31945252418518
13000,12.999999999998234,-56073.093454366215,16746.08711336345,-39327.006341002765,298.4502237348845,45.142782673935166,0.9939997998531879,98.66661548614502
14000,13.99999999999768,-56611.89646105776,16945.13783843335,-39666.75862262441,301.9977231017244,44.65348632986696,1.0048916810487531,107.03028273582458
15000,14.999999999997126,-55894.479864803296,16866.56142414346,-39027.918440659836,300.5973273993523,44.88173203869264,0.9997813120051458,115.41624927520752
16000,15.999999999996572,-56075.62560426831,16818.25816919377,-39257.36743507454,299.73646258064764,44.80652341779487,1.0014594643798378,123.79834008216858
17000,16.999999999997794,-56878.065717911966,16936.39516957262,-39941.670548339345,301.84191049548025,45.04881884680139,0.9960731067179481,132.18260312080383
18000,17.999999999999016,-56691.9763739189,16422.432311569708,-40269.54406234919,292.6820196550712,45.30557706439236,0.9904281073151658,140.5583086013794
19000,19.000000000000238,-56538.37677582969,16643.004085327186,-39895.3726905025,296.6130690268965,45.419353905107876,0.9879470552675829,148.94130086898804
20000,20.00000000000146,-56511.03030280579,16860.35391826692,-39650.67638453887,300.4866966887184,45.21061890677012,0.9925083537396147,157.3581404685974
21000,21.000000000002682,-56736.49631864724,16597.375117905907,-40139.12120074133,295.79986559355206,44.997360827868604,0.997212194607569,165.77758526802063
22000,22.000000000003904,-56446.84448763543,16803.200216185858,-39643.64427144958,299.46809843003876,45.204240489509395,0.9926483988403919,174.18404722213745
23000,23.000000000005127,-56302.136545328576,16691.983211814335,-39610.153333514245,297.4859792870351,45.34479794024223,0.9895714388636618,182.59776186943054
24000,24.00000000000635,-56586.116576309796,16775.846442487666,-39810.27013382213,298.9805970916691,45.174192160819125,0.9933086746291884,191.0196611881256
25000,25.00000000000757,-56381.044869722544,16338.775237982389,-40042.26963174016,291.1910759999879,45.36564520066674,0.9891166926916766,199.5008888244629
26000,26.000000000008793,-56889.24179426688,16549.55313951869,-40339.68865474819,294.94757812768074,45.36945180420204,0.9890337034786819,207.92748188972473
27000,27.000000000010015,-56715.650433783405,16912.13375719199,-39803.51667659142,301.4095214899707,44.67630568027707,1.0043784117655188,216.43378233909607
28000,28.000000000011237,-56623.66400475654,16861.063294617066,-39762.60071013947,300.4993392558435,44.72092246422469,1.0033763721802387,224.95191502571106
29000,29.00000000001246,-56333.24874785453,16863.829147403063,-39469.41960045147,300.54863252520306,44.96525404120253,0.9979242394936881,233.44653391838074
