Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:28.604364
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:36.788042
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:37.568083
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-40063.629178893985,--
2000,-39945.438045021365,1:7:16:23
3000,-40634.819023157106,1:7:18:25
4000,-40431.15368259448,1:7:22:04
5000,-39333.83136611582,1:7:27:24
6000,-39993.036835423685,1:7:32:43
7000,-40145.690531730696,1:7:37:17
8000,-39480.18408305926,1:7:41:18
9000,-39404.26237904503,1:7:45:23
10000,-39761.699076345365,1:7:48:45
11000,-39892.08170538257,1:7:51:43
12000,-39814.43790542588,1:7:54:12
13000,-39327.006341002765,1:7:56:44
14000,-39666.75862262441,1:7:59:07
15000,-39027.918440659836,1:8:01:31
16000,-39257.36743507454,1:8:03:32
17000,-39941.670548339345,1:8:05:18
18000,-40269.54406234919,1:8:06:44
19000,-39895.3726905025,1:8:08:05
20000,-39650.67638453887,1:8:09:41
21000,-40139.12120074133,1:8:11:09
22000,-39643.64427144958,1:8:12:19
23000,-39610.153333514245,1:8:13:27
24000,-39810.27013382213,1:8:14:33
25000,-40042.26963174016,1:8:16:07
26000,-40339.68865474819,1:8:17:02
27000,-39803.51667659142,1:8:18:36
28000,-39762.60071013947,1:8:20:08
29000,-39469.41960045147,1:8:21:21
30000,-40074.57617721893,1:8:22:23
31000,-39548.2993494274,1:8:23:19
32000,-40354.13307087541,1:8:24:09
33000,-39805.712378621494,1:8:24:50
34000,-40044.09978931332,1:8:25:33
35000,-39281.70360267577,1:8:26:19
36000,-39710.80814905827,1:8:27:02
37000,-39952.841844885435,1:8:27:53
38000,-39456.45262503106,1:8:28:12
39000,-39629.884461533584,1:8:28:47
40000,-39828.855838828764,1:8:28:53
41000,-39262.50737640344,1:8:28:52
42000,-39727.2291080966,1:8:28:46
43000,-39531.98929316998,1:8:28:49
44000,-39752.29379106212,1:8:28:58
45000,-39337.72159241728,1:8:29:16
46000,-39778.363518870196,1:8:29:17
47000,-39781.297115778274,1:8:29:12
48000,-39897.60384507796,1:8:29:07
49000,-40395.89836436648,1:8:28:58
50000,-39931.28180191602,1:8:28:50
51000,-40184.89266922491,1:8:28:40
52000,-39514.35737904705,1:8:28:27
53000,-40131.5497761854,1:8:28:22
54000,-40022.27510975828,1:8:28:18
55000,-39963.16065088464,1:8:28:12
56000,-39724.77214182585,1:8:28:01
57000,-39975.62450974429,1:8:28:00
58000,-40535.055392893184,1:8:27:54
59000,-39679.931724345864,1:8:28:10
60000,-39712.487016144754,1:8:28:23
61000,-39939.92384759077,1:8:28:38
62000,-39965.84201144809,1:8:28:49
63000,-39986.568546545124,1:8:29:03
64000,-39740.085605774024,1:8:29:13
65000,-40471.7577661343,1:8:29:12
66000,-39591.705567561075,1:8:29:24
67000,-40310.88229618386,1:8:29:35
68000,-40028.549443530064,1:8:29:38
69000,-39909.514674482634,1:8:29:35
70000,-40381.14955502296,1:8:29:32
71000,-39512.03661208823,1:8:29:37
72000,-39678.23674241257,1:8:29:31
73000,-40038.23018338058,1:8:29:29
74000,-40072.039458802974,1:8:29:39
75000,-39501.063436676406,1:8:29:50
76000,-39745.98906571507,1:8:30:01
77000,-40271.77178755973,1:8:30:09
78000,-40261.26841190344,1:8:30:15
