#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-56653.52428684603,16673.90971245066,-39979.61457439537,297.16387180650867,45.15672279883687,0.9936929467313628,0.0007841587066650391
2000,1.9999999999998905,-57028.78806705203,16821.209141784104,-40207.578925267924,299.7890550712909,44.847826111270585,1.0005371683206485,8.23931074142456
3000,2.9999999999997806,-56901.943567775554,16723.968968926187,-40177.97459884937,298.0560322374192,45.01771331542509,0.9967613554314493,16.544387817382812
4000,3.9999999999996705,-56593.57021197259,16553.54032744001,-40040.02988453258,295.01863813824525,45.04020979633299,0.9962634975639219,24.89120888710022
5000,5.000000000000004,-56360.57958983745,16899.604384586088,-39460.975205251365,301.1862219196188,45.542117816501744,0.9852839326336426,33.28736400604248
6000,6.000000000000338,-56652.372999737105,16737.40935685001,-39914.963642887094,298.29556800215,44.98517896533377,0.9974822369226642,41.69800806045532
7000,7.000000000000672,-56908.30274151601,16403.49830352566,-40504.80443799035,292.34457611386114,45.33317468417758,0.9898251612713316,50.13439702987671
8000,8.000000000001005,-56607.25780769025,16587.082268650625,-40020.17553903963,295.61642553723846,45.18058787390636,0.9931680629729672,58.58602809906006
9000,9.000000000000451,-56946.59714613483,16542.653729606183,-40403.94341652865,294.8246162430275,44.84088838518492,1.0006919701781118,67.0738377571106
10000,9.999999999999897,-56769.67313416894,16529.708857790825,-40239.964276378116,294.59391160955937,45.00591076855907,0.9970227504884722,75.57331395149231
11000,10.999999999999343,-56495.69079310985,16580.196277158888,-39915.49451595096,295.4937027968494,45.03198261316327,0.9964455113639841,84.05201411247253
12000,11.999999999998789,-56426.727692416156,16634.786953893195,-39791.94073852296,296.4666225944654,45.032466656160686,0.9964348008142874,92.5185534954071
13000,12.999999999998234,-56816.48414674287,16977.738766473045,-39838.74538026983,302.5787396819885,44.91519617155037,0.9990364234706323,101.03963708877563
14000,13.99999999999768,-56549.354209506964,16920.168398111968,-39629.185811395,301.5527155605595,44.80540868568153,1.0014843801000133,109.5414571762085
15000,14.999999999997126,-56661.52641771086,16973.107413497324,-39688.41900421354,302.49619930569395,45.38554265144638,0.9886830545867121,118.03505897521973
16000,15.999999999996572,-56569.99127009995,16527.67564301271,-40042.31562708724,294.557675478616,45.27454337531107,0.9911070018030681,126.54840564727783
17000,16.999999999997794,-56888.49636607514,16430.198350488146,-40458.29801558699,292.8204266773834,45.18328091304798,0.9931088676154426,135.0373170375824
18000,17.999999999999016,-56356.4419344374,16394.91299634974,-39961.52893808766,292.1915680212757,45.0188556328724,0.9967360634094484,143.59351301193237
19000,19.000000000000238,-56743.02990729659,16611.069925520245,-40131.95998177635,296.04393564817656,45.10044540943706,0.9949329000045367,152.12546491622925
20000,20.00000000000146,-56468.30113612817,16913.35084506355,-39554.95029106462,301.43121253607075,45.21761239494666,0.992354849494933,160.6978714466095
21000,21.000000000002682,-56535.42243211464,16632.133388380866,-39903.28904373378,296.4193305186814,45.52511863908992,0.9856518397774907,169.25771808624268
22000,22.000000000003904,-56765.16500716704,16501.42783658971,-40263.737170577326,294.0898847853953,45.376946953911414,0.9888703395643419,177.81556677818298
23000,23.000000000005127,-56615.15335661157,16907.37629240056,-39707.77706421101,301.32473353790755,45.137947149519604,0.9941062847645493,186.3765709400177
24000,24.00000000000635,-56417.065197583084,16659.24333931146,-39757.82185827162,296.90248642644093,45.372619241412025,0.9889646595881881,194.92369627952576
25000,25.00000000000757,-56947.26398242154,16867.19535960595,-40080.06862281558,300.6086254524039,44.946556555582525,0.9983393697182852,203.50367045402527
26000,26.000000000008793,-56900.682115196,16616.0749635145,-40284.6071516815,296.1331358714332,44.83625350290191,1.0007954152503686,212.06116938591003
27000,27.000000000010015,-56657.11546125205,16563.23948842735,-40093.875972824695,295.19149743051554,44.59378379307025,1.0062370385730868,220.56233882904053
28000,28.000000000011237,-56224.530458339585,16493.883563323034,-39730.64689501655,293.9554300898527,45.02591938740482,0.996579693501153,229.03413128852844
29000,29.00000000001246,-56369.83110184173,16757.585342830746,-39612.245759010984,298.6551461823696,44.35947510829168,1.0115520265549771,237.5148904323578
30000,30.00000000001368,-56287.920539639184,16912.852922270566,-39375.06761736862,301.4223385126668,44.61568259469339,1.0057431453047991,246.02221155166626
31000,31.000000000014904,-56303.579654707944,16801.773943066313,-39501.80571164163,299.4426792662213,44.6017260721306,1.0060578568224008,254.49761080741882
32000,32.00000000001612,-56572.60716404343,16720.300427407936,-39852.306736635495,297.9906511708159,44.49885971572445,1.0083835232939966,263.0434091091156
33000,33.00000000001379,-56414.74722891202,16612.84040946572,-39801.9068194463,296.0754893673271,44.64640996614525,1.0050509543036779,271.60370206832886
34000,34.00000000001146,-56798.747231907386,16419.726800548855,-40379.02043135853,292.63380180190796,44.73408178056567,1.003081211386387,280.18669509887695
35000,35.00000000000913,-56759.78232689416,16967.78022547974,-39792.002101414415,302.40125769665036,44.62581791197011,1.0055147231412738,288.7573182582855
36000,36.0000000000068,-56225.009681216536,16402.855604664346,-39822.15407655219,292.33312187875214,44.781146254952894,1.002026984464351,297.3247528076172
37000,37.00000000000447,-56889.73016041444,16987.75133847605,-39901.97882193839,302.75718461268957,44.86958317842582,1.0000520121676284,305.89948201179504
38000,38.00000000000214,-56686.68528652696,16356.546609510093,-40330.13867701687,291.50779893189514,45.34732636575826,0.9895162634459143,314.46064591407776
39000,38.99999999999981,-56599.86307402305,16787.839594431316,-39812.023479591735,299.1943400906538,45.01649593720537,0.9967883107850167,323.0202467441559
40000,39.99999999999748,-56364.379936141675,16917.427923626976,-39446.952012514696,301.50387458549176,45.08350969228457,0.9953066486832707,331.5935790538788
41000,40.99999999999515,-56543.14953021214,16673.584637034084,-39869.56489317806,297.1580782841084,45.087251755661036,0.9952240421722647,340.19640731811523
42000,41.999999999992816,-56190.09211921864,16865.22420694634,-39324.867912272304,300.5734953979444,45.11541802308876,0.9946027080973376,348.7968051433563
43000,42.999999999990486,-56884.23759615424,16755.904805069742,-40128.3327910845,298.62519549195633,45.03983351173568,0.9962718208320106,357.39907908439636
44000,43.999999999988155,-56032.00528130803,16611.221753420068,-39420.783527887965,296.046641538237,44.85409552677675,1.0003973197033953,366.03215312957764
45000,44.999999999985825,-56484.45387214969,16820.841350437855,-39663.61252171183,299.78250026186987,44.464820293843786,1.0091554772103757,374.6187970638275
46000,45.999999999983494,-56400.51730562309,16751.473388326525,-39649.04391729657,298.5462183966192,44.32026160643105,1.0124470234669467,383.1915407180786
47000,46.99999999998116,-56594.423192899354,16839.39133064895,-39755.031862250406,300.11309962557795,44.592704712969685,1.006261388079845,391.7410559654236
48000,47.99999999997883,-56372.29922967378,16496.91022464587,-39875.38900502791,294.00937151168193,44.461277674206045,1.0092358854711838,400.2902636528015
49000,48.9999999999765,-56289.30531050949,16753.497727860602,-39535.807582648886,298.58229635219,44.01014884723881,1.0195811220375541,408.8638162612915
50000,49.99999999997417,-56483.65872852876,16594.470626260856,-39889.1881022679,295.74810149036585,44.0192036259205,1.0193713935407251,417.440393447876
51000,50.99999999997184,-56717.47087016241,16796.624307275764,-39920.84656288665,299.35090200843933,44.69400648043,1.003980633563371,426.069712638855
52000,51.99999999996951,-56236.4304339468,16812.468039359825,-39423.962394586975,299.63327038221365,44.520016201732794,1.0079043264355556,434.6721167564392
53000,52.99999999996718,-56419.84003450137,16689.325813898053,-39730.51422060332,297.43861890981395,44.33803133210002,1.0120412565593766,443.2448287010193
54000,53.99999999996485,-56398.43113058731,16828.99378750189,-39569.43734308542,299.9277937056025,44.658396572597354,1.004781192037718,451.7845711708069
55000,54.99999999996252,-56223.68264267712,16495.61525498023,-39728.067387696894,293.98629244946136,45.033919422587324,0.996402656443033,460.369820356369
56000,55.99999999996019,-56854.97376821773,16828.067467419318,-40026.90630079841,299.91128474837427,44.88791963586171,0.9996434966627098,468.93624114990234
57000,56.99999999995786,-56458.167079748186,16690.53745684957,-39767.62962289862,297.4602129160746,44.64702719328731,1.0050370598796334,477.5074260234833
58000,57.99999999995553,-56849.83918693274,16757.12132556375,-40092.71786136899,298.6468764262042,44.701057706240015,1.0038222638397134,486.08742356300354
59000,58.9999999999532,-56291.38235146898,16725.400699668804,-39565.981651800175,298.0815486674705,44.71875491016032,1.0034250066410593,494.66307950019836
60000,59.999999999950866,-56533.199817767876,16880.103331778548,-39653.09648598933,300.8386724572234,44.85686164001246,1.0003356298712085,503.20587730407715
61000,60.999999999948535,-56850.72603155904,16697.474054667993,-40153.25197689104,297.5838375668274,44.56996220600646,1.0067748483901646,511.7512776851654
62000,61.999999999946205,-57240.04223657025,16423.47279837647,-40816.56943819378,292.70056330160605,44.9961703883033,0.997238577316169,520.3368570804596
63000,62.999999999943874,-56855.61675067579,16588.699028557858,-40266.917722117934,295.6452395731844,44.70451917186788,1.0037445380006453,528.9313945770264
64000,63.999999999941544,-56319.422437925845,16591.37124115183,-39728.05119677402,295.69286397888226,44.76590464301508,1.0023681482712754,537.4602541923523
65000,64.99999999994631,-56150.56830856881,16438.324353845263,-39712.24395472354,292.9652490172879,44.70171406817557,1.0038075245676792,546.0029933452606
66000,65.99999999995109,-56555.092061403535,16472.085468737627,-40083.00659266591,293.56694254873526,44.343623132244566,1.0119136365760515,554.532799243927
67000,66.99999999995586,-56832.44079854746,16323.387222131538,-40509.05357641592,290.91682944063155,44.96509267336738,0.9979278207800725,563.0383760929108
68000,67.99999999996064,-56384.381737632255,16683.46531763157,-39700.916420000685,297.3341726346878,44.76424949022898,1.0024052107140105,571.5642974376678
69000,68.99999999996541,-56705.31888248436,16999.597700712588,-39705.721181771776,302.96831151272335,44.46778136650492,1.009088278384561,580.0850653648376
70000,69.99999999997019,-56687.095060263484,16710.651439731068,-39976.44362053242,297.81868607165677,44.60057570943367,1.0060838056226358,588.6223731040955
71000,70.99999999997496,-56239.77678358858,16703.36534788496,-39536.41143570362,297.6888327078887,44.57117998025946,1.0067473412770596,597.1573848724365
72000,71.99999999997974,-56625.64229955575,16916.291917590435,-39709.35038196531,301.4836285869206,44.62767539564938,1.0054728718198471,605.7197985649109
73000,72.99999999998451,-56694.2617742675,16676.462767727746,-40017.79900653975,297.20937258012196,44.91651690495419,0.9990070476225693,614.2280743122101
74000,73.99999999998929,-56785.33815513951,16702.205987525987,-40083.13216761352,297.66817048654815,44.47721082317146,1.0088743451361033,622.7984719276428
75000,74.99999999999406,-56090.957513613066,16627.15384521836,-39463.80366839471,296.33058466653773,44.96696537039056,0.9978862610162786,631.3870499134064
76000,75.99999999999883,-56429.58193371519,16820.562802863402,-39609.01913085179,299.77753596272623,44.623812520118,1.0055599109214985,639.9671456813812
77000,77.00000000000361,-56855.28375297155,16622.46722128988,-40232.81653168167,296.247059246507,44.501218107318394,1.008330082886611,648.5574748516083
78000,78.00000000000838,-56434.57425497339,16770.04006097788,-39664.53419399551,298.87711525445224,45.17871113797585,0.9932093194440321,657.1303625106812
79000,79.00000000001316,-56700.311937398226,16827.16489472969,-39873.14704266854,299.8951990192524,44.99962194680082,0.997162087178326,665.7145762443542
80000,80.00000000001793,-56773.73297713537,16485.87626676637,-40287.856710369,293.8127233528896,45.08710617872628,0.9952272555447281,674.2870507240295
81000,81.00000000002271,-56314.26675754802,16542.16909899734,-39772.09765855069,294.81597911408744,44.89482167484823,0.9994898134954938,682.7993590831757
82000,82.00000000002748,-56711.97960478229,16794.479305034885,-39917.50029974741,299.31267359159375,44.801998738181744,1.0015606045822723,691.341372013092
83000,83.00000000003226,-56539.36173026509,16846.63536195267,-39692.72636831242,300.2422033826947,44.89556923049528,0.9994731710012109,699.8869676589966
