Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:35.701814
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:43.952942
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:44.732439
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-40423.34708457418,--
2000,-40635.372388166026,1:8:22:02
3000,-40597.05243569618,1:8:28:43
4000,-40014.95037754794,1:8:33:48
5000,-39445.65707019159,1:8:37:39
6000,-38809.747603142714,1:8:41:22
7000,-39501.86575495724,1:8:44:50
8000,-38921.3575096221,1:8:50:15
9000,-39481.996368551845,1:8:53:44
10000,-39414.859678697336,1:8:56:56
11000,-40125.68141396467,1:8:59:43
12000,-39761.79400225535,1:9:02:11
13000,-39551.866008658806,1:9:04:18
14000,-39591.34148987668,1:9:06:08
15000,-40213.74125695396,1:9:07:29
16000,-39563.531735727665,1:9:09:07
17000,-40649.365141631606,1:9:10:43
18000,-40438.74264136919,1:9:11:22
19000,-40228.98741473721,1:9:12:02
20000,-40570.79233276937,1:9:12:45
21000,-40315.34147178138,1:9:13:43
22000,-40401.41041605376,1:9:14:33
23000,-40072.75369138959,1:9:15:02
24000,-40321.088816621006,1:9:15:53
25000,-39649.10826094584,1:9:16:26
26000,-39855.776769811986,1:9:16:34
27000,-40317.20869320923,1:9:16:51
28000,-39679.74753931832,1:9:17:00
29000,-39502.66172137962,1:9:17:26
30000,-39318.06206015166,1:9:17:36
31000,-39720.01572363552,1:9:17:49
32000,-40097.77569538361,1:9:17:54
33000,-39283.765315216166,1:9:18:15
34000,-40093.819770959846,1:9:18:20
35000,-39699.98015871656,1:9:18:30
36000,-40302.429248118075,1:9:18:39
37000,-40121.85814149722,1:9:18:42
38000,-39936.95925231235,1:9:18:49
39000,-39858.81795421675,1:9:18:51
40000,-39563.79575394305,1:9:19:00
41000,-39760.57940894595,1:9:19:07
42000,-39165.51713443885,1:9:19:10
43000,-39437.49992752849,1:9:19:20
44000,-40055.432508805,1:9:19:29
45000,-39336.629434832226,1:9:19:37
46000,-40471.952539013226,1:9:19:56
47000,-40010.29361041568,1:9:20:07
48000,-39713.29057399649,1:9:20:14
49000,-40589.32139083858,1:9:20:22
50000,-40788.085704681274,1:9:20:35
51000,-39993.78835754789,1:9:20:37
52000,-39899.69507160256,1:9:20:17
53000,-39952.56046896313,1:9:20:05
54000,-39636.056445019974,1:9:20:03
55000,-39729.798649915254,1:9:19:51
56000,-39560.240832938085,1:9:19:44
57000,-39812.739314257735,1:9:19:28
58000,-39677.706215866914,1:9:19:14
59000,-39506.01538195199,1:9:19:09
60000,-39710.70352843545,1:9:19:12
61000,-39775.024246009765,1:9:19:20
62000,-39818.70648233064,1:9:19:35
63000,-39499.769819505476,1:9:19:47
64000,-39295.609006989296,1:9:19:48
65000,-39114.40415932494,1:9:19:52
66000,-39188.15107975343,1:9:19:52
67000,-40113.77610945069,1:9:19:53
68000,-39864.83013471629,1:9:19:33
69000,-39795.95710975482,1:9:19:18
70000,-40253.2043218257,1:9:19:10
71000,-40038.89170074703,1:9:19:13
72000,-40283.51838035299,1:9:19:11
73000,-39488.16795582333,1:9:18:52
74000,-39851.063401572144,1:9:18:43
75000,-39776.50690362917,1:9:18:22
76000,-39929.41697287296,1:9:18:00
77000,-39934.48098122874,1:9:17:48
78000,-40476.26673208576,1:9:17:37
79000,-39711.68695473243,1:9:17:32
80000,-39506.12757406952,1:9:17:25
81000,-40308.57136225287,1:9:17:18
82000,-40426.43367576077,1:9:17:11
83000,-39830.20767636849,1:9:17:02
84000,-40177.256559406145,1:9:16:56
85000,-39726.81735496425,1:9:16:47
86000,-39720.88496653853,1:9:16:38
87000,-40439.06932851022,1:9:16:36
88000,-40630.01002749767,1:9:16:25
89000,-39611.395866680155,1:9:16:18
90000,-39980.337354954696,1:9:16:07
91000,-39356.38392118842,1:9:15:57
92000,-39720.313548502956,1:9:15:44
93000,-39917.974309979545,1:9:15:36
94000,-39368.17159189415,1:9:15:26
95000,-39424.16149746302,1:9:15:13
96000,-39165.60366992116,1:9:14:57
97000,-40100.99336211904,1:9:14:45
98000,-39986.174310652365,1:9:14:35
99000,-39449.89335019241,1:9:14:23
100000,-39858.42658216934,1:9:14:14

System Time is: 2023-03-23 19:50:05.518345
Starting production...

101000,-39942.34074017247,1:9:15:50
102000,-39871.45517725517,1:9:17:23
103000,-40355.24969891997,1:9:18:56
104000,-40266.191786493044,1:9:20:25
105000,-40995.46502924458,1:9:21:52
106000,-40516.152035129475,1:9:23:18
107000,-40051.67370887566,1:9:24:49
108000,-40360.445556088904,1:9:26:27
109000,-40065.237505171084,1:9:28:06
110000,-40403.48528202374,1:9:29:39
111000,-40058.61190583314,1:9:31:08
