#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-56066.613754422586,16463.294008849254,-39603.31974557333,293.410260384545,44.9638121012911,0.9979562418245018,0.0007987022399902344
2000,1.9999999999998905,-56078.948814722025,16933.206625694333,-39145.74218902769,301.7850839886419,45.162516832810034,0.9935654628997247,8.161046743392944
3000,2.9999999999997806,-56566.59921420329,16792.975987059453,-39773.623227143835,299.2858813276413,45.189567491388885,0.9929707105795623,16.391638040542603
4000,3.9999999999996705,-56566.56817886929,16701.998661808197,-39864.56951706109,297.66447550953995,44.6277297763513,1.0054716466103013,24.635932445526123
5000,5.000000000000004,-56936.21675870077,16670.952407085293,-40265.26435161548,297.11116645259693,44.295250417038986,1.0130186988500849,32.90137767791748
6000,6.000000000000338,-56598.50932006095,16743.71184099432,-39854.79747906663,298.40789142374825,44.926727252539685,0.9987800066200221,41.226791858673096
7000,7.000000000000672,-56514.853239980745,16533.320335044937,-39981.53290493581,294.6582756718748,45.142264557594814,0.9940112083977891,49.57537889480591
8000,8.000000000001005,-56760.1530191265,16869.268819065834,-39890.88420006067,300.6455788275726,45.43260948984652,0.9876588082120991,57.907803773880005
9000,9.000000000000451,-56709.034731883905,16510.821182027797,-40198.21354985611,294.257293806299,45.33056581015808,0.9898821278919977,66.28235220909119
10000,9.999999999999897,-56817.011534110585,16842.542252322783,-39974.4692817878,300.1692556262103,45.19477354962348,0.9928563286955853,74.6565113067627
11000,10.999999999999343,-56647.665564496085,16841.20308351397,-39806.46248098211,300.1453888430088,45.60778336335452,0.9838653324853698,83.05160641670227
12000,11.999999999998789,-57175.196091768186,16690.203698317633,-40484.99239345055,297.45426464243576,45.03293445486775,0.9964244499251629,91.4360191822052
13000,12.999999999998234,-56949.3043781183,17059.660375302068,-39889.64400281623,304.0387537329266,44.8294339297717,1.0009476589198598,99.83331418037415
14000,13.99999999999768,-56707.00828467917,16855.212543449026,-39851.79574123015,300.3950666587109,45.09122762038068,0.9951362894902859,108.24239659309387
15000,14.999999999997126,-56504.46295664384,16612.350267371883,-39892.112689271955,296.0667540122214,45.24497005838277,0.9917548157244026,116.66406631469727
16000,15.999999999996572,-56376.812115552915,16602.853447297526,-39773.95866825539,295.8975008573336,45.55856656190291,0.9849281996556585,125.07318139076233
