#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-57586.071904652694,16750.592667207216,-40835.47923744548,298.53052210808767,44.87783957476152,0.9998680276922837,0.0007348060607910156
2000,1.9999999999998905,-56603.947765994686,16866.271037741342,-39737.67672825334,300.59215210759044,45.30607109750839,0.9904173073435018,8.171149492263794
3000,2.9999999999997806,-56061.00212584482,16731.161454012567,-39329.84067183225,298.18421733335873,45.19175694198641,0.9929226031267276,16.37075114250183
4000,3.9999999999996705,-56178.846665924015,16809.65699387306,-39369.189672050954,299.58317168460303,45.027565573875194,0.996543259019582,24.6041841506958
5000,5.000000000000004,-56867.879595957085,17015.33111540255,-39852.548480554535,303.24871380028736,44.82561683839735,1.001032893857927,32.869789838790894
6000,6.000000000000338,-56731.041156474086,16231.56763139543,-40499.473525078654,289.28041269366685,44.8967452779868,0.9994469903079709,41.16296410560608
7000,7.000000000000672,-56691.68553137249,16319.517466904632,-40372.168064467856,290.8478623257795,44.93337004931087,0.9986323503771048,49.49994921684265
8000,8.000000000001005,-56585.72629232418,17002.65215380393,-39583.07413852025,303.02274824187253,45.627701413947705,0.9834358416527825,57.85042405128479
9000,9.000000000000451,-57270.53851858319,16854.807759146017,-40415.730759437174,300.38785255759103,45.1777196603964,0.993231116577206,66.22395825386047
10000,9.999999999999897,-56955.43451313938,16406.64192621265,-40548.79258692673,292.400602031314,44.891908523242165,0.9995546729646323,74.60037183761597
11000,10.999999999999343,-56891.91835694321,16725.249965430197,-40166.66839151301,298.0788622687356,44.54656124769197,1.0073037219013714,82.99338746070862
12000,11.999999999998789,-56684.441644352235,16436.83065038501,-40247.610993967224,292.93862810406273,44.72842155766712,1.0032081477513217,91.43002080917358
13000,12.999999999998234,-56679.87217326352,16422.605469805985,-40257.26670345753,292.6851056962466,44.80730104275389,1.0014420841793612,99.85442113876343
14000,13.99999999999768,-57053.91367587698,16735.626366814184,-40318.2873090628,298.26379139836746,44.489132717395385,1.008603993872923,108.27189922332764
15000,14.999999999997126,-56549.21281234618,16437.114348285948,-40112.09846406023,292.9436841927738,44.6127117027219,1.005810120705346,116.69416284561157
16000,15.999999999996572,-56054.78965718341,16522.271450666387,-39532.51820651702,294.46136149171576,44.77311575064307,1.00220670798554,125.12159967422485
17000,16.999999999997794,-56779.41228624842,16782.34941890276,-39997.06286734567,299.0964937039875,44.754802008278766,1.0026168127032957,133.5765974521637
18000,17.999999999999016,-56881.944099246066,16636.013526074854,-40245.93057317121,296.4884826707664,44.56210721600232,1.0069523132109413,142.0196681022644
19000,19.000000000000238,-57214.13181015526,16981.764150161354,-40232.367659993906,302.65048042084067,44.37491803551291,1.011199996060767,150.44482970237732
20000,20.00000000000146,-56748.13525524613,16280.962994021294,-40467.17226122484,290.1607411505391,44.75309060072449,1.0026551538762576,158.92753291130066
21000,21.000000000002682,-56290.45811027914,16649.534064382835,-39640.9240458963,296.7294468826278,45.392694324905975,0.9885272863850976,167.49860525131226
22000,22.000000000003904,-56639.533271858556,16446.140589772327,-40193.392682086225,293.10455065506187,45.509738270180385,0.9859849484590247,176.05208802223206
23000,23.000000000005127,-57387.48072093925,17024.62180348806,-40362.858917451194,303.4142932529081,45.01424823381532,0.9968380835692623,184.58938479423523
24000,24.00000000000635,-56254.31102194927,16967.814853667984,-39286.49616828129,302.40187484323866,45.26540834561661,0.9913070174932553,193.0961048603058
25000,25.00000000000757,-56867.56457167709,17057.821145102454,-39809.743426574634,304.0059748120444,45.270358002149116,0.9911986324600595,201.66198635101318
26000,26.000000000008793,-56006.071653048,16732.74405733745,-39273.32759571055,298.21242262771784,45.20390979178792,0.992655660746834,210.14299511909485
27000,27.000000000010015,-56444.62477945874,17235.85979784925,-39208.76498160949,307.17899519501714,45.14737790353552,0.9938986277028852,218.6179211139679
28000,28.000000000011237,-56962.41691542279,16905.03629832173,-40057.380617101066,301.28302995953504,44.99082705764355,0.9973570142468445,227.09102416038513
29000,29.00000000001246,-57167.1565433588,17081.547604926764,-40085.60893843204,304.42882984648116,44.95422326872028,0.9981691080386204,235.54352450370789
30000,30.00000000001368,-57056.437348484615,16815.20164640823,-40241.23570207639,299.68198896522813,45.57267018166274,0.984623388619498,243.9717800617218
31000,31.000000000014904,-56917.486331352615,16539.400566815577,-40378.08576453704,294.7666380923031,44.67500961857926,1.004407549675073,252.41024136543274
32000,32.00000000001612,-56821.36945437303,16364.332335959996,-40457.037118413034,291.64655682710867,44.799047655428936,1.0016265811684,260.8816773891449
33000,33.00000000001379,-56993.32890806585,16980.717841384238,-40012.61106668161,302.63183301464284,44.61639366214058,1.0057271164160397,269.315514087677
34000,34.00000000001146,-57479.4501230919,17134.749538558157,-40344.70058453374,305.3769993435064,44.472164691085446,1.0089888192850256,277.7488434314728
35000,35.00000000000913,-56705.20269878428,16516.685419141562,-40188.517279642714,294.3618067511314,45.159501384489054,0.9936318065309659,286.18520069122314
36000,36.0000000000068,-57044.867441166774,16980.889736512425,-40063.977704654346,302.6348965445958,45.41500958695114,0.9880415605064702,294.61242389678955
37000,37.00000000000447,-56604.38018007515,16881.643124570226,-39722.73705550493,300.8661147785293,44.94243252301024,0.9984309798926299,303.0361714363098
38000,38.00000000000214,-56470.19867957058,16647.37396831716,-39822.82471125342,296.69094946232144,44.94696645551125,0.9983302652276206,311.48304438591003
39000,38.99999999999981,-56659.24942325653,17127.321440686872,-39531.92798256966,305.2446151359836,45.287221471519416,0.9908295427425794,319.90938091278076
40000,39.99999999999748,-56087.29705142457,17254.727407576356,-38832.56964384821,307.51525537963687,45.286969410214006,0.9908350575692777,328.36019015312195
41000,40.99999999999515,-56854.617692835105,16958.55722414219,-39896.060468692915,302.2368845631497,44.48906830140408,1.0086054542367513,336.8614933490753
42000,41.999999999992816,-56620.11583891517,17316.703898446114,-39303.41194046906,308.61980580035106,44.84328231071735,1.000638548975781,345.42741799354553
43000,42.999999999990486,-57104.7057265776,17015.540791068815,-40089.16493550879,303.252450658282,44.84617871821216,1.0005739223548362,353.9234516620636
44000,43.999999999988155,-56854.28280213534,16775.618757744724,-40078.66404439062,298.97653927434067,44.35678424638654,1.0116133913914858,362.36616015434265
45000,44.999999999985825,-56509.39738094474,16577.203059404426,-39932.194321540315,295.4403574092099,45.184344389864606,0.9930854934075978,370.81627011299133
46000,45.999999999983494,-57116.10592968356,16536.070660428053,-40580.0352692555,294.7072922105072,44.729705612313495,1.0031793486777356,379.2966718673706
47000,46.99999999998116,-56682.24477924303,16690.698210087143,-39991.54656915589,297.46307787428213,44.41221698017727,1.0103507546749,387.7942759990692
48000,47.99999999997883,-56788.27525873636,16768.47017377484,-40019.80508496152,298.8491365879246,44.995476805139255,0.9972539492587924,396.2337567806244
49000,48.9999999999765,-56177.714356906654,16665.11238663537,-39512.60197027128,297.0070850992577,44.915493118637485,0.9990298186014597,404.67199659347534
50000,49.99999999997417,-56660.40464524539,16316.743268753922,-40343.661376491465,290.7984203246028,44.89421176517896,0.9995033920500029,413.1138207912445
51000,50.99999999997184,-56995.68675555289,16273.269637902456,-40722.41711765043,290.02362948741467,44.515586658724104,1.008004618398387,421.54806566238403
52000,51.99999999996951,-56428.64008995186,16653.184630740085,-39775.45545921178,296.7945075943454,45.430160823085245,0.9877120426108186,429.990345954895
53000,52.99999999996718,-56868.311223909455,16642.762069553002,-40225.54915435646,296.6087558006805,45.335088811725065,0.9897833691042036,438.43667125701904
54000,53.99999999996485,-56027.979007465605,16636.61594529021,-39391.3630621754,296.4992190385154,45.4102220060709,0.988145729318579,446.86695861816406
55000,54.99999999996252,-56620.401972896696,16544.898352395594,-40075.5036205011,294.8646201059696,45.10643870709516,0.9948007031565818,455.32090282440186
56000,55.99999999996019,-56488.003952665094,16805.91007938832,-39682.093873276775,299.5163938481618,44.6087534914137,1.0058993679647306,463.7875497341156
57000,56.99999999995786,-57096.015865780275,16999.713909950682,-40096.30195582959,302.97038260389076,44.76657070702588,1.0023532344340396,472.2440514564514
58000,57.99999999995553,-56933.08441600835,16959.22655761331,-39973.857858395044,302.2488134825956,44.953810409153,0.9981782753074739,480.68490266799927
59000,58.9999999999532,-57120.25986184576,16693.679174459336,-40426.58068738643,297.516204881075,45.00801951727557,0.9969760372478549,489.1463449001312
60000,59.999999999950866,-57073.92217465424,16736.278824978144,-40337.643349676095,298.2754195646187,45.29978793975878,0.9905546799110789,497.6071820259094
61000,60.999999999948535,-56869.11404709604,17018.04929735242,-39851.064749743615,303.29715747585163,45.15040270580096,0.9938320425421663,506.059362411499
62000,61.999999999946205,-56861.718841113136,16735.24234913973,-40126.4764919734,298.2569474019113,45.11459858585836,0.9946207735243616,514.506463766098
63000,62.999999999943874,-56233.86296862201,16571.215593275345,-39662.64737534666,295.33364826612876,45.11133487730947,0.9946927322090311,522.9440772533417
64000,63.999999999941544,-56245.57940697863,16438.9372977459,-39806.64210923273,292.97617295689497,45.11547622356623,0.9946014250264859,531.3783292770386
65000,64.99999999994631,-56900.44458331809,16424.049769443624,-40476.39481387446,292.7108461302402,44.927813333286814,0.9987558622057866,539.8290829658508
66000,65.99999999995109,-56879.43113304383,16647.178504415584,-40232.252628628245,296.6874658876355,45.23135281033647,0.992053391170144,548.2685294151306
67000,66.99999999995586,-57039.19000722856,16924.84445519078,-40114.345552037776,301.6360526572748,45.036253817937215,0.9963510092137315,556.7103254795074
68000,67.99999999996064,-56772.043181908084,16449.540597154628,-40322.502584753456,293.165145882895,44.638622262059165,1.0052262966199708,565.150493144989
69000,68.99999999996541,-57224.62073636492,16786.06152556953,-40438.55921079539,299.1626511924638,45.188814250303025,0.9929872621609366,573.6133453845978
70000,69.99999999997019,-57206.90986583273,16487.558597127274,-40719.35126870545,293.84270599117457,44.335869118494756,1.0120906127447302,582.059597492218
71000,70.99999999997496,-56766.68252528163,16559.612529127557,-40207.06999615407,295.126857445833,44.59019265780211,1.0063180773195448,590.5119223594666
72000,71.99999999997974,-56663.22097218185,16944.700096755685,-39718.52087542617,301.98992163140167,44.985891946766046,0.9974664278260083,598.9557945728302
73000,72.99999999998451,-56762.41882744238,16456.89938135201,-40305.51944609037,293.2962947760817,44.497611414987766,1.008411811686451,607.3948237895966
74000,73.99999999998929,-56399.9863354976,16975.6189132444,-39424.3674222532,302.5409594730304,44.59447669152739,1.0062214038993944,615.834944486618
75000,74.99999999999406,-56769.903265316934,16795.094502268912,-39974.80876304802,299.3236376903049,44.33118670131485,1.0121975133450831,624.2684681415558
76000,75.99999999999883,-57138.73459747947,16383.601276786834,-40755.133320692636,291.9899695695585,44.508758408792346,1.0081592600400064,632.7110130786896
77000,77.00000000000361,-56698.00055982081,16862.718633048065,-39835.28192677275,300.52884084160166,44.46213189343655,1.0092164957418843,641.148332118988
78000,78.00000000000838,-57081.67770618343,16818.59465499012,-40263.08305119331,299.74245945983046,44.663518228089906,1.0046659717569346,649.5783672332764
79000,79.00000000001316,-56758.15656487583,17185.70020177205,-39572.45636310378,306.28504650298237,44.77781712257629,1.0021014829703208,658.015969991684
80000,80.00000000001793,-56503.72215270063,16834.142559355685,-39669.57959334495,300.0195555662283,45.240128420980454,0.9918609541766424,666.4308338165283
81000,81.00000000002271,-56834.13354338714,16466.221292745417,-40367.912250641726,293.46243069321656,45.08124227064822,0.9953567089681334,674.824657201767
82000,82.00000000002748,-56878.29200894547,16806.003028938903,-40072.28898000657,299.5180504031517,45.31976181253051,0.9901181106892055,683.2353594303131
83000,83.00000000003226,-56314.93879853955,16979.659835118455,-39335.27896342109,302.6129771347828,45.21516063681609,0.9924086591914242,691.677369594574
84000,84.00000000003703,-56442.135439914426,16834.16837100257,-39607.96706891185,300.0200155836483,44.668415621069386,1.004555821351813,700.1124238967896
85000,85.00000000004181,-56704.79588850386,16718.71834746,-39986.077541043865,297.96245520412634,45.06415606470026,0.9957341013616953,708.5660598278046
86000,86.00000000004658,-56810.45450828689,16767.08957943508,-40043.36492885181,298.82453151530086,45.19012532890344,0.9929584531160305,716.9794459342957
87000,87.00000000005136,-56307.30226829268,16722.4367030782,-39584.86556521448,298.0287240619596,44.91062577185921,0.9991380919662904,725.3769018650055
88000,88.00000000005613,-56587.55398642213,16377.096142459015,-40210.457843963115,291.87403449873153,45.25727527251653,0.9914851628276651,733.7918698787689
89000,89.00000000006091,-56652.084858357346,16838.527404037373,-39813.55745431998,300.09770265022667,45.19000058961272,0.9929611940085187,742.1829304695129
90000,90.00000000006568,-56142.07074164155,17162.030463417068,-38980.040278224486,305.8632023635145,45.416110845535435,0.9880176022848195,750.5819320678711
91000,91.00000000007046,-56484.58197922881,17170.667595429033,-39313.914383799776,306.0171340828438,44.991098209214904,0.9973510033928672,758.9447147846222
92000,92.00000000007523,-56594.7829476595,16935.111625242847,-39659.67132241665,301.8190350565911,44.88903807597952,0.9996185898828345,767.3257343769073
93000,93.00000000008001,-56692.91691597346,16738.830105976023,-39954.08680999743,298.32088871687336,44.357652968412246,1.0115935794588022,775.7253911495209
94000,94.00000000008478,-55921.58579901327,16669.825056585338,-39251.760742427934,297.091074713753,44.34688549070914,1.0118391956095398,784.1573946475983
95000,95.00000000008956,-56560.71733988008,16823.031505546685,-39737.685834333395,299.8215333970626,44.558928258536426,1.0070241519803862,792.5738863945007
96000,96.00000000009433,-56562.28832177283,16889.905216520445,-39672.38310525239,301.0133625011984,44.62237859667266,1.0055922242131095,800.984123468399
97000,97.0000000000991,-56979.23825217928,16983.17906225287,-39996.05918992641,302.6756971074266,44.708166622622045,1.0036626489622726,809.4272346496582
98000,98.00000000010388,-56424.61183719762,17010.72193842615,-39413.889898771464,303.166568646585,44.34540055315867,1.0118730777708882,817.9393112659454
99000,99.00000000010866,-57019.075541133425,16706.085350549663,-40312.99019058376,297.7373088323914,44.92667021936145,0.9987812745439049,826.366676568985
100000,100.00000000011343,-56285.96726701049,16888.59269850996,-39397.37456850053,300.9899706908469,45.17160120115187,0.993365648981318,834.735860824585
101000,101.0000000001182,-56706.35585125272,16647.120053846153,-40059.23579740657,296.68642417649386,45.269693798758304,0.9912131754674757,843.9011068344116
102000,102.00000000012298,-56954.23177964921,16551.093544227904,-40403.13823542131,294.97503135463427,45.26981408083824,0.9912105418100414,853.0555646419525
103000,103.00000000012776,-57005.21426487207,16771.25737428349,-40233.95689058858,298.8988103182576,45.543644757511565,0.9852508990358471,862.2415812015533
104000,104.00000000013253,-56513.16932939366,16515.368035416675,-39997.80129397698,294.33832822359386,45.30726739899395,0.9903911561813566,871.4112105369568
105000,105.0000000001373,-56910.13291692679,16712.5002179905,-40197.63269893629,297.85163515889303,45.71554156785643,0.9815462182834102,880.642008304596
106000,106.00000000014208,-56911.513757032684,16761.26118358997,-40150.25257344272,298.72065733668154,45.63000205004971,0.983386257434074,889.8977103233337
107000,107.00000000014685,-56424.93816987529,16703.56538836209,-39721.3727815132,297.69239784670305,45.84149140836944,0.9788494127072639,899.0917789936066
108000,108.00000000015163,-56632.339037581296,16655.158173397114,-39977.18086418418,296.82968024354716,45.97629800093075,0.9759793392195067,908.2745153903961
109000,109.0000000001564,-56351.955778492375,16952.531865632536,-39399.42391285984,302.12950009876016,45.83151085788616,0.9790625729499919,917.4824171066284
110000,110.00000000016118,-57039.514306984885,17048.377809462585,-39991.1364975223,303.83767486140863,45.69792865448628,0.9819245262072139,926.6780579090118
111000,111.00000000016595,-57088.2581847045,17142.10162196487,-39946.156562739634,305.5080288146179,44.991818821795604,0.997335029295815,935.8315417766571
112000,112.00000000017073,-56942.57276900241,16870.211570898016,-40072.361198104394,300.66238063287415,45.43282918631862,0.987654032256921,945.0040118694305
113000,113.0000000001755,-56760.04040341322,16267.22271820398,-40492.817685209244,289.9158607576392,45.27763304149501,0.9910393704013708,954.2271637916565
114000,114.00000000018028,-57432.515711019565,16815.922209562363,-40616.5935014572,299.6948309045486,45.381838970295156,0.9887637425199669,963.4954769611359
115000,115.00000000018505,-56545.704369991625,16990.643093749826,-39555.0612762418,302.80872172715715,45.152814258483346,0.993778963274187,972.6531937122345
116000,116.00000000018983,-57188.594221250016,16742.03302998674,-40446.561191263274,298.37797150768483,45.36847380792567,0.9890550238185133,981.8196272850037
117000,117.0000000001946,-56542.05322967109,17149.076152918547,-39392.97707675254,305.6323295130126,45.27036955980285,0.9911983794042376,991.0087537765503
118000,118.00000000019938,-56784.90245015738,16529.712778900353,-40255.18967125703,294.5939814919151,45.08598298327002,0.9952520489429733,1000.1997625827789
119000,119.00000000020415,-56267.33296779047,16337.925345453465,-39929.40762233701,291.1759291412805,44.878489076185524,0.9998535571581553,1009.3713629245758
120000,120.00000000020893,-56605.73152167855,16728.67321765048,-39877.05830402807,298.1398717680967,44.662754772292054,1.004683145307132,1018.5498991012573
