#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-56546.81578635862,16652.151269103328,-39894.66451725529,296.77609093321126,44.740711515177644,1.0029325735574268,0.0007700920104980469
2000,1.9999999999998905,-56955.73479158059,16809.568705088364,-40146.16608649222,299.5815981941889,44.52919174298667,1.0076966409293702,8.149072408676147
3000,2.9999999999997806,-56900.015089815985,16709.071254368788,-40190.94383544719,297.79052387043794,44.567247062125176,1.0068361835353583,16.360217332839966
4000,3.9999999999996705,-56527.28086595122,16721.225685347596,-39806.055180603624,298.00714119844054,44.31448471659389,1.012579007285735,24.631295919418335
5000,5.000000000000004,-56329.702533710944,16581.660658025987,-39748.041875684954,295.51980112026433,44.434318909382256,1.0098481994113082,32.924479961395264
6000,6.000000000000338,-56668.787444799695,16701.56988164724,-39967.21756315246,297.6568337521488,44.63784844385019,1.0052437226931257,41.23222088813782
7000,7.000000000000672,-56123.34647511558,16436.781988739498,-39686.56448637608,292.9377608519762,44.748064446565074,1.0027677732584466,49.6012864112854
8000,8.000000000001005,-56842.871324435735,16636.699940687366,-40206.17138374837,296.50071601180264,44.62151125897693,1.0056117705713117,57.96588206291199
9000,9.000000000000451,-56428.06752764983,16512.52915669573,-39915.5383709541,294.28773347965836,44.348741911927625,1.0117968404113664,66.35018467903137
10000,9.999999999999897,-56950.31254159129,16419.837176096993,-40530.47536549429,292.6357689245446,44.395108247404615,1.0107401178671702,74.7316267490387
11000,10.999999999999343,-56485.78252329408,16425.68957849586,-40060.09294479822,292.7400709500569,44.905076577943,0.9992615615479927,83.126708984375
12000,11.999999999998789,-56401.52388579609,16761.743439783797,-39639.780446012286,298.72925214859015,44.42320737367093,1.0101007918060085,91.55708503723145
13000,12.999999999998234,-56331.27468958648,16902.363903107183,-39428.91078647929,301.2354022991574,44.42864164823664,1.0099772416627206,100.00442337989807
14000,13.99999999999768,-55909.62758341868,16789.041961986626,-39120.58562143205,299.215768789995,44.6148126597765,1.0057627560803997,108.52486944198608
15000,14.999999999997126,-56457.5081437813,16440.865550093466,-40016.64259368784,293.0105384382551,44.52900754788783,1.0077008092859674,116.9714994430542
16000,15.999999999996572,-56597.11388247498,16628.462352925177,-39968.6515295498,296.3539050049078,44.4428168193071,1.0096551063616204,125.42053294181824
17000,16.999999999997794,-56650.71529624354,16725.21593698519,-39925.49935925835,298.0782558108235,44.630707275877185,1.0054045674279668,133.86739492416382
18000,17.999999999999016,-56671.10560758632,16641.119256545713,-40029.986351040614,296.5794774441152,44.54142088388981,1.0074199711697398,142.34566688537598
19000,19.000000000000238,-56802.08073798356,16409.12052789696,-40392.9602100866,292.4447758865092,44.658648340817116,1.0047755274692334,150.79523944854736
20000,20.00000000000146,-56673.64605869993,16849.170921748657,-39824.475136951274,300.2873923503193,44.90304455943069,0.9993067815995869,159.2576858997345
21000,21.000000000002682,-56691.57275863405,16508.200941261053,-40183.371817373,294.21059564703467,44.897358033631754,0.9994333499333039,167.7017126083374
22000,22.000000000003904,-57284.228188646855,16525.88360886793,-40758.344579778925,294.5257376899356,44.49013244569924,1.0085813297470905,176.14664793014526
23000,23.000000000005127,-56632.87086484703,16504.502458275692,-40128.36840657133,294.1446809609956,44.7093956019854,1.00363506011508,184.6081748008728
24000,24.00000000000635,-56617.57561045108,16465.04215363031,-40152.53345682077,293.44141597316076,44.562332102714095,1.006947231560499,193.09466814994812
25000,25.00000000000757,-56761.76466990463,16584.67746751785,-40177.087202386785,295.5735669619034,44.85038800210826,1.000480016819436,201.55137872695923
26000,26.000000000008793,-56235.61470839067,16774.031643286387,-39461.58306510428,298.94825358216815,44.871441665739056,1.0000105919701,210.0223433971405
27000,27.000000000010015,-57030.30591812507,17030.77037355097,-39999.5355445741,303.52387360433613,45.19020315476459,0.9929567430585116,218.48364305496216
