Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:29.449756
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));
4.0*epsilon4*(frac^6)*((frac^6) - 1.0) + epsilon4;	                frac = sigma4/(r- bubble4 + sigma4*(2^(1/6)));	                r = min(bubble4,abs(periodicdistance(x, y, z, x4, y4, z4)));
4.0*epsilon5*(frac^6)*((frac^6) - 1.0) + epsilon5;	                frac = sigma5/(r- bubble5 + sigma5*(2^(1/6)));	                r = min(bubble5,abs(periodicdistance(x, y, z, x5, y5, z5)));

System Time is: 2023-03-23 19:35:37.608817
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:38.382766
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
1000,-39894.66451725529,--
2000,-40146.16608649222,1:7:41:00
3000,-40190.94383544719,1:7:48:11
4000,-39806.055180603624,1:7:55:09
5000,-39748.041875684954,1:7:59:51
6000,-39967.21756315246,1:8:03:18
7000,-39686.56448637608,1:8:07:56
8000,-40206.17138374837,1:8:11:03
9000,-39915.5383709541,1:8:13:56
10000,-40530.47536549429,1:8:16:04
11000,-40060.09294479822,1:8:18:04
12000,-39639.780446012286,1:8:20:26
13000,-39428.91078647929,1:8:22:42
14000,-39120.58562143205,1:8:25:55
15000,-40016.64259368784,1:8:27:25
16000,-39968.6515295498,1:8:28:44
17000,-39925.49935925835,1:8:29:51
18000,-40029.986351040614,1:8:31:14
19000,-40392.9602100866,1:8:32:05
20000,-39824.475136951274,1:8:32:59
21000,-40183.371817373,1:8:33:34
22000,-40758.344579778925,1:8:34:06
23000,-40128.36840657133,1:8:34:44
24000,-40152.53345682077,1:8:35:33
25000,-40177.087202386785,1:8:36:01
26000,-39461.58306510428,1:8:36:33
27000,-39999.5355445741,1:8:36:57
28000,-40438.36279376204,1:8:37:24
29000,-39463.72000392584,1:8:37:52
30000,-40093.16873543413,1:8:38:21
31000,-40696.323849673085,1:8:39:11
32000,-40202.62502017395,1:8:39:46
33000,-39333.337706886494,1:8:40:10
34000,-39713.54442143054,1:8:40:38
35000,-40351.21085803668,1:8:40:55
36000,-39593.625825292824,1:8:41:01
37000,-39710.98665258211,1:8:41:03
38000,-40022.729317397825,1:8:41:04
39000,-39558.971652672626,1:8:41:03
40000,-39887.784173496904,1:8:41:02
41000,-39457.31275706917,1:8:40:57
42000,-40297.9542370727,1:8:40:57
43000,-39850.35328113497,1:8:40:50
44000,-40068.76790882385,1:8:40:50
45000,-39962.23373108942,1:8:40:51
46000,-39007.9499446428,1:8:40:54
47000,-40250.80162603129,1:8:40:56
48000,-40141.92059876605,1:8:40:54
49000,-40708.542155300034,1:8:40:55
50000,-39992.9768250728,1:8:40:56
51000,-40063.16431156719,1:8:40:52
52000,-40237.55712174671,1:8:40:49
53000,-39653.9554089474,1:8:40:50
54000,-39875.29923642441,1:8:40:56
55000,-39931.172857422025,1:8:40:57
56000,-39947.574162392644,1:8:41:00
57000,-39969.23765614313,1:8:40:57
58000,-39518.108440175085,1:8:41:09
59000,-40333.43876598867,1:8:41:18
60000,-39470.67959287808,1:8:41:27
61000,-39581.77316404351,1:8:41:38
62000,-39960.08343533499,1:8:41:54
63000,-40603.063841965864,1:8:42:08
64000,-40158.92184543166,1:8:42:15
65000,-39464.79214291742,1:8:42:31
66000,-39681.758925758055,1:8:42:37
67000,-39575.80183194998,1:8:42:35
68000,-39864.736780454856,1:8:42:33
69000,-39845.2299044934,1:8:42:50
70000,-39576.74274346792,1:8:43:10
71000,-40117.25952059262,1:8:43:23
72000,-39923.91090058752,1:8:43:24
73000,-40281.533655678315,1:8:43:29
74000,-39605.956613197995,1:8:43:46
75000,-39986.92706134987,1:8:43:41
76000,-39576.68560503668,1:8:43:34
77000,-39522.06851120465,1:8:43:36
78000,-40118.023784795165,1:8:43:34
79000,-39724.93956285147,1:8:43:33
80000,-39269.35233759241,1:8:43:26
81000,-39271.70100812147,1:8:43:22
82000,-39605.53588958077,1:8:43:15
83000,-39513.4087298469,1:8:43:06
84000,-39719.32035500317,1:8:43:01
85000,-38984.39452164626,1:8:42:55
86000,-39722.713497344186,1:8:42:43
87000,-40056.28229521918,1:8:42:32
88000,-39930.93772864849,1:8:42:20
89000,-40056.70889840904,1:8:42:10
90000,-39491.32361961381,1:8:41:58
91000,-39704.71004917247,1:8:41:47
92000,-39716.27615748708,1:8:41:48
93000,-40021.10031554737,1:8:41:38
94000,-39887.92736878325,1:8:41:29
95000,-39817.24298447864,1:8:41:22
96000,-39354.576125802036,1:8:41:12
97000,-40043.15439933232,1:8:41:02
98000,-39811.85465899148,1:8:40:56
99000,-40397.041222821266,1:8:40:52
100000,-40339.9910698968,1:8:40:49

System Time is: 2023-03-23 19:49:44.960130
Starting production...

101000,-39924.24771447672,1:8:42:24
102000,-39977.25496789435,1:8:43:56
103000,-39300.27873465308,1:8:45:25
104000,-40269.39144233108,1:8:46:50
105000,-39123.379392261646,1:8:48:15
106000,-39642.723280912105,1:8:49:42
107000,-39870.45033817613,1:8:51:10
108000,-39962.08615657395,1:8:52:36
109000,-40397.189504363414,1:8:53:57
110000,-40233.06547760861,1:8:55:19
111000,-40004.64744275716,1:8:56:40
112000,-39706.00461301072,1:8:58:01
113000,-40023.917568759614,1:8:59:22
114000,-40181.36369376565,1:9:00:32
115000,-39936.06551726455,1:9:01:47
116000,-40252.37090315857,1:9:02:54
117000,-40238.172329896624,1:9:03:59
118000,-39213.656133888195,1:9:05:06
119000,-40270.72820301347,1:9:06:11
120000,-40519.72280839398,1:9:07:15
121000,-39562.13218752874,1:9:08:19
122000,-39769.92256435355,1:9:09:26
123000,-40351.88529679245,1:9:10:29
124000,-39544.569697628496,1:9:11:35
125000,-39214.94623924079,1:9:12:37
126000,-39222.470883388785,1:9:13:35
127000,-39746.51354530304,1:9:14:35
128000,-40421.5941109823,1:9:15:32
129000,-39481.59240803495,1:9:16:32
130000,-40020.36978624441,1:9:17:33
131000,-39908.69495618363,1:9:18:33
132000,-40132.42784828754,1:9:19:30
133000,-39980.06935442319,1:9:20:28
134000,-39218.79690729249,1:9:21:31
135000,-39817.80671134517,1:9:22:26
136000,-39946.9478959853,1:9:23:27
137000,-39634.81188497789,1:9:24:29
138000,-39797.9018112471,1:9:25:27
139000,-39183.06179541692,1:9:26:17
140000,-39237.926101048404,1:9:27:08
141000,-39587.494443870666,1:9:28:04
142000,-39301.623794758794,1:9:28:56
143000,-40136.761013548414,1:9:29:50
144000,-39654.29306496355,1:9:30:36
145000,-39629.50875139682,1:9:31:19
146000,-39938.60733011186,1:9:32:05
147000,-40111.88339724722,1:9:32:47
148000,-39636.76727064524,1:9:33:29
149000,-39843.749635159475,1:9:34:14
150000,-40279.0934997798,1:9:34:55
151000,-39541.26720803433,1:9:35:34
152000,-40041.769863225374,1:9:36:16
153000,-39416.83732007435,1:9:36:59
154000,-39908.40502554506,1:9:37:39
155000,-40087.25797322472,1:9:38:15
156000,-40062.62015759133,1:9:38:53
157000,-40255.156943511334,1:9:39:28
158000,-39671.616985588655,1:9:39:59
159000,-39791.659742577336,1:9:40:29
160000,-40276.40500199471,1:9:41:01
161000,-40375.69551025903,1:9:41:30
162000,-39485.182785546014,1:9:41:59
163000,-39976.41961620765,1:9:42:29
164000,-39899.9871308014,1:9:43:03
165000,-39365.76044298081,1:9:43:35
166000,-39336.63882712374,1:9:44:09
167000,-39963.99352120964,1:9:44:41
168000,-39379.758634430415,1:9:45:09
169000,-40206.71773325103,1:9:45:37
170000,-40161.32060355903,1:9:46:03
171000,-40126.30053673135,1:9:46:34
172000,-39814.24806995272,1:9:47:10
173000,-39985.96823624622,1:9:47:46
174000,-39802.044189338245,1:9:48:18
175000,-40215.27848381472,1:9:48:48
176000,-40087.17402913465,1:9:49:18
177000,-39103.74373177157,1:9:49:46
178000,-39976.602618642064,1:9:50:10
179000,-39482.07300522676,1:9:50:31
180000,-39121.534046640205,1:9:50:53
181000,-39633.284300942134,1:9:51:18
182000,-39643.450990643985,1:9:51:37
183000,-39469.56698072207,1:9:51:56
184000,-39817.887014176915,1:9:52:15
185000,-39477.85039292004,1:9:52:33
186000,-39832.61159371855,1:9:52:49
187000,-39924.088886929116,1:9:53:06
188000,-40030.23193154503,1:9:53:26
189000,-39767.2933187758,1:9:53:44
190000,-40150.662090490616,1:9:54:00
191000,-40129.393366180426,1:9:54:20
192000,-40502.90843826132,1:9:54:40
193000,-39936.66229488431,1:9:54:55
194000,-40931.07243175306,1:9:55:10
195000,-40885.368018647,1:9:55:26
196000,-40822.67831523958,1:9:55:41
197000,-40344.480725683694,1:9:55:57
198000,-40109.599553041124,1:9:56:13
199000,-39850.006190677006,1:9:56:28
200000,-39495.871736110435,1:9:56:43
201000,-39693.81158564385,1:9:56:58
202000,-39516.257806057445,1:9:57:11
203000,-39239.85089885056,1:9:57:24
204000,-40760.08255574148,1:9:57:38
205000,-39458.73521098054,1:9:57:50
206000,-39409.304318972536,1:9:58:03
207000,-39829.678239399145,1:9:58:20
208000,-40464.72669877816,1:9:58:42
209000,-40318.15410201971,1:9:59:03
210000,-39986.00561898259,1:9:59:20
211000,-40447.605841707824,1:9:59:40
212000,-39958.53532632702,1:10:00:02
213000,-40062.74290472213,1:10:00:19
214000,-39948.5827118382,1:10:00:37
215000,-40184.98314021123,1:10:00:54
216000,-40041.65805613852,1:10:01:10
217000,-39581.28333199056,1:10:01:29
218000,-39580.4274999907,1:10:01:52
219000,-40395.27696749392,1:10:02:11
220000,-40219.54154735416,1:10:02:29
221000,-39177.4264676405,1:10:02:47
222000,-40451.320112261354,1:10:03:04
223000,-39835.38884021182,1:10:03:21
224000,-39828.90091722591,1:10:03:35
225000,-39981.52035607492,1:10:03:52
226000,-39216.95476211331,1:10:04:09
227000,-39881.06233009588,1:10:04:24
228000,-40458.46617305343,1:10:04:39
