#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-55985.13434944144,16573.10992826818,-39412.024421173264,295.36740926943736,47.20072321951,0.950661639950468,0.0007443428039550781
2000,1.9999999999998905,-56115.692079953995,16619.147624022564,-39496.544455931435,296.18789709474976,46.0647042058915,0.9741062645740068,8.17257809638977
3000,2.9999999999997806,-56272.956783168964,16480.907673905935,-39792.049109263025,293.7241726579836,45.5791787564093,0.9844827872506954,16.370197534561157
4000,3.9999999999996705,-56811.02326035057,16638.700528354486,-40172.322731996086,296.53637065953086,45.42129793809172,0.9879047711024683,24.597973108291626
5000,5.000000000000004,-57068.55118527142,16482.062768054784,-40586.488417216635,293.74475884655567,44.58669943368142,1.006396919095802,32.918941497802734
6000,6.000000000000338,-56424.66845787269,16509.406858939466,-39915.261598933226,294.2320876169792,45.47812181597959,0.9866704065808831,41.215728998184204
7000,7.000000000000672,-56774.987231811196,16727.104686482307,-40047.88254532889,298.1119172689408,45.17215783544038,0.9933534082248932,49.49258780479431
8000,8.000000000001005,-56282.12187014178,16761.051172534193,-39521.07069760759,298.71691450134574,45.516824803654394,0.9858314400503811,57.78180766105652
9000,9.000000000000451,-56486.280957565206,16425.613418340836,-40060.66753922437,292.7387136171377,45.48300997876168,0.986564366862714,66.06991744041443
10000,9.999999999999897,-56600.49598002352,16500.42328748672,-40100.07269253681,294.07198162374857,45.17383500010314,0.9933165280876655,74.35492038726807
11000,10.999999999999343,-56784.494864734384,17219.823845851894,-39564.671018882495,306.8932010611986,45.068466505534545,0.9956388673041962,82.66961479187012
12000,11.999999999998789,-56824.76872634404,16820.73057942471,-40004.03814691932,299.7805260912214,44.91240911730255,0.99909841900288,90.9795880317688
13000,12.999999999998234,-57483.610567732205,16996.252407111504,-40487.3581606207,302.90869139866663,44.85487646097548,1.0003799025451974,99.2891697883606
14000,13.99999999999768,-57079.7564035578,16529.953177610303,-40549.8032259475,294.5982658986714,45.16409378050944,0.9935307716075993,107.58914160728455
15000,14.999999999997126,-57098.70888567407,16473.072554102437,-40625.63633157163,293.5845344701184,45.096454043750406,0.9950209588358088,115.94138216972351
16000,15.999999999996572,-57731.232069189144,16451.651085365957,-41279.58098382319,293.2027591876985,44.48390405018798,1.0087225458467353,124.2957215309143
17000,16.999999999997794,-57255.14247880704,16697.39599449115,-40557.746484315896,297.58244637155383,45.013078145518875,0.9968639957846248,132.64490151405334
18000,17.999999999999016,-57067.03488057997,17003.49752452847,-40063.5373560515,303.03781451258817,45.096020791104905,0.9950305183369618,140.99262642860413
19000,19.000000000000238,-56558.04662031697,16429.740080575844,-40128.30653974113,292.8122593510742,44.83281055922706,1.0008722715125966,149.29807329177856
20000,20.00000000000146,-57263.9221262261,16619.002749100935,-40644.91937712516,296.1853151212725,44.828785884741144,1.0009621286214903,157.59372782707214
21000,21.000000000002682,-56415.32427143974,16740.302370985773,-39675.02190045397,298.3471275521656,44.83535950577038,1.0008153706659235,165.87199997901917
22000,22.000000000003904,-57145.921655593156,16811.55885018434,-40334.36280540882,299.6170667335044,44.77604829988734,1.00214106975627,174.17659521102905
23000,23.000000000005127,-57374.7485779047,16752.1773078404,-40622.5712700643,298.5587637115328,44.57957321958205,1.006557795465773,182.52369904518127
24000,24.00000000000635,-57001.361551853435,16814.30825204266,-40187.053299810774,299.6660668129974,44.92132490412438,0.9989001223467402,190.88278102874756
25000,25.00000000000757,-56554.62066250685,17084.98761425122,-39469.63304825564,304.49013799241305,44.430989025488614,1.00992388256237,199.2276668548584
26000,26.000000000008793,-57095.08912623388,16668.588268002193,-40426.50085823168,297.0690325598544,44.349850055395166,1.0117715592422583,207.65923738479614
27000,27.000000000010015,-56729.00238231278,16466.501560995406,-40262.50082131737,293.4674256583896,44.451478559405636,1.0094583666714256,216.04622173309326
28000,28.000000000011237,-56924.182203842036,16702.855097953896,-40221.32710588814,297.67973898915574,44.446072310957305,1.0095811532855115,224.40283203125
29000,29.00000000001246,-57097.43256311105,16272.091969342213,-40825.34059376884,290.0026409757158,44.431723511413296,1.009907187849266,232.79984259605408
30000,30.00000000001368,-56764.581939966556,17028.817492472284,-39735.76444749427,303.48906918758394,44.79692355659559,1.0016740744711448,241.18303728103638
31000,31.000000000014904,-57157.83079530404,16412.660626253113,-40745.17016905093,292.5078678278854,44.19806337442753,1.0152462238576243,249.53603625297546
32000,32.00000000001612,-57373.82604881045,16722.70757058377,-40651.11847822668,298.0335514862464,44.48637109897789,1.00866660584366,257.96230030059814
33000,33.00000000001379,-56762.11185194319,16453.3992036303,-40308.712648312896,293.23391430373107,44.304189650280776,1.0128143025954914,266.3182897567749
34000,34.00000000001146,-57307.24075204389,17231.188212723653,-40076.05253932023,307.0957377978417,44.42937323734218,1.009960611035435,274.6862008571625
35000,35.00000000000913,-57096.15653678414,16706.99369706311,-40389.16283972103,297.7534974631044,44.410153949857644,1.0103976895322462,283.00739002227783
36000,36.0000000000068,-57588.79499651815,16985.770871154877,-40603.02412536327,302.72188855152007,44.11392302642838,1.0171826458468685,291.3803548812866
37000,37.00000000000447,-57004.85503992131,16804.687065937676,-40200.16797398364,299.494597195875,44.664575742980595,1.004642184466725,299.708788394928
38000,38.00000000000214,-56835.27927220824,17091.779562787735,-39743.4997094205,304.6111846910595,44.141383059062846,1.0165498639375932,308.0667316913605
