#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-55596.114111732,16401.85311804013,-39194.260993691874,292.31525547478185,46.33669470983859,0.9683883847066879,0.0007271766662597656
2000,1.9999999999998905,-55366.0883896308,17332.55102979011,-38033.53735984069,308.9022347560321,45.92393290421904,0.9770922067213699,8.2729172706604
3000,2.9999999999997806,-56448.4566816769,16858.248541539324,-39590.208140137576,300.4491744812234,45.58856547133497,0.9842800816121738,16.605537176132202
4000,3.9999999999996705,-56373.26651637736,16720.31803279371,-39652.94848358365,297.99096493553526,45.517668328941085,0.9858131707984923,24.9581401348114
5000,5.000000000000004,-57002.742680029034,16664.948885639318,-40337.79379438971,297.0041711702591,45.473750295286365,0.9867652580077337,33.38611555099487
6000,6.000000000000338,-56697.44570828988,16690.74851695502,-40006.69719133486,297.46397444766495,46.20485719611023,0.9711515123237967,41.78037428855896
7000,7.000000000000672,-57261.549889227856,16551.721616408497,-40709.82827281936,294.98622491176496,45.65529487654074,0.9828414659033174,50.20331048965454
8000,8.000000000001005,-57204.83770035192,16919.481804073777,-40285.35589627814,301.5404790217832,45.62531743441345,0.9834872273976187,58.644129276275635
9000,9.000000000000451,-56787.65577701283,16790.076733563154,-39997.579043449674,299.23421057919853,45.286524398221786,0.9908447940966175,67.16051125526428
10000,9.999999999999897,-57519.48684593971,16872.01941543507,-40647.46743050464,300.6946001957433,45.06281684316872,0.9957636935763341,75.64458990097046
11000,10.999999999999343,-56811.175151686984,16596.749730053405,-40214.42542163358,295.78871987675046,45.302530022294704,0.9904947233769223,84.12218070030212
12000,11.999999999998789,-57140.58701894877,16940.258185731935,-40200.32883321683,301.9107575060824,45.12755689134599,0.9943351697665801,92.65279126167297
13000,12.999999999998234,-56505.041084263474,16706.66165134883,-39798.37943291465,297.74757971545114,45.22362806185692,0.9922228460160618,101.26067042350769
14000,13.99999999999768,-57020.12469069641,16542.978015385022,-40477.146675311385,294.8303956924351,44.88473492509575,0.999714424460574,109.80229926109314
15000,14.999999999997126,-57209.03566628673,16636.770543360315,-40572.265122926416,296.501974298792,44.973102010390484,0.9977500980995354,118.35638475418091
16000,15.999999999996572,-57060.2389678768,16727.207742712282,-40333.03122516452,298.1137539460513,45.18822153477322,0.9930002867711379,126.94110631942749
17000,16.999999999997794,-56990.03349319089,16739.507820263876,-40250.52567292701,298.3329669999653,45.529864791125945,0.9855490928550558,135.45165467262268
18000,17.999999999999016,-56698.48195600653,16899.34295588005,-39799.13900012648,301.18156271443974,45.22179837129695,0.9922629917165898,144.05287766456604
19000,19.000000000000238,-56929.822611121475,16512.152669076007,-40417.66994204547,294.28102368449373,44.851906318000694,1.0004461488117127,152.57564067840576
20000,20.00000000000146,-56889.86267403873,16544.779568184764,-40345.08310585397,294.8625031234137,45.142533174554266,0.9940052936152176,161.0743911266327
21000,21.000000000002682,-56659.1282344928,16616.578918681607,-40042.54931581119,296.14211740433444,45.13360358372054,0.9942019555223944,169.5556674003601
22000,22.000000000003904,-56997.419743210936,16728.499368857152,-40268.92037435378,298.13677341975335,44.29928274200191,1.0129264892174579,178.0130033493042
23000,23.000000000005127,-56881.2210445303,16721.25677065655,-40159.964273873746,298.0076952035254,44.50040223207511,1.0083485697206716,186.49172568321228
24000,24.00000000000635,-57125.292255271896,16473.051387617732,-40652.24086765417,293.58415723918364,44.3006285946194,1.0128957165216728,195.0076506137848
25000,25.00000000000757,-56569.00957569304,16895.644831639453,-39673.364744053586,301.11565442198105,44.82817191074299,1.0009758379630476,203.47104668617249
26000,26.000000000008793,-56583.494998223374,16675.667913352205,-39907.82708487117,297.19520661618,45.012398890769624,0.9968790388532055,211.95929288864136
27000,27.000000000010015,-56722.72250437556,16545.40766584387,-40177.31483853169,294.87369713462476,44.85162428003634,1.000452439861363,220.45119833946228
28000,28.000000000011237,-57182.357238151235,16597.849721844228,-40584.50751630701,295.8083240262963,45.090950217369084,0.9951424116456701,228.92026233673096
29000,29.00000000001246,-56576.16211549773,17023.305904779005,-39552.85621071873,303.3908411914522,45.26288524879472,0.9913622760913675,237.4219446182251
30000,30.00000000001368,-57137.659158179544,16933.753734250044,-40203.9054239295,301.794834604995,45.175569476323,0.9932783905740329,245.88751578330994
