#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-55167.975053142334,16433.162243468065,-38734.81280967427,292.8732494363357,46.46561422964211,0.9657015771047762,0.0007500648498535156
2000,1.9999999999998905,-55649.24650569459,17191.590264205457,-38457.65624148913,306.3900197089118,46.47734516300921,0.9654578329577344,8.273136615753174
3000,2.9999999999997806,-56275.782461949246,16902.604650858037,-39373.17781109121,301.23969292655113,46.005994620505376,0.9753493498585858,16.61594319343567
4000,3.9999999999996705,-56244.28506303903,17004.639059804114,-39239.64600323491,303.05815905374044,45.798370934110025,0.9797710273857687,24.968687772750854
5000,5.000000000000004,-56536.33172641445,16500.275578675326,-40036.056147739124,294.06934914444105,45.535942987355654,0.9854175404947136,33.3078773021698
6000,6.000000000000338,-56419.7115713964,16831.06405731335,-39588.64751408305,299.96469023457894,45.31626614434989,0.9901944877756046,41.71860647201538
7000,7.000000000000672,-56716.99657722332,16755.295913050864,-39961.70066417246,298.61434376533896,45.11279684683126,0.9946604972211855,50.1225688457489
8000,8.000000000001005,-56865.04116807946,16864.666325959523,-40000.374842119934,300.5635527943854,45.03361386634958,0.996409417105144,58.52460479736328
9000,9.000000000000451,-56540.49032127462,16973.9124580879,-39566.57786318672,302.5105468805362,45.38400887534609,0.9887164676429288,66.95876932144165
10000,9.999999999999897,-56542.76776314221,16663.91268422594,-39878.85507891627,296.9857038983786,45.656230272892124,0.9828213296302237,75.35318613052368
11000,10.999999999999343,-57315.88045531579,16623.74509704958,-40692.13535826621,296.26983365964634,45.79946529457511,0.9797476161369626,83.77036762237549
12000,11.999999999998789,-56842.74027257599,16439.617310649308,-40403.12296192668,292.9882922061137,45.41703620785788,0.9879974716391543,92.18187141418457
13000,12.999999999998234,-57209.65421149613,16497.972350336593,-40711.68186115954,294.0283008082922,45.19171331531657,0.9929235616632248,100.59012198448181
14000,13.99999999999768,-57154.09536063913,17017.13565875719,-40136.95970188193,303.2808745291959,45.09233606302631,0.9951118274287075,109.00257706642151
15000,14.999999999997126,-56474.53166604387,16391.654394832072,-40082.87727121179,292.1334929410837,45.48649084475883,0.9864888697580826,117.4378252029419
16000,15.999999999996572,-56943.41366553643,16653.172769155604,-40290.24089638083,296.7942961961532,45.12092190073368,0.9944813858508038,125.87780022621155
17000,16.999999999997794,-56662.09196644588,16671.41156470654,-39990.68040173934,297.11934959973235,45.10917919730494,0.9947402666415265,134.30483293533325
18000,17.999999999999016,-56525.403917891745,16440.586880162,-40084.81703772974,293.00557195845414,44.91912595860684,0.9989490219390548,142.7065441608429
19000,19.000000000000238,-57078.796106231785,16782.79022187309,-40296.005884358696,299.10434973293485,45.4950774950911,0.9863026818131957,151.10558676719666
20000,20.00000000000146,-56591.413966441,16923.387667625913,-39668.02629881509,301.61008966235386,45.05886483140691,0.9958510297718577,159.5394344329834
21000,21.000000000002682,-57075.279152963376,16310.527183768041,-40764.751969195335,290.6876367163346,45.16532051162357,0.99350378640974,168.0231328010559
22000,22.000000000003904,-57425.70895422951,16588.51117807937,-40837.19777615013,295.6418916855881,44.8753770495734,0.9999228952023721,176.45459175109863
23000,23.000000000005127,-56830.96891107099,17007.88619349276,-39823.08271757823,303.11602975328435,45.04024497373651,0.9962627194606256,184.89709758758545
24000,24.00000000000635,-57121.96495419793,16760.523064006924,-40361.44189019101,298.7075025051551,45.264081477376344,0.9913360766004976,193.38175320625305
25000,25.00000000000757,-56775.36084371216,17226.662391024594,-39548.69845268756,307.0150782091555,44.955267149777455,0.9981459301133226,201.80554151535034
26000,26.000000000008793,-56907.35045051038,16529.267940574002,-40378.08250993637,294.586053544501,45.232421665639876,0.9920299486594543,210.23513889312744
27000,27.000000000010015,-57112.38411323253,16693.52318666919,-40418.86092656334,297.5134248530868,45.30587765582474,0.9904215361103057,218.68819975852966
28000,28.000000000011237,-56918.96559610905,16982.970800551284,-39935.994795557766,302.6719854492336,45.0504067258548,0.9960379984084616,227.13557863235474
29000,29.00000000001246,-57273.6775919414,16848.34573609234,-40425.33185584906,300.2726858196484,45.2751522996246,0.9910936719936683,235.55236077308655
30000,30.00000000001368,-56523.46862070499,16377.323235188001,-40146.14538551699,291.8780817651356,45.470961169270986,0.98682578482708,243.95182085037231
31000,31.000000000014904,-56899.035391095706,16827.359997988675,-40071.67539310703,299.8986761665347,45.43269425227453,0.9876569655664008,252.3812940120697
32000,32.00000000001612,-56262.54706308809,16723.830318122873,-39538.71674496522,298.0535611907209,45.20506456778503,0.9926303030807985,260.8303029537201
33000,33.00000000001379,-57035.34720776108,16602.098874325555,-40433.24833343552,295.8840527920761,44.5113074500895,1.0081015255061283,269.2786545753479
34000,34.00000000001146,-56917.54056037132,16816.217025102083,-40101.32353526924,299.70008513278685,44.48621212246795,1.0086702104278455,277.7214951515198
35000,35.00000000000913,-56407.460948485525,16978.974339323595,-39428.48660916193,302.6007601689949,44.946900820115886,0.9983317230767819,286.1929795742035
36000,36.0000000000068,-57103.646922246524,16617.583041943828,-40486.063880302696,296.16001297660983,44.47590607038554,1.008903941646411,294.61339020729065
37000,37.00000000000447,-56294.04900870798,16765.163292646655,-39528.885716061326,298.7902010643071,44.68238524718026,1.0042417542053492,303.08754444122314
38000,38.00000000000214,-56604.34987243878,16817.58208036175,-39786.76779207704,299.72441326657116,44.44771880900166,1.0095437548893949,311.54120659828186
39000,38.99999999999981,-56625.801673099966,16726.62000023091,-39899.18167286906,298.1032791483343,44.47159023782862,1.009001852705019,319.97785997390747
40000,39.99999999999748,-57313.53837506094,16724.243020949096,-40589.29535411185,298.06091641645145,44.4094314924138,1.0104141267913487,328.42965865135193
41000,40.99999999999515,-56659.167413308955,16695.26581639303,-39963.90159691592,297.54448215187216,44.814538172172476,1.0012803606346359,336.8539037704468
42000,41.999999999992816,-56812.095716985066,16842.05678450602,-39970.038932479045,300.1606035764779,45.24645042568994,0.9917223676231235,345.32982873916626
43000,42.999999999990486,-56801.71766306271,16976.80029884131,-39824.9173642214,302.56201423008065,45.29963176258346,0.9905580949947317,353.83230423927307
44000,43.999999999988155,-57155.505560149235,16474.358063983134,-40681.1474961661,293.60744493922743,45.09652307788677,0.9950194356493662,362.3154001235962
45000,44.999999999985825,-56978.74033443181,17092.57312649043,-39886.16720794138,304.62532765251757,45.26067010562813,0.9914107952442296,370.7851984500885
46000,45.999999999983494,-56850.797989158295,17147.96562678704,-39702.83236237125,305.61253761952923,45.356086906974916,0.989325138095347,379.2845115661621
47000,46.99999999998116,-56712.26523260114,16838.036899370607,-39874.22833323053,300.0889608333146,44.86227110819923,1.000215009946443,387.7594327926636
48000,47.99999999997883,-56966.98665246972,16741.985337264767,-40225.00131520495,298.3771215238381,45.26832834954055,0.9912430738822043,396.2329475879669
49000,48.9999999999765,-56443.92185719773,16652.371550585416,-39791.55030661232,296.7800168089797,45.021750679987726,0.9966719699918998,404.6998293399811
50000,49.99999999997417,-56742.72747233381,16725.959448436613,-40016.768023897195,298.09150673669797,45.136363054525155,0.9941411736807819,413.1649649143219
51000,50.99999999997184,-57259.91066385846,16383.957027716757,-40875.953636141705,291.9963097936306,45.211186199286,0.9924959001278351,421.6313798427582
