#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-55037.72687940205,16824.41650880683,-38213.31037059522,299.84621704584964,46.45596011169811,0.9659022617295618,0.0014841556549072266
2000,1.9999999999998905,-55807.858055608514,16388.792919148385,-39419.06513646013,292.0824954721092,46.399213222014225,0.9670835737666759,8.352819442749023
3000,2.9999999999997806,-56235.60182995015,17033.795277532132,-39201.80655241802,303.5777837066688,45.726892503369406,0.9813025658675825,16.69468402862549
4000,3.9999999999996705,-56116.21088864386,17079.40670041105,-39036.80418823281,304.39067445965054,45.63390984203747,0.9833020466147302,25.058218240737915
5000,5.000000000000004,-56741.97922603192,16428.83893922247,-40313.14028680945,292.7961991313518,45.183271610997224,0.9931090720705154,33.47595691680908
6000,6.000000000000338,-56293.39588449258,16876.00204581504,-39417.39383867754,300.7655789814088,44.61021800731297,1.0058663451353598,41.88540244102478
7000,7.000000000000672,-56610.730430351905,16666.46137093303,-39944.269059418875,297.03112681495674,44.97178798412742,0.9977792512618099,50.29425263404846
8000,8.000000000001005,-56714.310740587614,16527.002436663115,-40187.308303924496,294.5456775363924,44.991972438307016,0.997331624085516,58.71753716468811
9000,9.000000000000451,-56678.20880924768,16942.18166603056,-39736.027143217114,301.94503793957045,45.607800385634334,0.9838649652755758,67.11695790290833
10000,9.999999999999897,-57075.208852269156,16603.783743300548,-40471.42510896861,295.9140806737625,45.264942387780714,0.9913172220190587,75.5318353176117
11000,10.999999999999343,-56895.37899607998,16823.139255350023,-40072.23974072996,299.8234537234467,45.15184926826973,0.9938002024258409,83.93932390213013
12000,11.999999999998789,-56491.46483013753,16571.80004030203,-39919.6647898355,295.3440643319652,45.454765259593465,0.9871773990349023,92.3646879196167
13000,12.999999999998234,-56227.54916582941,16532.433383201587,-39695.11578262782,294.64246833883647,45.23733946136217,0.9919221041067906,100.78536868095398
14000,13.99999999999768,-56631.03865276376,16904.56425321104,-39726.474399552724,301.27461713043976,44.837393559703806,1.0007699685522027,109.2420859336853
15000,14.999999999997126,-56939.02438401761,16581.121245478647,-40357.90313853897,295.51018766284295,44.68718897780716,1.004133801412125,117.68308925628662
16000,15.999999999996572,-56605.776821595035,16757.934990175174,-39847.841831419864,298.66137762780914,45.17359620286031,0.9933217789702186,126.14691948890686
17000,16.999999999997794,-57020.64760975829,16650.326061995827,-40370.32154776246,296.7435619330987,45.044674980639755,0.9961647400495953,134.61767673492432
