#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Elapsed Time (s)"
1000,1.0000000000000007,-56125.67249612701,16408.917729854533,-39716.754766272476,292.4411616021259,46.783119296836674,0.9591476074521095,0.001140594482421875
2000,1.9999999999998905,-56464.50333229386,16985.391507416974,-39479.11182487689,302.71512749792663,45.898413310226616,0.9776354716102922,8.132251262664795
3000,2.9999999999997806,-55834.380994647996,16840.649991483613,-38993.73100316439,300.1355315886491,45.74319487619798,0.980952840398478,16.332896947860718
4000,3.9999999999996705,-57143.28073344931,16722.157069145032,-40421.12366430428,298.02374040163625,45.27778081373429,0.9910361359648692,24.650291442871094
5000,5.000000000000004,-57061.70026085166,16916.688340541845,-40145.011920309815,301.49069367130363,45.48600775707314,0.9864993468399053,33.01583981513977
6000,6.000000000000338,-57381.142869620526,16827.55875332746,-40553.58411629307,299.90221840150144,45.3711554463561,0.988996566238238,41.36137270927429
7000,7.000000000000672,-57104.12652003806,17035.654720351842,-40068.47179968622,303.61092285862765,45.222372724757456,0.9922503893331082,49.72183871269226
8000,8.000000000001005,-56823.99280266791,16498.20421902232,-40325.7885836456,294.0324331922135,44.79635436963335,1.0016868018421916,58.11154127120972
9000,9.000000000000451,-56475.51889762013,16714.618067376752,-39760.90083024338,297.88937965519744,45.10907865574154,0.9947424837726354,66.49446964263916
10000,9.999999999999897,-56928.16620869289,16716.036831463844,-40212.12937722905,297.9146649923842,44.82484411731548,1.0010501503422709,74.89972066879272
11000,10.999999999999343,-57048.27578529184,16708.322962479055,-40339.95282281278,297.7771877471754,45.36890825770422,0.9890455526905408,83.29610848426819
12000,11.999999999998789,-56904.43720441672,16625.2400034307,-40279.19720098602,296.296476011432,45.32791636470079,0.98993998713013,91.67975687980652
13000,12.999999999998234,-57234.21679128617,16763.353122362638,-40470.86366892353,298.7579400517729,45.47350464593526,0.9867705885457518,100.07061004638672
14000,13.99999999999768,-57271.145313773384,17238.707365899405,-40032.43794787398,307.22974480093495,45.20043796353907,0.9927319062462058,108.45569014549255
15000,14.999999999997126,-56919.46246290029,17253.249499578877,-39666.212963321406,307.4889159745256,45.5231818723149,0.985693773966985,116.85107898712158
16000,15.999999999996572,-57102.05447696237,16836.369975805166,-40265.6845011572,300.05925277628086,45.576970767890764,0.9845304807821943,125.2504050731659
17000,16.999999999997794,-57231.23798274849,16857.221355572183,-40374.01662717631,300.4308678834113,45.08713140382835,0.995226698740418,133.6242413520813
18000,17.999999999999016,-57398.35900559423,16413.737799277835,-40984.6212063164,292.52706529939337,45.14300291014668,0.9939949504914696,141.98010206222534
19000,19.000000000000238,-57503.60682724474,16610.32904343844,-40893.2777838063,296.0307315831565,45.245209074546615,0.991749576596628,150.34421229362488
20000,20.00000000000146,-56583.20542665309,16805.168295633066,-39778.03713102003,299.503173713439,45.34825675486418,0.9894959620006656,158.6782820224762
21000,21.000000000002682,-57313.174661773046,16487.539930954383,-40825.63473081867,293.84237332101475,45.37961604870238,0.9888121771358753,167.01354670524597
22000,22.000000000003904,-56726.78243090955,16569.82742823034,-40156.95500267921,295.3089082677364,44.981485330396815,0.9975641447390077,175.36999654769897
23000,23.000000000005127,-56579.43570198362,16770.33553351063,-39809.100168472985,298.88238119167744,44.78103816249807,1.0020294031567485,183.74136447906494
24000,24.00000000000635,-56825.83692013855,16542.899045759346,-40282.937874379204,294.8289882888852,44.8900260940994,0.999596588530514,192.149347782135
25000,25.00000000000757,-57079.0592046459,16845.13673828549,-40233.92246636041,300.2154947811129,44.85283769561393,1.0004253743592115,200.51979303359985
26000,26.000000000008793,-57265.06027761465,16867.283320578816,-40397.776957035836,300.61019310052694,45.07885991096283,0.9954093122881977,208.8846025466919
27000,27.000000000010015,-56969.75502243717,16728.351671862467,-40241.40335057471,298.1341411510443,45.03307770833768,0.9964212802270823,217.2584846019745
28000,28.000000000011237,-57044.50445547361,16693.705870296093,-40350.798585177516,297.5166806566039,44.53376637214266,1.0075931275998335,225.64412260055542
29000,29.00000000001246,-56530.4745587264,16492.698842425292,-40037.775716301105,293.9343158907804,44.263596822916725,1.0137431244511028,234.03043341636658
30000,30.00000000001368,-56618.502549912555,16846.03214408083,-39772.47040583173,300.2314527812202,44.519245464388,1.0079217757318377,242.42474913597107
31000,31.000000000014904,-56855.37774943306,16228.170247052567,-40627.207502380494,289.2198642138711,44.830559177666714,1.0009225351144273,250.82433414459229
32000,32.00000000001612,-57005.480263691104,16394.767242106358,-40610.71302158474,292.18897037644956,44.56585721474751,1.0068675831025802,259.2317318916321
33000,33.00000000001379,-56756.7282617447,16595.064968006485,-40161.66329373821,295.75869390074547,44.701953535418056,1.0038021471959786,267.6267237663269
34000,34.00000000001146,-56286.7021312584,17047.014259187097,-39239.6878720713,303.81337354958345,45.318994249543344,0.9901348802143742,276.02635645866394
35000,35.00000000000913,-56958.321185928085,16487.74350888808,-40470.577677040004,293.8460015046883,44.85165106426919,1.0004518424173345,284.41195583343506
36000,36.0000000000068,-56836.94724641005,16829.53669851654,-40007.41054789351,299.937469513013,45.24175499404315,0.9918252938820714,292.7815353870392
37000,37.00000000000447,-56908.58984255263,16715.305154636048,-40193.28468791659,297.9016249842032,45.25337637078905,0.9915705863589934,301.1625144481659
38000,38.00000000000214,-57064.03801498303,16381.785516483324,-40682.25249849971,291.9576089312098,44.99078277463009,0.9973579959140073,309.55145478248596
39000,38.99999999999981,-57135.67944008964,16871.68286368977,-40263.99657639987,300.6886021412125,45.48422169423336,0.9865380844451498,317.94465470314026
40000,39.99999999999748,-56816.07905815805,16884.632649321964,-39931.446408836084,300.9193943491524,44.87216611007098,0.9999944471732688,326.3412997722626
41000,40.99999999999515,-56841.69733184791,16818.17635215803,-40023.52097968988,299.73500443030736,45.30771366358501,0.9903814011867086,334.7228660583496
