inter,vdw,multipole,polar
-12809.2587,6037.7604,-13341.6764,-5506.5716
-12777.8352,5938.0583,-13263.8119,-5453.3211
-12688.0364,5770.5083,-13112.5164,-5347.322
-12759.9529,6046.5438,-13315.8698,-5492.0234
-12750.524,5985.147,-13274.3128,-5462.9554
-12726.0955,5951.2671,-13237.2462,-5441.7968
-12691.8222,5890.6064,-13197.7822,-5386.1256
-12779.5581,5958.2008,-13295.4963,-5443.9876
-12734.9261,5985.7045,-13290.9172,-5430.9989
-12827.4071,6073.4209,-13413.7168,-5488.4423
-12805.4361,5989.6044,-13349.0721,-5447.279
-12832.5281,5893.8265,-13303.8905,-5423.7621
-12850.3576,6119.0082,-13438.4989,-5532.2511
-12678.0738,5831.9831,-13148.0534,-5363.3934
-12790.2657,6097.9088,-13393.408,-5496.7045
-12869.2531,5973.6535,-13367.9261,-5476.9831
-12929.8094,5904.8483,-13365.4813,-5471.0192
-12877.6311,5819.879,-13282.3591,-5417.1377
-12940.2608,5948.8253,-13401.6719,-5489.6479
-12933.1627,5972.5553,-13448.8812,-5458.2682
-12897.8945,5772.4442,-13272.4029,-5399.7647
-12877.4072,6002.6961,-13433.3546,-5448.33
-12790.8315,5844.5162,-13236.983,-5399.6798
-12753.2525,5864.9975,-13242.3503,-5377.5281
-12858.088,5789.813,-13256.1684,-5393.3661
-12831.55,5860.8466,-13288.1241,-5405.5631
-12827.1948,5711.3873,-13205.7163,-5334.2952
-12739.4548,5800.081,-13202.4534,-5338.5926
-12747.0944,6028.0665,-13343.5478,-5433.3347
-12790.6766,5939.2659,-13315.5203,-5416.0649
-12810.0021,5948.3547,-13320.9921,-5438.8171
-12767.3968,5999.8436,-13331.451,-5437.5507
-12854.9397,6072.4791,-13421.0367,-5508.0569
-12885.5687,6047.9929,-13430.995,-5504.2528
-12949.084,6018.8801,-13462.7406,-5506.7417
-12770.5194,6066.1185,-13339.607,-5498.46
-12784.9648,5838.6661,-13217.0269,-5408.0282
-12723.5727,5884.2382,-13206.5373,-5402.8996
-12740.7613,5747.2631,-13152.6534,-5337.1359
-12745.1902,5880.0624,-13238.3894,-5388.3503
-12655.6377,5744.5335,-13094.4832,-5307.3052
-12767.6081,6019.4656,-13340.9906,-5447.4578
