Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.916428
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.551338
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
1000,-39120.1084095675
bubble radius: 1.0 A
2000,-39367.37926947362
bubble radius: 1.5 A
3000,-39955.72973773592
bubble radius: 2.0 A
4000,-39135.41075459996
bubble radius: 2.5 A
5000,-39298.09970622543
bubble radius: 3.0 A
6000,-39561.89654495451
bubble radius: 3.5 A
7000,-40178.94882709885
bubble radius: 4.0 A
8000,-39524.06353466486
bubble radius: 4.5 A
9000,-39651.617793886515
bubble radius: 5.0 A
10000,-40257.831622432976

System Time is: 2023-03-26 16:36:07.387325
Starting equilibration...

11000,-40074.1986550938
12000,-40306.62042539695
13000,-40710.64740544565
14000,-39921.007351257154
15000,-40041.47722676777
16000,-40287.92338920696
17000,-40969.37482019988
18000,-40294.63776571467
19000,-39960.65045584443
20000,-39409.41952148376
21000,-39633.76440434459
22000,-39834.25710157998
23000,-40400.57602163702
24000,-40401.49351222381
25000,-40155.83317729992
26000,-40175.205448859735
27000,-39877.16377986564
28000,-39294.942339730245
29000,-40304.55026042251
30000,-40041.3222183951
31000,-39828.53082725871
32000,-40021.89023112657
33000,-40089.41824068835
34000,-39489.128339114286
35000,-39787.27446645958
36000,-40271.92372813093
37000,-40554.72781547115
38000,-39468.98016851208
39000,-39988.361581378806
40000,-39969.28831473233
41000,-40021.066297904676
42000,-39952.971828189526
43000,-40639.43257170764
44000,-39346.21138403832
45000,-40125.35044324494
46000,-40046.11757490573
47000,-40202.05477497107
48000,-40185.536596143254
49000,-40198.17618986311
50000,-39280.209107727176
51000,-39899.260279109556
52000,-40663.55344679506
53000,-40819.147308743115
54000,-39569.20303893456
55000,-39847.27773842114
56000,-40225.30669794946
57000,-40293.24469689521
58000,-40111.71875549669
59000,-39662.12640795235
60000,-39958.04038178123
61000,-39442.19281303124
62000,-40080.68234124353
63000,-40317.36796551202
64000,-40010.20825130273
65000,-40221.188838230286
66000,-39825.76551718531
67000,-39810.16679090544
68000,-39757.48877934185
69000,-39848.42894067651
70000,-39923.89027634423
71000,-40326.088507122906
72000,-40307.80688009792
73000,-40016.643404790644
74000,-40545.864099502025
75000,-40467.49993239569
76000,-40412.39494286888
77000,-40164.442373196485
78000,-40015.91186940292
79000,-39701.44094353414
80000,-39648.82392314677
81000,-40063.207971161
82000,-40018.388523185
83000,-39984.45177668145
84000,-40006.67265191037
85000,-39595.91732849212
86000,-40228.64063381485
87000,-40219.23098115243
88000,-40144.88952173156
89000,-39421.26921203401
90000,-39650.253548650006
91000,-40358.41561177488
92000,-40421.86298885689
93000,-40024.29280432597
94000,-40338.470769081476
95000,-39365.79444347741
96000,-39526.22896863625
97000,-39734.99320670513
98000,-40131.709734930504
99000,-39078.51609448193
100000,-39813.27574774441
101000,-39366.423258684656
102000,-39930.24068190271
103000,-39907.86400090459
104000,-39826.72092202396
105000,-39490.42797697184
106000,-40189.28268096738
107000,-39533.22421896924
108000,-40345.84767362201
109000,-39924.77549506928
110000,-40065.576730246394

System Time is: 2023-03-26 16:50:20.031877
Starting production...

111000,-40121.44537416064
112000,-39931.7369866426
113000,-40058.87824531448
114000,-39198.02428074302
115000,-39880.335042844796
116000,-39223.75308437718
117000,-39244.6868829271
118000,-40012.571339955466
119000,-39197.61934594187
120000,-40009.15854673054
121000,-40569.47296303808
122000,-40017.57875905936
123000,-39860.10920435911
124000,-39350.995539621304
125000,-40053.96005557351
126000,-40071.74862669967
127000,-39827.021903929104
128000,-39991.29072407335
129000,-40101.28816773098
130000,-40283.469174981044
131000,-39964.48346094956
132000,-40882.75774597895
133000,-40086.41526803052
134000,-40759.729440476054
135000,-39907.02663019383
136000,-39586.23042775366
137000,-40029.514811982895
138000,-39875.37621247127
139000,-39669.19731672779
140000,-40169.74088906421
141000,-40006.51475465412
142000,-39852.283477748875
143000,-39351.69700901344
144000,-40262.215092050435
145000,-40225.51507007408
146000,-39332.61153421404
147000,-39898.84483612048
148000,-40087.76191439519
149000,-39957.336134694546
150000,-40646.553560908105
151000,-39464.2109760241
152000,-39118.00223852128
153000,-40087.421495374365
154000,-39931.9458031877
155000,-39407.83129486942
156000,-39899.57517097182
157000,-39860.239694315955
158000,-39169.94932676373
159000,-40262.13094585306
160000,-39914.601238448915
161000,-39397.73478247624
162000,-39226.34597039527
163000,-40144.078249084865
164000,-39597.968963658175
165000,-40046.80458238009
166000,-39737.76482881568
167000,-40372.107537017786
168000,-39966.596845872205
169000,-40261.415446872685
170000,-40298.92168032509
171000,-40128.991437375924
172000,-40259.32056525888
173000,-39757.58558624247
174000,-39766.5271393249
175000,-40569.58871095594
176000,-39892.971714963656
177000,-39832.808218633596
178000,-39377.93507978597
179000,-39495.047172985345
180000,-39611.75246662879
181000,-39157.55203146673
182000,-39661.40768398896
183000,-39833.67392838982
184000,-40238.46294640865
185000,-39992.975696661495
186000,-40151.739455539406
187000,-39974.42330418553
188000,-40061.04186264051
189000,-39765.793400022165
190000,-40102.73122085804
191000,-39808.28153817993
192000,-39203.05224762147
193000,-40040.404364910195
194000,-40379.45825018399
195000,-39947.65240477269
196000,-39992.954264048596
197000,-40391.521177799164
198000,-40230.82952463208
199000,-41057.20428108303
200000,-39942.82903437814
201000,-39521.5573046252
202000,-40036.86890178842
203000,-40478.791821564126
204000,-39218.40881938784
205000,-39088.50291675259
206000,-39848.84041204043
207000,-39657.003496533915
208000,-40256.950702513204
209000,-39469.93719872327
210000,-39382.923525998616
211000,-40164.68791502101
212000,-39942.22322454322
213000,-39350.463042016854
