inter,vdw,multipole,polar
-12751.499,6039.8463,-13293.989,-5497.3563
-12719.5554,5940.1834,-13216.9757,-5442.7631
-12629.9505,5772.5754,-13061.5152,-5341.0107
-12702.0669,6048.7214,-13268.1463,-5482.642
-12689.8059,5987.237,-13223.6827,-5453.3602
-12666.9304,5953.3941,-13185.4536,-5434.8709
-12631.2109,5892.8822,-13146.2404,-5377.8527
-12710.8924,5960.5495,-13233.7214,-5437.7205
-12679.1183,5987.815,-13242.6128,-5424.3205
-12767.2046,6075.7046,-13362.7145,-5480.1947
-12739.6563,5992.1098,-13291.6005,-5440.1656
-12775.3026,5896.1517,-13259.6253,-5411.829
-12794.4195,6121.2621,-13395.5569,-5520.1248
-12624.0225,5834.352,-13104.5413,-5353.8332
-12735.0926,6100.4305,-13350.3869,-5485.1361
-12816.037,5976.1615,-13328.9956,-5463.2029
-12868.7531,5907.2181,-13314.8718,-5461.0994
-12819.6862,5822.0676,-13236.3308,-5405.4229
-12881.8935,5950.7609,-13352.7486,-5479.9059
-12874.8052,5974.6845,-13399.2185,-5450.2712
-12848.2505,5774.5018,-13231.9141,-5390.8381
-12834.314,6004.6897,-13398.0907,-5440.913
-12741.7467,5846.3945,-13197.434,-5390.7072
-12702.3284,5866.7474,-13199.6015,-5369.4743
-12808.9793,5791.7126,-13222.3127,-5378.3792
-12773.346,5862.7338,-13239.8038,-5396.276
-12776.2795,5713.158,-13166.5237,-5322.9137
-12688.438,5801.8889,-13163.599,-5326.7279
-12693.9348,6029.9644,-13294.2501,-5429.6491
-12736.0169,5941.0349,-13268.9533,-5408.0985
-12754.5714,5950.128,-13270.1708,-5434.5287
-12716.0994,6001.66,-13289.5938,-5428.1656
-12802.3824,6074.1699,-13378.0765,-5498.4758
-12818.4021,6049.6083,-13373.9644,-5494.046
-12886.2503,6020.6157,-13405.5704,-5501.2956
-12710.3386,6068.0458,-13287.884,-5490.5005
-12720.3074,5840.6346,-13157.0351,-5403.9069
-12677.5829,5886.3378,-13169.4996,-5394.4212
-12688.3037,5749.6421,-13108.7676,-5329.1782
-12687.8722,5882.3699,-13184.983,-5385.259
-12599.9773,5746.7921,-13043.4017,-5303.3677
-12713.5091,6021.5778,-13298.2787,-5436.8083
-12702.3348,5939.7565,-13236.4016,-5405.6896
-12814.6132,6054.3739,-13352.6209,-5516.3663
-12757.9375,5882.4313,-13198.5686,-5441.8002
-12691.2958,6026.9086,-13251.4115,-5466.7929
-12635.3939,5942.1482,-13172.1074,-5405.4347
-12688.3381,5790.4438,-13110.1397,-5368.6422
-12830.098,6003.0901,-13315.2245,-5517.9637
-12714.7996,5981.6678,-13237.6715,-5458.796
-12709.8616,5901.0226,-13188.9377,-5421.9465
-12770.078,5769.2762,-13155.0095,-5384.3446
-12710.3346,5825.0543,-13128.3147,-5407.0742
-12747.6046,5864.2571,-13200.9645,-5410.8972
-12721.1742,6072.3227,-13320.5144,-5472.9825
-12662.0171,5997.8913,-13218.2255,-5441.6829
-12560.8455,5834.767,-13059.3935,-5336.219
-12700.7049,6023.541,-13293.625,-5430.621
-12807.6858,5898.0244,-13277.2729,-5428.4373
-12665.9428,5869.8804,-13179.5457,-5356.2776
-12623.8205,5938.6727,-13162.5558,-5399.9374
-12658.0632,5798.4846,-13092.1058,-5364.4419
-12627.1042,5837.3792,-13099.1782,-5365.3051
-12609.7494,5943.7513,-13159.8172,-5393.6836
-12710.6592,5805.0748,-13149.2148,-5366.5192
-12577.5364,5710.1281,-13009.2664,-5278.3981
-12531.3613,5769.7147,-13012.2406,-5288.8354
-12545.5342,5802.7333,-13021.3077,-5326.9598
-12510.548,5801.3728,-13032.5767,-5279.3441
-12384.9718,5725.1978,-12876.4063,-5233.7633
-12451.2288,5787.3021,-12937.5981,-5300.9328
-12443.4078,5838.7984,-12966.424,-5315.7822
-12522.8407,5800.762,-12991.0387,-5332.5641
-12480.9612,5941.7264,-13048.8992,-5373.7884
-12607.5749,5805.2652,-13078.4442,-5334.3959
-12621.036,5903.2375,-13124.6651,-5399.6084
-12628.1035,6008.133,-13198.7092,-5437.5273
-12516.2486,5863.2831,-13045.551,-5333.9807
-12514.31,5902.804,-13059.5397,-5357.5744
-12625.5396,6033.5373,-13240.2683,-5418.8086
-12738.3192,6027.268,-13285.9431,-5479.6441
-12656.3645,5889.7158,-13141.7372,-5404.3431
-12634.8007,5752.547,-13045.7915,-5341.5562
-12602.7554,5788.7149,-13061.015,-5330.4554
-12670.6403,5700.7627,-13039.601,-5331.802
-12770.327,5970.3132,-13295.2833,-5445.3569
-12763.1804,5725.5207,-13128.6443,-5360.0567
-12645.0108,5896.7798,-13167.699,-5374.0917
-12576.3986,5858.8488,-13082.1375,-5353.1098
-12549.8256,5944.5631,-13137.4843,-5356.9044
-12577.5833,5912.1102,-13125.9741,-5363.7194
-12572.6946,5976.5786,-13170.3401,-5378.9331
-12686.222,5923.4397,-13184.8193,-5424.8425
-12593.344,5795.9972,-13075.8304,-5313.5108
-12618.8807,5823.3332,-13085.1635,-5357.0504
-12559.015,5846.2271,-13067.8251,-5337.4171
-12611.2934,5984.6067,-13190.7627,-5405.1373
-12698.3656,5890.5027,-13175.9598,-5412.9085
-12650.8963,6021.0679,-13226.3324,-5445.6318
-12796.6667,5872.4219,-13226.7304,-5442.3582
-12724.9351,6092.2621,-13331.2082,-5485.989
-12801.026,5868.3842,-13219.7195,-5449.6908
-12664.9791,6133.9999,-13297.6664,-5501.3125
-12614.7078,5898.5652,-13126.7986,-5386.4744
-12618.7765,5772.0143,-13067.6442,-5323.1466
-12665.8964,5880.7358,-13163.0946,-5383.5375
-12750.0914,5991.7292,-13287.4977,-5454.3229
-12805.4515,5944.6019,-13294.7623,-5455.2912
-12859.9647,5993.4595,-13338.6985,-5514.7256
-12748.0684,5946.0359,-13223.6678,-5470.4366
-12825.404,5884.1427,-13233.3735,-5476.1732
-12659.103,5928.7286,-13140.4027,-5447.4289
-12652.8255,5869.4573,-13129.7739,-5392.5089
-12701.6735,5753.8075,-13087.3713,-5368.1097
-12615.8681,5956.2512,-13139.6252,-5432.4942
-12746.8518,5935.8834,-13226.3173,-5456.4179
-12718.7108,5853.3466,-13172.2003,-5399.8572
-12656.0461,5718.7294,-13053.1989,-5321.5766
-12650.7303,5936.8905,-13180.4254,-5407.1953
-12679.6744,5753.8072,-13072.5216,-5360.96
-12689.171,5778.95,-13093.9808,-5374.1402
-12594.1258,5740.9381,-13026.0175,-5309.0464
-12693.6855,5826.3774,-13157.9495,-5362.1134
-12601.3793,5840.2405,-13083.5732,-5358.0466
-12683.8352,5996.579,-13231.4124,-5449.0018
-12591.6375,5960.8109,-13154.2846,-5398.1638
-12643.3229,5942.516,-13174.4512,-5411.3877
-12701.4459,6001.9901,-13252.0597,-5451.3763
-12771.324,6010.067,-13287.7536,-5493.6374
-12755.682,5944.9344,-13257.1001,-5443.5163
-12633.0658,6049.0684,-13219.7451,-5462.3891
-12737.5124,6018.9388,-13284.4092,-5472.0421
-12710.9041,5870.598,-13182.1182,-5399.3839
-12619.2108,5894.6951,-13140.5987,-5373.3072
-12664.1658,5844.0954,-13152.0082,-5356.253
-12592.9873,5934.0052,-13135.2461,-5391.7465
-12714.5093,6009.9014,-13259.1588,-5465.2519
-12805.4279,6011.2904,-13301.8259,-5514.8924
-12755.0487,6014.3306,-13272.298,-5497.0813
-12678.9096,5963.9826,-13220.4699,-5422.4223
-12647.7867,5851.9847,-13156.5224,-5343.249
-12592.3626,5833.3171,-13071.8752,-5353.8045
-12587.0331,6001.0528,-13174.0327,-5414.0531
-12543.158,6007.476,-13146.1255,-5404.5085
-12641.9927,6016.9929,-13218.1262,-5440.8595
-12613.8209,6092.3314,-13248.2143,-5457.938
-12596.7339,6028.578,-13199.6442,-5425.6677
-12542.4245,5990.0983,-13126.3047,-5406.2181
-12632.7793,5925.728,-13145.514,-5412.9933
-12628.0534,6046.9476,-13227.0141,-5447.9869
-12573.7867,5952.3895,-13140.4468,-5385.7293
-12570.8335,5928.0833,-13130.4695,-5368.4474
-12637.5929,5951.7616,-13182.3224,-5407.0321
-12578.3377,5968.8354,-13148.5977,-5398.5754
-12560.3839,5969.9508,-13161.3071,-5369.0275
-12621.9146,5836.0879,-13097.7583,-5360.2442
-12678.7345,5907.277,-13208.589,-5377.4225
-12684.4878,5875.8687,-13202.7001,-5357.6564
-12614.1886,5883.645,-13139.3612,-5358.4724
-12729.6094,5830.608,-13192.9855,-5367.232
-12639.7668,5923.0728,-13180.8413,-5381.9983
-12656.2646,6048.1493,-13240.0042,-5464.4097
-12772.0541,6266.2701,-13433.6855,-5604.6387
-12674.5613,5909.314,-13167.6597,-5416.2155
-12632.4597,6053.5836,-13225.9497,-5460.0936
-12540.2433,5850.4529,-13058.386,-5332.3102
-12492.3404,5992.8526,-13084.0215,-5401.1715
-12580.9333,5857.7054,-13102.9025,-5335.7362
-12374.4217,5771.3112,-12904.8531,-5240.8799
-12394.7419,5838.2528,-12927.7077,-5305.287
-12500.1174,5888.8182,-13035.4764,-5353.4592
-12523.8058,6024.948,-13158.4444,-5390.3094
-12556.8753,5928.4383,-13107.241,-5378.0726
-12484.4879,5915.743,-13066.8208,-5333.4101
-12665.7086,5832.2638,-13116.0921,-5381.8804
-12533.2539,6000.3087,-13149.1009,-5384.4618
-12619.1551,6034.0221,-13215.5228,-5437.6544
-12542.5845,5972.434,-13121.3156,-5393.7029
