inter,vdw,multipole,polar
-12879.6164,6022.1654,-13416.5266,-5498.7626
-12832.0381,6070.2896,-13419.3481,-5496.596
-12885.0085,6108.7104,-13472.7279,-5534.6762
-12906.6943,5938.6185,-13371.5349,-5487.4585
-12841.5757,6173.1256,-13489.0904,-5538.8429
-12783.0222,6241.3705,-13479.0665,-5558.7477
-12913.2907,6178.2826,-13525.3704,-5579.5314
-12990.3372,6073.8102,-13491.6719,-5585.6892
-13014.785,6079.5887,-13535.9784,-5571.8801
-12921.4655,6002.124,-13432.4045,-5504.7711
-12796.1322,6034.7429,-13339.7383,-5504.7472
-12855.3998,5980.5844,-13363.0983,-5486.064
-12772.467,5924.9284,-13294.7397,-5416.6853
-12885.175,6092.351,-13469.4628,-5522.0767
-12836.737,6078.5027,-13400.9067,-5528.083
-12839.8599,6006.2446,-13358.148,-5501.559
-12875.8223,5941.2038,-13333.3401,-5497.4506
-12818.0197,5822.1834,-13260.2995,-5393.6061
-12817.4755,5979.3282,-13323.2125,-5487.3721
-12767.8648,5956.0971,-13302.5162,-5435.0476
-12914.1677,6128.6161,-13494.1461,-5562.4489
-12726.3235,6101.2604,-13378.8678,-5462.6309
-12738.4211,5980.4934,-13297.9643,-5434.6167
-12694.8214,5892.6379,-13199.4545,-5401.9354
-12781.8896,5895.902,-13279.1566,-5412.3442
-12907.1657,6282.1129,-13565.8339,-5637.3863
-12910.4768,6280.8547,-13590.0235,-5615.0783
-12834.7118,6011.7141,-13380.3332,-5480.1168
-12762.8246,5996.4535,-13307.6166,-5465.4385
-12694.9119,5873.74,-13180.3393,-5401.9317
-12794.9231,5957.3869,-13336.6911,-5429.0622
-12929.9179,5968.6078,-13393.3163,-5519.4119
-12715.1123,5864.1007,-13195.4856,-5397.48
-12765.042,5818.2737,-13226.1248,-5371.1641
-12759.3288,5834.5242,-13227.9372,-5379.8552
-12784.9301,5913.8125,-13304.5312,-5407.9908
-12696.5764,5884.7327,-13222.8745,-5372.2732
-12707.6839,5816.2977,-13166.2287,-5371.3978
-12698.6311,5935.3116,-13243.1165,-5404.5145
-12641.1212,5992.7749,-13234.1647,-5413.6972
-12543.7679,5888.9035,-13106.584,-5339.9617
-12657.0886,6123.6684,-13355.4853,-5438.8833
-12680.8611,5946.8433,-13253.3398,-5387.6612
-12682.089,5884.2894,-13194.1475,-5385.3479
-12674.1248,5974.5007,-13268.2674,-5394.082
-12637.2104,5885.3471,-13193.4579,-5343.2184
-12612.1511,5968.8891,-13198.2332,-5396.5897
-12699.8456,6057.0195,-13325.6668,-5444.6806
-12662.9728,5977.1904,-13247.0719,-5406.7313
-12558.7713,5909.3911,-13146.5704,-5335.9916
-12561.9741,5940.056,-13154.9877,-5360.6432
-12712.1768,5954.4718,-13252.2026,-5428.34
-12726.3087,5826.9944,-13179.4078,-5387.7778
-12793.287,5928.8384,-13301.6757,-5434.3524
-12727.2933,5992.9149,-13268.418,-5465.6023
-12695.26,5817.1925,-13153.2152,-5373.1313
-12648.4268,5972.1642,-13234.9194,-5400.0044
-12712.0306,5929.561,-13245.127,-5410.5322
-12733.8672,5816.5799,-13224.803,-5339.2207
-12746.6843,5918.0683,-13264.9492,-5413.768
-12742.5642,6087.2293,-13371.8711,-5471.6456
-12710.2548,5775.3305,-13170.9095,-5328.7214
-12671.2054,5912.8712,-13209.2896,-5388.4031
-12753.9862,6002.168,-13345.5098,-5424.3792
-12633.9798,5874.0723,-13176.2489,-5345.3928
-12757.3818,5996.7497,-13311.5202,-5456.23
-12741.5089,6217.083,-13434.2398,-5538.4332
-12715.4793,5887.9914,-13221.4519,-5396.6786
-12736.2778,5971.0231,-13306.5147,-5415.2898
-12709.8152,5988.3683,-13267.4988,-5444.3295
-12706.4086,5972.1695,-13249.1134,-5442.9433
-12685.9782,5971.7099,-13252.6369,-5418.8503
-12789.1543,5910.6771,-13260.2256,-5453.5238
-12828.1484,6030.4074,-13365.2551,-5506.9361
-12825.4092,5896.605,-13313.8337,-5421.6739
-12831.4152,5941.0493,-13342.8623,-5443.4843
-12829.8268,5865.6818,-13271.4077,-5437.9155
-12802.544,5936.796,-13287.3541,-5465.8432
-12726.6283,5914.6405,-13227.9989,-5427.1299
-12897.5051,5958.1159,-13371.386,-5498.1527
-12734.3927,5863.9582,-13194.8195,-5416.9822
-12800.0969,5919.0493,-13284.6271,-5447.9489
-12868.5102,6125.0881,-13453.4495,-5554.3079
-12851.9885,5959.1796,-13350.87,-5474.2249
-12823.5472,5923.9835,-13285.3337,-5475.7631
-12783.0033,5875.4559,-13254.3338,-5417.9615
-12823.8099,6033.7638,-13352.9362,-5518.2601
-12868.2692,6073.0582,-13403.1295,-5552.3929
-12730.6332,6087.7337,-13329.1647,-5503.1542
-12630.1227,5899.1532,-13151.0319,-5391.7847
-12684.9689,5792.4169,-13123.9508,-5367.028
-12678.6354,5897.3098,-13192.0612,-5397.5763
-12769.9606,5917.9835,-13256.7608,-5444.5505
-12773.1368,5879.6589,-13241.2362,-5424.9992
-12922.6768,6110.8437,-13480.2914,-5566.5504
-12857.3205,6118.0012,-13416.2092,-5572.9858
-12868.6478,6014.5053,-13381.7905,-5515.3344
-12888.3442,5912.5739,-13340.9135,-5472.9767
-12804.4946,6074.3734,-13360.3438,-5531.7452
-12955.7935,6114.2347,-13526.4049,-5557.2717
-12869.9116,6077.2601,-13428.3322,-5532.3001
-12827.6273,5992.5913,-13320.8588,-5512.51
-12855.5404,6019.5632,-13347.8048,-5540.7985
-12795.5008,5976.7862,-13309.0811,-5476.7801
-12843.5054,6005.6073,-13381.4167,-5480.8472
-12744.616,5989.9215,-13284.2056,-5463.556
-12810.1421,6083.1304,-13390.6864,-5515.9118
-12785.2258,5966.6287,-13303.0272,-5462.0545
-12886.5205,5873.0451,-13321.2763,-5451.6537
-12901.6249,5870.4549,-13310.0028,-5475.3867
-12818.5223,5802.3287,-13246.8044,-5387.1367
-12837.4969,6015.4437,-13365.618,-5500.1892
-12799.9141,6143.0358,-13436.5119,-5520.061
-12842.9981,6061.8173,-13411.8757,-5506.4096
-12917.8209,6045.6365,-13459.1699,-5517.6159
-12808.6529,5928.275,-13339.0998,-5410.3154
-12905.6636,5987.0151,-13409.2817,-5496.9701
-12899.9718,6031.082,-13441.3143,-5502.7136
-12889.5796,6075.7584,-13440.0234,-5538.4096
-13052.2641,6284.5491,-13682.0192,-5668.0403
-13097.1778,6045.2275,-13566.9809,-5588.5571
-12990.495,6061.9016,-13508.8313,-5557.0679
-12972.7629,6070.3812,-13514.6082,-5541.6635
-12924.6722,6084.878,-13458.422,-5564.5483
-12947.3985,6017.5072,-13435.8262,-5542.342
-13056.1235,6110.988,-13571.298,-5608.8385
-13016.8603,5982.9776,-13477.6386,-5535.4902
-12955.8873,6041.0978,-13472.6295,-5537.2186
-13016.1289,5964.2777,-13476.0531,-5517.7283
-12875.5357,6081.0343,-13440.4364,-5529.3825
-12825.6612,5869.7018,-13289.9877,-5418.5943
-12812.9247,6073.963,-13406.7199,-5493.3278
-12950.244,6019.0697,-13445.9071,-5537.1669
-12962.1089,6152.0294,-13536.4466,-5590.767
-12953.5827,6086.4008,-13495.6262,-5557.52
-12952.4669,6032.3939,-13467.7716,-5530.3042
-12884.7433,6078.5179,-13430.933,-5545.5879
-12886.7048,6121.1999,-13465.7885,-5555.7176
-12819.9847,5941.0024,-13312.766,-5461.6258
-12790.6452,5987.287,-13342.7792,-5448.6021
-12910.8609,5939.9171,-13360.1874,-5503.4926
-12927.9316,6012.1435,-13422.6247,-5530.5867
-13009.2406,6016.0094,-13490.0098,-5549.2454
-12978.2526,6133.7854,-13526.5137,-5599.7169
-12948.4928,6002.2281,-13460.1551,-5504.4992
-12881.2947,6080.8764,-13447.6252,-5527.7303
-12829.908,5844.1438,-13279.2913,-5408.1218
-12814.4711,6022.616,-13390.5206,-5459.7847
-12910.162,6142.6072,-13496.9423,-5569.7603
-12836.7822,5962.1061,-13337.106,-5475.1172
-12827.9579,5869.1228,-13284.9698,-5425.6413
-12889.2578,5920.1898,-13353.0734,-5470.1464
-12765.7749,5914.4949,-13279.8186,-5413.8968
-12740.299,5978.9723,-13304.0956,-5428.8514
-12825.1315,5801.9735,-13266.0446,-5374.3324
-12895.3113,6088.9398,-13474.0016,-5523.7244
-12755.7469,5952.4369,-13326.7294,-5394.5744
-12828.9577,6098.0329,-13422.1363,-5518.462
-12804.4522,5932.0998,-13320.2541,-5429.7489
-12840.3639,6099.6333,-13445.7614,-5507.8251
-12907.2386,6111.2574,-13504.1201,-5527.9548
-12838.5255,5887.5449,-13283.2607,-5456.5446
-12701.015,5710.1587,-13115.0533,-5309.6855
-12691.6828,5918.382,-13229.9754,-5393.7936
-12788.3172,5991.8908,-13327.624,-5466.4104
-12677.6821,5834.8143,-13194.5104,-5331.6688
-12815.435,6037.1161,-13378.7774,-5487.3748
-12735.3974,6027.9345,-13327.9021,-5448.8812
-12680.0234,5923.1321,-13217.5407,-5399.3883
-12780.8888,5802.4549,-13209.4006,-5387.2547
-12708.7259,5948.251,-13215.1507,-5455.3594
-12626.5451,5831.4571,-13142.2508,-5329.39
-12757.0343,6113.2012,-13377.651,-5506.0606
-12845.5621,6076.7642,-13419.7561,-5516.0031
-12774.188,5861.463,-13261.6945,-5387.8933
-12758.3913,5881.5444,-13240.3337,-5413.7704
-12686.6762,6070.044,-13301.1081,-5469.8774
-12901.288,6055.3426,-13450.8428,-5519.4983
-12911.0395,6081.9036,-13452.1854,-5554.6318
-12808.4929,6091.5544,-13397.8884,-5515.792
-12818.8728,6067.366,-13403.735,-5495.9901
-12669.4835,6010.3672,-13259.847,-5433.4871
-12818.0878,6158.1411,-13442.3079,-5547.8023
-12827.3175,6213.3855,-13508.369,-5545.3613
-12751.4303,6133.4275,-13397.0215,-5501.1021
-12784.6667,6026.7212,-13355.2975,-5469.3623
-12826.947,6125.9798,-13427.781,-5538.9921
-12771.3066,6070.985,-13359.7957,-5495.8345
-12853.0,5922.0134,-13309.5892,-5479.1021
-12731.949,5905.0868,-13247.2267,-5402.7471
-12831.6085,5902.7255,-13309.5304,-5437.999
-12868.6782,6080.65,-13442.1188,-5520.2401
-12790.8955,5997.7959,-13331.4652,-5470.8282
-12878.2374,6144.1993,-13492.0356,-5543.7319
