Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.320325
Creating the simulation system...

System Time is: 2023-03-26 16:34:32.559479
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
1000,-38515.51521682857
bubble radius: 1.0 A
2000,-39794.32353786995
bubble radius: 1.5 A
3000,-38914.82398617816
bubble radius: 2.0 A
4000,-39611.00794427087
bubble radius: 2.5 A
5000,-39468.18711460491
bubble radius: 3.0 A
6000,-39852.67399833744
bubble radius: 3.5 A
7000,-39418.39812727487
bubble radius: 4.0 A
8000,-39119.903372948014
bubble radius: 4.5 A
9000,-39412.80874870296
bubble radius: 5.0 A
10000,-39187.08648019482

System Time is: 2023-03-26 16:36:01.237248
Starting equilibration...

11000,-39821.25135779519
12000,-39292.42498976539
13000,-39367.744446674405
14000,-39892.32041434088
15000,-39332.98870689237
16000,-40174.09716532355
17000,-39986.02174037602
18000,-40062.85526352083
19000,-40239.96697385605
20000,-40211.895963111536
21000,-39684.85421891643
22000,-39801.079826362664
23000,-40453.63029249486
24000,-40336.18276477873
25000,-40929.47298642181
26000,-39809.86109110463
27000,-40149.82780265018
28000,-39888.8103422624
29000,-40518.73261186993
30000,-40105.230332515115
31000,-40376.59306370761
32000,-40524.39404358911
33000,-39997.5219109097
34000,-39605.82241559494
35000,-39915.40654425906
36000,-39889.19123152903
37000,-40584.25933207042
38000,-39547.614526090845
39000,-39626.82337372681
40000,-39799.51149791226
41000,-40114.85356640637
42000,-39825.32047482321
43000,-39919.98769322096
44000,-40141.147203492495
45000,-39901.98655031214
46000,-40027.885691085125
47000,-40066.96650399355
48000,-40122.40555250716
49000,-40095.9353170955
50000,-39507.439795933446
51000,-40138.30001910632
52000,-40442.48728978946
53000,-40095.359568001106
54000,-40263.69096273638
55000,-39896.652390023766
56000,-40402.71746776531
57000,-40724.00656233766
58000,-40371.209039382054
59000,-40596.88455347204
60000,-40725.22624319313
61000,-40177.87963111568
62000,-39892.74124803403
63000,-39808.759694914945
64000,-39673.55610881399
65000,-39964.69955838853
66000,-40146.07880526804
67000,-39891.185413698855
68000,-40207.30017297254
69000,-39407.10317417408
70000,-39663.7784289491
71000,-39356.89284013634
72000,-39969.60828442791
73000,-39553.47615530026
74000,-39875.02731284617
75000,-39497.255254599666
76000,-39876.43524476056
77000,-40507.16119583059
78000,-40109.30493910038
79000,-39395.621555417325
80000,-40097.12190105638
81000,-40207.56861281858
82000,-39706.54400556796
83000,-39840.909492779436
84000,-39865.37800123425
85000,-39782.30541482299
86000,-39903.179141625136
87000,-40215.3764798062
88000,-39407.60962852908
89000,-40151.58538357036
90000,-39998.41337870495
91000,-39936.37681239232
92000,-40531.92539474144
93000,-40081.92710886708
94000,-40540.4015799177
95000,-40440.35578831787
96000,-40474.08192047689
97000,-40121.38480837241
98000,-40010.65325160614
99000,-39520.48920186577
100000,-39989.17500501462
101000,-39878.71133425558
102000,-40121.066757034074
103000,-39654.51343347541
104000,-39444.09851854765
105000,-39840.19833079913
106000,-40381.38478116436
107000,-39543.60998760718
108000,-39379.81086766244
109000,-40035.75326612903
110000,-39866.48005640278

System Time is: 2023-03-26 16:50:00.185876
Starting production...

111000,-40048.45338210712
112000,-39892.76864236749
113000,-39977.916522813815
114000,-39801.946330393104
115000,-39828.050662873975
116000,-39945.444190030365
117000,-39561.65435205001
118000,-40532.76445986754
119000,-39455.82619763772
120000,-39971.19064237211
121000,-40068.34057458429
122000,-40375.03661417251
123000,-40780.21409444633
124000,-39624.6380737838
125000,-40052.71305913062
126000,-40379.39624191316
127000,-40467.10917018796
128000,-40837.900007871984
129000,-40537.21130534299
130000,-40244.388581919105
131000,-39931.26040280009
132000,-40075.62174807765
133000,-40114.63400921492
134000,-40250.332443486484
135000,-40025.21410630263
136000,-40474.53688578088
137000,-40042.32931921826
138000,-39854.620055310246
139000,-40211.03285334356
140000,-40247.22949495306
141000,-40166.244414624525
142000,-40149.09908178016
143000,-40280.45601031311
144000,-40261.6478341577
145000,-39793.6659922369
146000,-40550.06369140155
147000,-40897.43355647774
148000,-40722.64922897663
149000,-40480.63247270018
150000,-39660.72749587313
151000,-39818.662159313
152000,-40356.82182534259
153000,-40056.97012393208
154000,-39906.251145987684
155000,-39966.52084594522
156000,-40295.30839967145
157000,-39469.73735971462
158000,-40694.16942704575
159000,-40234.83686605875
160000,-40288.89756853324
161000,-39982.5184146963
162000,-40476.08603848667
163000,-39446.47473999366
164000,-39549.82849426024
165000,-39802.22036502161
166000,-39150.19150747503
167000,-39694.284560386935
168000,-40013.19663465905
169000,-40040.77174392862
170000,-39880.97346784401
171000,-40159.36482586693
172000,-40248.46595170644
173000,-39363.18617999022
174000,-39740.82855261599
175000,-39741.02938201763
176000,-39645.01365646797
177000,-40413.39734884746
178000,-40304.50647018983
179000,-40305.25574545223
180000,-39678.892444621946
181000,-39986.321598813796
182000,-39332.10944506782
183000,-40030.524092780484
184000,-39526.5223049473
185000,-40202.143213318275
186000,-40036.11120558872
187000,-40177.25853332422
188000,-39403.10898750815
189000,-40293.835538994106
190000,-40220.554272183355
191000,-40419.716864138856
192000,-40302.57893991298
193000,-39768.85585714772
194000,-39649.34065310085
195000,-39899.47119265096
196000,-39851.86002002917
197000,-39708.50627939048
198000,-39884.70116483527
199000,-40089.71290109023
200000,-40107.22967744777
201000,-40163.654733038544
202000,-40012.74698430626
203000,-39607.48463753989
204000,-39917.049234249775
205000,-40497.27856086909
206000,-40000.63359844643
207000,-39883.00908671142
208000,-39483.015914341115
209000,-39448.90708920232
210000,-39605.103866535486
211000,-39355.46272623578
212000,-39801.47970796727
213000,-39691.011307839
214000,-39624.545252464006
215000,-40559.54452132802
216000,-39841.149713510684
217000,-39826.96186163895
218000,-40409.629363335305
219000,-39853.707650831086
220000,-40041.695749899125
221000,-40026.595652367
222000,-39453.86294570207
223000,-39935.880646870166
224000,-39723.64165061012
225000,-40486.22614878903
226000,-40154.06984258909
227000,-40003.353660367764
228000,-40265.862940767
229000,-40034.36157883948
230000,-40312.17655626242
231000,-40686.646356895275
232000,-39935.410541923
233000,-39605.90191587624
234000,-40618.888129487386
235000,-40134.13144825157
236000,-40452.010411009935
237000,-40415.59271226112
238000,-39991.062618618365
239000,-40072.08051129212
240000,-40046.0158284755
241000,-39968.5413985095
242000,-39808.8750782312
243000,-39553.11248061584
244000,-39997.73978290728
245000,-39613.81940598722
246000,-38854.68632265851
247000,-39821.68236803978
248000,-39461.59975859472
249000,-39638.63415290439
250000,-40251.49671672669
251000,-40065.608337803584
252000,-40018.051513257386
253000,-40083.989668831055
254000,-40021.35830927387
255000,-40511.364963748085
256000,-40783.75759975596
257000,-39496.944917683104
258000,-40474.937972254185
259000,-39800.405236560924
260000,-40224.768542200545
261000,-40566.09743902625
262000,-39864.79225528553
263000,-40286.86134956053
264000,-39696.61892782499
265000,-40012.04154089976
266000,-39944.80476472044
267000,-40308.075457222905
268000,-39606.42723305543
269000,-39820.18795010368
270000,-40530.20591983506
271000,-39777.87814295068
272000,-39618.28167746227
273000,-40191.36761023122
274000,-40857.1240522188
275000,-40098.02258328677
276000,-40197.26176704049
277000,-40607.060462324946
278000,-40347.33386495799
279000,-39898.35691108684
280000,-39951.394838336724
281000,-40032.221970630795
282000,-39750.747471058436
283000,-40118.370121075255
284000,-39483.23848587297
285000,-39896.87612016786
286000,-40497.28193607164
287000,-40307.83462380964
288000,-39953.00532912531
289000,-40506.45115748266
290000,-40096.55616669996
291000,-40063.725730937396
292000,-40762.99940290055
293000,-39938.74313011337
294000,-40439.68698377746
295000,-39076.33762329856
296000,-39564.920458101005
297000,-39984.160021839154
298000,-39834.49903481128
299000,-39794.413890868724
300000,-40102.73704727894
301000,-39736.31489991213
302000,-40083.79775150027
303000,-40604.63750672196
304000,-40118.33036622264
305000,-40212.78653292149
306000,-40195.39261496866
307000,-39909.62201293743
308000,-40584.35850810286
309000,-40566.931617692404
310000,-40862.471516478065
311000,-39883.889128471434
312000,-40143.75739572306
313000,-40261.59184562905
314000,-40624.52574390779
315000,-40244.965580066506
316000,-40403.35153269191
317000,-40379.14375164757
318000,-39518.462625493106
319000,-39709.086191773444
320000,-39907.55814691236
321000,-40155.172202724534
322000,-39547.33354775955
323000,-39550.83161142634
324000,-39622.62671351906
325000,-39290.5602491312
326000,-39812.87445312417
327000,-39628.489593177525
328000,-39614.93382579324
329000,-39264.645348648075
330000,-39003.918228019844
331000,-39668.50287830184
332000,-40258.64880813357
333000,-40383.36580411488
334000,-40038.12920471774
335000,-40433.88634549453
336000,-39870.03652721469
337000,-39510.838039986964
338000,-39154.19365716271
339000,-40013.72310317868
340000,-39816.55977118941
341000,-39675.96709779352
342000,-39996.62437894721
343000,-40264.163051915275
344000,-40215.51468281755
345000,-40165.204877044074
346000,-39734.450458529085
347000,-40914.62147402822
348000,-39638.005315835486
349000,-40294.15080597449
350000,-40223.389714124256
351000,-40403.75755865373
352000,-40417.633127787325
353000,-39906.049770053585
354000,-40096.380677687586
355000,-40026.03321717435
356000,-39736.75750706653
357000,-39952.17637288582
358000,-40477.39131928928
359000,-40201.19466166134
360000,-40123.988203221
361000,-40029.22520396228
362000,-39662.60702884891
363000,-40117.33650914223
364000,-39411.9541193238
365000,-39659.68127978745
366000,-40103.63864510185
367000,-39291.65483952788
368000,-39947.693176844026
369000,-40127.62648646059
370000,-40078.24175342768
371000,-40172.14292357038
372000,-40578.75482046795
373000,-40506.97653396361
374000,-39709.02132680935
375000,-40818.36353516114
376000,-40255.01387425803
377000,-40404.915452294415
378000,-40250.33560370434
379000,-40473.69147336153
380000,-40640.39787091746
381000,-40233.10047538396
382000,-40369.97537709378
383000,-40411.09333154627
384000,-40502.90188427182
385000,-39812.8270931044
386000,-40234.53650063845
387000,-40247.45493366837
388000,-40339.60740390707
389000,-40183.40371112088
390000,-39971.578412598086
391000,-39863.61894516324
392000,-39725.50236581183
393000,-39868.53903818198
394000,-40366.84057445965
395000,-40626.65944345214
396000,-40252.91120539421
397000,-40080.75000125618
398000,-39788.2232858267
399000,-39073.22478525034
400000,-40255.564945515885
401000,-39824.10306186995
402000,-40492.692316549525
403000,-41094.76966173255
404000,-40324.0095411618
405000,-40465.14112409251
406000,-40489.34335657236
407000,-40088.88659729556
408000,-39773.76215397971
409000,-40163.11960908258
410000,-40364.147645532124
411000,-39518.57736690399
412000,-39706.54534269673
413000,-39928.79049334313
414000,-40403.311852197214
415000,-40167.12680689694
416000,-39854.13402732876
417000,-39434.53540978713
418000,-40136.28710442824
419000,-39881.36181808845
420000,-40178.253988749406
