inter,vdw,multipole,polar
-12821.541,6026.7876,-13360.3443,-5487.9844
-12776.2359,6074.7174,-13363.7744,-5487.1788
-12828.0585,6113.1031,-13424.0412,-5517.1204
-12849.1388,5942.6179,-13320.0824,-5471.6743
-12780.2685,6177.7048,-13432.9362,-5525.037
-12717.8472,6246.0192,-13419.0862,-5544.7802
-12849.1699,6182.7744,-13467.1369,-5564.8074
-12922.4748,6078.558,-13429.233,-5571.7997
-12946.2824,6084.2131,-13471.6197,-5558.8758
-12858.8331,6006.5437,-13372.9052,-5492.4717
-12735.338,6039.2956,-13286.2084,-5488.4252
-12795.7683,5985.4877,-13310.0377,-5471.2183
-12721.7697,5929.5399,-13249.4936,-5401.816
-12835.3783,6097.2846,-13424.1452,-5508.5177
-12781.2841,6083.3989,-13349.0157,-5515.6673
-12786.4347,6010.9545,-13308.1291,-5489.2601
-12816.8939,5945.9316,-13277.8034,-5485.0221
-12759.6459,5826.9787,-13205.5401,-5381.0845
-12756.7109,5983.9295,-13266.5691,-5474.0712
-12709.9693,5960.816,-13244.6336,-5426.1517
-12851.6292,6133.5214,-13433.1794,-5551.9711
-12667.4922,6106.0385,-13319.9253,-5453.6055
-12682.9483,5985.0418,-13240.8804,-5427.1097
-12645.8175,5897.05,-13148.6674,-5394.2
-12726.1077,5900.3035,-13223.7891,-5402.6221
-12851.2302,6286.4234,-13511.6094,-5626.0441
-12850.6042,6285.2491,-13533.0303,-5602.823
-12778.2393,6016.1641,-13325.153,-5469.2504
-12698.1318,6000.8376,-13245.5765,-5453.393
-12636.4407,5878.0418,-13121.5058,-5392.9768
-12731.0551,5961.9319,-13277.4555,-5415.5315
-12880.3248,5972.6749,-13347.3934,-5505.6063
-12660.1735,5867.9978,-13141.6426,-5386.5288
-12713.6606,5822.0966,-13176.1932,-5359.5639
-12706.9352,5838.2554,-13175.7903,-5369.4002
-12736.9499,5917.3559,-13262.3395,-5391.9662
-12645.3622,5888.5723,-13169.9654,-5363.9692
-12655.2465,5820.6703,-13115.0014,-5360.9154
-12642.9047,5939.9429,-13188.9429,-5393.9048
-12590.1959,5997.5995,-13185.8033,-5401.9922
-12490.8855,5893.3089,-13052.5981,-5331.5963
-12602.954,6128.0771,-13301.2959,-5429.7351
-12615.3408,5951.0348,-13187.2207,-5379.1549
-12618.1207,5888.5854,-13132.2718,-5374.4343
-12617.0481,5978.5519,-13211.9464,-5383.6535
-12581.5486,5889.3149,-13136.6569,-5334.2066
-12557.468,5972.8678,-13143.9208,-5386.415
-12641.984,6061.5003,-13267.6477,-5435.8366
-12600.4848,5981.7745,-13188.4653,-5393.794
-12512.7792,5913.5489,-13102.3042,-5324.024
-12509.6058,5944.1086,-13101.8433,-5351.8711
-12648.2244,5958.6903,-13191.2578,-5415.6569
-12666.3658,5831.1441,-13120.7673,-5376.7426
-12729.1341,5933.5169,-13237.3755,-5425.2755
-12672.0047,5997.6251,-13213.1983,-5456.4315
-12643.5735,5821.3946,-13103.7126,-5361.2555
-12589.6196,5976.7277,-13173.6926,-5392.6548
-12652.827,5933.9802,-13185.5711,-5401.2362
-12674.7383,5820.9038,-13164.9998,-5330.6423
-12690.5144,5922.4801,-13209.1186,-5403.8759
-12692.0858,6091.3616,-13322.0243,-5461.4231
-12662.0114,5778.994,-13125.3789,-5315.6265
-12617.0468,5916.6796,-13150.09,-5383.6364
-12699.0924,6006.2346,-13292.3071,-5413.0199
-12570.2519,5878.1884,-13113.1987,-5335.2417
-12708.173,6000.8285,-13260.2452,-5448.7564
-12685.9474,6221.0921,-13376.0095,-5531.0301
-12662.1569,5892.2982,-13168.325,-5386.1301
-12682.8556,5975.2459,-13250.6382,-5407.4632
-12644.4549,5992.2087,-13200.1407,-5436.5229
-12652.2659,5975.7049,-13192.4733,-5435.4975
-12630.0302,5975.3088,-13196.6852,-5408.6537
-12743.7045,5914.4391,-13218.3787,-5439.7648
-12775.6618,6034.2615,-13312.921,-5497.0022
-12762.0828,5900.3931,-13250.5854,-5411.8905
-12784.8313,5944.8217,-13296.5284,-5433.1246
-12775.5175,5869.4547,-13216.3234,-5428.6487
-12746.6822,5940.4159,-13238.5095,-5448.5886
-12669.2428,5918.3903,-13175.3879,-5412.2452
-12832.923,5962.0168,-13308.1042,-5486.8355
-12669.8794,5867.7101,-13131.4924,-5406.0971
-12747.2045,5922.4842,-13237.7859,-5431.9028
-12818.6689,6128.6278,-13405.226,-5542.0707
-12794.6611,5962.868,-13292.0326,-5465.4965
-12766.4985,5927.3691,-13227.0499,-5466.8177
-12728.3768,5878.9505,-13203.6998,-5403.6275
-12766.9594,6037.3279,-13298.2193,-5506.068
-12815.8542,6076.4106,-13350.7576,-5541.5072
-12689.1833,6091.178,-13286.2567,-5494.1046
-12583.7054,5902.6444,-13107.7527,-5378.5971
-12623.2387,5796.1653,-13068.4339,-5350.97
-12617.7805,5900.8969,-13133.6319,-5385.0456
-12707.2363,5921.5249,-13198.1248,-5430.6364
-12715.2996,5882.7119,-13184.2239,-5413.7876
-12867.4585,6113.7314,-13423.1322,-5558.0578
-12796.5064,6121.0997,-13355.5607,-5562.0454
-12808.8472,6017.5331,-13322.4203,-5503.96
-12824.6694,5915.7068,-13279.5513,-5460.8248
-12744.4955,6077.5691,-13300.3543,-5521.7104
-12897.0435,6117.4644,-13466.5124,-5547.9955
-12817.2948,6080.2313,-13373.3632,-5524.1629
-12775.1616,5995.4597,-13271.4417,-5499.1795
-12800.9735,6022.9374,-13298.2888,-5525.6222
-12736.1811,5980.208,-13248.2707,-5468.1185
-12784.3343,6009.0247,-13321.6176,-5471.7414
-12682.6141,5993.4741,-13225.3982,-5450.69
-12742.5816,6086.6603,-13324.0702,-5505.1717
-12715.6648,5970.1596,-13235.4279,-5450.3965
-12818.5244,5876.6648,-13254.2584,-5440.9308
-12835.6242,5874.1837,-13241.4333,-5468.3746
-12748.1531,5805.9357,-13175.8685,-5378.2203
-12771.6044,6018.831,-13305.7175,-5484.7178
-12739.0766,6146.5221,-13378.0563,-5507.5424
-12783.4173,6065.5504,-13353.9857,-5494.982
-12849.9056,6049.6513,-13391.5737,-5507.9832
-12739.5339,5931.9274,-13275.1482,-5396.3131
-12836.5178,5990.6308,-13342.0908,-5485.0578
-12824.7751,6034.9928,-13364.959,-5494.8089
-12821.7075,6079.5851,-13375.9386,-5525.354
-12984.8715,6288.4121,-13614.6297,-5658.6538
-13030.6842,6049.1141,-13499.7449,-5580.0534
-12935.187,6066.0569,-13457.1116,-5544.1323
-12913.9237,6074.2629,-13456.6728,-5531.5137
-12862.2338,6089.1342,-13399.746,-5551.6219
-12887.0355,6021.3516,-13376.9399,-5531.4472
-12997.1818,6114.7453,-13518.2245,-5593.7026
-12954.4905,5986.7893,-13417.6175,-5523.6623
-12894.2672,6045.0663,-13413.5006,-5525.8328
-12959.2095,5968.0299,-13417.2526,-5509.9867
-12817.7838,6084.8908,-13383.3489,-5519.3257
-12762.1773,5873.461,-13227.9172,-5407.7211
-12752.9544,6077.9338,-13348.8525,-5482.0357
-12889.2709,6023.1715,-13388.7804,-5523.662
-12894.6573,6156.0014,-13467.0973,-5583.5613
-12892.6839,6090.3725,-13435.3416,-5547.7148
-12889.5362,6036.2277,-13403.0149,-5522.749
-12823.0563,6082.2464,-13373.3904,-5531.9123
-12832.5086,6125.1029,-13412.8,-5544.8114
-12761.3648,5944.9036,-13254.5825,-5451.6859
-12726.8977,5990.8876,-13281.755,-5436.0304
-12842.3398,5943.5957,-13294.5797,-5491.3557
-12862.5119,6015.6815,-13360.6005,-5517.5929
-12949.4285,6019.1906,-13432.7356,-5535.8835
-12922.8258,6136.9191,-13467.8422,-5591.9028
-12886.9223,6005.7421,-13398.7725,-5493.8919
-12821.2667,6084.44,-13391.8773,-5513.8294
-12778.0389,5847.5987,-13223.7166,-5401.9209
-12754.9912,6026.2698,-13325.1695,-5456.0914
-12866.8439,6146.1854,-13452.6234,-5560.4058
-12789.5573,5965.4627,-13292.512,-5462.508
-12775.1253,5872.3988,-13235.5541,-5411.97
-12835.8654,5923.7573,-13298.8275,-5460.7952
-12709.9515,5918.0632,-13227.6287,-5400.386
-12693.1585,5982.359,-13261.8215,-5413.696
-12770.6571,5805.0778,-13213.2022,-5362.5327
-12846.7424,6092.1121,-13421.4666,-5517.3879
-12706.2736,5955.8538,-13278.3766,-5383.7507
-12777.2862,6101.8515,-13373.0827,-5506.0549
-12754.7556,5935.7084,-13268.4903,-5421.9738
-12790.4482,6103.1516,-13398.2295,-5495.3702
-12854.3038,6114.6562,-13450.5114,-5518.4486
-12790.768,5890.8862,-13236.7263,-5444.928
-12641.7334,5713.6171,-13056.3934,-5298.9571
-12640.7432,5922.0465,-13176.052,-5386.7377
-12730.6596,5995.5906,-13268.8289,-5457.4212
-12620.8007,5838.2362,-13136.6298,-5322.4071
-12759.2255,6040.7518,-13323.0578,-5476.9196
-12677.0068,6031.3582,-13272.2587,-5436.1064
-12615.5664,5926.9016,-13147.7956,-5394.6724
-12715.1915,5806.5162,-13144.6745,-5377.0332
-12656.3118,5952.0824,-13161.3098,-5447.0845
-12564.6963,5835.2225,-13082.3228,-5317.596
-12700.3575,6117.0673,-13322.3797,-5495.0451
-12789.2226,6080.6464,-13364.7397,-5505.1293
-12719.9463,5865.4652,-13206.6392,-5378.7722
-12707.4777,5885.3711,-13189.376,-5403.4728
-12631.4508,6073.9814,-13245.3846,-5460.0476
-12846.1537,6058.8868,-13393.2196,-5511.8209
-12855.9992,6085.8786,-13399.004,-5542.8738
-12747.1775,6095.3843,-13334.4662,-5508.0956
-12754.0781,6071.0085,-13335.6873,-5489.3993
-12610.1717,6013.9074,-13204.2841,-5419.795
-12763.2044,6161.5991,-13392.1332,-5532.6704
-12765.2228,6216.9118,-13443.8136,-5538.3211
-12689.4828,6137.044,-13337.7746,-5488.7523
-12721.0561,6030.4346,-13292.8624,-5458.6283
-12774.2752,6129.5311,-13380.7284,-5523.0779
-12715.5896,6074.6046,-13309.0663,-5481.1279
-12800.8489,5925.9024,-13261.6927,-5465.0586
-12672.8474,5909.0808,-13191.7115,-5390.2167
-12768.4748,5906.5285,-13249.5976,-5425.4058
-12803.3383,6084.4017,-13379.5169,-5508.2231
-12727.2655,6001.3606,-13269.2229,-5459.4033
-12812.6848,6147.7021,-13427.2418,-5533.145
-12785.0395,5989.044,-13329.5148,-5444.5687
-12753.1263,6255.1944,-13449.0707,-5559.25
-12835.2972,6314.6048,-13534.2053,-5615.6967
-12875.7659,6198.9399,-13476.5704,-5598.1354
-12798.355,6048.4297,-13357.0486,-5489.7361
-12909.7911,6115.0378,-13445.1765,-5579.6524
-12882.4381,5997.0258,-13364.1348,-5515.329
-12861.9627,6054.3056,-13370.7465,-5545.5217
-12865.8421,6046.0943,-13413.263,-5498.6735
-13036.8435,6335.7532,-13681.9312,-5690.6655
-12931.3384,6326.752,-13588.8339,-5669.2565
-12857.2569,6049.8017,-13369.0515,-5538.0071
-12787.7967,6128.2238,-13395.0417,-5520.9788
-12824.9701,6172.1318,-13440.1893,-5556.9126
-12770.5945,6104.5926,-13333.603,-5541.5841
-12733.1177,5936.2338,-13216.9603,-5452.3911
