inter,vdw,multipole,polar
-12734.4793,5908.3399,-13217.4409,-5424.2755
-12927.3674,5906.1398,-13353.9052,-5478.4999
-12786.3365,5904.4133,-13285.4624,-5404.1949
-12747.5309,5921.6694,-13256.3435,-5411.772
-12882.3477,5928.9166,-13349.8665,-5460.3069
-12813.3872,6188.7828,-13472.2492,-5528.8367
-12882.244,6056.2969,-13424.2876,-5513.1817
-12725.369,5957.0283,-13259.4313,-5421.8861
-12829.5736,6138.3562,-13445.0924,-5521.7661
-12731.0415,6028.6181,-13329.691,-5428.9049
-12648.7942,5952.6845,-13216.7162,-5383.6697
-12692.6612,5728.2032,-13080.7797,-5338.9994
-12619.84,5729.7452,-13028.3907,-5320.107
-12698.6426,6009.5489,-13258.0955,-5449.0188
-12692.576,5924.2067,-13215.0544,-5400.6748
-12817.7849,5899.2402,-13321.5195,-5394.4137
-12927.5522,6129.0091,-13515.5744,-5539.8771
-12796.2182,5875.9407,-13269.2754,-5401.8097
-12778.4961,6019.7095,-13304.864,-5492.2569
-12837.3725,5989.0058,-13329.0195,-5496.2831
-12862.4522,6061.3708,-13417.0307,-5505.7172
-12800.7294,6045.0593,-13373.5953,-5471.1081
-12859.0266,6029.0264,-13405.9038,-5481.0953
-12827.5049,6038.0949,-13381.7666,-5482.7596
-12791.3992,6092.1726,-13390.0167,-5492.4966
-12829.7464,6095.1661,-13390.1771,-5533.6774
-12710.1202,5818.1699,-13136.2367,-5390.9903
-12799.1805,6019.5006,-13334.8077,-5482.8109
-12620.2411,5722.5378,-13058.8805,-5282.8373
-12719.984,5916.3601,-13240.8472,-5394.4417
-12666.9495,6181.9084,-13349.5148,-5498.2759
-12681.0314,6001.5389,-13251.5819,-5429.9181
-12720.7673,5939.2164,-13233.4887,-5425.4087
-12696.4551,5853.0195,-13163.0219,-5385.3747
-12685.8364,6158.4283,-13330.081,-5513.1112
-12676.6616,5930.8157,-13184.3802,-5422.0266
-12816.7501,5818.7516,-13233.9746,-5400.4503
-12742.6632,6004.3516,-13294.73,-5451.2148
-12784.9878,6135.4554,-13411.2195,-5508.1655
-12681.927,6083.9525,-13321.7719,-5443.0433
-12892.2183,6063.7879,-13443.4907,-5511.4435
-12783.8533,6033.6224,-13356.057,-5460.3424
-12643.8251,6210.1118,-13373.2368,-5479.6231
-12752.6614,6203.858,-13456.4119,-5499.0199
-12733.3089,6091.1399,-13369.3831,-5453.9709
-12716.3738,6096.3393,-13355.7786,-5455.8399
-12640.0761,6075.0254,-13294.5737,-5419.432
-12731.7494,5987.0902,-13307.0757,-5410.6664
-12750.1771,5996.5295,-13319.36,-5426.2447
-12812.0176,6037.2158,-13354.0941,-5494.065
-12844.5504,6104.6436,-13430.3008,-5517.7951
-12882.4902,6134.8744,-13457.6269,-5558.6573
-12930.4521,5898.683,-13387.869,-5440.1784
-12889.4086,6009.1582,-13408.5607,-5488.9122
-12751.1659,5928.7632,-13265.8776,-5412.9653
-12694.0686,5953.479,-13228.1373,-5418.3215
-12675.7169,6228.2714,-13378.3152,-5524.5789
-12780.1127,5997.7297,-13323.3103,-5453.4624
-12764.789,6036.4276,-13313.2763,-5486.8631
-12876.0588,6213.4415,-13507.6816,-5580.7362
-12800.9989,6060.1984,-13358.077,-5502.0258
-12788.6182,6025.3827,-13343.3261,-5469.5771
-12794.4449,5973.6701,-13315.0181,-5451.9926
-12789.1128,5848.761,-13210.3922,-5426.3731
-12772.8875,5947.4802,-13267.4793,-5451.8041
-12749.8091,5885.9703,-13217.4359,-5417.252
-12699.6731,5837.987,-13174.2164,-5362.3435
-12660.9294,5823.8441,-13137.4287,-5346.2317
-12737.2534,5821.5425,-13194.0003,-5363.7162
-12742.3748,5936.753,-13240.7885,-5437.2578
-12715.1014,5874.6862,-13196.5621,-5392.1328
-12683.3202,5784.1996,-13133.5214,-5332.91
-12766.7419,5900.0376,-13268.4678,-5397.2353
-12810.1946,5843.4503,-13262.9206,-5389.6576
-12802.649,5943.5714,-13301.3973,-5443.7218
-12948.8191,6075.9153,-13488.1918,-5535.4729
-12845.1018,5869.2745,-13298.3292,-5414.9523
-12804.1888,6078.0625,-13379.8354,-5501.3385
-12815.8938,6014.2489,-13354.8191,-5474.238
-12911.4387,5995.4122,-13421.7551,-5484.0092
-12915.0174,5957.3528,-13389.1045,-5482.1907
-12942.1817,6126.6868,-13498.743,-5569.0483
-12898.0975,6242.1598,-13547.4567,-5591.7181
-13017.5734,6039.7267,-13492.0035,-5564.2307
-12869.8442,6099.7,-13434.3821,-5534.0783
-12891.7346,6226.3375,-13542.7529,-5574.2428
-12941.1632,6048.1821,-13419.0713,-5569.1962
-12791.8352,6002.3781,-13312.8037,-5480.3291
-12819.4865,6026.8479,-13385.5849,-5459.6784
-12884.7565,6126.3906,-13439.0321,-5571.0446
-12846.5664,5906.8206,-13298.5002,-5453.8006
-12727.0747,5937.1432,-13233.5295,-5429.5995
-12683.0649,5797.8936,-13133.0277,-5346.844
-12847.2475,5981.9617,-13359.1226,-5469.0114
-12798.6755,5922.6505,-13283.6884,-5436.5443
-12637.5081,5981.5144,-13213.3567,-5404.5844
-12759.969,5887.6429,-13249.389,-5397.1484
-12751.9336,5872.9731,-13212.5384,-5411.3168
-12818.2926,6210.2602,-13465.9725,-5561.5249
-12774.7186,5878.9484,-13247.4627,-5405.1445
-12772.0673,5902.1815,-13266.6017,-5406.5692
-12732.607,5919.152,-13232.6206,-5418.0674
-12752.7732,5985.6511,-13300.1727,-5437.1575
-12807.0183,6102.9054,-13390.4849,-5518.3148
-12854.4034,5955.4333,-13343.961,-5464.7832
-12784.013,6032.7999,-13340.7276,-5474.9917
-12859.8975,5998.7742,-13375.9891,-5481.6105
-12863.8635,6074.245,-13423.7812,-5513.2501
-12852.9054,5966.3727,-13358.5169,-5459.686
-12882.6989,5915.1207,-13335.6592,-5461.0687
-12742.8314,5959.7839,-13258.1333,-5443.371
-12806.8914,5804.238,-13226.5486,-5383.4789
-12797.5126,5993.2287,-13332.8344,-5456.8193
-12730.2016,5978.3052,-13281.5041,-5425.9165
-12837.4518,5955.2855,-13356.2095,-5435.4276
-12801.2281,5990.0915,-13311.2843,-5478.9533
-12849.3104,5878.6754,-13290.0523,-5436.8576
-12850.5273,5932.8577,-13332.6055,-5449.6796
-12822.1062,6034.5394,-13355.0988,-5500.4709
-12773.927,6196.3555,-13435.6304,-5533.5795
-12772.3789,5872.9175,-13254.171,-5390.0541
-12826.7096,5956.4959,-13338.6391,-5443.4899
-12941.4836,6097.0132,-13506.6892,-5530.7125
-12829.148,6059.3079,-13392.1695,-5495.2091
-12897.125,5833.1532,-13282.5268,-5446.6636
-12833.2803,6094.0669,-13403.7733,-5522.5006
-12897.6969,6182.5508,-13536.317,-5542.8315
-12835.9028,5944.9681,-13344.3427,-5435.4149
-12715.3403,5780.2929,-13146.926,-5347.5866
-12778.48,5819.3864,-13208.4039,-5388.371
-12656.7527,5851.4121,-13161.801,-5345.2657
-12673.8578,5773.961,-13102.1688,-5344.5568
-12626.1277,5864.5283,-13110.2796,-5379.2859
-12572.3872,5989.0517,-13164.582,-5395.7952
-12575.9884,6054.3843,-13214.9393,-5414.3352
-12528.2897,5877.403,-13085.9628,-5318.6493
-12620.1035,5889.0419,-13151.1271,-5356.9135
-12628.8291,5780.1566,-13064.6551,-5343.2345
-12571.4565,5727.6828,-13048.6742,-5249.3731
-12521.6583,5969.0685,-13109.7102,-5379.918
-12591.7797,6031.3815,-13215.3501,-5406.7189
-12479.8941,5768.4641,-12977.6093,-5269.6599
-12529.3003,6063.1146,-13193.1739,-5398.143
-12637.0593,6026.2333,-13250.854,-5411.3384
-12668.7321,5995.9042,-13257.4461,-5406.0934
-12608.4074,6048.8943,-13251.5087,-5404.6936
-12653.1818,6029.3565,-13240.6348,-5440.7965
-12597.8009,5944.7125,-13149.747,-5391.68
-12578.2609,6019.8797,-13224.4888,-5372.5736
-12655.5462,5953.5038,-13204.3188,-5403.6424
-12722.7499,6045.874,-13306.4711,-5461.0423
-12665.0918,6104.1119,-13305.8622,-5462.2577
-12712.5467,6015.9256,-13324.6734,-5402.7037
-12779.4791,6092.0771,-13393.0236,-5477.4102
-12716.6581,6026.0749,-13331.0728,-5410.5624
-12800.8805,6027.1641,-13346.4267,-5480.5244
-12707.9673,5933.7721,-13254.5729,-5386.05
-12629.1896,5844.0342,-13138.3105,-5333.8232
-12735.2198,5908.8268,-13235.1913,-5407.7404
-12691.5592,5913.9246,-13217.0432,-5387.3287
-12644.3536,5911.0151,-13185.9323,-5368.3288
-12528.5157,5889.6352,-13094.0277,-5323.0152
-12727.3035,5908.7344,-13245.2162,-5389.6819
-12693.2807,5971.9945,-13278.2705,-5385.8924
-12800.1647,6185.1288,-13461.318,-5522.8505
-12811.8438,5971.3077,-13329.2679,-5452.7789
-12847.5794,6260.252,-13505.6208,-5601.1042
