inter,vdw,multipole,polar
-12680.4766,5908.1933,-13172.5173,-5416.1526
-12869.9287,5905.6925,-13301.3337,-5474.2875
-12734.1059,5903.8693,-13238.3684,-5399.6067
-12701.3422,5921.1132,-13214.1598,-5408.2956
-12835.8987,5928.2539,-13307.8881,-5456.2645
-12757.1398,6188.3281,-13420.8005,-5524.6674
-12823.4812,6055.8684,-13372.9631,-5506.3865
-12671.6736,5956.5078,-13212.4159,-5415.7654
-12782.243,6137.4388,-13403.2228,-5516.459
-12680.6941,6027.7835,-13285.4159,-5423.0617
-12593.6815,5951.9053,-13165.4739,-5380.1129
-12634.536,5727.7484,-13033.0021,-5329.2822
-12569.6636,5729.0428,-12986.5229,-5312.1834
-12649.6882,6008.8792,-13214.8871,-5443.6803
-12636.7147,5923.3061,-13162.7723,-5397.2485
-12762.3,5898.4223,-13272.8322,-5387.8901
-12869.2343,6128.5022,-13464.3136,-5533.4228
-12751.1009,5875.4041,-13231.4104,-5395.0946
-12727.3478,6019.0779,-13257.8782,-5488.5475
-12785.8479,5988.4118,-13286.7323,-5487.5274
-12802.9493,6060.7336,-13360.052,-5503.631
-12747.2754,6044.5372,-13328.1156,-5463.6971
-12803.1291,6028.5902,-13351.9197,-5479.7996
-12773.5728,6037.5401,-13330.7675,-5480.3454
-12735.9301,6091.7476,-13339.4793,-5488.1984
-12784.645,6094.406,-13347.1387,-5531.9123
-12661.2519,5817.3917,-13093.1497,-5385.4939
-12742.5625,6018.8954,-13287.5063,-5473.9517
-12574.6667,5721.8802,-13019.3185,-5277.2284
-12666.7489,5915.9794,-13199.3815,-5383.3468
-12612.0667,6181.5721,-13300.9863,-5492.6525
-12633.7945,6001.259,-13210.8989,-5424.1546
-12673.2951,5938.9857,-13192.8705,-5419.4103
-12654.1423,5852.697,-13126.6057,-5380.2336
-12642.4128,6158.4745,-13299.0898,-5501.7975
-12623.976,5930.8353,-13139.6642,-5415.147
-12771.25,5818.6761,-13196.0536,-5393.8725
-12690.2644,6004.1951,-13250.5047,-5443.9548
-12736.3159,6135.0785,-13370.4291,-5500.9653
-12619.6285,6083.6288,-13264.3288,-5438.9286
-12842.3809,6063.5282,-13401.9742,-5503.9349
-12732.8938,6033.4015,-13311.1083,-5455.187
-12591.9323,6209.9167,-13330.6918,-5471.1571
-12696.0052,6203.7329,-13404.2379,-5495.5002
-12678.8187,6090.8473,-13320.117,-5449.549
-12664.3247,6096.1001,-13313.4902,-5446.9345
-12583.7532,6074.6816,-13243.829,-5414.6058
-12682.4308,5986.7213,-13264.9514,-5404.2007
-12698.3845,5996.0676,-13274.8887,-5419.5634
-12760.016,6036.7502,-13309.7168,-5487.0494
-12796.0924,6104.2038,-13387.4732,-5512.823
-12832.7947,6134.5391,-13417.2506,-5550.0833
-12886.3621,5898.2247,-13350.0693,-5434.5175
-12839.7512,6008.8487,-13363.2688,-5485.3311
-12701.1031,5928.6815,-13227.0432,-5402.7414
-12635.5196,5953.6342,-13178.8101,-5410.3438
-12636.6708,6227.9933,-13344.2935,-5520.3706
-12736.8973,5997.4403,-13288.786,-5445.5517
-12719.7594,6035.9776,-13272.2259,-5483.5111
-12831.5034,6212.9488,-13472.0529,-5572.3992
-12754.0127,6059.534,-13316.9146,-5496.6321
-12743.5297,6024.8245,-13305.7706,-5462.5836
-12744.3252,5973.469,-13269.5157,-5448.2785
-12745.2144,5848.5412,-13174.1854,-5419.5702
-12719.107,5946.9869,-13217.4846,-5448.6093
-12697.5088,5885.6305,-13169.3446,-5413.7947
-12645.3934,5837.5911,-13125.0369,-5357.9476
-12608.2203,5823.3086,-13088.7286,-5342.8002
-12681.7913,5821.139,-13143.2722,-5359.6581
-12693.9675,5936.1063,-13198.1344,-5431.9394
-12661.4142,5874.1278,-13146.5847,-5388.9573
-12629.7709,5783.9114,-13086.6368,-5327.0455
-12714.7764,5899.6941,-13222.4625,-5392.008
-12755.777,5842.9617,-13211.361,-5387.3777
-12746.1019,5943.151,-13251.6724,-5437.5806
-12902.7745,6075.7395,-13446.7623,-5531.7516
-12788.3312,5869.0029,-13242.0995,-5415.2347
-12753.2514,6077.8549,-13333.8867,-5497.2196
-12753.3897,6013.9926,-13293.0823,-5474.3
-12850.1581,5994.6473,-13366.3382,-5478.4672
-12856.6508,5956.6273,-13335.2821,-5477.9959
-12884.8834,6126.245,-13443.1263,-5568.0022
-12846.1649,6241.8731,-13500.4969,-5587.5411
-12962.74,6039.1168,-13444.3863,-5557.4706
-12814.7632,6099.1123,-13384.1369,-5529.7387
-12849.937,6225.6443,-13509.5751,-5566.0061
-12894.5174,6047.7436,-13378.4783,-5563.7828
-12742.5065,6001.9259,-13272.3073,-5472.125
-12773.0184,6026.2878,-13344.2657,-5455.0405
-12838.7041,6125.7546,-13397.1572,-5567.3015
-12795.6882,5906.1259,-13253.4404,-5448.3736
-12677.202,5936.4143,-13186.4149,-5427.2014
-12637.0607,5797.1626,-13093.9632,-5340.26
-12801.0186,5981.4575,-13318.0155,-5464.4606
-12757.5206,5922.1447,-13249.0278,-5430.6375
-12592.7757,5980.6095,-13175.2392,-5398.1461
-12713.3714,5886.8639,-13208.7832,-5391.452
