inter,vdw,multipole,polar
-12804.2577,6056.4292,-13337.8265,-5515.1964
-12835.481,5951.8873,-13313.2419,-5466.4884
-12893.8477,5919.1845,-13335.7088,-5469.645
-12805.1274,5918.5492,-13280.0713,-5435.9441
-12875.0881,5941.2385,-13337.9532,-5470.7233
-12881.0618,5947.7839,-13375.0484,-5446.1371
-12852.9612,6002.2373,-13367.8458,-5479.6827
-12772.4459,5989.755,-13296.9838,-5457.5844
-12856.8842,6002.6057,-13346.2737,-5505.5682
-12858.6856,6116.6238,-13422.2302,-5545.4469
-12792.7364,5804.4905,-13200.0538,-5389.52
-12841.865,5712.5851,-13202.6807,-5344.0989
-12775.2338,5928.9922,-13272.8919,-5423.7298
-12898.1548,6108.9722,-13456.0342,-5543.4769
-12847.8615,6105.3629,-13439.1408,-5506.4305
-12800.6499,6036.7475,-13346.4581,-5483.2729
-12874.2731,6073.2257,-13422.46,-5517.335
-12950.5585,5869.1658,-13354.6192,-5457.4344
-12899.8223,5931.7384,-13359.7458,-5464.1939
-12861.5471,5988.1308,-13345.7131,-5496.3673
-12805.4881,5992.7816,-13332.0943,-5458.5361
-12933.9847,6008.3235,-13432.8602,-5501.7969
-12913.6211,6090.9944,-13458.1285,-5538.8438
-12805.5066,6162.5008,-13436.1952,-5524.1984
-12743.743,6035.6064,-13321.831,-5449.894
-12731.2719,5972.3125,-13274.5465,-5421.403
-12905.9007,5979.3733,-13389.3648,-5488.2823
-12776.1035,5926.2049,-13262.1267,-5432.5401
-12772.5115,5977.0105,-13290.9886,-5450.9051
-12802.9795,5900.4942,-13269.0334,-5426.8101
-12799.0408,5945.7392,-13316.041,-5421.0746
-12628.5314,5910.6587,-13196.1491,-5335.3737
-12695.6193,6105.7694,-13336.0002,-5457.7362
-12651.3906,6131.9425,-13321.7743,-5453.9396
-12856.6295,6084.2428,-13424.9862,-5508.2346
-12791.9344,6105.3197,-13398.9843,-5490.636
-12694.3594,6147.6543,-13359.604,-5474.7747
-12718.7273,5995.6091,-13302.1518,-5404.5289
-12608.3366,5895.5599,-13144.5478,-5351.6871
-12629.3114,6001.8622,-13216.3665,-5407.1377
-12765.2734,5875.3508,-13242.6343,-5390.339
-12777.4455,6185.3168,-13411.6816,-5543.3869
-12756.3892,6085.2403,-13346.7287,-5487.2502
-12824.1367,6120.1081,-13429.5681,-5507.0157
-12741.1176,6128.7545,-13373.4784,-5488.7616
-12760.6115,6040.3109,-13304.7513,-5488.5367
-12729.791,6046.1775,-13297.222,-5471.1068
-12763.7885,6001.6643,-13315.2813,-5442.5019
-12732.5809,5998.3858,-13281.3689,-5441.9479
-12755.234,6040.0338,-13336.3511,-5451.2769
-12792.5017,5956.9902,-13313.3857,-5428.472
-12847.4506,5878.4385,-13311.0057,-5407.23
-12782.3819,6061.3908,-13371.4669,-5464.6625
