Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.359598
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.035428
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
1000,-38604.63896625832
bubble radius: 1.0 A
2000,-38637.19880800095
bubble radius: 1.5 A
3000,-38845.35104587819
bubble radius: 2.0 A
4000,-39619.019511694234
bubble radius: 2.5 A
5000,-39875.855325954035
bubble radius: 3.0 A
6000,-39584.34362832428
bubble radius: 3.5 A
7000,-39577.87193670508
bubble radius: 4.0 A
8000,-39461.388506314994
bubble radius: 4.5 A
9000,-39597.64424167902
bubble radius: 5.0 A
10000,-39976.856213108185

System Time is: 2023-03-26 16:36:05.912655
Starting equilibration...

11000,-40206.22192504053
12000,-39969.48784625878
13000,-40272.440554995905
14000,-40253.42255952317
15000,-39914.051392055364
16000,-39767.724258843315
17000,-40099.57105372418
18000,-40293.74955192265
19000,-40058.416723561255
20000,-39955.35399329214
21000,-40181.20309609063
22000,-40284.91040412379
23000,-40331.82391071462
24000,-39996.787739292915
25000,-39744.9993313842
26000,-40144.104004806606
27000,-40583.29902586875
28000,-40657.15240187426
29000,-40687.197646452776
30000,-39885.70813618244
31000,-39997.23079802275
32000,-39648.19965879355
33000,-40089.47957695097
34000,-40457.59949816328
35000,-40103.66625777498
36000,-40247.38868208053
37000,-39612.81989471335
38000,-40027.27288499281
39000,-40335.231319795916
40000,-39606.81787564984
41000,-40038.58938923256
42000,-40352.426852094155
43000,-39514.11115753141
44000,-39932.84470632096
45000,-39582.1311915788
46000,-39456.7519121668
47000,-39754.256567717624
48000,-39861.81234512672
49000,-39947.0593549539
50000,-39781.11028375593
51000,-40507.796730503585
52000,-39734.54898940228
53000,-40134.387513527035
54000,-39479.53976834098
55000,-39783.23125648916
56000,-39927.88581256097
57000,-39642.38584520105
58000,-40117.82871365306
59000,-40036.32827676157
60000,-40181.93470349049
61000,-40385.12968351177
62000,-39963.115152354556
63000,-40383.62199584088
64000,-39938.53347354963
65000,-39981.903761107824
66000,-40156.02588259649
67000,-40089.192616599
68000,-39969.81649278589
69000,-39813.8747179464
70000,-39528.594982220224
71000,-39843.959853106135
72000,-40037.919078847204
73000,-40185.79340680423
74000,-39887.68128454301
75000,-39601.8484186453
76000,-40171.49264951542
77000,-39307.6771420305
78000,-39387.01650395006
79000,-39878.132463500035
80000,-39680.95373818115
81000,-39516.613099099646
82000,-39593.42740317226
83000,-39483.50408258311
84000,-39748.30009713511
85000,-40078.00087592179
86000,-39125.52828975303
87000,-40094.00181044983
88000,-39350.69768971768
89000,-40373.748983112295
90000,-39666.09043028712
91000,-39151.90371441472
92000,-40318.34636289193
93000,-39591.10404976004
94000,-39827.56150207276
95000,-39441.67813533094
96000,-40166.58810268534
97000,-41033.440992641845
98000,-40222.52513678964
99000,-40445.489859579204
100000,-40051.9086089467
101000,-39592.04113265264
102000,-39965.35398073034
103000,-40577.72790945799
104000,-39095.58213569733
105000,-39425.36617252823
106000,-38943.15140716385
107000,-39635.65055387678
108000,-39476.545187101605
109000,-39957.74425281702
110000,-39316.558894514405

System Time is: 2023-03-26 16:52:19.801508
Starting production...

111000,-39700.27746844539
112000,-40114.64149306569
113000,-39973.44772348582
114000,-40162.70298347343
115000,-40122.820095626856
116000,-39809.00063471393
117000,-39910.19655377938
118000,-40041.32596923302
119000,-39231.33602722419
120000,-39959.12172375799
121000,-39792.36722172033
122000,-39364.97242981886
123000,-39989.16351099468
124000,-40491.42927953774
125000,-40331.26067820196
126000,-39876.04489660042
127000,-39356.005989094585
128000,-40031.06441777266
129000,-39811.27082855808
130000,-39530.10356689395
131000,-39733.67739688832
132000,-39129.70648090565
133000,-40362.53104516043
134000,-40268.83021415174
135000,-40664.67902466991
136000,-40007.84806515506
137000,-40217.540034489255
138000,-40316.94040572192
139000,-39654.284399469456
140000,-40112.97802481912
141000,-40748.51604339208
142000,-39903.80725021049
143000,-40248.32915907595
144000,-39677.02899338989
145000,-40170.83557863483
146000,-39601.13513991561
147000,-39908.64138171269
148000,-39823.52266485432
149000,-40008.94953148876
150000,-40556.86213769205
151000,-39811.03187642414
152000,-39847.42630684278
153000,-39844.9118007527
154000,-39810.127546520715
155000,-40358.335033620264
156000,-40187.57273452626
157000,-39528.54080112849
158000,-40163.280898301484
159000,-40498.204030455396
160000,-40027.6392906417
161000,-39886.57713134856
162000,-39424.4732615925
163000,-39580.01345766065
164000,-39418.748893493525
165000,-39307.65815737579
166000,-39537.09349895227
167000,-39720.06567933492
168000,-39517.43645366745
169000,-40109.49491098535
170000,-39869.661417798634
171000,-39142.00482790069
172000,-39304.42461558047
173000,-39240.84379052918
174000,-39621.88941727494
175000,-40455.77940285356
176000,-40237.80764760029
177000,-40468.05155934571
178000,-40746.846758430635
179000,-40756.79142127447
180000,-40376.6854477483
181000,-39965.65407521207
182000,-39634.28264228569
183000,-40793.18072065736
184000,-39897.28941807672
185000,-39817.692392032506
186000,-40142.21027428876
187000,-40072.687164247895
188000,-39430.78290899984
189000,-39133.89294626437
190000,-39493.58278012038
191000,-40200.2741567888
192000,-40200.76113335017
193000,-40048.573314595335
194000,-39250.29771860356
195000,-39652.782715277965
196000,-39585.28111401416
197000,-40038.03799957764
198000,-40021.05112235629
199000,-40212.636381918855
200000,-40467.37778993869
201000,-39568.08587432695
202000,-39676.87838171606
203000,-40000.47789243156
204000,-39383.64245032836
205000,-39633.877599086176
206000,-39217.66425816242
207000,-40241.98123683753
208000,-39868.21918748572
209000,-40112.983265704126
210000,-39592.17295690406
211000,-39900.11066394004
212000,-40247.855866233935
213000,-40334.39360574268
214000,-40264.3968054665
215000,-39586.11268016096
216000,-40053.04464964139
217000,-39930.2981646706
218000,-39485.46946315618
219000,-39275.70973038045
220000,-39274.09538947024
221000,-39878.21057053741
222000,-40131.092881763565
223000,-39724.00012859823
224000,-39638.051546290495
225000,-39886.33979029899
226000,-40488.280055654235
227000,-38973.75365079836
228000,-39377.47412638301
229000,-40447.054233789735
230000,-39720.00019718628
231000,-40114.09508207538
232000,-39514.13543049675
233000,-39800.050380745044
234000,-39395.37733394747
235000,-39699.00467599767
236000,-40262.59937021448
237000,-39809.153206473435
238000,-40112.593109514
239000,-40199.56485158173
240000,-39689.083784543225
241000,-40262.72955304927
242000,-40024.26063619432
243000,-39446.969480847
244000,-40501.31334411717
245000,-39617.09278490134
246000,-40009.69407914269
247000,-39704.06101587029
248000,-40250.43837911795
249000,-39781.201451425215
250000,-39534.75559197455
251000,-39028.75439748977
252000,-39420.38471567629
253000,-39177.30200347291
254000,-39601.98674872011
255000,-39225.35074750382
256000,-39959.84636866935
257000,-39869.53436214332
258000,-39893.212698119896
259000,-39373.55759225738
260000,-39549.352281022366
261000,-39962.21898029758
262000,-39983.26398760948
263000,-40132.27981921575
264000,-40136.37165371931
265000,-39841.6247283864
266000,-40002.12438944247
267000,-39323.02701255544
268000,-40220.98626800941
269000,-39631.58524355783
270000,-40879.73062881971
271000,-40253.882306401196
272000,-40554.31678163682
273000,-40558.21935950467
274000,-40097.18664628918
275000,-39759.89775506051
276000,-39427.27735981357
277000,-40320.418603694445
278000,-39716.11093590435
279000,-40240.64142647582
280000,-39842.78150646204
281000,-39510.91384857638
282000,-40113.001562501624
283000,-39938.261064615275
284000,-40286.1707462861
285000,-40394.004098018515
286000,-40265.45374661746
287000,-40048.25807828707
288000,-40241.85946915587
289000,-40132.1160843167
290000,-39855.3261978093
291000,-39740.787531803915
292000,-40235.77924817917
293000,-40363.46270769441
294000,-39269.596507937575
295000,-39255.357980136025
296000,-40417.853643984214
297000,-39480.119999012924
298000,-40039.51632555609
299000,-40320.80890457194
300000,-40327.407923158404
301000,-40073.20200790992
302000,-39912.39889871767
303000,-39698.40200258761
304000,-40059.29591779338
305000,-39294.15032307175
306000,-40188.89930285758
307000,-40066.43934693987
308000,-39735.07400158474
309000,-39812.01389382566
310000,-39931.91806417779
311000,-39889.301509474506
312000,-40404.468373177944
313000,-40036.96479761452
314000,-39561.839950555775
315000,-39593.749941105496
316000,-39519.50494805596
317000,-40333.82893046491
318000,-40092.97117811274
319000,-40075.943976085066
