inter,vdw,multipole,polar
-12751.8371,6060.5581,-13298.0069,-5514.3883
-12794.0858,5956.1526,-13291.6492,-5458.5893
-12842.415,5923.4172,-13301.0265,-5464.8057
-12759.1358,5922.6789,-13250.0023,-5431.8124
-12827.1163,5945.5625,-13309.5801,-5463.0987
-12832.2734,5952.1929,-13343.0669,-5441.3994
-12811.6659,6006.4522,-13343.8494,-5474.2687
-12731.8621,5993.8926,-13273.0748,-5452.6799
-12807.368,6006.9944,-13311.6866,-5502.6758
-12815.9343,6120.877,-13396.5294,-5540.2819
-12745.0849,5808.8537,-13171.704,-5382.2347
-12799.1815,5716.6277,-13177.3343,-5338.475
-12733.8599,5932.729,-13247.884,-5418.7049
-12852.0154,6112.8662,-13428.8968,-5535.9848
-12803.1713,6109.5014,-13412.6808,-5499.9919
-12751.0163,6041.1953,-13311.0445,-5481.1672
-12829.6316,6077.8097,-13399.9085,-5507.5329
-12903.2401,5873.5449,-13326.9578,-5449.8272
-12850.66,5936.4776,-13332.6137,-5454.5238
-12813.5941,5992.9737,-13317.5462,-5489.0217
-12760.4642,5997.1547,-13303.1298,-5454.4891
-12877.7412,6012.6499,-13391.2844,-5499.1067
-12865.843,6095.6344,-13430.8142,-5530.6632
-12756.6861,6166.926,-13405.4985,-5518.1136
-12690.8747,6040.3161,-13285.3246,-5445.8663
-12683.3568,5977.0803,-13241.6748,-5418.7623
-12858.591,5984.0469,-13358.6615,-5483.9764
-12731.8777,5930.8964,-13235.9344,-5426.8396
-12721.7431,5981.732,-13259.4093,-5444.0659
-12746.1677,5905.2664,-13229.0445,-5422.3896
-12742.218,5950.1494,-13278.7839,-5413.5835
-12572.917,5915.0819,-13160.5423,-5327.4567
-12650.2922,6110.2265,-13310.5111,-5450.0076
-12599.0445,6136.331,-13289.8392,-5445.5363
-12805.7083,6088.2176,-13393.2807,-5500.6452
-12729.9995,6109.702,-13355.5649,-5484.1367
-12641.7235,6151.8158,-13325.1955,-5468.3438
-12663.7361,6000.0522,-13263.6946,-5400.0937
-12556.4145,5899.9863,-13110.3283,-5346.0724
-12582.4665,6006.5489,-13186.7882,-5402.2272
-12717.7797,5879.9214,-13215.9058,-5381.7953
-12732.9085,6189.8308,-13386.617,-5536.1223
-12708.3696,6089.7926,-13321.1346,-5477.0276
-12779.2227,6124.5306,-13404.5654,-5499.1879
-12687.742,6133.0225,-13339.8598,-5480.9046
-12710.5311,6044.4151,-13272.8732,-5482.0731
-12678.8906,6050.4795,-13268.4765,-5460.8936
-12714.8829,6005.8956,-13283.6504,-5437.128
-12676.499,6002.594,-13246.5326,-5432.5604
-12704.0478,6044.0796,-13303.8714,-5444.256
-12744.6376,5961.1554,-13286.1101,-5419.6828
-12798.5241,5882.9066,-13283.5163,-5397.9143
-12733.655,6065.6506,-13344.3119,-5454.9937
-12692.6801,6155.4652,-13327.6268,-5520.5185
-12792.3254,6125.758,-13406.897,-5511.1865
-12739.4087,6059.2264,-13314.951,-5483.6841
-12687.321,5973.0179,-13232.2901,-5428.0488
-12634.6839,5991.3593,-13192.1257,-5433.9174
-12724.2735,5939.5138,-13228.8855,-5434.9017
-12799.6868,5907.5474,-13267.1618,-5440.0724
-12817.3806,5957.3892,-13308.5106,-5466.2592
-12735.5976,5913.1568,-13206.7388,-5442.0156
-12744.9163,6011.6154,-13285.5856,-5470.9462
-12793.5624,5973.3046,-13317.7846,-5449.0824
-12733.8507,5912.84,-13219.1848,-5427.5058
-12729.9379,5950.6622,-13237.3251,-5443.2749
-12748.126,5979.2074,-13254.2536,-5473.0798
-12736.3266,6044.6138,-13313.194,-5467.7464
-12769.1899,5978.8574,-13300.7398,-5447.3075
-12801.272,6076.1725,-13351.2398,-5526.2047
-12895.7437,6105.5226,-13435.6888,-5565.5775
-12798.613,6101.7535,-13385.6924,-5514.674
-12718.3095,5939.0919,-13224.1711,-5433.2303
-12732.2146,5942.2063,-13231.6708,-5442.7501
-12673.2982,5671.051,-13034.5773,-5309.7719
-12728.1664,6041.1103,-13311.4074,-5457.8694
-12798.575,6010.4259,-13334.7875,-5474.2134
-12728.3557,5917.6126,-13220.6477,-5425.3207
-12683.5718,5738.2427,-13083.0014,-5338.813
-12748.7742,5990.4882,-13262.8332,-5476.4292
-12745.6436,5920.3203,-13216.3215,-5449.6424
-12707.317,5803.7734,-13121.8755,-5389.2148
-12806.8947,5879.156,-13241.0745,-5444.9762
