inter,vdw,multipole,polar
-12895.7314,5976.7797,-13372.3234,-5492.9955
-12940.5144,6124.9352,-13503.9041,-5554.3264
-13041.849,6141.8366,-13586.3125,-5590.121
-12856.7958,5909.7468,-13327.7749,-5431.5943
-12938.7237,6111.884,-13490.1043,-5553.3221
-12877.1995,5951.7887,-13373.226,-5448.5866
-12921.6004,6212.2753,-13504.0999,-5622.5521
-12825.2472,6193.1306,-13445.2415,-5565.8368
-12793.7838,6136.1878,-13421.7594,-5500.9527
-12869.5394,6034.9602,-13381.86,-5515.4763
-12883.1817,6057.4995,-13393.4817,-5539.9388
-12944.3034,6097.0101,-13455.0432,-5579.0545
-12886.4322,6236.4877,-13484.4682,-5631.2809
-12897.8327,6010.9476,-13396.23,-5505.313
-12848.0148,6020.2745,-13381.7171,-5479.3535
-12851.1792,6030.8103,-13381.8609,-5492.8485
-12889.8921,6030.5882,-13416.8132,-5496.4296
-12932.2977,6094.058,-13455.9215,-5563.2112
-12895.9649,6123.962,-13478.3292,-5534.4048
-12846.0487,6031.0889,-13378.6855,-5491.3176
-12894.7867,6062.3442,-13418.0955,-5531.8979
-12860.4051,6036.7526,-13394.4801,-5495.4914
-13035.2506,6047.8777,-13533.8018,-5542.2015
-13081.5338,5946.3816,-13471.57,-5549.1349
-12864.9189,6098.2727,-13460.0031,-5496.0564
-12870.6249,6157.5307,-13467.9392,-5552.9489
-12968.2584,6096.0485,-13511.76,-5545.3648
-12930.7919,5895.6066,-13377.183,-5441.9493
-12904.8787,6100.7489,-13499.3181,-5498.9862
-12887.4658,5930.392,-13353.0877,-5457.4494
-12767.8493,6099.0278,-13361.7238,-5497.8934
-12846.9643,5985.867,-13326.3169,-5499.2718
-12851.1794,5986.9229,-13350.4231,-5480.4229
-12968.2825,5966.9155,-13404.9305,-5523.0597
-12893.0065,6147.9796,-13468.604,-5565.1934
-12835.5132,5947.377,-13304.4214,-5471.2611
-12911.482,5907.4218,-13339.2075,-5472.5359
-12908.7766,6032.1077,-13416.528,-5517.1833
-12883.6569,5995.909,-13359.8618,-5512.4954
-12789.5848,6141.1846,-13435.3159,-5488.2959
-12868.4731,6031.9037,-13408.2039,-5485.0107
-12848.1157,6172.1143,-13457.7774,-5555.3057
-12704.4203,6098.9016,-13305.6573,-5490.4076
-12767.0758,6011.25,-13322.5322,-5448.5631
-12738.2996,5921.5037,-13247.2158,-5405.4112
-12778.8322,5997.3306,-13300.9657,-5468.0175
-12832.612,6065.8707,-13378.4075,-5512.8359
-12897.2721,6069.9352,-13429.8492,-5530.1018
-12911.1431,6096.6987,-13465.6061,-5534.9739
-12802.1207,6094.5351,-13373.5361,-5515.9417
-12896.7722,6073.6721,-13418.0487,-5545.1191
-12827.3488,5811.6073,-13243.9303,-5387.7337
-12824.9345,5980.798,-13340.9381,-5457.5654
-12895.1,5973.9766,-13358.5646,-5503.2842
-12695.0008,5793.0865,-13130.3502,-5350.5286
-12815.9364,5941.9855,-13316.7259,-5433.9817
-12909.4696,6062.8853,-13427.311,-5537.8626
-12837.6551,5991.8211,-13333.8369,-5488.4705
-12902.6674,6030.746,-13424.6738,-5501.5548
-12845.1476,5894.5677,-13292.6011,-5439.9528
-12812.3555,5905.7002,-13278.5354,-5432.3607
-12851.858,5828.4615,-13265.3176,-5407.8023
-12809.4254,5982.2276,-13296.4447,-5488.0669
-12831.8597,5949.0274,-13307.6822,-5466.0593
-12812.6981,5888.425,-13269.1835,-5424.777
-12721.2159,5980.7205,-13248.2243,-5446.4415
-12742.2377,5878.4876,-13204.2467,-5409.3354
-12905.4358,5961.5087,-13380.3851,-5479.3507
-12875.7321,5871.2771,-13277.4601,-5462.3352
-12740.4289,5852.1865,-13174.9262,-5410.5388
-12754.4734,5850.9041,-13197.7347,-5400.4137
-12681.5178,5868.4304,-13139.5592,-5403.1767
-12710.4025,6004.8523,-13250.7195,-5457.3241
-12678.1676,5854.7995,-13149.441,-5376.4331
-12722.5718,5806.9713,-13142.4493,-5379.8079
-12754.8741,5813.8642,-13185.2253,-5376.2629
-12839.2143,5984.8307,-13314.8412,-5501.9843
-12785.521,6001.9004,-13316.2721,-5463.8908
-12866.955,6164.5032,-13493.5648,-5530.6681
-12886.8886,5795.3385,-13265.7815,-5409.2651
-12879.5614,6065.7832,-13434.0762,-5504.0754
-12877.6897,6103.3978,-13434.691,-5539.1624
-12809.021,5911.0238,-13252.1504,-5460.6452
-12848.5018,6081.622,-13394.251,-5528.7053
-12896.9482,5822.3623,-13256.6541,-5455.4587
-12783.7635,5915.401,-13256.6219,-5435.2331
-12826.1714,5931.9021,-13320.1376,-5430.7228
-12896.713,5931.538,-13354.1483,-5466.8921
-12817.3631,5830.7653,-13236.6663,-5404.2795
-12844.7543,5979.8586,-13332.8187,-5484.6253
-12961.0101,6061.8239,-13450.5966,-5565.0938
-12855.1503,5934.188,-13306.8712,-5475.3053
-13018.527,5876.8619,-13395.8581,-5492.3777
-12969.28,5910.3055,-13389.6282,-5482.6869
-12919.0634,5979.5185,-13398.9807,-5492.4431
-12958.422,6019.1641,-13428.5277,-5541.8736
-12963.6651,5934.204,-13381.424,-5509.2189
-12942.4895,6051.6998,-13432.8224,-5554.133
-13037.7304,6054.7112,-13494.9622,-5590.2717
-12987.4603,6113.4567,-13474.1693,-5619.4234
-12926.0862,5944.1937,-13369.2509,-5493.8176
-12954.1117,6061.5537,-13438.0445,-5570.3517
-13078.3068,6038.486,-13518.5443,-5590.9848
-12941.2087,6074.3595,-13440.0027,-5568.2864
-12983.7796,5875.5141,-13343.6731,-5508.3091
-12835.9211,5814.4009,-13223.4024,-5419.6033
-12871.4804,5981.6312,-13356.2571,-5489.6073
-12935.0341,5909.9272,-13355.2895,-5482.4594
-12984.0987,6075.1022,-13458.3393,-5593.6368
-12942.0907,6116.3311,-13497.2628,-5553.8711
-12904.6063,6065.9712,-13438.3075,-5525.0249
-13060.7821,6079.1323,-13546.3313,-5586.3911
-13062.3458,6176.087,-13599.6427,-5631.5499
-12933.925,6209.7207,-13534.9198,-5601.4713
-12828.9081,6024.1723,-13346.6588,-5499.1741
-12878.017,5939.5727,-13336.0293,-5474.3824
-12920.8278,5865.752,-13304.7842,-5474.6336
-12971.3306,6111.3718,-13499.9999,-5575.4813
-13022.662,6042.4965,-13483.9365,-5574.0389
-12971.7655,6022.8875,-13424.5697,-5562.902
-12933.5394,5950.2307,-13379.723,-5496.7994
-12961.182,5935.698,-13404.6371,-5485.0348
-12947.0637,5945.0822,-13383.4363,-5501.4679
-12873.501,5857.8571,-13306.0303,-5418.1143
-12987.9712,5980.6096,-13431.112,-5530.2978
-12913.6982,5957.6527,-13359.3209,-5504.9055
-12998.4568,6069.5529,-13460.8747,-5599.9387
-12846.53,6014.8202,-13343.1181,-5510.9993
-12869.1271,5806.7762,-13237.6235,-5431.108
-12753.5567,5825.737,-13186.1199,-5386.0647
-12888.4323,5866.2462,-13281.8955,-5465.6875
-12741.0135,5949.5654,-13246.5482,-5436.9109
-12811.5401,5789.0533,-13213.5425,-5379.8663
-12680.6083,5858.9058,-13125.0172,-5407.2434
-12857.2237,5760.5487,-13237.9215,-5372.6178
-12693.5086,5899.8723,-13184.951,-5401.1927
-12754.3835,5925.2922,-13262.3206,-5410.104
-12758.4273,5892.6787,-13220.2311,-5423.6659
-12799.4214,5987.1875,-13299.8576,-5479.4892
-12867.2276,5701.5443,-13161.6575,-5399.8535
-12753.5928,5758.9731,-13142.3052,-5363.059
-12708.7262,5716.8033,-13088.9659,-5329.4145
-12814.5966,5889.3135,-13281.3572,-5415.3668
-12886.9394,6004.0124,-13402.1469,-5481.6304
-12908.7693,5911.5758,-13370.9936,-5442.1134
-12913.8809,5942.658,-13371.5434,-5477.7203
-12952.6219,5809.6791,-13284.3984,-5470.6382
-12817.5325,5815.5602,-13233.1482,-5392.7487
-12732.517,5896.5043,-13211.9118,-5409.8747
-12843.4024,5730.9023,-13232.4429,-5334.6394
-12817.6232,5814.1537,-13229.5418,-5395.0177
-12730.7385,5974.0103,-13287.2915,-5410.2087
-12744.9781,5827.9847,-13198.7835,-5367.0397
-12761.4514,5979.0087,-13297.4934,-5435.8264
-12738.9524,6099.574,-13367.5664,-5463.7606
-12686.9342,6006.5469,-13271.8897,-5414.3945
-12825.9004,5891.9823,-13296.6487,-5414.02
-12816.9666,5894.8979,-13306.4557,-5398.1346
