Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:33:17.390083
Creating the simulation system...

System Time is: 2023-03-26 16:33:25.836066
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
1000,-38811.612843230774
bubble radius: 1.0 A
2000,-38882.311197256044
bubble radius: 1.5 A
3000,-39423.52222846566
bubble radius: 2.0 A
4000,-39392.37811787041
bubble radius: 2.5 A
5000,-39303.69481395015
bubble radius: 3.0 A
6000,-39888.11963516491
bubble radius: 3.5 A
7000,-39734.89797092022
bubble radius: 4.0 A
8000,-39883.929378242305
bubble radius: 4.5 A
9000,-39392.97346647548
bubble radius: 5.0 A
10000,-39145.02031525359

System Time is: 2023-03-26 16:34:53.816377
Starting equilibration...

11000,-39567.761154444845
12000,-40083.7125659257
13000,-39340.97238979345
14000,-39406.43435847369
15000,-39575.762312286395
16000,-40639.22518688425
17000,-40530.62340089814
18000,-40661.59067267294
19000,-40140.374119666
20000,-40371.93936981508
21000,-40336.525119508646
22000,-39749.50200552626
23000,-39382.29185062217
24000,-40061.289493113836
25000,-40181.25669628723
26000,-40369.87361160775
27000,-39429.28364262104
28000,-40338.01973438842
29000,-39511.110468631414
30000,-39647.94998139511
31000,-39998.8491280389
32000,-40140.5975027478
33000,-40136.81779144055
34000,-40091.05515657284
35000,-39601.393461498665
36000,-39959.83107307588
37000,-39940.80887700307
38000,-39601.239636444545
39000,-40192.74401617021
40000,-39192.556111438855
41000,-39464.53562739269
42000,-39869.522241458675
43000,-39277.19544864076
44000,-39472.7669893315
45000,-39050.92064538827
46000,-40066.66154854525
47000,-39924.683894942806
48000,-39212.84687313252
49000,-39882.27100638967
50000,-40636.76599635303
51000,-39965.692539719515
52000,-39967.788178492556
53000,-39772.369328547924
54000,-39839.266251461966
55000,-39773.58790175333
56000,-39817.382579493984
57000,-39567.63509045013
58000,-39938.56098776244
59000,-39495.65093099004
60000,-39323.99175337951
61000,-39181.735511817344
62000,-38843.886139295915
63000,-39521.226520881995
64000,-39583.127830504505
65000,-39253.121964766324
66000,-39367.85718430785
67000,-40198.183626008
68000,-39923.4986278992
69000,-39693.22321466879
70000,-40269.86783588237
71000,-40454.39380140776
72000,-40541.784418330426
73000,-40310.31965641779
74000,-40039.63412322007
75000,-40465.78090771381
76000,-40443.03380358254
77000,-40203.907451580744
78000,-40600.490900943856
79000,-40172.52522879318
80000,-40202.38348291599
81000,-40516.23853096477
82000,-39746.96141188685
83000,-40087.538613229175
84000,-40252.575158927495
85000,-39773.29212321237
86000,-39922.7955513655
87000,-39690.31197124668
88000,-40004.87920118603
89000,-40183.36607527525
90000,-40190.75831833342
91000,-39904.613802936314
92000,-39490.371816080995
93000,-39945.721049988184
94000,-40174.59590366305
95000,-40771.286126277526
96000,-39901.918826113026
97000,-39375.34110849687
98000,-40064.645548422384
99000,-40237.22046161201
100000,-40226.9718962877
101000,-40103.00359664945
102000,-39432.5023666212
103000,-40037.24150243141
104000,-40386.66508706081
105000,-39879.477605899934
106000,-39211.84719286145
107000,-39790.43195144078
108000,-39370.20137083082
109000,-40568.45338407319
110000,-39575.28055415267

System Time is: 2023-03-26 16:48:53.809606
Starting production...

111000,-39486.007390121
112000,-40102.25282594721
113000,-40379.60885182455
114000,-40202.89096343928
115000,-40275.797732467014
116000,-39646.205069117466
117000,-39397.848598236
118000,-40184.24105971982
119000,-39577.78773959316
120000,-40101.71909558624
121000,-40414.272658589965
122000,-40349.95189565388
123000,-39463.382808780094
124000,-39725.15465298519
125000,-39899.2192887438
126000,-39599.543424085095
127000,-40212.519185714584
128000,-39467.22360040559
129000,-40137.25489234325
130000,-39990.66659588278
131000,-40100.444994993115
132000,-39997.50847639839
133000,-40885.73318585123
134000,-40127.46085717183
135000,-39720.86400958699
136000,-39822.01210746658
137000,-39945.23666687461
138000,-40451.62033725253
139000,-39514.98638698325
140000,-39574.326972278475
141000,-40302.425814898226
142000,-39416.76776464424
143000,-39336.024850416055
144000,-40115.665235125554
145000,-39832.08394432446
146000,-39553.74622969699
147000,-40015.44063696229
148000,-39846.46820578927
149000,-39558.48610814062
150000,-40159.0949652142
151000,-39469.537660846785
152000,-39798.23803321202
153000,-40407.2344316652
154000,-39554.88498194069
155000,-39337.585037133395
156000,-40053.609047812744
157000,-40203.90917537609
158000,-40170.92647426164
159000,-40409.85509119281
160000,-39824.24710041023
161000,-40308.28047204953
162000,-40196.30827704187
163000,-40592.985079294514
164000,-39767.018212819334
165000,-39512.82328735453
166000,-40494.376229463305
167000,-40448.867296927725
168000,-39723.10974327392
