inter,vdw,multipole,polar
-12757.7061,6022.5942,-13342.1682,-5457.1798
-12870.6984,6103.8278,-13488.1806,-5505.2908
-12972.8742,6120.5754,-13552.1362,-5560.2294
-12839.733,5941.8317,-13336.288,-5464.3357
-12936.5142,6194.2239,-13550.8195,-5598.9498
-12863.5227,5953.9163,-13365.0839,-5471.1654
-12881.8045,6081.4312,-13475.292,-5506.8608
-12900.4702,6095.1715,-13461.9162,-5552.6881
-12847.3401,6018.8918,-13410.2412,-5474.6845
-13038.425,6363.5477,-13750.3989,-5670.2404
-12979.0011,6275.1697,-13609.9056,-5663.2019
-12949.9293,6135.0128,-13542.1036,-5561.2679
-12756.6816,6179.6555,-13413.8214,-5540.9422
-12819.8072,5972.1087,-13371.5433,-5438.9009
-12814.5644,6143.1309,-13469.5615,-5506.7469
-12844.3872,5889.698,-13288.6515,-5464.2524
-12817.4565,6111.03,-13426.0481,-5520.8368
-12819.8631,6044.971,-13371.9335,-5511.3868
-12839.3177,5890.541,-13306.2672,-5442.3862
-12744.2753,5894.351,-13258.1908,-5398.9539
-12745.4545,5982.2154,-13275.6104,-5470.6335
-12719.6719,5916.2216,-13244.7017,-5409.8798
-12664.979,5992.4152,-13261.9227,-5414.2894
-12711.4702,5868.4428,-13214.668,-5384.0556
-12634.3846,5955.3799,-13221.2931,-5386.9085
-12685.0737,5944.8284,-13222.9402,-5425.7662
-12676.711,6006.7442,-13259.2253,-5443.0975
-12878.4114,6110.7803,-13487.6973,-5520.329
-12913.7712,6053.8135,-13460.0388,-5526.1446
-12897.0622,5978.748,-13413.1111,-5481.4104
-12877.7465,6133.8517,-13466.8561,-5563.5914
-12861.8562,6103.5193,-13465.431,-5518.8651
-12866.0772,5869.3353,-13328.6725,-5425.628
-12932.3957,6158.6326,-13525.8817,-5584.0065
-12770.8342,5992.6599,-13312.9376,-5469.4854
-12982.7994,5837.3382,-13370.4505,-5468.6141
-12916.4683,5933.9213,-13378.0144,-5491.0703
-12764.2172,5700.0704,-13129.2164,-5353.4299
-12782.0951,5790.4285,-13194.3364,-5396.9562
-12707.049,5857.965,-13204.5914,-5379.106
-12819.8242,6063.6579,-13387.5195,-5515.0292
-12786.7592,5959.7292,-13328.4915,-5437.0772
-12883.5377,6000.4018,-13398.0248,-5504.5702
-12789.5263,5971.9548,-13319.2004,-5460.9911
-12756.5143,5840.4947,-13232.8885,-5382.855
-12731.6417,5923.7005,-13244.01,-5430.2571
-12626.2999,5934.2889,-13184.7489,-5394.495
-12650.3369,5683.0857,-13063.1855,-5289.0978
-12607.0781,5783.0536,-13091.9286,-5317.1192
-12727.6041,5972.1995,-13259.2327,-5459.4153
-12808.9619,5972.0651,-13328.0105,-5472.143
