r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03545,inf,,,,,,,,,,,
0.10635,inf,,,,,,,,,,,
0.17724,inf,,,,,,,,,,,
0.24814,inf,,,,,,,,,,,
0.31904,inf,,,,,,,,,,,
0.38993,inf,,,,,,,,,,,
0.46083,inf,,,,,,,,,,,
0.53173,inf,,,,,,,,,,,
0.60263,inf,,,,,,,,,,,
0.67352,inf,,,,,,,,,,,
0.74442,inf,,,,,,,,,,,
0.81532,inf,,,,,,,,,,,
0.88622,inf,,,,,,,,,,,
0.95711,inf,,,,,,,,,,,
1.02801,inf,,,,,,,,,,,
1.09891,inf,,,,,,,,,,,
1.1698,inf,,,,,,,,,,,
1.2407,inf,,,,,,,,,,,
1.3116,inf,,,,,,,,,,,
1.3825,inf,,,,,,,,,,,
1.45339,inf,,,,,,,,,,,
1.52429,inf,,,,,,,,,,,
1.59519,inf,,,,,,,,,,,
1.66609,inf,,,,,,,,,,,
1.73698,inf,,,,,,,,,,,
1.80788,inf,,,,,,,,,,,
1.87878,inf,,,,,,,,,,,
1.94967,inf,,,,,,,,,,,
2.02057,inf,,,,,,,,,,,
2.09147,inf,,,,,,,,,,,
2.16237,inf,,,,,,,,,,,
2.23326,inf,,,,,,,,,,,
2.30416,inf,,,,,,,,,,,
2.37506,inf,,,,,,,,,,,
2.44595,inf,,,,,,,,,,,
2.51685,inf,,,,,,,,,,,
2.58775,inf,,,,,,,,,,,
2.65865,inf,,,,,,,,,,,
2.72954,inf,,,,,,,,,,,
2.80044,inf,,,,,,,,,,,
2.87134,inf,,,,,,,,,,,
2.94224,4.78009,0.33348,-89.31909999999999,4.437408029845051,94.09919,4.449921227812166,-83.40316666666666,4.128399673938771,1.0777999999999996,0.8771019458040971,-6.993733333333328,6.124016795735004
3.01313,3.68518,0.12261,-86.94757000000001,1.1040984785430388,90.63275000000002,1.110885530746104,-80.8427,0.9444204731780732,0.3392699999999999,0.2354086791428673,-6.4441400000000195,1.4718630122041718
3.08403,2.64708,0.06103,-86.61802892561983,0.4136648053682206,89.26510892561983,0.41814259780645147,-80.26879669421488,0.3590610725635507,-0.2148719008264462,0.0795467917136367,-6.134360330578494,0.5535080099716245
