r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.0355,inf,,,,,,,,,,,
0.1065,inf,,,,,,,,,,,
0.17749,inf,,,,,,,,,,,
0.24849,inf,,,,,,,,,,,
0.31949,inf,,,,,,,,,,,
0.39048,inf,,,,,,,,,,,
0.46148,inf,,,,,,,,,,,
0.53248,inf,,,,,,,,,,,
0.60347,inf,,,,,,,,,,,
0.67447,inf,,,,,,,,,,,
0.74547,inf,,,,,,,,,,,
0.81646,inf,,,,,,,,,,,
0.88746,inf,,,,,,,,,,,
0.95846,inf,,,,,,,,,,,
1.02945,inf,,,,,,,,,,,
1.10045,inf,,,,,,,,,,,
1.17145,inf,,,,,,,,,,,
1.24245,inf,,,,,,,,,,,
1.31344,inf,,,,,,,,,,,
1.38444,inf,,,,,,,,,,,
1.45544,inf,,,,,,,,,,,
1.52643,inf,,,,,,,,,,,
1.59743,inf,,,,,,,,,,,
1.66843,inf,,,,,,,,,,,
1.73942,inf,,,,,,,,,,,
1.81042,inf,,,,,,,,,,,
1.88142,inf,,,,,,,,,,,
1.95241,inf,,,,,,,,,,,
2.02341,inf,,,,,,,,,,,
2.09441,inf,,,,,,,,,,,
2.16541,inf,,,,,,,,,,,
2.2364,inf,,,,,,,,,,,
2.3074,inf,,,,,,,,,,,
2.3784,inf,,,,,,,,,,,
2.44939,inf,,,,,,,,,,,
2.52039,inf,,,,,,,,,,,
2.59139,inf,,,,,,,,,,,
2.66238,inf,,,,,,,,,,,
2.73338,inf,,,,,,,,,,,
2.80438,5.09773,0.41364,-88.54955,1.6220500000000015,93.64728,1.6739606483128584,-82.54284999999999,1.776050000000005,3.0665500000000003,0.6410499999999997,-9.073250000000009,2.489245851156535
2.87537,3.93451,0.15953,-91.80708666666668,0.7262800161728696,95.74159666666668,0.7435942998652315,-83.49304000000001,0.5460323688992393,1.5061733333333331,0.2101555812491277,-9.820220000000003,0.9326303544856008
2.94637,2.88325,0.06587,-91.6513430107527,0.340759508880483,94.5345930107527,0.3470675723723955,-82.96620860215053,0.2808494830902681,0.6777333333333334,0.1188487286918632,-9.362867741935501,0.4572947576303613
