r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.0355,inf,,,,,,,,,
0.1065,inf,,,,,,,,,
0.17749,inf,,,,,,,,,
0.24849,inf,,,,,,,,,
0.31949,inf,,,,,,,,,
0.39048,inf,,,,,,,,,
0.46148,inf,,,,,,,,,
0.53248,inf,,,,,,,,,
0.60347,inf,,,,,,,,,
0.67447,inf,,,,,,,,,
0.74547,inf,,,,,,,,,
0.81646,inf,,,,,,,,,
0.88746,inf,,,,,,,,,
0.95846,inf,,,,,,,,,
1.02945,inf,,,,,,,,,
1.10045,inf,,,,,,,,,
1.17145,inf,,,,,,,,,
1.24245,inf,,,,,,,,,
1.31344,inf,,,,,,,,,
1.38444,inf,,,,,,,,,
1.45544,inf,,,,,,,,,
1.52643,inf,,,,,,,,,
1.59743,inf,,,,,,,,,
1.66843,inf,,,,,,,,,
1.73942,inf,,,,,,,,,
1.81042,inf,,,,,,,,,
1.88142,inf,,,,,,,,,
1.95241,inf,,,,,,,,,
2.02341,inf,,,,,,,,,
2.09441,inf,,,,,,,,,
2.16541,inf,,,,,,,,,
2.2364,inf,,,,,,,,,
2.3074,inf,,,,,,,,,
2.3784,inf,,,,,,,,,
2.44939,inf,,,,,,,,,
2.52039,inf,,,,,,,,,
2.59139,inf,,,,,,,,,
2.66238,inf,,,,,,,,,
2.73338,inf,,,,,,,,,
2.80438,5.09773,0.41364,-77.0872,1.5923718048872897,82.18493,1.6452191387775685,-83.70425,1.4390500000000015,6.61705,0.6817500000000001
2.87537,3.93451,0.15953,-81.64360666666666,0.6982819586512156,85.57811666666666,0.7162733519249322,-85.62314666666666,0.6013735578511412,3.97954,0.3548908813920668
2.94637,2.88325,0.06587,-82.28250107526881,0.3767566591116771,85.16575107526882,0.38247148532275244,-84.8070688172043,0.3517530817109793,2.524567741935484,0.1349642533851894
3.01737,2.07351,0.03608,-81.74046240208878,0.19577282207907792,83.81397240208878,0.19906974723650578,-83.28208851174935,0.1854552505791986,1.5416261096605746,0.06271640851813
