r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
0.0355,,,,,,,,,,,,
0.1065,,,,,,,,,,,,
0.17749,,,,,,,,,,,,
0.24849,,,,,,,,,,,,
0.31949,,,,,,,,,,,,
0.39048,,,,,,,,,,,,
0.46148,,,,,,,,,,,,
0.53248,,,,,,,,,,,,
0.60347,,,,,,,,,,,,
0.67447,,,,,,,,,,,,
0.74547,,,,,,,,,,,,
0.81646,,,,,,,,,,,,
0.88746,,,,,,,,,,,,
0.95846,,,,,,,,,,,,
1.02945,,,,,,,,,,,,
1.10045,,,,,,,,,,,,
1.17145,,,,,,,,,,,,
1.24245,,,,,,,,,,,,
1.31344,,,,,,,,,,,,
1.38444,,,,,,,,,,,,
1.45544,,,,,,,,,,,,
1.52643,,,,,,,,,,,,
1.59743,,,,,,,,,,,,
1.66843,,,,,,,,,,,,
1.73942,,,,,,,,,,,,
1.81042,,,,,,,,,,,,
1.88142,,,,,,,,,,,,
1.95241,,,,,,,,,,,,
2.02341,,,,,,,,,,,,
2.09441,,,,,,,,,,,,
2.16541,,,,,,,,,,,,
2.2364,,,,,,,,,,,,
2.3074,,,,,,,,,,,,
2.3784,,,,,,,,,,,,
2.44939,,,,,,,,,,,,
2.52039,,,,,,,,,,,,
2.59139,,,,,,,,,,,,
2.66238,,,,,,,,,,,,
2.73338,,,,,,,,,,,,
2.80438,-88.54955,5.26209240500001,1.6220500000000015,3.0665500000000003,0.8218902049999992,0.6410499999999997,-82.54284999999999,6.308707205000036,1.776050000000005,-7.9994499999999995,0.5456990449999988,0.5223499999999994
2.87537,-91.80708666666668,7.9122399283809575,0.7262800161728696,1.5061733333333331,0.6624805249523812,0.21015558124912778,-83.49304000000001,4.4722702182857255,0.5460323688992393,-8.312873333333334,0.5524858492380951,0.19191766450539757
2.94637,-91.6513430107527,10.798884988999527,0.34075950888048306,0.6777333333333334,1.313626888985507,0.11884872869186325,-82.96620860215053,7.335508190142585,0.28084948309026814,-7.8626311827957,1.6496008886909765,0.13318274649675574
3.01737,-90.35688825065276,14.341112750620768,0.19350493176611494,-0.013280678851174947,0.942497180829904,0.04960673490949541,-81.53954960835509,8.708464079312671,0.1507896021731332,-7.361961096605745,1.9884287085610972,0.07205359023459394
3.08836,-90.00268897560976,17.207555501684983,0.12956797067961714,-0.30127658536585367,1.591393365798878,0.039402777737899644,-81.09513453658536,10.526327464059953,0.1013389745843848,-7.2120687804878045,2.844014719317359,0.05267493243138601
3.15936,-89.28534522154649,20.85103548944041,0.095172429116184,-0.5955325369244135,1.7330679404228522,0.027438169495702772,-80.37307901824501,12.62322454489205,0.07405126709591728,-6.963613553431798,3.5844267603116573,0.03946001044240275
3.23036,-88.9680735835859,30.11141062410848,0.083789100377454,-0.7298672184658429,2.22199618398109,0.022761120146930186,-79.9991463977617,17.550119213495034,0.06396788803984878,-6.898883469340172,5.254614189290589,0.03500196240473474
3.30136,-88.58804030241349,39.59558400427324,0.07587387953222702,-0.7528472375690608,2.5104615040573623,0.019104940846952048,-79.60810706600758,22.328927957606055,0.056977429247697435,-6.911100378016865,6.952039188797301,0.03179252489588087
3.37235,-88.39854062937715,54.10866893372716,0.07108188986735166,-0.7059729666635539,3.125472696559931,0.017083757394003352,-79.36413427957793,30.14167678059442,0.05305291422688052,-7.013021057054814,9.466557138119295,0.029731825211325266
3.44335,-88.21925722272069,67.86968994608833,0.068441375057281,-0.6413818344951343,3.635480325583853,0.015840237654962376,-79.14820325764373,37.31811477965241,0.050750536988294105,-7.114073642073298,11.796267904269998,0.028533372585668314
3.51435,-87.91253322370166,78.67796217930578,0.06460399200266397,-0.5812626438915708,4.054654932637328,0.014665934911999185,-78.86219215426236,42.941180046293134,0.047727621373097474,-7.169829706646863,13.54806794965961,0.026808436513467572
3.58534,-87.277115146509,84.93429265176087,0.0607657325140415,-0.5510154725676027,4.102007715492515,0.013354124994016552,-78.33855238674897,46.096444380209356,0.04476627046564069,-7.113689470480827,14.293651905428014,0.024928078360552552
3.65634,-86.76190061285106,91.8363255893591,0.058761236083736554,-0.4999990976425914,4.260682182523583,0.012656780352913238,-77.91622520209046,49.61856894723248,0.04319224626603079,-7.095077076361995,15.250654845214783,0.023945721075284976
3.72734,-86.08242494203378,94.06983238850124,0.05582048795978297,-0.4757962702881749,4.171654027722661,0.011754998693898813,-77.36800817157999,50.64266654464503,0.04095686682596989,-7.014697830407421,15.350355875558426,0.022549019786401798
3.79833,-85.53917107296908,100.10782770037903,0.05476017569558383,-0.41328651749341005,4.4113068619615525,0.011495144868960888,-76.93513305176131,53.90833088735617,0.04018451738612274,-6.986482773184759,16.21194333522814,0.022036790996367177
3.86933,-84.85323833903772,105.40384159161306,0.05460282131742376,-0.3653425451871129,4.56277481367609,0.011360602938083702,-76.40746742850678,56.839592958532066,0.04009704269413969,-6.9053526376828,16.871959664068708,0.021845884219122962
3.94033,-84.55840457063341,114.29894518850101,0.05530512435006344,-0.24552292541946535,5.012950285537682,0.011582197351968726,-76.16717052369611,61.89882248739177,0.040699160918466766,-6.979262040728947,18.357406813601717,0.02216409117615598
4.01132,-84.17798646189716,124.49255610169669,0.0561692538288621,-0.1597027927722446,5.461342584054253,0.011764586647009452,-75.86650143693454,67.56953159349246,0.04138113675661207,-6.996946572391597,19.86760743961888,0.022438806202927476
4.08232,-84.06243712508875,139.44620306916556,0.0584311628754301,-0.0073863868961633675,6.126972398020967,0.012247970868392521,-75.77035300541097,75.81941675980093,0.043085526313027846,-7.132874646818305,22.188206885914607,0.0233078538453385
4.15332,-84.17300723615038,157.9845937297602,0.06075619368542535,0.1732853407789902,6.933903996707383,0.012728349776303688,-75.83432523423444,86.07726952942893,0.044846383888119436,-7.350115888221688,25.096651583776225,0.02421536835708224
4.22432,-84.40831190983039,177.12141636426708,0.0629994403968364,0.3694235149124969,7.694387484007059,0.013130709106329441,-75.98832980706747,96.67151703568753,0.046542576420904626,-7.609116301790396,27.952248650076058,0.025027042380076157
4.29531,-84.72738370700635,197.13274824884877,0.06469473446659933,0.5782409936305734,8.418419279207443,0.013369181595882466,-76.20420819745225,107.72312782962774,0.04782379366533058,-7.904446622080679,30.72896786028792,0.025542507703704403
4.36631,-84.96206618210572,212.17161417033407,0.06558717092426872,0.7359145165541432,8.764693978687143,0.013330413973950303,-76.34758416762972,116.01864123421265,0.048499710404668106,-8.136502238306672,32.53053133263019,0.025681526613682795
4.43731,-85.16708509265936,227.02992869362373,0.06651367232960566,0.8732034257653408,8.846102686455618,0.013129414471979382,-76.4686222343473,124.05474352838104,0.049167265808208134,-8.34846067385077,33.75100558138936,0.025645591994496064
4.5083,-84.85180506222513,233.06776892213225,0.06604321437447691,0.8986983288107047,8.46217276190967,0.012584270268122363,-76.19815397585853,127.44034964060907,0.04883605456352797,-8.351208404603724,33.309765592349926,0.02496737483524373
4.5793,-84.06541073255727,235.96219130767602,0.06613533167576989,0.8370871487358199,7.612799431795931,0.01187912683989489,-75.5772018777341,128.95075622831266,0.04889047675229471,-8.17375349039816,31.97887693678847,0.02434691443428332
4.6503,-82.75642050720569,231.83847604846875,0.06587189685171617,0.688541871607711,6.645256788185187,0.011152270551999912,-74.56812388732921,127.0078193985097,0.04875539089645011,-7.8082000243309,29.44363479872328,0.023474866118863867
4.72129,-80.87339947322873,222.67822819804715,0.06472482762508486,0.45298193927079805,5.294717753089038,0.009980526014196628,-73.12604261015163,122.17186135259203,0.04794216246324739,-7.247429894269481,25.875273188689203,0.02206350451176798
4.79229,-78.48484199717399,208.18497490627172,0.06347970217205992,0.19197005593945374,4.05260100829423,0.008856805620154633,-71.30906907070825,114.79428166639082,0.047137909324943564,-6.55380411319513,21.87998850873231,0.020579448592403706
4.86329,-76.26478887763814,189.57839379410837,0.06135096211331007,-0.05267917882740683,2.8367127567858255,0.007504722514733414,-69.60745963229893,105.13053469773689,0.04568686885157978,-5.924254718367185,17.558978274796722,0.018671386923151175
4.93428,-73.82473542009885,167.25311701850325,0.05868779208872356,-0.2808098517298187,1.8316131694509068,0.00614154360525506,-67.74083109143326,93.67202866085732,0.04392033296636052,-5.27450464785832,13.287921823644941,0.016542044818587804
5.00528,-71.62673653107085,143.08030836433076,0.054816199090463244,-0.4501969191675242,1.1012395580623802,0.004809056579142398,-66.06194532834913,81.11131199829377,0.04127239753913637,-4.699612184723944,9.6312089026413,0.01422195782271529
5.07628,-69.67106152861622,121.4697801046543,0.05090318456423916,-0.5558608801382282,0.6449992888299021,0.0037092870936593497,-64.56124070052688,69.79206345292732,0.038584586455334274,-4.231945007359371,6.906035915341719,0.012137388319237597
5.14727,-68.14838393617697,104.5338229857956,0.047064085452343654,-0.6095519568580086,0.40878771080314574,0.0029431345891019096,-63.38476031191067,60.86791657700061,0.035913309267926,-3.9008633801623116,5.110298451121679,0.010406012406847555
5.21827,-66.91189113870587,91.60655832092392,0.04398393897785131,-0.6299638410204427,0.28364261774552946,0.002447465501840279,-62.42474627893226,54.08583363255776,0.033796568003231435,-3.6415624831052544,3.911168946782959,0.009088330765252953
5.28927,-65.93397418593874,82.98399051208769,0.04180718724712271,-0.6227476389064408,0.22629426468670052,0.0021831851344115264,-61.66027126669195,49.40255740283321,0.03225733672232408,-3.4485901280593128,3.2709013928058672,0.008300180135765174
5.36027,-65.08377330071463,77.30691039546477,0.03961681780037874,-0.6118285569270748,0.19659489921981493,0.001997820901662732,-60.98433807454929,46.35621845056916,0.0306778154208086,-3.300550069027124,2.884875047088436,0.0076530391203428385
5.43126,-64.4772857154194,73.95451256135873,0.038304503553601536,-0.5826017439092135,0.18937678082806023,0.0019383440410258575,-60.501691931195936,44.4317025668365,0.029690258316665663,-3.1921077513689387,2.7469427815209735,0.007382310457322831
5.50226,-63.93611860219189,73.24395117669759,0.037526879727858585,-0.5545510132666795,0.19239504286395614,0.0019233286997121023,-60.05406087675447,43.98395334025992,0.029080622848717833,-3.1202149394347236,2.7570595323865557,0.007280809114183173
5.57326,-63.40018872538938,71.94214761293524,0.03667615665941781,-0.522949153936765,0.18655518393607523,0.00186765124121168,-59.618770229792645,43.12547070017935,0.028396122703774316,-3.0327782192472372,2.7744869144485707,0.007202503208861242
5.64425,-62.95416322518809,71.31428666641125,0.03591215054687264,-0.4967580692997685,0.17685769335924426,0.0017884018893928786,-59.24982177553531,42.61812130032616,0.02776197075215508,-2.9651096281828706,2.807570494702473,0.00712555139027316
5.71525,-62.35902280811233,70.03274623502192,0.03484177797874398,-0.4713979684520714,0.1737317748441088,0.001735359104857973,-58.76378510660427,41.86090352693054,0.026937297919196787,-2.877954458311666,2.805043302195193,0.006972997596385826
5.78625,-61.86753746454433,69.74117385124818,0.034112063756153437,-0.4462705709613908,0.1672215403836455,0.001670357679455453,-58.35215065238429,41.69315662780803,0.026375199716265292,-2.8098638535722635,2.8180524227406174,0.00685705925063607
5.85724,-61.2015117515116,68.17370433989453,0.033287882105213946,-0.42525631135816916,0.15940077096889713,0.0016096183967076133,-57.80835683310577,40.864647880610136,0.025772206281473444,-2.7120069907678306,2.7491575335546514,0.006684632430678998
5.92824,-60.53069862645987,65.92726841889377,0.03216986138390194,-0.4039533420193394,0.1376534041267839,0.0014699756019168537,-57.26180141435389,39.70968999431517,0.024966915818872035,-2.603318507472058,2.6144713986483854,0.006406319528769246
5.99924,-59.82436203846392,63.42690405776411,0.03126375775757205,-0.3826276782962461,0.13344380091749414,0.0014340147619556936,-56.68935589749121,38.430197050420425,0.024335525336780153,-2.4919232755963754,2.499138854772209,0.006205826271125704
6.07023,-59.02793991286914,60.94061630341808,0.030309272155321976,-0.36174714563516586,0.11700160475702484,0.0013280609151346285,-56.0409660445905,37.23698109412905,0.02369241430739463,-2.371378261000648,2.3305900651079323,0.005927274381416332
6.14123,-58.25592861736806,57.78271038903361,0.029128560408437594,-0.3420794191066341,0.10253620307622142,0.0012270398929976505,-55.41566837244134,35.59532361674592,0.022862122090545525,-2.2468615356377195,2.151575931751564,0.005620803534833121
6.21223,-57.50283021446988,55.246145728846855,0.028208941658382607,-0.32126159275209926,0.09022801940767138,0.0011400043602933147,-54.80000538983393,34.37077079043362,0.022250021557814862,-2.1347211747590995,1.995374707543033,0.005361027460404955
6.28323,-56.657075386957615,51.63721835052357,0.026980000265248896,-0.30083441878823763,0.07947446544938193,0.0010584597256125408,-54.10962604104993,32.525100986193095,0.021412622317601385,-2.007210365389495,1.8010630034662594,0.005038775193932799
6.35422,-55.8282711703166,48.254824543833,0.02575613761343653,-0.2808205482465185,0.06892458697713337,0.0009734136961491922,-53.43065549552522,30.78501394041896,0.0205721671203335,-1.8851012867571246,1.6100024438177027,0.0047046100722122905
6.42522,-54.99853839423011,45.73292852502104,0.024946817904280095,-0.2644485269102538,0.05938886203817338,0.0008989864639822235,-52.74059402871335,29.55711388512945,0.02005541546640799,-1.7750848050622574,1.443210294388647,0.004431650062351469
6.49622,-54.182635500059746,42.49678818108371,0.023753084594965133,-0.2467336440036642,0.05099743886979211,0.0008228414188377086,-52.063091893363065,27.856565060219477,0.019231171597084977,-1.6636383677858764,1.2638249999332456,0.004096240360005483
