r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03537,inf,,,,,,,,,,,
0.10611,inf,,,,,,,,,,,
0.17685,inf,,,,,,,,,,,
0.2476,inf,,,,,,,,,,,
0.31834,inf,,,,,,,,,,,
0.38908,inf,,,,,,,,,,,
0.45982,inf,,,,,,,,,,,
0.53056,inf,,,,,,,,,,,
0.6013,inf,,,,,,,,,,,
0.67204,inf,,,,,,,,,,,
0.74279,inf,,,,,,,,,,,
0.81353,inf,,,,,,,,,,,
0.88427,inf,,,,,,,,,,,
0.95501,inf,,,,,,,,,,,
1.02575,inf,,,,,,,,,,,
1.09649,inf,,,,,,,,,,,
1.16723,inf,,,,,,,,,,,
1.23798,inf,,,,,,,,,,,
1.30872,inf,,,,,,,,,,,
1.37946,inf,,,,,,,,,,,
1.4502,inf,,,,,,,,,,,
1.52094,inf,,,,,,,,,,,
1.59168,inf,,,,,,,,,,,
1.66243,inf,,,,,,,,,,,
1.73317,inf,,,,,,,,,,,
1.80391,inf,,,,,,,,,,,
1.87465,inf,,,,,,,,,,,
1.94539,inf,,,,,,,,,,,
2.01613,inf,,,,,,,,,,,
2.08687,inf,,,,,,,,,,,
2.15762,inf,,,,,,,,,,,
2.22836,inf,,,,,,,,,,,
2.2991,inf,,,,,,,,,,,
2.36984,inf,,,,,,,,,,,
2.44058,inf,,,,,,,,,,,
2.51132,inf,,,,,,,,,,,
2.58206,inf,,,,,,,,,,,
2.65281,inf,,,,,,,,,,,
2.72355,inf,,,,,,,,,,,
2.79429,4.68739,0.28827,-124.51275,7.320905497443603,129.20014,7.326578798825546,-114.40415,7.100726110816645,9.665875,4.436761513456822,-19.774474999999995,11.122087094184478
2.86503,3.03973,0.07703,-132.10321470588235,1.2719134295486885,135.14294470588234,1.2742438515316865,-120.12391029411764,1.1890767898501773,11.821663235294118,0.5790905694640947,-23.800967647058833,1.8349423075587303
2.93577,1.96588,0.03677,-132.57935,0.4427191476259817,134.54523,0.444243487937275,-119.57915776255707,0.4025270938261971,10.699467579908676,0.1972361948694087,-23.69965981735161,0.630024143589278
3.00651,1.10969,0.02291,-131.67832368016403,0.1912762891913818,132.78801368016403,0.19264341905921706,-118.08707708867249,0.1695568797759423,9.525798564838544,0.0879031387440045,-23.117045156330086,0.2703018980459186
3.07726,0.40613,0.01541,-131.2773455724508,0.094512615782658,131.6834755724508,0.09576065289084204,-117.30532245080502,0.0830857032012228,9.004945393559929,0.0475541967261463,-22.976968515205705,0.13452609503286356
3.148,-0.11106,0.01119,-130.28211563206088,0.0563385740638145,130.17105563206087,0.05743910712697327,-116.17251089309072,0.0490924145249694,8.46193059816863,0.0295866830867857,-22.57153533713879,0.08037083990797426
