r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.03537,inf,,,,,,,,,
0.10611,inf,,,,,,,,,
0.17685,inf,,,,,,,,,
0.2476,inf,,,,,,,,,
0.31834,inf,,,,,,,,,
0.38908,inf,,,,,,,,,
0.45982,inf,,,,,,,,,
0.53056,inf,,,,,,,,,
0.6013,inf,,,,,,,,,
0.67204,inf,,,,,,,,,
0.74279,inf,,,,,,,,,
0.81353,inf,,,,,,,,,
0.88427,inf,,,,,,,,,
0.95501,inf,,,,,,,,,
1.02575,inf,,,,,,,,,
1.09649,inf,,,,,,,,,
1.16723,inf,,,,,,,,,
1.23798,inf,,,,,,,,,
1.30872,inf,,,,,,,,,
1.37946,inf,,,,,,,,,
1.4502,inf,,,,,,,,,
1.52094,inf,,,,,,,,,
1.59168,inf,,,,,,,,,
1.66243,inf,,,,,,,,,
1.73317,inf,,,,,,,,,
1.80391,inf,,,,,,,,,
1.87465,inf,,,,,,,,,
1.94539,inf,,,,,,,,,
2.01613,inf,,,,,,,,,
2.08687,inf,,,,,,,,,
2.15762,inf,,,,,,,,,
2.22836,inf,,,,,,,,,
2.2991,inf,,,,,,,,,
2.36984,inf,,,,,,,,,
2.44058,inf,,,,,,,,,
2.51132,inf,,,,,,,,,
2.58206,inf,,,,,,,,,
2.65281,inf,,,,,,,,,
2.72355,inf,,,,,,,,,
2.79429,4.68739,0.28827,-111.7854,7.790514398827162,116.47278999999999,7.7958459573822605,-121.01495,7.065726715219509,9.22955,3.281405275818071
2.86503,3.03973,0.07703,-115.44247205882351,1.265361873000306,118.48220205882352,1.2677043387725873,-125.9674088235294,1.144632160966545,10.524936764705885,0.5394051220779239
2.93577,1.96588,0.03677,-116.57144977168949,0.43111612473423644,118.53732977168949,0.43268134453182255,-125.12493424657534,0.39642153443854,8.553484474885844,0.1694434420072347
3.00651,1.10969,0.02291,-116.43783777549974,0.18159198269839097,117.54752777549974,0.18303146254218897,-123.33038549461814,0.1668940143916134,6.892547719118401,0.0715684018305891
3.07726,0.40613,0.01541,-116.04269657125822,0.08824008940479898,116.44882657125822,0.08957556295199555,-122.13102011031606,0.0794847445122107,6.088323539057842,0.0383208659609293
3.148,-0.11106,0.01119,-115.14131834344155,0.052792490054137005,115.03025834344156,0.0539653880382246,-120.56572155428708,0.0472062864561588,5.424403210845523,0.02363500634938
3.21874,-0.51055,0.0085,-114.08386256988094,0.03592205260285295,113.57331256988094,0.036914006328250724,-119.09682944993192,0.0321106043725736,5.01296688005098,0.0161028863881663
3.28948,-0.78838,0.00693,-112.61207249405932,0.02800041582134319,111.82369249405932,0.028845245469021858,-117.33988954087388,0.0251985042793856,4.727817046814564,0.0122089585243751
