r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
0.03537,,,,,,,,,,,,
0.10611,,,,,,,,,,,,
0.17685,,,,,,,,,,,,
0.2476,,,,,,,,,,,,
0.31834,,,,,,,,,,,,
0.38908,,,,,,,,,,,,
0.45982,,,,,,,,,,,,
0.53056,,,,,,,,,,,,
0.6013,,,,,,,,,,,,
0.67204,,,,,,,,,,,,
0.74279,,,,,,,,,,,,
0.81353,,,,,,,,,,,,
0.88427,,,,,,,,,,,,
0.95501,,,,,,,,,,,,
1.02575,,,,,,,,,,,,
1.09649,,,,,,,,,,,,
1.16723,,,,,,,,,,,,
1.23798,,,,,,,,,,,,
1.30872,,,,,,,,,,,,
1.37946,,,,,,,,,,,,
1.4502,,,,,,,,,,,,
1.52094,,,,,,,,,,,,
1.59168,,,,,,,,,,,,
1.66243,,,,,,,,,,,,
1.73317,,,,,,,,,,,,
1.80391,,,,,,,,,,,,
1.87465,,,,,,,,,,,,
1.94539,,,,,,,,,,,,
2.01613,,,,,,,,,,,,
2.08687,,,,,,,,,,,,
2.15762,,,,,,,,,,,,
2.22836,,,,,,,,,,,,
2.2991,,,,,,,,,,,,
2.36984,,,,,,,,,,,,
2.44058,,,,,,,,,,,,
2.51132,,,,,,,,,,,,
2.58206,,,,,,,,,,,,
2.65281,,,,,,,,,,,,
2.72355,,,,,,,,,,,,
2.79429,-124.51275000000001,214.3826292099999,7.320905497443603,9.665875,78.73941090916666,4.436761513456822,-114.40414999999999,201.68124520333308,7.100726110816645,-16.55395,73.34020875666667,4.281944907301665
2.86503,-132.10321470588235,110.00793651410886,1.2719134295486885,11.821663235294118,22.80352035967296,0.5790905694640947,-120.12391029411765,96.14544562690739,1.1890767898501773,-19.94412794117647,22.538529639356895,0.5757160457071352
2.93577,-132.57935,85.84810672950802,0.44271914762598175,10.699467579908676,17.039127056154765,0.19723619486940877,-119.57915776255709,70.96829083370389,0.40252709382619717,-19.92799200913242,18.17821636677811,0.2037223038675459
3.00651,-131.67832368016403,71.38049329211586,0.19127628919138184,9.525798564838544,15.0753024738441,0.08790313874400459,-118.08707708867247,56.09034372021842,0.16955687977594236,-19.40422803690415,16.09464527489049,0.09082639354658921
3.07726,-131.2773455724508,59.920112508274876,0.094512615782658,9.004945393559929,15.169482109012636,0.04755419672614634,-117.30532245080502,46.30689418477087,0.08308570320122284,-19.311124224806203,15.287773815406807,0.04773925061004214
