r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.03561,inf,,,,,,,,,
0.10683,inf,,,,,,,,,
0.17805,inf,,,,,,,,,
0.24928,inf,,,,,,,,,
0.3205,inf,,,,,,,,,
0.39172,inf,,,,,,,,,
0.46294,inf,,,,,,,,,
0.53416,inf,,,,,,,,,
0.60538,inf,,,,,,,,,
0.67661,inf,,,,,,,,,
0.74783,inf,,,,,,,,,
0.81905,inf,,,,,,,,,
0.89027,inf,,,,,,,,,
0.96149,inf,,,,,,,,,
1.03271,inf,,,,,,,,,
1.10394,inf,,,,,,,,,
1.17516,inf,,,,,,,,,
1.24638,inf,,,,,,,,,
1.3176,inf,,,,,,,,,
1.38882,inf,,,,,,,,,
1.46005,inf,,,,,,,,,
1.53127,inf,,,,,,,,,
1.60249,inf,,,,,,,,,
1.67371,inf,,,,,,,,,
1.74493,inf,,,,,,,,,
1.81615,inf,,,,,,,,,
1.88738,inf,,,,,,,,,
1.9586,inf,,,,,,,,,
2.02982,inf,,,,,,,,,
2.10104,inf,,,,,,,,,
2.17226,inf,,,,,,,,,
2.24348,inf,,,,,,,,,
2.31471,inf,,,,,,,,,
2.38593,inf,,,,,,,,,
2.45715,inf,,,,,,,,,
2.52837,inf,,,,,,,,,
2.59959,inf,,,,,,,,,
2.67081,inf,,,,,,,,,
2.74204,inf,,,,,,,,,
2.81326,inf,,,,,,,,,
2.88448,inf,,,,,,,,,
2.9557,inf,,,,,,,,,
3.02692,inf,,,,,,,,,
3.09814,inf,,,,,,,,,
3.16937,inf,,,,,,,,,
3.24059,inf,,,,,,,,,
3.31181,5.14944,0.41223,-70.33085,4.62373013512899,75.48029,4.642070005439378,-74.60079999999999,4.590799999999994,4.26995,0.5508500000000001
3.38303,4.433,0.22066,-75.44634285714287,1.4468600455332725,79.87934285714286,1.4635897058125762,-75.65284285714287,1.3625271128551186,0.2065,0.4867482491958631
3.45425,3.45619,0.10696,-76.2382052631579,0.9493432909333713,79.6943952631579,0.9553497399592485,-77.34818684210526,0.9116023611961642,1.1099815789473684,0.2650166392922939
