r,elect_mean,elect_var,elect_seom,vdw_mean,vdw_var,vdw_seom
0.03561,,,,,,
0.10683,,,,,,
0.17805,,,,,,
0.24928,,,,,,
0.3205,,,,,,
0.39172,,,,,,
0.46294,,,,,,
0.53416,,,,,,
0.60538,,,,,,
0.67661,,,,,,
0.74783,,,,,,
0.81905,,,,,,
0.89027,,,,,,
0.96149,,,,,,
1.03271,,,,,,
1.10394,,,,,,
1.17516,,,,,,
1.24638,,,,,,
1.3176,,,,,,
1.38882,,,,,,
1.46005,,,,,,
1.53127,,,,,,
1.60249,,,,,,
1.67371,,,,,,
1.74493,,,,,,
1.81615,,,,,,
1.88738,,,,,,
1.9586,,,,,,
2.02982,,,,,,
2.10104,,,,,,
2.17226,,,,,,
2.24348,,,,,,
2.31471,,,,,,
2.38593,,,,,,
2.45715,,,,,,
2.52837,,,,,,
2.59959,,,,,,
2.67081,,,,,,
2.74204,,,,,,
2.81326,,,,,,
2.88448,,,,,,
2.9557,,,,,,
3.02692,,,,,,
3.09814,,,,,,
3.16937,,,,,,
3.24059,,,,,,
3.31181,-74.60079999999999,42.1508892799999,4.590799999999994,4.26995,0.6068714450000001,0.5508500000000001
3.38303,-75.65284285714287,12.995360932857137,1.3625271128551186,0.2065,1.6584670066666665,0.4867482491958631
3.45425,-77.34818684210526,31.578716867660027,0.9116023611961642,1.1099815789473684,2.6688851258677095,0.26501663929229397
3.52547,-77.16725343511452,45.64197643989196,0.5902643762690623,0.2894740458015267,2.8705065253211988,0.14802791477309346
3.5967,-77.26807307692307,55.896841949345664,0.3665616026428313,-0.5035586538461538,1.9786019282622807,0.0689656047261667
3.66792,-76.54151184486373,58.77584130715226,0.24821340928398214,-0.8662357442348009,1.895121301165919,0.04457017293759971
3.73914,-76.26767520581114,75.39462188375518,0.19107776630638346,-1.1846077481840194,1.6585112601143535,0.028339956820675468
3.81036,-77.3881992859032,95.1207958897217,0.15861140019998254,-1.3199069558317904,1.5468277368378467,0.020226355530272543
3.88158,-79.39013046683046,127.06732801542576,0.13551746949219112,-1.3773723081370142,1.263796218215416,0.013515025218808902
3.9528,-82.87698684489548,162.51027637117042,0.11093987101648796,-1.346721660102999,1.0510920390945306,0.0089221108677687
4.02403,-86.4133163250366,166.15777179958448,0.08001256253939465,-1.3600099175464284,0.7977846483638575,0.005544222964021954
4.09525,-88.93928738316792,139.0455153706278,0.0535618320937157,-1.414442806445623,0.6047401487211544,0.003532330504791454
4.16647,-89.55533023386553,116.4238460889568,0.038137406317152914,-1.486511727006971,0.5158184768380583,0.0025385085474997782
4.23769,-89.48994100695282,97.4995362008686,0.028965150352690237,-1.5151239975217703,0.46890765041807797,0.0020087143009976235
4.30891,-88.84605442202245,85.97232656033106,0.02371814483273935,-1.5280779114810308,0.4144862309411915,0.0016468590506905
4.38014,-87.85827488864021,78.11096250017177,0.020700087906259212,-1.542347987295109,0.36001583226912764,0.0014053257212626952
4.45136,-86.5721233001528,74.26069032328091,0.019415253758653803,-1.565714693684868,0.3050950380254884,0.0012444606031475425
4.52258,-84.86741850310227,73.46351546176857,0.019562928897562934,-1.584713066468011,0.28056800398781995,0.001208974370778103
4.5938,-82.79721552182426,74.92948606203586,0.020899143314439695,-1.5740114507554561,0.2908845306541428,0.0013021542123684987
4.66502,-80.49861791991604,76.14302213387178,0.022489832157594147,-1.5269143069708122,0.3129924312948938,0.0014419097454001087
4.73624,-78.38000442979789,75.46627718488024,0.023653720717159214,-1.459150691715722,0.32087355620243246,0.0015423749575887674
4.80747,-76.61478500645822,72.80014853154721,0.02416713774937151,-1.3998510289056292,0.2978442393312747,0.0015458013675518658
4.87869,-75.01164821008068,69.75578072497916,0.0243516956566874,-1.3583228222152324,0.258284510962437,0.0014817955522593953
4.94991,-73.47540918256595,67.7423859187557,0.02465051067413352,-1.3265270238511702,0.23254994421965217,0.00144428797816474
5.02113,-71.88845316130015,65.72329512937861,0.025025747907537563,-1.299763864457171,0.21392393099390888,0.001427766165498986
5.09235,-70.3895165742452,64.25825313745146,0.025476530292092008,-1.2648412603658477,0.20708224886956875,0.0014462629440855261
5.16357,-68.93067052251243,62.93458381462669,0.02601474378962156,-1.2270017291624105,0.19984363820502915,0.0014659529592842343
5.2348,-67.57587562619983,60.71902277896001,0.026340777023043813,-1.188295670308072,0.18870377882174302,0.001468440973063596
5.30602,-66.3874858008658,58.82440319575483,0.026596318463146505,-1.1475947751322753,0.17738690815594355,0.001460506659914608
5.37724,-65.09589493855314,57.719447586464085,0.027042076159498957,-1.117501341695173,0.15745902768092773,0.0014124163336883635
5.44846,-63.89482198551114,55.89456362879814,0.027383571528452093,-1.0859226120203918,0.1471654777412826,0.0014051033787522485
5.51968,-62.72920039979018,53.4557705815922,0.027528896615749397,-1.0535329713483703,0.12850962437292207,0.0013497686430780842
5.5909,-61.55309274728881,51.524498911089665,0.027723598651843106,-1.0248650267762578,0.11637419743861607,0.001317562009991383
5.66213,-60.432510911770365,48.90736662664057,0.02798964748417195,-0.9949799432946753,0.10901730512497759,0.0013214721360945527
5.73335,-59.295813154455814,46.44096727251379,0.02807425259709613,-0.965771021502639,0.10360327656476769,0.001326002430610476
5.80457,-58.237910742779285,43.29873825980899,0.02786185608570869,-0.9290278197106334,0.10206261679579431,0.0013527133423035067
5.87579,-57.22094109132446,40.53867093308257,0.027551923608422076,-0.8924539744958148,0.09692875488715547,0.001347235411457025
5.94701,-56.26070280142392,37.95361452866907,0.027097654877749976,-0.8543398641851107,0.09806875183411404,0.0013774329254289512
6.01823,-55.40914896088989,35.286749972689805,0.026427553877055393,-0.8121120279471142,0.09477297797162818,0.001369598905972763
6.08946,-54.704206065044225,32.8888550437076,0.025687526677715813,-0.7687121381136769,0.09151387612448254,0.0013550065300790397
6.16068,-53.993319459295876,30.82287234043981,0.024937275227296284,-0.7292094804801776,0.0931372346585251,0.0013708000585552795
6.2319,-53.46091558495989,29.147367533714323,0.02411875031478172,-0.6882522013331737,0.08742292647324973,0.00132089350026043
6.30312,-52.92421425131263,27.413903738146715,0.023261851366370052,-0.6464337511349729,0.08539879405299952,0.001298328838221133
6.37434,-52.41293950820299,26.046019131091853,0.02231660554897739,-0.6124491070404222,0.08024229430566351,0.0012386800086015741
6.44556,-51.961670278365375,24.520134347542086,0.021424640622655887,-0.5726727082124338,0.07722604515371974,0.0012023586175621027
6.51679,-51.55137049404977,23.32054051138065,0.020505925414999137,-0.5375602271907681,0.07118912794801821,0.0011329660700584471
6.58801,-51.14603794373046,21.89498565477072,0.019500084900542246,-0.49926100208405694,0.06586879508605689,0.0010695572336412544
6.65923,-50.69988219481129,20.605466305158426,0.01858319923240279,-0.4672420141449353,0.061785070240914716,0.0010175857857112934
6.73045,-50.251173192481374,19.419378690688074,0.01779271570469109,-0.43684359889796387,0.05598010197911742,0.0009553036053449454
6.80167,-49.8194264078157,17.96686312003734,0.016785385747069878,-0.4056245824773793,0.048988857044670917,0.000876483712761171
6.8729,-49.34946356430502,16.780687657419186,0.016008863090242943,-0.3792621042503474,0.04489387603151179,0.0008280358976509675
6.94412,-48.86748616190334,15.638330171037358,0.015297112424463319,-0.35309078258267246,0.039104591706625766,0.0007649413664646271
7.01534,-48.348532127152936,14.625990421663994,0.014617274383739822,-0.3309057995997253,0.03497660982641128,0.0007148132812567683
7.08656,-47.83763820490745,13.611865878665418,0.013975700925810691,-0.3085315798536375,0.031150642728680802,0.0006685721376473542
