r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.03565,inf,,,,,,,,,
0.10696,inf,,,,,,,,,
0.17826,inf,,,,,,,,,
0.24957,inf,,,,,,,,,
0.32087,inf,,,,,,,,,
0.39218,inf,,,,,,,,,
0.46348,inf,,,,,,,,,
0.53479,inf,,,,,,,,,
0.60609,inf,,,,,,,,,
0.6774,inf,,,,,,,,,
0.7487,inf,,,,,,,,,
0.82001,inf,,,,,,,,,
0.89131,inf,,,,,,,,,
0.96262,inf,,,,,,,,,
1.03392,inf,,,,,,,,,
1.10523,inf,,,,,,,,,
1.17653,inf,,,,,,,,,
1.24784,inf,,,,,,,,,
1.31914,inf,,,,,,,,,
1.39045,inf,,,,,,,,,
1.46175,inf,,,,,,,,,
1.53306,inf,,,,,,,,,
1.60436,inf,,,,,,,,,
1.67567,inf,,,,,,,,,
1.74697,inf,,,,,,,,,
1.81828,inf,,,,,,,,,
1.88958,inf,,,,,,,,,
1.96089,inf,,,,,,,,,
2.03219,inf,,,,,,,,,
2.1035,inf,,,,,,,,,
2.1748,inf,,,,,,,,,
2.24611,inf,,,,,,,,,
2.31741,inf,,,,,,,,,
2.38872,inf,,,,,,,,,
2.46002,inf,,,,,,,,,
2.53133,inf,,,,,,,,,
2.60263,inf,,,,,,,,,
2.67394,inf,,,,,,,,,
2.74524,inf,,,,,,,,,
2.81655,inf,,,,,,,,,
2.88785,inf,,,,,,,,,
2.95916,inf,,,,,,,,,
3.03046,inf,,,,,,,,,
3.10176,5.62228,0.58865,-85.274,,90.89628,,-90.6719,,5.3979,
3.17307,4.28606,0.17829,-83.49292999999999,1.545036293040106,87.77899,1.5552891920511478,-86.93668999999998,1.43276325852839,3.44376,0.5782098164353683
3.24437,3.21344,0.08202,-86.10288125,0.5773233791208798,89.31632125,0.5831205402655193,-88.649078125,0.5479964116668519,2.546196875,0.1816651229042199
3.31568,2.55002,0.04862,-85.3177248780488,0.4196653969723017,87.8677448780488,0.42247242491779224,-87.09187707317075,0.4064469517258635,1.774152195121951,0.1044984251014013
3.38698,1.7107,0.02512,-86.89072083805209,0.21560701858279932,88.60142083805209,0.21706542991034655,-87.99173578708947,0.2108180613722867,1.1010149490373726,0.0451899486766065
3.45829,1.0726,0.01805,-86.72522070240296,0.12447844429009422,87.79782070240296,0.12578030685636798,-87.25011341959335,0.1223184300923016,0.5248927171903882,0.0230886282103727
3.52959,0.58472,0.01371,-86.56801133250312,0.0802332721624864,87.15273133250312,0.08139620422292193,-86.66519148505604,0.0790319327635274,0.0971801525529265,0.0138322653806562
3.6009,0.20074,0.01087,-85.97886057857703,0.057299263711765136,86.17960057857702,0.058321201307161064,-85.77473403440189,0.0565337366041316,-0.2041265441751368,0.0093350012043425
3.6722,-0.0717,0.00902,-85.22969310557532,0.044015704785989776,85.15799310557531,0.044930420294132606,-84.79138021352313,0.0434936506112462,-0.4383128920521946,0.006759040191791
3.74351,-0.28437,0.00775,-84.35532280567512,0.03644965782655471,84.07095280567512,0.037264461027538304,-83.74720270365057,0.0360639422597037,-0.6081201020245496,0.0052886316152365
3.81481,-0.44618,0.00681,-83.61268474386227,0.03176263425249812,83.16650474386228,0.03248447374759158,-82.88675493237403,0.0314636527808409,-0.7259298114882384,0.0043478142030967
3.88612,-0.55113,0.00615,-82.78195317484256,0.02937309051989525,82.23082317484256,0.030010014106793756,-81.95860515817652,0.0291391567234816,-0.8233480166660382,0.0036997286568527
3.95742,-0.62809,0.00575,-81.97809169593258,0.028313595751382495,81.35000169593258,0.02889155939669413,-81.09702261349851,0.0281133976296935,-0.8810690824340718,0.0033610382454606
4.02873,-0.66977,0.00539,-81.17062551792456,0.027881077150378294,80.50085551792456,0.02839729851703057,-80.2481449944726,0.0277083834833676,-0.9224805234519692,0.0030983782538593
4.10003,-0.70593,0.00511,-80.34893410483765,0.02773156411936156,79.64300410483766,0.028198435213789105,-79.38986933628895,0.0275840846499469,-0.9590647685487026,0.0028562077184311
4.17134,-0.72123,0.00488,-79.50885878222442,0.02792921422100391,78.78762878222442,0.02835234394195173,-78.53179788976186,0.0277964804628155,-0.9770608924625582,0.0027196839674939
4.24264,-0.73981,0.00467,-78.831407181056,0.02784329716188884,78.09159718105599,0.028232217356156192,-77.84786035353244,0.027723374070506,-0.9835468275235476,0.0025814195691601
4.31395,-0.75232,0.0045,-78.20043507226173,0.02781915114950784,77.44811507226173,0.028180758873372506,-77.21178647556606,0.0277095042406467,-0.9886485966956732,0.0024674978048108
4.38525,-0.76764,0.00432,-77.71258200108866,0.027697723494209528,76.94494200108866,0.02803259329355182,-76.72148072139431,0.0275993148121949,-0.9911012796943524,0.0023327470199414
4.45656,-0.7773,0.00425,-77.39494103760664,0.027743753949725405,76.61764103760665,0.028067390032258145,-76.41053907020428,0.0276541346245554,-0.9844019674023636,0.0022281654763213
4.52786,-0.78574,0.00417,-77.26411090356942,0.027743252199213236,76.47837090356941,0.02805489159824272,-76.28553240982993,0.0276609171243082,-0.978578493739488,0.00213581516787
4.59917,-0.79328,0.00412,-77.18369973533149,0.027720705050566813,76.39041973533149,0.02802520095379372,-76.20810853198378,0.0276430641540848,-0.9755912033476992,0.0020732806548252
4.67047,-0.79096,0.00408,-77.0600934785258,0.027769451970583028,76.2691334785258,0.028067576716676444,-76.08138069410353,0.0276979072423132,-0.9787127844222768,0.0019920836184085
4.74178,-0.7772,0.00413,-76.79104708160108,0.027781611435016364,76.01384708160109,0.028086915706895123,-75.80110530091532,0.0277154753079186,-0.9899417806857568,0.0019158189847651
4.81308,-0.74643,0.00413,-76.21874364317655,0.02812138554243569,75.47231364317655,0.028423040386741018,-75.20071547536985,0.0280590798593112,-1.0180281678067058,0.0018709255129768
4.88439,-0.69308,0.00422,-75.22301667120522,0.029006012338726614,74.52993667120522,0.02931138263191214,-74.17819518287243,0.0289455989879872,-1.0448214883327855,0.0018711095694788
4.95569,-0.62316,0.00427,-73.97194911826897,0.030268518522474357,73.34878911826897,0.030568220647354878,-72.90421569460696,0.0302069552230258,-1.0677334236620064,0.0019295257706202
5.027,-0.55633,0.00433,-72.48699082228649,0.03131971274557602,71.93066082228648,0.03161761070140179,-71.40448347274493,0.0312561096954145,-1.082507349541561,0.0019949970359909
5.0983,-0.48809,0.00445,-71.03601376646482,0.032342967418954455,70.54792376646482,0.03264766517629629,-69.94180173999928,0.0322780016186557,-1.0942120264655353,0.0020489394743646
5.16961,-0.42806,0.00454,-69.39912135793726,0.03307222052794556,68.97106135793726,0.03338238114109093,-68.30989637105236,0.0330046164157122,-1.089224986884902,0.0021135434466234
5.24091,-0.36911,0.00458,-68.01774621153383,0.033572944309837476,67.64863621153383,0.03388390458066261,-66.93506575085635,0.0335034413039028,-1.0826804606774836,0.0021591689205313
5.31222,-0.32242,0.00469,-66.60957659094284,0.03365880716342888,66.28715659094284,0.033983987400905316,-65.5342008982925,0.0335886528778117,-1.075375692650334,0.0021720261321547
5.38352,-0.28111,0.00483,-65.38592344643715,0.033618739455568036,65.10481344643715,0.0339639300226191,-64.3191040270953,0.0335492106456789,-1.066819419341838,0.002161043181714
5.45483,-0.24629,0.00494,-64.21651787567255,0.03338159942592304,63.97022787567255,0.03374514454307146,-63.16243482417371,0.0333111336759269,-1.0540830514988468,0.0021678453490308
5.52613,-0.21821,0.0049,-63.218792879930625,0.03306236687090176,63.000582879930626,0.03342349627292307,-62.177614397199086,0.0329939143435347,-1.0411784827315411,0.0021264334923994
5.59744,-0.19468,0.00502,-62.21924843778519,0.03274701082839268,62.02456843778519,0.033129550528114136,-61.19784843612591,0.0326790017897042,-1.0214000016592828,0.0021093980713411
5.66874,-0.1792,0.00497,-61.407871745304185,0.03233250336287769,61.22867174530418,0.032712255711132135,-60.40671246408584,0.0322667122295617,-1.0011592812183416,0.0020615662989947
5.74005,-0.1683,0.00495,-60.56481833165597,0.032036522318821106,60.39651833165597,0.032416681851854035,-59.5871366699114,0.0319721927095793,-0.9776816617445678,0.0020292007357201
5.81135,-0.16124,0.00496,-59.85997523536503,0.03150356799767398,59.69873523536503,0.031891635213392056,-58.91283563051765,0.0314383492768798,-0.9471396048473792,0.0020260778190828
5.88266,-0.16441,0.00494,-59.274481764854706,0.031149319058905982,59.11007176485471,0.031538606149186806,-58.35469346203713,0.031087413441967,-0.9197883028175694,0.0019628559095698
5.95396,-0.16387,0.0049,-58.74510588889575,0.03072933289828847,58.58123588889575,0.03111754971674078,-57.85010743681641,0.0306681831003401,-0.8949984520793426,0.0019376392073469
6.02527,-0.17155,0.00484,-58.21769533148677,0.030294721989124255,58.04614533148677,0.030678914263681637,-57.34723481057898,0.0302344864187003,-0.8704605209077914,0.001909453166683
6.09657,-0.17279,0.00478,-57.65217360339048,0.029719158369362002,57.47938360339048,0.03010110918526458,-56.810185050581296,0.0296614083129509,-0.8419885528091844,0.0018518183160415
6.16788,-0.18008,0.00469,-57.08654993836844,0.02892644940702286,56.906469938368446,0.029304190405077788,-56.27752707306141,0.0288697622797614,-0.8090228653070372,0.0018100555812237
6.23918,-0.18444,0.00468,-56.54160840603343,0.02805802075969598,56.35716840603343,0.02844564868220675,-55.76164474385107,0.0280036292330703,-0.7799636621823618,0.0017462184079493
6.31049,-0.18808,0.00465,-55.81706873011471,0.027088142217325435,55.62898873011471,0.027484358256762126,-55.07526772017373,0.0270360339264763,-0.7418010099409877,0.0016793803358593
6.38179,-0.18782,0.00458,-55.19121138617698,0.026053657770490322,55.00339138617698,0.026453156394310125,-54.486846269177136,0.0260035731655093,-0.7043651169998452,0.0016147030215601
6.4531,-0.18985,0.00449,-54.49197912067165,0.025171280548712018,54.30212912067165,0.025568603099543157,-53.82367540750438,0.0251234043323736,-0.6683037131672688,0.0015517471488743
6.5244,-0.18437,0.0045,-53.802724071335376,0.02424774096489402,53.618354071335375,0.024661770858975224,-53.17046178338409,0.0242019552742644,-0.6322622879512833,0.0014893967916929
6.59571,-0.1829,0.00448,-53.0540904217969,0.02337012526003579,52.8711904217969,0.02379565411308886,-52.459769114957936,0.0233269952642007,-0.5943213068389613,0.0014191711009322
6.66701,-0.18062,0.00442,-52.36876260165522,0.022449800612387133,52.18814260165522,0.02288077681233611,-51.80844665900135,0.0224090525456352,-0.5603159426538752,0.0013520027895305
6.73832,-0.17077,0.00439,-51.62057413474493,0.021639497751504564,51.44980413474493,0.022080307129597885,-51.09987952716478,0.0216004663807825,-0.5206946075801472,0.0012991208835424
6.80962,-0.16612,0.00432,-50.886276712828426,0.020837340514647116,50.72015671282843,0.021280440778408564,-50.39869279923757,0.0208010480154497,-0.4875839135908508,0.0012292929603273
6.88093,-0.15283,0.00436,-50.1686932875308,0.02008347449477408,50.0158632875308,0.020551290659767355,-49.71355731289111,0.0200486903139808,-0.4551359746396879,0.0011815094059437
6.95223,-0.14381,0.00436,-49.45731982722244,0.019299380483804644,49.31350982722244,0.019785744541428296,-49.035859879032266,0.0192669825103977,-0.4214599481901725,0.0011177978362337
7.02354,-0.13649,0.00437,-48.74338970825921,0.018509096504498022,48.606899708259206,0.019017979740572365,-48.35017984442042,0.0184789443615886,-0.3932098638387926,0.0010560628267929
7.09484,-0.12359,0.00435,-48.060387522563964,0.01783718360887241,47.936797522563964,0.018359946053750447,-47.69457374311435,0.0178090704888359,-0.3658137794496139,0.0010010631450118
7.16615,-0.11486,0.00438,-47.45231183135797,0.017182131544466107,47.33745183135797,0.017731611444291726,-47.1081401642858,0.0171558589651873,-0.3441716670721675,0.0009498144965938
7.23745,-0.10204,0.00431,-46.82684670079042,0.01663130776336139,46.72480670079042,0.017180701322112694,-46.50671771185162,0.0166071016700461,-0.3201289889387977,0.0008969793979779
7.30876,-0.09401,0.0043,-46.24203944627098,0.01604594965744389,46.14802944627098,0.0166121190824417,-45.94093546634365,0.0160229728189808,-0.3011039799273231,0.0008583952769128
7.38006,-0.08696,0.00425,-45.65151427066515,0.015530501775904648,45.564554270665155,0.01610152121420139,-45.36773106385902,0.0155091375053213,-0.2837832068061328,0.0008143336247593
7.45137,-0.07651,0.00423,-45.102278448049205,0.015033758054665966,45.025768448049206,0.015617515207171523,-44.8355630074191,0.0150134976383859,-0.2667154406301085,0.0007802370847472
7.52267,-0.06846,0.00424,-44.606584087549756,0.01459786966072467,44.538124087549754,0.01520116438406959,-44.35511230130757,0.0145788882119909,-0.2514717862421831,0.0007441889100078
7.59398,-0.06454,0.0042,-44.095730465108446,0.014160591944262871,44.031190465108445,0.01477032038284622,-43.85854084665237,0.0141431547102377,-0.237189618456078,0.0007025233477997
7.66528,-0.05542,0.00417,-43.62658908940288,0.013796330572202474,43.57116908940288,0.014412759529579638,-43.403083404607855,0.0137800591398726,-0.2235056847950204,0.0006698562227092
7.73659,-0.05487,0.00415,-43.18972017688601,0.013426311439242984,43.13485017688601,0.014053054431814708,-42.97759992299738,0.0134113074648319,-0.2121202538886322,0.0006345635880597
7.80789,-0.05068,0.00414,-42.75786953797964,0.013059922503530868,42.70718953797964,0.013700407869776431,-42.55700495845297,0.0130461937597606,-0.2008645795266684,0.0005986686738218
7.8792,-0.05137,0.00406,-42.32779315332999,0.01277107564197555,42.27642315332999,0.013400894487050528,-42.13805568333351,0.0127586178552467,-0.1897374699964795,0.0005639534349938
7.9505,-0.05231,0.00402,-41.923950688313326,0.012439052369480496,41.87164068831333,0.013072506410427892,-41.74506629566091,0.012427823193612,-0.1788843926524122,0.0005284264556189
8.02181,-0.04681,0.00398,-41.545878886503424,0.012195064632202905,41.49906888650342,0.012828094222588411,-41.3761203698518,0.012184751207067,-0.1697585166516278,0.0005014373395405
8.09311,-0.05271,0.00394,-41.18350706913773,0.011914554501905157,41.130797069137735,0.012549111880084122,-41.02242585627668,0.0119054914043775,-0.1610812128610486,0.0004646325420824
8.16442,-0.04888,0.00401,-40.82752978549336,0.011726580897674308,40.778649785493364,0.01239325621254156,-40.67525514716152,0.0117184203710566,-0.1522746383318368,0.0004374054833969
8.23572,-0.05335,0.00388,-40.471740681198916,0.011402024590143202,40.418390681198915,0.012044109130783822,-40.327186034449205,0.011394725393384,-0.144554646749708,0.0004079190650118
