r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
0.03565,,,,,,,,,,,,
0.10696,,,,,,,,,,,,
0.17826,,,,,,,,,,,,
0.24957,,,,,,,,,,,,
0.32087,,,,,,,,,,,,
0.39218,,,,,,,,,,,,
0.46348,,,,,,,,,,,,
0.53479,,,,,,,,,,,,
0.60609,,,,,,,,,,,,
0.6774,,,,,,,,,,,,
0.7487,,,,,,,,,,,,
0.82001,,,,,,,,,,,,
0.89131,,,,,,,,,,,,
0.96262,,,,,,,,,,,,
1.03392,,,,,,,,,,,,
1.10523,,,,,,,,,,,,
1.17653,,,,,,,,,,,,
1.24784,,,,,,,,,,,,
1.31914,,,,,,,,,,,,
1.39045,,,,,,,,,,,,
1.46175,,,,,,,,,,,,
1.53306,,,,,,,,,,,,
1.60436,,,,,,,,,,,,
1.67567,,,,,,,,,,,,
1.74697,,,,,,,,,,,,
1.81828,,,,,,,,,,,,
1.88958,,,,,,,,,,,,
1.96089,,,,,,,,,,,,
2.03219,,,,,,,,,,,,
2.1035,,,,,,,,,,,,
2.1748,,,,,,,,,,,,
2.24611,,,,,,,,,,,,
2.31741,,,,,,,,,,,,
2.38872,,,,,,,,,,,,
2.46002,,,,,,,,,,,,
2.53133,,,,,,,,,,,,
2.60263,,,,,,,,,,,,
2.67394,,,,,,,,,,,,
2.74524,,,,,,,,,,,,
2.81655,,,,,,,,,,,,
2.88785,,,,,,,,,,,,
2.95916,,,,,,,,,,,,
3.03046,,,,,,,,,,,,
3.10176,-101.1393,,,4.897900000000001,,,-91.4559,,,-11.4668,,
3.17307,-97.14761999999999,27.967091288444443,1.6723364281281576,2.60505,3.2996601761111113,0.5744266860192963,-86.80537,21.696766584555554,1.472982232905596,-10.08465,1.9891200472222224,0.44599552096654765
3.24437,-100.3637875,31.779430637619058,0.7046655970833242,3.0273484375,7.151341981267363,0.33427491449000857,-89.113525,23.89421436,0.6110213575440715,-11.250081250000001,6.927041696785712,0.32899092162592686
3.31568,-99.09742341463415,61.509029202194135,0.5477627633280231,2.6144048780487803,7.776961219485895,0.19477267824983596,-87.65276341463415,43.19092598664513,0.4590070193769299,-11.250102439024388,9.685768933180295,0.21736525327794873
3.38698,-101.21348980747452,73.36007540898892,0.28823686978232455,2.910481313703284,8.464611614945214,0.09790912429093115,-89.01343771234428,50.96184539953988,0.24023828629313942,-12.2864825594564,11.846463915704566,0.11582812234047582
3.45829,-100.81610828096119,78.02860925590772,0.16984129729944292,2.3607862846580407,7.524208915066985,0.05274080910046696,-88.32726055452865,52.15982807843244,0.13886232770220064,-12.098247393715342,11.745872897560693,0.065895994054039
