r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
0.03553,,,,,,,,,,,,
0.10658,,,,,,,,,,,,
0.17763,,,,,,,,,,,,
0.24868,,,,,,,,,,,,
0.31973,,,,,,,,,,,,
0.39078,,,,,,,,,,,,
0.46184,,,,,,,,,,,,
0.53289,,,,,,,,,,,,
0.60394,,,,,,,,,,,,
0.67499,,,,,,,,,,,,
0.74604,,,,,,,,,,,,
0.81709,,,,,,,,,,,,
0.88815,,,,,,,,,,,,
0.9592,,,,,,,,,,,,
1.03025,,,,,,,,,,,,
1.1013,,,,,,,,,,,,
1.17235,,,,,,,,,,,,
1.2434,,,,,,,,,,,,
1.31445,,,,,,,,,,,,
1.38551,,,,,,,,,,,,
1.45656,,,,,,,,,,,,
1.52761,,,,,,,,,,,,
1.59866,,,,,,,,,,,,
1.66971,,,,,,,,,,,,
1.74076,,,,,,,,,,,,
1.81182,,,,,,,,,,,,
1.88287,,,,,,,,,,,,
1.95392,,,,,,,,,,,,
2.02497,,,,,,,,,,,,
2.09602,,,,,,,,,,,,
2.16707,,,,,,,,,,,,
2.23813,,,,,,,,,,,,
2.30918,,,,,,,,,,,,
2.38023,,,,,,,,,,,,
2.45128,,,,,,,,,,,,
2.52233,,,,,,,,,,,,
2.59338,,,,,,,,,,,,
2.66444,,,,,,,,,,,,
2.73549,,,,,,,,,,,,
2.80654,,,,,,,,,,,,
2.87759,,,,,,,,,,,,
2.94864,-132.64072000000002,33.37746164200002,2.5836974142495874,13.526680000000002,10.374585931999999,1.4404572837817855,-122.12374,34.80042147299996,2.6381971674990465,-19.394940000000002,7.906858732999994,1.2575260421160266
3.01969,-131.47250357142858,14.950164101805196,0.5166887032862865,11.144603571428572,10.870201577805195,0.44058000687821397,-119.86098392857141,14.497788991918835,0.5088114475337675,-18.209782142857144,5.31284229422078,0.3080132851442792
3.09075,-130.16931723484848,24.9336563323969,0.2173081543865138,9.924544696969697,10.037796938377891,0.1378803069693353,-117.87795890151514,21.27722211825078,0.2007430426275186,-17.754970833333335,6.0747020630186634,0.10726191096375243
3.1618,-128.94036641702797,23.34597345252316,0.09592808174550431,8.94836779661017,9.688998408785073,0.06179868140636387,-116.17979676783602,19.029808995730857,0.08660779484776263,-17.38073539613717,5.923468907437471,0.04832009984111059
3.23285,-127.23652781871404,23.144292382248395,0.048333792363398936,8.264127192893913,9.30732170702952,0.030650762381784054,-114.28484466538812,18.636951009732023,0.04337268921279862,-17.044516442919146,5.939267434218804,0.024484732244267317
3.3039,-125.49405829812171,22.35109537338364,0.026255652013707206,7.506639246830953,8.194923463147527,0.015898123002323062,-112.3655809147827,17.823233585621796,0.023445886122979414,-16.602872411559698,5.686025517492211,0.013242738523443338
3.37495,-123.86784766880832,21.63607541516551,0.016318801097834304,6.705511642419319,7.028123281665798,0.009300765426642382,-110.56151492011917,16.94891310192985,0.014443416408566992,-16.128262922482335,5.393233312665532,0.008147485757543921
3.446,-122.24653329163519,21.67356134740265,0.011731432814480197,5.863528007188168,6.1633776409140895,0.00625597936159049,-108.79324245083534,16.557531777819268,0.010253773423999593,-15.570448833192573,5.276855033054808,0.005788599459334178
