r,elect_mean,elect_var,elect_seom,vdw_mean,vdw_var,vdw_seom
0.03553,,,,,,
0.10658,,,,,,
0.17763,,,,,,
0.24868,,,,,,
0.31973,,,,,,
0.39078,,,,,,
0.46184,,,,,,
0.53289,,,,,,
0.60394,,,,,,
0.67499,,,,,,
0.74604,,,,,,
0.81709,,,,,,
0.88815,,,,,,
0.9592,,,,,,
1.03025,,,,,,
1.1013,,,,,,
1.17235,,,,,,
1.2434,,,,,,
1.31445,,,,,,
1.38551,,,,,,
1.45656,,,,,,
1.52761,,,,,,
1.59866,,,,,,
1.66971,,,,,,
1.74076,,,,,,
1.81182,,,,,,
1.88287,,,,,,
1.95392,,,,,,
2.02497,,,,,,
2.09602,,,,,,
2.16707,,,,,,
2.23813,,,,,,
2.30918,,,,,,
2.38023,,,,,,
2.45128,,,,,,
2.52233,,,,,,
2.59338,,,,,,
2.66444,,,,,,
2.73549,,,,,,
2.80654,,,,,,
2.87759,,,,,,
2.94864,-119.7415,19.65723060999999,1.982787462639402,11.358159999999998,5.009156772999999,1.0009152584509837
3.01969,-117.85248035714287,8.302889778698043,0.385053098812777,8.1216625,3.720715278022727,0.257762185454744
3.09075,-115.8165784090909,10.897503611487412,0.14366353533653842,6.464004166666667,5.029735597629666,0.09760130321594136
3.1618,-113.90395376428854,10.618217911792817,0.06469423523348074,5.036248876625937,4.3579587466874194,0.04144587604557809
3.23285,-111.85845399212677,10.644642188345436,0.03277890580581866,4.1159770465327545,4.158433915461397,0.020487728986125393
3.3039,-109.79133339913024,10.389761747670166,0.017900954808884904,3.234517302532153,3.281757952707817,0.010060664696983903
3.37495,-107.82359700046771,10.02864718268362,0.011110156642255746,2.467340841395269,2.5579207025564767,0.005611029399218487
3.446,-105.9309831738432,9.863625928698623,0.007914148860769188,1.7736395660428876,2.054622751958215,0.003612035121834307
3.51706,-104.06556857178849,9.684572998552792,0.006486102472542749,1.1882894202533405,1.7293470323553684,0.0027408460578761643
3.58811,-102.17315458857969,9.603818440108178,0.006066292535401087,0.7338212768321748,1.564400509208538,0.0024483604377099535
3.65916,-100.25974981595701,9.977575256131816,0.006398688653946254,0.413311385226494,1.4769771588447007,0.002461871395802595
3.73021,-98.34109392350832,10.745263153463984,0.007341911113925834,0.19699828836873318,1.409762174645412,0.0026593378893776482
3.80126,-96.39767380974095,11.954755550307734,0.008825144371575801,0.05946505185802886,1.3620413587918647,0.0029788361549636594
3.87231,-94.3763906716898,13.6276112924685,0.01081425449929898,-0.03557508731881881,1.275630460966631,0.003308637272210375
3.94336,-92.31706421683951,15.463578268435102,0.013068987679367657,-0.11137274705369075,1.1718099203357168,0.0035976220409229638
4.01442,-90.23196422968918,16.7124177448433,0.015204898762560577,-0.19004111413908062,1.0083823714175877,0.0037348788059055724
4.08547,-88.13826514468495,17.339276247581363,0.016951964239495614,-0.29268831084888464,0.8619003480263431,0.0037794888869067777
4.15652,-86.07124042662049,17.54453293429226,0.01858070212679016,-0.41080506119878785,0.7289529333734527,0.003787398122253942
4.22757,-84.18404647508973,16.87985197118328,0.01952033899925928,-0.5171655003498951,0.6216525924485112,0.003746078839489975
4.29862,-82.33093238700131,16.39838060548607,0.020451976771924785,-0.6064395597388023,0.5504100010018852,0.003746950605215096
