r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03557,inf,,,,,,,,,,,
0.10672,inf,,,,,,,,,,,
0.17787,inf,,,,,,,,,,,
0.24902,inf,,,,,,,,,,,
0.32017,inf,,,,,,,,,,,
0.39132,inf,,,,,,,,,,,
0.46247,inf,,,,,,,,,,,
0.53362,inf,,,,,,,,,,,
0.60476,inf,,,,,,,,,,,
0.67591,inf,,,,,,,,,,,
0.74706,inf,,,,,,,,,,,
0.81821,inf,,,,,,,,,,,
0.88936,inf,,,,,,,,,,,
0.96051,inf,,,,,,,,,,,
1.03166,inf,,,,,,,,,,,
1.10281,inf,,,,,,,,,,,
1.17396,inf,,,,,,,,,,,
1.2451,inf,,,,,,,,,,,
1.31625,inf,,,,,,,,,,,
1.3874,inf,,,,,,,,,,,
1.45855,inf,,,,,,,,,,,
1.5297,inf,,,,,,,,,,,
1.60085,inf,,,,,,,,,,,
1.672,inf,,,,,,,,,,,
1.74315,inf,,,,,,,,,,,
1.81429,inf,,,,,,,,,,,
1.88544,inf,,,,,,,,,,,
1.95659,inf,,,,,,,,,,,
2.02774,inf,,,,,,,,,,,
2.09889,inf,,,,,,,,,,,
2.17004,inf,,,,,,,,,,,
2.24119,inf,,,,,,,,,,,
2.31234,inf,,,,,,,,,,,
2.38348,inf,,,,,,,,,,,
2.45463,inf,,,,,,,,,,,
2.52578,inf,,,,,,,,,,,
2.59693,inf,,,,,,,,,,,
2.66808,inf,,,,,,,,,,,
2.73923,inf,,,,,,,,,,,
2.81038,inf,,,,,,,,,,,
2.88153,inf,,,,,,,,,,,
2.95267,inf,,,,,,,,,,,
3.02382,inf,,,,,,,,,,,
3.09497,inf,,,,,,,,,,,
3.16612,inf,,,,,,,,,,,
3.23727,5.6755,0.58865,-89.5384,,95.2139,,-83.9702,,-0.3178000000000005,,-5.25039999999999,
3.30842,4.47021,0.22821,-91.8738125,1.0507916016776342,96.3440225,1.0752873077723217,-86.194875,0.8912137613850795,0.22265,0.3297637449750958,-5.901587500000003,1.4167459497518915
