r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.03557,inf,,,,,,,,,
0.10672,inf,,,,,,,,,
0.17787,inf,,,,,,,,,
0.24902,inf,,,,,,,,,
0.32017,inf,,,,,,,,,
0.39132,inf,,,,,,,,,
0.46247,inf,,,,,,,,,
0.53362,inf,,,,,,,,,
0.60476,inf,,,,,,,,,
0.67591,inf,,,,,,,,,
0.74706,inf,,,,,,,,,
0.81821,inf,,,,,,,,,
0.88936,inf,,,,,,,,,
0.96051,inf,,,,,,,,,
1.03166,inf,,,,,,,,,
1.10281,inf,,,,,,,,,
1.17396,inf,,,,,,,,,
1.2451,inf,,,,,,,,,
1.31625,inf,,,,,,,,,
1.3874,inf,,,,,,,,,
1.45855,inf,,,,,,,,,
1.5297,inf,,,,,,,,,
1.60085,inf,,,,,,,,,
1.672,inf,,,,,,,,,
1.74315,inf,,,,,,,,,
1.81429,inf,,,,,,,,,
1.88544,inf,,,,,,,,,
1.95659,inf,,,,,,,,,
2.02774,inf,,,,,,,,,
2.09889,inf,,,,,,,,,
2.17004,inf,,,,,,,,,
2.24119,inf,,,,,,,,,
2.31234,inf,,,,,,,,,
2.38348,inf,,,,,,,,,
2.45463,inf,,,,,,,,,
2.52578,inf,,,,,,,,,
2.59693,inf,,,,,,,,,
2.66808,inf,,,,,,,,,
2.73923,inf,,,,,,,,,
2.81038,inf,,,,,,,,,
2.88153,inf,,,,,,,,,
2.95267,inf,,,,,,,,,
3.02382,inf,,,,,,,,,
3.09497,inf,,,,,,,,,
3.16612,inf,,,,,,,,,
3.23727,5.6755,0.58865,-74.7028,,80.3783,,-76.6666,,1.9638,
3.30842,4.47021,0.22821,-77.26225000000001,0.9120987290652812,81.73246,0.9402148135732075,-79.23536250000001,0.8375624712175,1.9731125,0.3611276759963651
3.37957,3.42247,0.08502,-77.00323877551021,0.6797838810141639,80.42570877551022,0.6850799408001076,-78.37285714285716,0.6325273156896366,1.3696183673469389,0.2490287529445982
3.45072,2.58,0.04654,-76.41080801886793,0.365359508388888,78.99080801886792,0.368311745631564,-76.92113490566038,0.3496995996042534,0.5103268867924529,0.1058194708302531
