r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
0.03557,,,,,,,,,,,,
0.10672,,,,,,,,,,,,
0.17787,,,,,,,,,,,,
0.24902,,,,,,,,,,,,
0.32017,,,,,,,,,,,,
0.39132,,,,,,,,,,,,
0.46247,,,,,,,,,,,,
0.53362,,,,,,,,,,,,
0.60476,,,,,,,,,,,,
0.67591,,,,,,,,,,,,
0.74706,,,,,,,,,,,,
0.81821,,,,,,,,,,,,
0.88936,,,,,,,,,,,,
0.96051,,,,,,,,,,,,
1.03166,,,,,,,,,,,,
1.10281,,,,,,,,,,,,
1.17396,,,,,,,,,,,,
1.2451,,,,,,,,,,,,
1.31625,,,,,,,,,,,,
1.3874,,,,,,,,,,,,
1.45855,,,,,,,,,,,,
1.5297,,,,,,,,,,,,
1.60085,,,,,,,,,,,,
1.672,,,,,,,,,,,,
1.74315,,,,,,,,,,,,
1.81429,,,,,,,,,,,,
1.88544,,,,,,,,,,,,
1.95659,,,,,,,,,,,,
2.02774,,,,,,,,,,,,
2.09889,,,,,,,,,,,,
2.17004,,,,,,,,,,,,
2.24119,,,,,,,,,,,,
2.31234,,,,,,,,,,,,
2.38348,,,,,,,,,,,,
2.45463,,,,,,,,,,,,
2.52578,,,,,,,,,,,,
2.59693,,,,,,,,,,,,
2.66808,,,,,,,,,,,,
2.73923,,,,,,,,,,,,
2.81038,,,,,,,,,,,,
2.88153,,,,,,,,,,,,
2.95267,,,,,,,,,,,,
3.02382,,,,,,,,,,,,
3.09497,,,,,,,,,,,,
3.16612,,,,,,,,,,,,
3.23727,-89.5384,,,-0.3178000000000005,,,-83.9702,,,-3.649799999999999,,
3.30842,-91.8738125,8.833303921249984,1.0507916016776342,0.22265000000000007,0.8699530200000003,0.3297637449750958,-86.194875,6.35409574785713,0.8912137613850795,-4.157337500000001,0.976011408392857,0.34928702530885275
3.37957,-90.79900204081633,30.43636966437073,0.7881309544191805,0.18600612244897954,2.592660517253401,0.2300248663245355,-84.68912857142858,27.66774735833333,0.7514305724896404,-4.788216326530612,2.578214380561224,0.22938312930870386
3.45072,-88.75628113207546,42.80538823537691,0.44934642388411,-0.25052216981132075,1.9534153114966912,0.09599074521763659,-82.30651839622641,37.84954539705332,0.422534722236569,-5.049815094339623,2.162603453230797,0.10099980042084702
3.52187,-88.3526475515464,40.370461591271386,0.2280872436380458,-0.5186610824742268,2.0285636865608923,0.0511285484055924,-81.66166945876289,35.96022198738861,0.2152684190767179,-5.034285309278351,2.368329633538742,0.05524464840362953
3.59301,-87.51258996710526,40.44816311449614,0.14891449903652204,-0.7655922149122807,1.7482980278932805,0.030959598282579257,-80.6288650767544,35.485466747013376,0.13948029074402604,-5.103372807017544,2.2388155209386893,0.03503456564577783
3.66416,-86.90958415065722,42.99066010357437,0.10424588372159087,-0.8731310161779576,1.958654512547236,0.022251063712472503,-79.9148380182002,37.49194878105233,0.09735110066179932,-5.155258847320526,2.4195626869229705,0.024730921433607167
3.73531,-86.21965796213048,48.64696407827622,0.08140484601636688,-0.9346977251055715,2.295879024881749,0.017684667066175885,-79.13774929846072,41.91700119840165,0.07556444388012909,-5.246164419016484,2.9500852730607994,0.0200465514400128
3.80646,-85.95530052508282,57.961324812074935,0.06842682201509952,-0.8737443089102512,3.059349281747185,0.015720695285485396,-78.82072603602876,49.21647843756033,0.06305397733917398,-5.36947404475321,3.818859594497545,0.017564025710286098
3.87761,-85.86411376094797,71.37291187593453,0.06063926659403177,-0.7574194641937146,3.8344405280718483,0.01405523901778555,-78.65098412158682,59.3765969909386,0.05530888254106383,-5.561680808861411,4.889268922624589,0.01587117918844616
3.94876,-86.61255701555129,94.37178296106524,0.05742806787271711,-0.4238713681635506,5.410856392420208,0.013751058469475545,-79.2703299108859,77.17203277899361,0.051931766405666456,-5.953769669753626,6.891339394330277,0.01551868595083867
4.01991,-87.89203808829603,119.3325936712691,0.05384652541912562,-0.011447311514444683,6.79266647069132,0.012846898412132629,-80.33957355735355,95.5040323704245,0.0481713701201223,-6.459011038219501,8.896258856958793,0.014702183881125519
4.09106,-89.41388331603926,136.08287784377995,0.048112851120936,0.39911162501913694,7.357768735688695,0.011187483753641751,-81.57354598465645,106.62006327250076,0.042587173691910764,-7.031897160936941,10.083996241312166,0.013097116438412947
4.1622,-90.74649525789538,141.6063816885589,0.041553538008410884,0.7571703084989634,7.498610637058196,0.009562181787374198,-82.64861589928057,109.05434344504775,0.036465995813764945,-7.523294072674064,10.638775750498224,0.011389703574925488
4.23335,-91.64473794401553,138.2344169836571,0.03549661697585043,1.0166167834908713,7.305788795002401,0.00816041843392754,-83.34134509657366,105.08781282979903,0.030949600564665353,-7.9026047461922,10.633448012335908,0.009845004700374275
4.3045,-92.09129703841175,130.94722028320615,0.030514269471903988,1.178015228180952,6.863002041351012,0.006985731661267233,-83.63887984413444,98.60839863690202,0.02647962243480585,-8.158510198102878,10.270593975104827,0.008545797854605302
4.37565,-92.01305741521313,123.87449661462594,0.026985779336654775,1.1929537633081133,6.031776423797289,0.005954792479117356,-83.48486506234457,92.02825955733243,0.023259727253143653,-8.230158720892637,9.665804737556638,0.007538119574826114
4.4468,-91.24576244837401,117.76492309903324,0.02489157238093555,1.0283377873298647,4.919485948533757,0.005087497599605157,-82.73509748564996,86.01840467567621,0.021273553850686237,-8.076475083259236,8.845429737521119,0.006821876040790709
4.51795,-89.84250743239467,111.32420604895577,0.02378137832345775,0.7606974166967246,3.8792066913157095,0.004439291657994243,-81.4796194847618,80.09707353343936,0.020172073552731894,-7.726805366768102,7.847239116882148,0.006313943071759292
4.5891,-87.96677774711345,104.5724333735291,0.023379195140567445,0.5035509222816342,3.2066885063465977,0.004094014122784793,-79.877397112153,74.7822576452256,0.01977061754785683,-7.2883055295083095,6.933040479824561,0.006019810454397258
