r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.03562,inf,,,,,,,,,
0.10686,inf,,,,,,,,,
0.17811,inf,,,,,,,,,
0.24935,inf,,,,,,,,,
0.32059,inf,,,,,,,,,
0.39184,inf,,,,,,,,,
0.46308,inf,,,,,,,,,
0.53432,inf,,,,,,,,,
0.60557,inf,,,,,,,,,
0.67681,inf,,,,,,,,,
0.74805,inf,,,,,,,,,
0.8193,inf,,,,,,,,,
0.89054,inf,,,,,,,,,
0.96178,inf,,,,,,,,,
1.03302,inf,,,,,,,,,
1.10427,inf,,,,,,,,,
1.17551,inf,,,,,,,,,
1.24675,inf,,,,,,,,,
1.318,inf,,,,,,,,,
1.38924,inf,,,,,,,,,
1.46048,inf,,,,,,,,,
1.53173,inf,,,,,,,,,
1.60297,inf,,,,,,,,,
1.67421,inf,,,,,,,,,
1.74546,inf,,,,,,,,,
1.8167,inf,,,,,,,,,
1.88794,inf,,,,,,,,,
1.95919,inf,,,,,,,,,
2.03043,inf,,,,,,,,,
2.10167,inf,,,,,,,,,
2.17291,inf,,,,,,,,,
2.24416,inf,,,,,,,,,
2.3154,inf,,,,,,,,,
2.38664,inf,,,,,,,,,
2.45789,inf,,,,,,,,,
2.52913,inf,,,,,,,,,
2.60037,inf,,,,,,,,,
2.67162,inf,,,,,,,,,
2.74286,inf,,,,,,,,,
2.8141,inf,,,,,,,,,
2.88535,inf,,,,,,,,,
2.95659,inf,,,,,,,,,
3.02783,inf,,,,,,,,,
3.09907,4.32152,0.20797,-76.23748888888888,0.6911217539150165,80.55900888888888,0.72173457699806,-80.33628888888887,0.6323032655046958,4.0988,0.2790015397209605
3.17032,3.32155,0.08207,-75.99085686274509,0.3870376099439318,79.31240686274509,0.3956432691340914,-79.30346470588235,0.3241282756821058,3.312607843137255,0.2115158916357255
3.24156,2.5044,0.04687,-76.48349103773586,0.2272636128778322,78.98789103773586,0.23204643207402517,-78.4479,0.2039303786207955,1.964408962264151,0.1003052860713939
3.3128,1.69293,0.02593,-76.956098853211,0.10899430696024645,78.64902885321101,0.11203626131634538,-78.0852502293578,0.0991634730789715,1.129151376146789,0.0452367611203601
3.38405,1.0732,0.01778,-77.12598985339505,0.06806988339984638,78.19918985339505,0.07035365964943602,-77.66734845679012,0.0632480448881033,0.5413586033950617,0.0251633432576268
3.45529,0.56167,0.01249,-77.18661876169682,0.045420946902898454,77.74828876169683,0.0471069264286678,-77.23529022145976,0.0428993924539505,0.0486714597629444,0.0149232886669747
3.52653,0.1609,0.01015,-77.07440101194553,0.03191171071194221,77.23530101194552,0.03348700913134356,-76.76288956859165,0.0304558589331183,-0.3115114433538766,0.0095287951603907
3.59778,-0.14977,0.00833,-76.77098197231834,0.024696581039976816,76.62121197231833,0.026063576405860774,-76.18987831747405,0.0237985012185653,-0.5811036548442906,0.0065994283702521
3.66902,-0.39204,0.00707,-76.3895656373429,0.020125682429614097,75.9975256373429,0.021331385169690166,-75.61328538323436,0.019507684095596,-0.7762802541085486,0.0049490761242992
3.74026,-0.58149,0.00627,-75.94430469057639,0.01731621982467618,75.36281469057639,0.018416415748361795,-75.01970655522527,0.0168677685419801,-0.9245981353511176,0.0039153356727993
3.81151,-0.71491,0.0056,-75.42836888295504,0.015468149079910513,74.71345888295504,0.01645064241780048,-74.38977231568016,0.0151281597906558,-1.038596567274885,0.0032252778650407
3.88275,-0.80746,0.00516,-74.83495511578997,0.014338053721745325,74.02749511578996,0.01523828679765724,-73.7032123786467,0.0140672997069317,-1.1317427371432762,0.0027732406103716
3.95399,-0.8578,0.00479,-74.2053437206935,0.013893277479809436,73.34754372069351,0.014695824547502602,-73.02229814929123,0.0136632321607887,-1.183045571402272,0.002517785942325
4.02524,-0.88265,0.0046,-73.530911853878,0.013597347102173097,72.648261853878,0.014354366869248365,-72.3063228290601,0.0133876010937275,-1.2245890248178986,0.0023790723343777
4.09648,-0.88921,0.00443,-72.89923636120095,0.013623490502798473,72.01002636120094,0.014325655080304013,-71.65997869744925,0.0134297782102389,-1.2392576637516983,0.0022892249132911
4.16772,-0.88105,0.00432,-72.25625843907558,0.013706314245173469,71.37520843907558,0.014370993361192717,-71.01177768447884,0.0135238389074224,-1.2444807545967422,0.0022290875697319
4.23896,-0.8646,0.00417,-71.67014948024367,0.013982605479005566,70.80554948024367,0.014591167053444234,-70.4291308221092,0.0138124626178718,-1.241018658134466,0.0021746568491168
4.31021,-0.84913,0.00411,-71.12491460356212,0.01432524138074134,70.27578460356212,0.014903175521227148,-69.89670839482883,0.0141643433098288,-1.2282062087332852,0.0021410089252061
