r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
0.03562,,,,,,,,,,,,
0.10686,,,,,,,,,,,,
0.17811,,,,,,,,,,,,
0.24935,,,,,,,,,,,,
0.32059,,,,,,,,,,,,
0.39184,,,,,,,,,,,,
0.46308,,,,,,,,,,,,
0.53432,,,,,,,,,,,,
0.60557,,,,,,,,,,,,
0.67681,,,,,,,,,,,,
0.74805,,,,,,,,,,,,
0.8193,,,,,,,,,,,,
0.89054,,,,,,,,,,,,
0.96178,,,,,,,,,,,,
1.03302,,,,,,,,,,,,
1.10427,,,,,,,,,,,,
1.17551,,,,,,,,,,,,
1.24675,,,,,,,,,,,,
1.318,,,,,,,,,,,,
1.38924,,,,,,,,,,,,
1.46048,,,,,,,,,,,,
1.53173,,,,,,,,,,,,
1.60297,,,,,,,,,,,,
1.67421,,,,,,,,,,,,
1.74546,,,,,,,,,,,,
1.8167,,,,,,,,,,,,
1.88794,,,,,,,,,,,,
1.95919,,,,,,,,,,,,
2.03043,,,,,,,,,,,,
2.10167,,,,,,,,,,,,
2.17291,,,,,,,,,,,,
2.24416,,,,,,,,,,,,
2.3154,,,,,,,,,,,,
2.38664,,,,,,,,,,,,
2.45789,,,,,,,,,,,,
2.52913,,,,,,,,,,,,
2.60037,,,,,,,,,,,,
2.67162,,,,,,,,,,,,
2.74286,,,,,,,,,,,,
2.8141,,,,,,,,,,,,
2.88535,,,,,,,,,,,,
2.95659,,,,,,,,,,,,
3.02783,,,,,,,,,,,,
3.09907,-96.22851111111112,11.076092371111109,1.1093587923316137,2.169922222222222,1.6062023144444446,0.42245345758694,-88.85538888888888,8.337282488611116,0.9624784262292795,-7.3755999999999995,1.3489632400000002,0.3871495892345031
3.17032,-94.09677843137256,12.920125682125484,0.5033247437676147,1.8439784313725491,3.15710956052549,0.24880536374827528,-86.72185490196078,11.713654794525496,0.4792488975209121,-7.1226352941176465,2.8669524355294107,0.23709650701313925
3.24156,-93.10373490566036,22.629607583420366,0.3267161336653975,1.374825,4.07927157742891,0.13871498499925636,-85.20345471698114,20.494586508461058,0.31092214117058203,-7.437841981132077,4.012251323774256,0.13757075921644105
