r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03549,inf,,,,,,,,,,,
0.10647,inf,,,,,,,,,,,
0.17745,inf,,,,,,,,,,,
0.24843,inf,,,,,,,,,,,
0.31941,inf,,,,,,,,,,,
0.39039,inf,,,,,,,,,,,
0.46137,inf,,,,,,,,,,,
0.53236,inf,,,,,,,,,,,
0.60334,inf,,,,,,,,,,,
0.67432,inf,,,,,,,,,,,
0.7453,inf,,,,,,,,,,,
0.81628,inf,,,,,,,,,,,
0.88726,inf,,,,,,,,,,,
0.95824,inf,,,,,,,,,,,
1.02922,inf,,,,,,,,,,,
1.1002,inf,,,,,,,,,,,
1.17118,inf,,,,,,,,,,,
1.24216,inf,,,,,,,,,,,
1.31314,inf,,,,,,,,,,,
1.38412,inf,,,,,,,,,,,
1.4551,inf,,,,,,,,,,,
1.52609,inf,,,,,,,,,,,
1.59707,inf,,,,,,,,,,,
1.66805,inf,,,,,,,,,,,
1.73903,inf,,,,,,,,,,,
1.81001,inf,,,,,,,,,,,
1.88099,inf,,,,,,,,,,,
1.95197,inf,,,,,,,,,,,
2.02295,inf,,,,,,,,,,,
2.09393,inf,,,,,,,,,,,
2.16491,inf,,,,,,,,,,,
2.23589,inf,,,,,,,,,,,
2.30687,inf,,,,,,,,,,,
2.37785,inf,,,,,,,,,,,
2.44883,inf,,,,,,,,,,,
2.51982,inf,,,,,,,,,,,
2.5908,inf,,,,,,,,,,,
2.66178,inf,,,,,,,,,,,
2.73276,inf,,,,,,,,,,,
2.80374,inf,,,,,,,,,,,
2.87472,inf,,,,,,,,,,,
2.9457,inf,,,,,,,,,,,
3.01668,3.95337,0.14862,-121.545125,0.9600451494374282,125.498495,0.9714806191367555,-115.27626875,0.7747712197114892,10.587543749999998,0.6725279884491023,-16.856399999999997,1.4050804343876397
3.08766,2.65598,0.05808,-120.95870066666669,0.3647354210992829,123.61468066666669,0.36933076476848126,-113.46086199999998,0.3492508139041054,8.718602,0.2480770887106464,-16.21644066666671,0.562628030194285
3.15864,1.68163,0.02592,-119.74358562653562,0.1700409727027006,121.42521562653562,0.1720051708457643,-111.73820515970516,0.1657788078483886,7.68397714987715,0.1157930555958163,-15.68935761670761,0.26420555871050355
3.22962,0.79703,0.01418,-118.657437842827,0.0767476173805352,119.454467842827,0.07804658335628172,-110.16431046940929,0.0746244049484865,6.958693960970464,0.049407911759107,-15.451821334388171,0.117898856363836
3.3006,0.10004,0.00958,-117.53514854897688,0.0422124124527464,117.63518854897688,0.043285842547890634,-108.62906400840272,0.0407090093054912,6.276009297440287,0.0245649588626936,-15.182093838014442,0.06358103811389978
3.37158,-0.43574,0.00712,-116.45423671703006,0.0263339739426544,116.01849671703006,0.027279526821636788,-107.20150021713565,0.0250210451631431,5.606797786422993,0.0143562403199066,-14.859534286317404,0.03905934613880985
3.44256,-0.81858,0.00576,-114.96050137584096,0.0189084784475979,114.14192137584097,0.0197663389934321,-105.46667263167464,0.0176886972485987,4.820617084368751,0.0097531325048578,-14.314445828535073,0.02766846871825709
3.51355,-1.06045,0.00497,-113.33424082595414,0.0154629174094758,112.27379082595414,0.016242004642662487,-103.71467025153709,0.0142626865956888,4.155371576891845,0.0075184073704164,-13.774942151308899,0.022339482830330753
3.58453,-1.1768,0.00456,-111.37542977351464,0.014074523951898,110.19862977351464,0.01479479045044405,-101.75908264960395,0.0128345891459415,3.536307160081193,0.0065335652364089,-13.152654283991879,0.02013718892288794
3.65551,-1.1995,0.0043,-109.18849120398812,0.0139092768613481,107.98899120398812,0.014558776830683053,-99.69376372642476,0.0125965801238224,3.014422245994591,0.006172728342054,-12.50914972355795,0.019754604243221577
3.72649,-1.16481,0.0042,-106.87811428067091,0.0143956362516294,105.71330428067091,0.014995810851342002,-97.584572556846,0.0129370718919056,2.5559662655984328,0.0061021027394969,-11.849507989423348,0.020293787967477536
3.79747,-1.09087,0.00424,-104.46414916240204,0.0153554786299021,103.37327916240204,0.015930107468356266,-95.43600313578442,0.0137041217392207,2.126772599422997,0.006146894298203,-11.154918626040617,0.021479711034137355
3.86845,-0.9991,0.00439,-102.05369227911584,0.016594868844022,101.05459227911584,0.017165715014245464,-93.35074469161572,0.0146708423772213,1.7271822248954067,0.00619888977363,-10.430129812395526,0.02300107654943957
3.93943,-0.90056,0.00453,-99.62310385250856,0.0179475898263506,98.72254385250857,0.01851045327848358,-91.28156409329036,0.0157898425460309,1.3411856558533142,0.0061758762707127,-9.682725415071522,0.0246896042073283
4.01041,-0.80311,0.0047,-97.1639067786704,0.0191354540984837,96.36079677867039,0.019704202687629273,-89.21335484477245,0.0167937779666692,0.955431390458291,0.0059367112686573,-8.905983324356232,0.026142706872785058
4.08139,-0.7128,0.00486,-94.82491123770734,0.0200924038000391,94.11211123770734,0.020671823588252335,-87.25631406163404,0.0176938806570057,0.620552263910191,0.005572909172822,-8.189149439983488,0.027346579673090923
4.15237,-0.6298,0.00503,-92.46655767373896,0.0208138304344386,91.83675767373896,0.021412996926015813,-85.2929297508703,0.0184868492475465,0.3015409065512943,0.0049925412329414,-7.475168829419956,0.028282584754892776
4.22335,-0.55239,0.00525,-90.2254318760752,0.0212119316829932,89.6730418760752,0.021851968920991324,-83.42416460756617,0.0190674319499661,0.0388107084799798,0.0043592698613439,-6.840077976989016,0.028853357527583858
4.29433,-0.47776,0.00535,-88.07238482665466,0.0213622356363846,87.59462482665465,0.02202198018763118,-81.63563507429086,0.0195110998723302,-0.1893063606137221,0.0036805296864932,-6.247443391750073,0.029164609175945107
4.36531,-0.41689,0.00547,-85.98139361338608,0.0212152381791647,85.56450361338608,0.021909067323797413,-79.88145453785727,0.0198170060520199,-0.3559396066633238,0.0031155847250955,-5.743999468865486,0.029197721281698154
4.43629,-0.35618,0.00557,-84.07101931974417,0.0210223698843783,83.71483931974417,0.021747757023555688,-78.30456598920038,0.0200636355997364,-0.4780081515133401,0.0027102997719345,-5.288445179030443,0.029186216505199397
4.50728,-0.31072,0.00562,-82.28199313643753,0.020702196801673,81.97127313643753,0.021451465041232028,-76.81128095585477,0.0201328545560342,-0.5372597127850265,0.002558639433145,-4.933452467797739,0.028990678169688814
4.57826,-0.273,0.00569,-80.70683678918243,0.0202536727647572,80.43383678918244,0.02103776034804721,-75.50072012143919,0.0199795453332607,-0.5760944534160154,0.0024408227171916,-4.63002221432723,0.028554353568631976
4.64924,-0.25072,0.00564,-79.25833339692588,0.0197559424043502,79.00761339692588,0.020545239358157948,-74.27373064799357,0.019694970963331,-0.5871239642725518,0.0024088722457134,-4.397478784659752,0.027999853696521738
4.72022,-0.23595,0.00568,-77.89514552766636,0.0193638656058277,77.65919552766636,0.020179734666257557,-73.10970965842928,0.0193952677076421,-0.5823601543968603,0.0023628721539775,-4.2030757148402165,0.02750852350577369
4.7912,-0.23809,0.00574,-76.63926828495163,0.0186680955127806,76.40117828495163,0.01953062697596519,-72.0266002773607,0.0187503945736448,-0.5728666061895229,0.0022608348477157,-4.039801401401403,0.02655534712539667
4.86218,-0.24519,0.00563,-75.47372256212236,0.0180161674014037,75.22853256212237,0.01887535927698865,-71.01828944019847,0.0180658899905066,-0.558558557080549,0.0022139889703668,-3.89687456484334,0.025609771887804736
4.93316,-0.25194,0.00556,-74.32232779315116,0.0175026186184715,74.07038779315116,0.018364510843027246,-70.00559159460394,0.0174811565236082,-0.5464411526192396,0.0020792524305981,-3.7702950459279787,0.02482449964403518
5.00414,-0.26353,0.00541,-73.20096982071895,0.0168905105885861,72.93743982071895,0.017735767475447438,-69.00506098119288,0.0168305483554956,-0.5324693097954475,0.0019900617914334,-3.663439529730622,0.023927328555932395
5.07512,-0.27656,0.00534,-72.1477058484421,0.0163011662764129,71.8711458484421,0.017153530889331827,-68.07105101450789,0.0162571013237776,-0.5258515997004372,0.0018391697072348,-3.5508032342337765,0.02309553876043689
5.1461,-0.28304,0.00529,-71.04530687309406,0.0158537723969319,70.76226687309406,0.01671305475410524,-67.1111117975269,0.0157378409173516,-0.5174705840957072,0.0017202588622848,-3.416724491471453,0.02240493308418607
5.21708,-0.29574,0.00516,-69.99322762956342,0.0152752715875875,69.69748762956343,0.0161232602805561,-66.19486377170027,0.0151793040250419,-0.5129662129818738,0.0016037536328321,-3.2853976448812774,0.021594379325973537
5.28806,-0.30097,0.00508,-68.95248609892393,0.0149877904837764,68.65151609892392,0.015825304533738947,-65.29899858526147,0.0148835317657955,-0.4976135439277083,0.0015289700242759,-3.1558739697347464,0.02117760918385634
5.35904,-0.30032,0.00507,-67.84081721462762,0.0145143107414004,67.54049721462762,0.015374333035872842,-64.36096508905928,0.0145408291250764,-0.489561585210306,0.0014414515787048,-2.9902905403580364,0.020595599301704036
5.43002,-0.30584,0.00499,-66.81366960859555,0.0141008308960064,66.50782960859554,0.01495772482557988,-63.50832157575407,0.0141653972801243,-0.4722068883128918,0.0013585848527279,-2.8331411445285877,0.0200334137096897
5.50101,-0.3026,0.00494,-65.79667736416512,0.0137814631252663,65.49407736416512,0.014640093096462015,-62.66295750602922,0.0139474453082819,-0.450264057313094,0.0012795009911549,-2.6834558008228035,0.019649353151871333
5.57199,-0.30239,0.00484,-64.75066040580352,0.0133969717743439,64.44827040580351,0.014244453402028704,-61.80244891633588,0.0137050098944603,-0.4264552564971438,0.0012170377208842,-2.521756232970495,0.019203836328814016
5.64297,-0.30034,0.00479,-63.77313352416528,0.0130521128085669,63.47279352416528,0.01390329992367122,-61.0007622545238,0.0134346053151282,-0.4025659304072435,0.0011137035838972,-2.369805339234239,0.018763970912725605
5.71395,-0.29888,0.00481,-62.80597318002594,0.0127341094144814,62.50709318002594,0.01361226074463694,-60.20127108020852,0.0132832862623231,-0.3803490817433644,0.0010360011573918,-2.224353018074052,0.018430315648542823
5.78493,-0.29421,0.00472,-61.82349303260557,0.0124025537988873,61.52928303260557,0.01327033310562677,-59.38735933149445,0.0130850652780479,-0.3600234159098597,0.0009457397619974,-2.0761102852012576,0.01805371700682415
5.85591,-0.28566,0.00469,-60.86971719140494,0.0122073326736643,60.58405719140494,0.013077273072223887,-58.574345444825184,0.0130278666495341,-0.3392251565197227,0.0008895615716623,-1.9561465900600312,0.01787555873905297
5.92689,-0.27997,0.0047,-59.95073554596242,0.0119121203261932,59.67076554596242,0.012805803788349453,-57.80763849288979,0.0128882255544939,-0.3192973336719146,0.000831768244646,-1.8237997194007152,0.017569769691775025
5.99787,-0.27051,0.00469,-59.04026729739604,0.0116913377407603,58.76975729739604,0.01259696305339212,-57.02366450950502,0.0128142458064449,-0.3009184393857317,0.000792792498667,-1.7156843485052926,0.017364354111295346
6.06885,-0.25743,0.00465,-58.139224146780215,0.0115151279680144,57.881794146780216,0.012418561596245655,-56.24929480583197,0.0127466775315583,-0.2826624847470846,0.0007512600062389,-1.6072668562011578,0.017194195294059408
6.13983,-0.23601,0.00464,-57.2764395022238,0.0113745382724999,57.0404295022238,0.01228453177425029,-55.499694964890594,0.0127752208267045,-0.264170115587047,0.0007295293517622,-1.512574421746161,0.017120706794951895
6.21081,-0.21854,0.00457,-56.45237941738606,0.0113095203054092,56.233839417386065,0.012197956777200966,-54.77466366423376,0.0128199938655858,-0.2471460126476737,0.000705383553672,-1.4305697405046252,0.017110086446593762
6.28179,-0.19704,0.00469,-55.62063893353098,0.0111433362537755,55.423598933530975,0.012090080349803611,-54.03414971524418,0.0127405104569909,-0.231949609923545,0.0006748586574541,-1.3545396083632484,0.016939598099628653
6.35277,-0.17907,0.00463,-54.806477117133646,0.0110012285768876,54.62740711713364,0.011935825493066174,-53.306596980578206,0.0127502376896427,-0.2162018386496474,0.0006538205658765,-1.2836782979057926,0.016852984088157108
6.42375,-0.14658,0.00473,-54.06220043057341,0.0109882999303793,53.91562043057341,0.011963094723355397,-52.63302999255298,0.0128011360600532,-0.202035650937648,0.0006392907985245,-1.2271347870827871,0.016882550533407155
