r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
0.03549,inf,,,,,,,,,
0.10647,inf,,,,,,,,,
0.17745,inf,,,,,,,,,
0.24843,inf,,,,,,,,,
0.31941,inf,,,,,,,,,
0.39039,inf,,,,,,,,,
0.46137,inf,,,,,,,,,
0.53236,inf,,,,,,,,,
0.60334,inf,,,,,,,,,
0.67432,inf,,,,,,,,,
0.7453,inf,,,,,,,,,
0.81628,inf,,,,,,,,,
0.88726,inf,,,,,,,,,
0.95824,inf,,,,,,,,,
1.02922,inf,,,,,,,,,
1.1002,inf,,,,,,,,,
1.17118,inf,,,,,,,,,
1.24216,inf,,,,,,,,,
1.31314,inf,,,,,,,,,
1.38412,inf,,,,,,,,,
1.4551,inf,,,,,,,,,
1.52609,inf,,,,,,,,,
1.59707,inf,,,,,,,,,
1.66805,inf,,,,,,,,,
1.73903,inf,,,,,,,,,
1.81001,inf,,,,,,,,,
1.88099,inf,,,,,,,,,
1.95197,inf,,,,,,,,,
2.02295,inf,,,,,,,,,
2.09393,inf,,,,,,,,,
2.16491,inf,,,,,,,,,
2.23589,inf,,,,,,,,,
2.30687,inf,,,,,,,,,
2.37785,inf,,,,,,,,,
2.44883,inf,,,,,,,,,
2.51982,inf,,,,,,,,,
2.5908,inf,,,,,,,,,
2.66178,inf,,,,,,,,,
2.73276,inf,,,,,,,,,
2.80374,inf,,,,,,,,,
2.87472,inf,,,,,,,,,
2.9457,inf,,,,,,,,,
3.01668,3.95337,0.14862,-93.25864375,0.922521396351631,97.21201375000001,0.9344161980223604,-102.08441875,0.5498773654354484,8.825775,0.7407297818424297
3.08766,2.65598,0.05808,-94.59854666666665,0.3238828244069719,97.25452666666665,0.32904919137696936,-100.58289133333332,0.2732330194816621,5.984344666666667,0.1739074495551328
3.15864,1.68163,0.02592,-94.62558648648648,0.14905651029770423,96.30721648648648,0.15129338935369782,-99.33641658476658,0.127495687583625,4.710830098280098,0.0772184751837816
3.22962,0.79703,0.01418,-94.58205545886076,0.06452495590757107,95.37908545886077,0.06606468296203344,-98.24728723628692,0.0564112256293494,3.66523177742616,0.0313248073875742
3.3006,0.10004,0.00958,-94.31226607017815,0.03320950968697865,94.41230607017816,0.03456367939976195,-97.18570930522056,0.0295704760738818,2.873443235042403,0.0151148429834224
3.37158,-0.43574,0.00712,-94.00885797219458,0.01944870888172878,93.57311797219458,0.020711027911869462,-96.12368258692965,0.0175984691281441,2.114824614735064,0.0082792609278845
3.44256,-0.81858,0.00576,-93.35047427268319,0.013311688989103749,92.53189427268319,0.014504436002224492,-94.8139169919389,0.0121285181688926,1.4634427192557125,0.0054863567847405
3.51355,-1.06045,0.00497,-92.55740340764086,0.010387217272916499,91.49695340764086,0.011514998162169842,-93.50247808089402,0.0095496440116149,0.945074673253161,0.0040863898402138
3.58453,-1.1768,0.00456,-91.53103689238893,0.009122319681920173,90.35423689238893,0.010198544816744601,-92.07991416678112,0.0084364659895295,0.5488772743921982,0.0034702677110938
3.65551,-1.1995,0.0043,-90.3456944831628,0.008819585708963679,89.1461944831628,0.00981198716253524,-90.60687256268491,0.0082115565540948,0.2611780795221047,0.0032179855556946
3.72649,-1.16481,0.0042,-89.06634931410126,0.009004501206271569,87.90153931410126,0.009935846313915395,-89.12176076832185,0.0084236824154898,0.0554114542205827,0.003181605968173
3.79747,-1.09087,0.00424,-87.71563080049368,0.009541178165159996,86.62476080049369,0.01044086590179789,-87.6143552272245,0.008984200777977,-0.1012755732691869,0.0032121981819812
3.86845,-0.9991,0.00439,-86.34394077766083,0.010303913609522097,85.34484077766083,0.011200122127570517,-86.1306995745509,0.0097651806063461,-0.2132412031099356,0.0032881428493812
3.93943,-0.90056,0.00453,-84.95884155853315,0.01115544265518289,84.05828155853315,0.012040132924227785,-84.65690028208745,0.0106317023265557,-0.3019412764456981,0.0033779885246377
4.01041,-0.80311,0.0047,-83.53918011666418,0.011958268228938767,82.73607011666418,0.012848742313364615,-83.15447209571505,0.0114556664442824,-0.3847080209491284,0.0034304351549896
4.08139,-0.7128,0.00486,-82.16714625001612,0.012605131975873327,81.45434625001612,0.0135095874152094,-81.70517542242902,0.012143469884589,-0.4619708275870958,0.003380161429764
4.15237,-0.6298,0.00503,-80.75329719782818,0.01310880990139191,80.12349719782817,0.014040719249056673,-80.21674229760899,0.0126715313387449,-0.5365549002191883,0.0033575572313866
4.22335,-0.55239,0.00525,-79.37579274948313,0.013406466930471983,78.82340274948312,0.014397772590155703,-78.76721518284118,0.0130052920588447,-0.6085775666419406,0.003255108910926
4.29433,-0.47776,0.00535,-77.98278781560629,0.013514943492140845,77.50502781560628,0.014535343050501429,-77.31397688497906,0.0130962406355758,-0.6688109306272296,0.0033379902352843
4.36531,-0.41689,0.00547,-76.58622140694932,0.013351097823640693,76.16933140694933,0.0144281916086675,-75.87666445113005,0.0129103801766703,-0.7095569558192658,0.0034020430318063
4.43629,-0.35618,0.00557,-75.25642737760776,0.013001005788826986,74.90024737760777,0.014143940452402675,-74.52068387630264,0.0125261203500669,-0.7357435013051188,0.0034817323987855
4.50728,-0.31072,0.00562,-73.95514578765268,0.01264239736953869,73.64442578765268,0.013835266938130206,-73.22593405936055,0.0120726683850461,-0.729211728292134,0.0037524511074799
4.57826,-0.273,0.00569,-72.78415606657623,0.012074010120354564,72.51115606657623,0.013347577322736304,-72.05411054195466,0.0114920523002394,-0.7300455246215791,0.0037033031627166
4.64924,-0.25072,0.00564,-71.6960920957357,0.01160295303001783,71.44537209573569,0.012901089838335362,-70.98082399462355,0.0109725727579573,-0.7152681011121467,0.0037724217802538
4.72022,-0.23595,0.00568,-70.6438797343339,0.011059885684038045,70.40792973433389,0.012433160151143782,-69.94971031396904,0.0104073133579235,-0.6941694203648597,0.0037428465122119
4.7912,-0.23809,0.00574,-69.67871184517851,0.010464755984558476,69.44062184517851,0.011935607140667475,-69.00332700408742,0.0098153434907932,-0.6753848410910911,0.0036290701252657
4.86218,-0.24519,0.00563,-68.74918736945301,0.009978751761699316,68.50399736945302,0.011457416232363089,-68.09625663038695,0.0093230846275834,-0.6529307390660638,0.0035574681654985
4.93316,-0.25194,0.00556,-67.87048935009034,0.009549866609242211,67.61854935009033,0.011050500090689077,-67.23243616780047,0.0089512040931451,-0.6380531822898651,0.0033280471056134
5.00414,-0.26353,0.00541,-67.01531216876958,0.009093300856751899,66.75178216876958,0.010580936653784711,-66.39407605068948,0.0085287033921412,-0.6212361180800996,0.0031542572691973
5.07512,-0.27656,0.00534,-66.21803952313775,0.008674187946319583,65.94147952313774,0.01018612470609289,-65.60317297141961,0.0081903815499807,-0.6148665517181322,0.0028564289933082
5.1461,-0.28304,0.00529,-65.40308968533226,0.008378535547055716,65.12004968533226,0.009908781858194085,-64.78986649408532,0.0079589796785306,-0.6132231912469422,0.002618110079812
5.21708,-0.29574,0.00516,-64.61672852310443,0.008022515203098815,64.32098852310443,0.00953867654257925,-64.00036342066633,0.007669138194884,-0.6163651024380904,0.0023547971317553
5.28806,-0.30097,0.00508,-63.845609898551395,0.00783025224502256,63.544639898551395,0.009333769346875936,-63.24079196262258,0.0075203411477818,-0.6048179359288167,0.0021811279746179
5.35904,-0.30032,0.00507,-63.03499853693672,0.007588578704062319,62.73467853693672,0.009126413684890037,-62.43092034933449,0.0073147572153004,-0.6040781876022269,0.0020201122812752
5.43002,-0.30584,0.00499,-62.26246850953532,0.0073713822306579364,61.956628509535314,0.008901537844128933,-61.67246060759639,0.0071331433273558,-0.5900079019389218,0.0018589088901447
5.50101,-0.3026,0.00494,-61.48704033479927,0.007186592109197196,61.18444033479927,0.008720705598973939,-60.91592595687332,0.0069791605569776,-0.571114377925947,0.0017141832060499
5.57199,-0.30239,0.00484,-60.69059739561003,0.006998392530388063,60.388207395610024,0.00850900099949409,-60.14482188766408,0.0068025344811608,-0.5457755079459483,0.0016440871759155
5.64297,-0.30034,0.00479,-59.9241659493551,0.006841441187322948,59.6238259493551,0.00835161167198277,-59.40273872399746,0.0066850080171492,-0.5214272253576406,0.0014546426812966
5.71395,-0.29888,0.00481,-59.169056700362546,0.006650776297826359,58.87017670036255,0.008207857537977184,-58.6718267882188,0.0065121856037159,-0.4972299121437456,0.0013506531851235
5.78493,-0.29421,0.00472,-58.40080723151786,0.006449841296784109,58.10659723151786,0.00799242471054321,-57.92521830128288,0.0063347006621952,-0.4755889302349788,0.0012132684262295
5.85591,-0.28566,0.00469,-57.65331648674413,0.006350407827187527,57.36765648674413,0.007894541124828257,-57.202692358230486,0.0062484358386654,-0.4506241285136423,0.0011334589280986
5.92689,-0.27997,0.0047,-56.90987018791265,0.006151249652961077,56.629900187912654,0.007741309468885337,-56.48167909979686,0.0060622774414862,-0.4281910881157948,0.0010424320196067
5.99787,-0.27051,0.00469,-56.18524005593419,0.0059643158111521025,55.914730055934186,0.007587434552940734,-55.77993104851409,0.0058800642597991,-0.4053090074200985,0.0009989531499486
6.06885,-0.25743,0.00465,-55.46350009183199,0.005829061432428853,55.20607009183199,0.007456571409369691,-55.07962016655555,0.0057552906251628,-0.3838799252764394,0.0009244387502386
6.13983,-0.23601,0.00464,-54.76111121716857,0.00568159598420007,54.52510121716857,0.007335539034568513,-54.40049462845201,0.005607943709959,-0.3606165887165632,0.0009118663682852
6.21081,-0.21854,0.00457,-54.0826857886838,0.0055877429421614016,53.8641457886838,0.007218571270526776,-53.74311507202504,0.0055167389565539,-0.3395707166587565,0.0008879540939233
6.28179,-0.19704,0.00469,-53.41135127555001,0.005446540279283162,53.21431127555001,0.007187551809472673,-53.08992930514381,0.0053817480988222,-0.3214219704061996,0.000837608747971
6.35277,-0.17907,0.00463,-52.74348100804655,0.005297807149687274,52.56441100804655,0.007035883782104249,-52.442273160695095,0.0052331807897024,-0.3012078473514533,0.0008249723738207
6.42375,-0.14658,0.00473,-52.12303587299438,0.005245948419878239,51.97645587299438,0.007063488856367156,-51.84010314941439,0.0051776345710563,-0.2829327235799878,0.0008438454080136
6.49473,-0.12811,0.00472,-51.496298707138074,0.005121842089260053,51.368188707138074,0.006965031686023818,-51.22737229093493,0.0050603612049445,-0.2689264162031405,0.000791208482518
6.56572,-0.10256,0.00473,-50.903881267190705,0.005046134552365997,50.80132126719071,0.00691638445436501,-50.650519622188405,0.0049921484740584,-0.2533616450023037,0.000736157275002
6.6367,-0.0845,0.00479,-50.32641043659571,0.004952571745683371,50.24191043659571,0.006889997597687624,-50.08738022005889,0.0048946169243033,-0.2390302165368197,0.0007554416327321
6.70768,-0.07054,0.00468,-49.7640737831999,0.004811717757487521,49.6935337831999,0.006712304207775504,-49.53686264384857,0.0047644325603603,-0.2272111393513223,0.0006729116996303
6.77866,-0.05548,0.0047,-49.21963462493085,0.004708210737106654,49.164154624930845,0.00665261214448929,-49.00638458876423,0.0046565228022191,-0.2132500361666217,0.0006957325185874
6.84964,-0.04687,0.00467,-48.678133840234516,0.004566498323128327,48.63126384023452,0.006531600641124181,-48.47754938410801,0.004517356162836,-0.2005844561265045,0.0006681318980721
6.92062,-0.04145,0.00462,-48.15861466687101,0.004442629025439071,48.11716466687101,0.006409473664636879,-47.96770162036392,0.0043976122902652,-0.1909130465070916,0.0006308397595128
6.9916,-0.03763,0.00463,-47.65839799807639,0.004280851184259134,47.62076799807639,0.006305758230520166,-47.47734791975817,0.0042391868330866,-0.1810500783182193,0.0005958035380543
7.06258,-0.03927,0.00459,-47.17098494964416,0.004112500182112312,47.131714949644156,0.0061628530525945375,-47.00074308983484,0.0040754134360033,-0.1702418598093192,0.000551056325177
7.13356,-0.03527,0.00451,-46.69211337573709,0.0039913365003932996,46.65684337573709,0.006022529955041472,-46.53154653282978,0.0039593748748427,-0.160566842907308,0.0005041008429235
7.20454,-0.04418,0.00449,-46.216501705912464,0.0038251361770868923,46.172321705912466,0.0058984546089004474,-46.06338309316611,0.0037940467282277,-0.1531186127463527,0.0004866992883533
