engine,anion,cation,Ka_M-1,Ka_err_M-1,p_bound,p_err,p_unbound_anion,p_unbound_cation,p_bound_from_Ka,c_M
gromacs,acet,guan,2.469436618048068,0.023003797563284186,0.4153541279066244,0.0027294960412734843,0.5846458720933756,0.5846458720933756,0.41535412790662435,0.49207904573163136
gromacs,esna,guan,1.1403551701673116,0.00561544478250918,0.2858082188460163,0.0012248511148559489,0.7141917811539836,0.7141917811539836,0.28580821884601626,0.4913657501092277
gromacs,mso4,guan,0.968386119650977,0.004910852921133851,0.26010690196411146,0.00118112922694044,0.7398930980358885,0.7398930980358885,0.2601069019641116,0.49064273020462723
gromacs,acet,imim,0.90035085633449,0.0070276086805037335,0.24897128070249863,0.0017595508952676596,0.7510287192975014,0.7510287192975014,0.24897128070249874,0.4902576531212716
gromacs,esna,imim,0.5326021545063451,0.0031056914859855134,0.1771336456357455,0.0009881218150770317,0.8228663543642545,0.8228663543642545,0.17713364563574532,0.4911787074350709
gromacs,mso4,imim,0.6776244151056917,0.003504957277506725,0.20822551223857805,0.0010094733045587787,0.791774487761422,0.791774487761422,0.2082255122385779,0.490164535352381
gromacs,acet,mamm,0.8687994198050148,0.007197769361531181,0.24323226936386058,0.0018344948324961307,0.7567677306361394,0.7567677306361394,0.2432322693638606,0.48885094555154446
gromacs,esna,mamm,0.3381952060763098,0.0024362591361393893,0.12641278460223865,0.0008921509166475356,0.8735872153977614,0.8735872153977614,0.12641278460223843,0.4897912377998307
gromacs,mso4,mamm,0.30351328855986465,0.0021248771376609116,0.1164255716285581,0.000801294295830465,0.883574428371442,0.883574428371442,0.11642557162855825,0.4913425684928364
openmm,acet,guan,0.7871785709292984,0.009938578089170152,0.22462335910321896,0.0026254222022641625,0.775376640896781,0.775376640896781,0.2246165441501189,0.4746083967465768
openmm,esna,guan,1.942085927911961,0.023044139220803547,0.36575824995867057,0.0033649794144350797,0.6342417500413294,0.6342417500413294,0.3657467303436909,0.46815167485341785
openmm,mso4,guan,1.6274329520573367,0.015143295202432095,0.3364825454545455,0.00254496394828817,0.6635174545454545,0.6635174545454545,0.3364695537613813,0.4695922882142254
openmm,acet,imim,0.5295090683306212,0.00592048420754048,0.17169872727272728,0.0018424088001496794,0.8283012727272727,0.8283012727272727,0.17169549975099296,0.472612787444537
openmm,esna,imim,1.320860049205266,0.011339622439337218,0.30106,0.0022078268512836425,0.69894,0.69894,0.30104077846301325,0.46651417646164056
openmm,mso4,imim,1.4057807107572926,0.011378849784782543,0.311604,0.0021239916663796767,0.688396,0.688396,0.3115988616880147,0.46772988877503213
openmm,acet,mamm,0.33766728971076415,0.007286950134415481,0.12385418181818182,0.002623638589638012,0.8761458181818181,0.8761458181818181,0.12383900881617113,0.4777499480606692
openmm,esna,mamm,1.0754908957796456,0.015275574025252543,0.2701687272727273,0.0034036498290470813,0.7298312727272728,0.7298312727272728,0.27013951353723953,0.47152168514686976
openmm,mso4,mamm,0.8079039072532243,0.00826088079897643,0.2278469090909091,0.0021504399960600436,0.7721530909090909,0.7721530909090909,0.22782248064580496,0.4729362031419253
