engine,anion,cation,ion,Ka_M-1
gromacs,acet,guan,anion,0.11802897172568166
gromacs,acet,guan,cation,0.27747665434367735
gromacs,esna,guan,anion,0.15333619286726577
gromacs,esna,guan,cation,0.26464292195737754
gromacs,mso4,guan,anion,0.18745390185785793
gromacs,mso4,guan,cation,0.2803633014990634
gromacs,acet,imim,anion,0.13754600181754337
gromacs,acet,imim,cation,0.14329327664179778
gromacs,esna,imim,anion,0.1584092589057426
gromacs,esna,imim,cation,0.15476021304380472
gromacs,mso4,imim,anion,0.1967437629051536
gromacs,mso4,imim,cation,0.1452890070933322
gromacs,acet,mamm,anion,0.13568753483454807
gromacs,acet,mamm,cation,0.0716602080188692
gromacs,esna,mamm,anion,0.159049045088493
gromacs,esna,mamm,cation,0.08025964722275838
gromacs,mso4,mamm,anion,0.18870419158570254
gromacs,mso4,mamm,cation,0.08039932204751866
namd,acet,guan,anion,0.10875213251300431
namd,acet,guan,cation,0.30674738405956836
namd,esna,guan,anion,0.13936770660660988
namd,esna,guan,cation,0.2604158788307032
namd,mso4,guan,anion,0.16190292981126952
namd,mso4,guan,cation,0.28252340415991967
namd,acet,imim,anion,0.12871986079433193
namd,acet,imim,cation,0.14048546954725338
namd,esna,imim,anion,0.149589092559417
namd,esna,imim,cation,0.14488140340809705
namd,mso4,imim,anion,0.16361849820261434
namd,mso4,imim,cation,0.14395387515362207
namd,acet,mamm,anion,0.1253295333602929
namd,acet,mamm,cation,0.0673668564729691
namd,esna,mamm,anion,0.14815757807583904
namd,esna,mamm,cation,0.07337022194422405
namd,mso4,mamm,anion,0.16392715519386006
namd,mso4,mamm,cation,0.07491298460968046
openmm,acet,guan,anion,0.12660191549223077
openmm,acet,guan,cation,0.34653299175835334
openmm,esna,guan,anion,0.15693437592523451
openmm,esna,guan,cation,0.33706405046256027
openmm,mso4,guan,anion,0.186587421087756
openmm,mso4,guan,cation,0.32406192943820694
openmm,acet,imim,anion,0.12748843512437374
openmm,acet,imim,cation,0.21570372749254701
openmm,esna,imim,anion,0.16256452079477862
openmm,esna,imim,cation,0.2244507424728233
openmm,mso4,imim,anion,0.18871282487016475
openmm,mso4,imim,cation,0.2095542571640844
openmm,acet,mamm,anion,0.13051069764505485
openmm,acet,mamm,cation,0.07838878906885392
openmm,esna,mamm,anion,0.15792632364462544
openmm,esna,mamm,cation,0.07505938708008367
openmm,mso4,mamm,anion,0.20054574154163674
openmm,mso4,mamm,cation,0.07746303556124279
