engine,anion,cation,Kd_M,Kd_err_M
namd_tip,acet,guan,0.4824201876595184,0.013716755740268352
namd_tip,esna,guan,0.8787807146765408,0.03226697347181387
namd_tip,mso4,guan,1.1108022391834065,0.041538471104593744
namd_tip,acet,imim,1.2122135857294352,0.049222888696737264
namd_tip,esna,imim,2.0622890541264924,0.09210545805646031
namd_tip,mso4,imim,1.867852012886786,0.08205812505296337
namd_tip,acet,mamm,1.3174555349690689,0.06600095530742783
namd_tip,esna,mamm,2.925463685100886,0.16963225517472735
namd_tip,mso4,mamm,3.5351284873525293,0.22155610078414623
namd_tip_scaled,acet,guan,1.251642131952323,0.0440394302007914
namd_tip_scaled,esna,guan,0.8233409212573236,0.02474461395334392
namd_tip_scaled,mso4,guan,0.8481840596945077,0.02727759330982423
namd_tip_scaled,acet,imim,2.1788871706738493,0.09703799428678754
namd_tip_scaled,esna,imim,1.5242578251967642,0.05944602674204703
namd_tip_scaled,mso4,imim,1.301344218760583,0.04831438844877952
namd_tip_scaled,acet,mamm,4.155895071753456,0.24314028573754942
namd_tip_scaled,esna,mamm,2.724375494152377,0.13595534244119545
namd_tip_scaled,mso4,mamm,2.4389023606196845,0.11936655261459492
namd_tip_scaled_app,acet,guan,1.251642131952323,0.0440394302007914
namd_tip_scaled_app,esna,guan,0.8233409212573236,0.02474461395334392
namd_tip_scaled_app,mso4,guan,0.8481840596945077,0.02727759330982423
namd_tip_scaled_app,acet,imim,0.7305081911619972,0.018481869006993612
namd_tip_scaled_app,esna,imim,0.5985516501809741,0.014339267416037454
namd_tip_scaled_app,mso4,imim,0.5356330101339505,0.012308722169050787
namd_tip_scaled_app,acet,mamm,4.155895071753456,0.24314028573754942
namd_tip_scaled_app,esna,mamm,2.724375494152377,0.13595534244119545
namd_tip_scaled_app,mso4,mamm,2.4389023606196845,0.11936655261459492
openmm,acet,guan,1.6085686551008427,0.049045486768250796
openmm,esna,guan,0.676075986752827,0.013504777027001497
openmm,mso4,guan,0.6786675553357567,0.012401546419716308
openmm,acet,imim,2.3841900272633634,0.0736939942467966
openmm,esna,imim,1.1003534916503084,0.022954216365988055
openmm,mso4,imim,0.9422623774289663,0.018249343566097673
openmm,acet,mamm,3.720361195828486,0.17291331812444452
openmm,esna,mamm,1.3250763692973433,0.03709142759085823
openmm,mso4,mamm,1.6798180291829103,0.04695133445618508
