engine,anion,cation,ion,Kd_M
gromacs,acet,guan,anion,8.472496077693204
gromacs,acet,guan,cation,3.6039067948448698
gromacs,esna,guan,anion,6.52161750791375
gromacs,esna,guan,cation,3.7786765374403495
gromacs,mso4,guan,anion,5.334644891832006
gromacs,mso4,guan,cation,3.5668006285171407
gromacs,acet,imim,anion,7.270294932502026
gromacs,acet,imim,cation,6.978694488924165
gromacs,esna,imim,anion,6.312762315206744
gromacs,esna,imim,cation,6.461609094043771
gromacs,mso4,imim,anion,5.082753248356243
gromacs,mso4,imim,cation,6.882833188870305
gromacs,acet,mamm,anion,7.369873741308366
gromacs,acet,mamm,cation,13.954745983108019
gromacs,esna,mamm,anion,6.287368776364623
gromacs,esna,mamm,cation,12.459561368672954
gromacs,mso4,mamm,anion,5.2992993509942075
gromacs,mso4,mamm,cation,12.437915824824579
namd,acet,guan,anion,9.195221986846304
namd,acet,guan,cation,3.260011501209107
namd,esna,guan,anion,7.17526336874207
namd,esna,guan,cation,3.840011617149128
namd,mso4,guan,anion,6.17654048117413
namd,mso4,guan,cation,3.539529770899828
namd,acet,imim,anion,7.768808898867564
namd,acet,imim,cation,7.118173881062071
namd,esna,imim,anion,6.684979385129959
namd,esna,imim,cation,6.90219708310827
namd,mso4,imim,anion,6.111778380716256
namd,mso4,imim,cation,6.94666954212131
namd,acet,mamm,anion,7.9789653179768525
namd,acet,mamm,cation,14.844094742661019
namd,esna,mamm,anion,6.749570376265999
namd,esna,mamm,cation,13.629507632676903
namd,mso4,mamm,anion,6.100270567237022
namd,mso4,mamm,cation,13.348820704585535
openmm,acet,guan,anion,7.898774644222247
openmm,acet,guan,cation,2.8857281233912833
openmm,esna,guan,anion,6.3720902071603
openmm,esna,guan,cation,2.966795179217951
openmm,mso4,guan,anion,5.359418090299233
openmm,mso4,guan,cation,3.0858299268093536
openmm,acet,imim,anion,7.84384873047058
openmm,acet,imim,cation,4.635988499709872
openmm,esna,imim,anion,6.1514037325672035
openmm,esna,imim,cation,4.455320525932682
openmm,mso4,imim,anion,5.29905691723922
openmm,mso4,imim,cation,4.772033808967115
openmm,acet,mamm,anion,7.662207145039277
openmm,acet,mamm,cation,12.756926237521485
openmm,esna,mamm,anion,6.332066604996488
openmm,esna,mamm,cation,13.322783983475146
openmm,mso4,mamm,anion,4.986393589376631
openmm,mso4,mamm,cation,12.90938307225765
