r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03546,inf,,,,,,,,,,0.0,0.0
0.10638,inf,,,,,,,,,,0.0,0.0
0.17731,inf,,,,,,,,,,0.0,0.0
0.24823,inf,,,,,,,,,,0.0,0.0
0.31915,inf,,,,,,,,,,0.0,0.0
0.39008,inf,,,,,,,,,,0.0,0.0
0.461,inf,,,,,,,,,,0.0,0.0
0.53192,inf,,,,,,,,,,0.0,0.0
0.60284,inf,,,,,,,,,,0.0,0.0
0.67377,inf,,,,,,,,,,0.0,0.0
0.74469,inf,,,,,,,,,,0.0,0.0
0.81561,inf,,,,,,,,,,0.0,0.0
0.88654,inf,,,,,,,,,,0.0,0.0
0.95746,inf,,,,,,,,,,0.0,0.0
1.02838,inf,,,,,,,,,,0.0,0.0
1.0993,inf,,,,,,,,,,0.0,0.0
1.17023,inf,,,,,,,,,,0.0,0.0
1.24115,inf,,,,,,,,,,0.0,0.0
1.31207,inf,,,,,,,,,,0.0,0.0
1.383,inf,,,,,,,,,,0.0,0.0
1.45392,inf,,,,,,,,,,0.0,0.0
1.52484,inf,,,,,,,,,,0.0,0.0
1.59576,inf,,,,,,,,,,0.0,0.0
1.66669,inf,,,,,,,,,,0.0,0.0
1.73761,inf,,,,,,,,,,0.0,0.0
1.80853,inf,,,,,,,,,,0.0,0.0
1.87946,inf,,,,,,,,,,0.0,0.0
1.95038,inf,,,,,,,,,,0.0,0.0
2.0213,inf,,,,,,,,,,0.0,0.0
2.09222,inf,,,,,,,,,,0.0,0.0
2.16315,inf,,,,,,,,,,0.0,0.0
2.23407,inf,,,,,,,,,,0.0,0.0
2.30499,inf,,,,,,,,,,0.0,0.0
2.37592,inf,,,,,,,,,,0.0,0.0
2.44684,inf,,,,,,,,,,0.0,0.0
2.51776,inf,,,,,,,,,,0.0,0.0
2.58868,inf,,,,,,,,,,0.0,0.0
2.65961,inf,,,,,,,,,,0.0,0.0
2.73053,inf,,,,,,,,,,0.0,0.0
2.80145,inf,,,,,,,,,,0.0,0.0
2.87238,inf,,,,,,,,,,0.0,0.0
2.9433,inf,,,,,,,,,,0.0,0.0
3.01422,inf,,,,,,,,,,0.0,0.0
3.08514,inf,,,,,,,,,,0.0,0.0
3.15607,inf,,,,,,,,,,0.0,0.0
3.22699,3.66199,0.34242,-46.453966666666666,0.791040503247322,50.11595666666667,0.8619724671808122,-45.86696666666666,0.7628990984687576,-0.5870000000000001,0.2091172956341329,0.0,0.0
3.29791,2.77579,0.15465,-46.65516428571428,1.3787367311544214,49.43095428571428,1.387383002755324,-46.14199285714285,1.3357754892321678,-0.5131714285714286,0.341494972438749,0.0,0.0
3.36884,2.16486,0.08788,-44.6028756097561,0.4238189631391677,46.767735609756095,0.4328341575203593,-43.571929268292685,0.4118191179010853,-1.0309463414634146,0.1001375436463828,0.0,0.0
3.43976,1.67367,0.05573,-46.99914897959184,0.5581828673923686,48.67281897959184,0.5609580611332424,-46.30612857142857,0.5438736197794724,-0.6930204081632654,0.1255770646190632,0.0,0.0
3.51068,1.22996,0.03933,-48.48297129629629,0.4876183727433901,49.71293129629629,0.48920192797750883,-48.17658425925926,0.473668571834487,-0.306387037037037,0.1158005245808029,0.0,0.0
3.58161,0.76872,0.02652,-50.422816734693875,0.367612849775679,51.19153673469388,0.36856819955090525,-50.63908204081633,0.3580314819146398,0.2162653061224489,0.0833826437467829,0.0,0.0
3.65253,0.4025,0.01819,-51.455758139534886,0.2610279162590163,51.85825813953489,0.2616609431430759,-51.61022177589852,0.2554823432220178,0.1544636363636363,0.0535195792987119,0.0,0.0
3.72345,0.06757,0.01576,-52.66784286539572,0.19571506257991367,52.73541286539572,0.19634857605966874,-52.96916868861929,0.1915145844580214,0.3013258232235702,0.0403305053344353,0.0,0.0
3.79437,-0.20631,0.01119,-53.47085995094604,0.15293255843648162,53.26454995094604,0.15334139535666116,-53.78992634898388,0.149762595493293,0.3190663980378416,0.0309763203276336,0.0,0.0
3.8653,-0.41008,0.01042,-54.32596200956937,0.1272680706640846,53.91588200956937,0.1276939239375094,-54.70361511961722,0.1247924745444905,0.3776531100478468,0.02497999414774,0.0,0.0
3.93622,-0.5799,0.00835,-54.54260496969696,0.10546158187372524,53.96270496969696,0.10579162420205322,-54.82346841558441,0.1037251909158235,0.2808634458874459,0.0190585944073643,0.0,0.0
4.00714,-0.67585,0.00895,-54.06648755151343,0.09551786844917826,53.390637551513436,0.09593625849007519,-54.13774045758136,0.0943059647219198,0.0712529060679266,0.0151673402725244,0.0,0.0
4.07807,-0.69484,0.00785,-53.01302422954303,0.08898145659988521,52.31818422954303,0.08932705143816881,-52.89983540116896,0.087961479525589,-0.1131888283740701,0.013434200322559,0.0,0.0
