r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03554,inf,,,,,,,,,,0.0,0.0
0.10661,inf,,,,,,,,,,0.0,0.0
0.17769,inf,,,,,,,,,,0.0,0.0
0.24876,inf,,,,,,,,,,0.0,0.0
0.31984,inf,,,,,,,,,,0.0,0.0
0.39091,inf,,,,,,,,,,0.0,0.0
0.46199,inf,,,,,,,,,,0.0,0.0
0.53306,inf,,,,,,,,,,0.0,0.0
0.60413,inf,,,,,,,,,,0.0,0.0
0.67521,inf,,,,,,,,,,0.0,0.0
0.74628,inf,,,,,,,,,,0.0,0.0
0.81736,inf,,,,,,,,,,0.0,0.0
0.88843,inf,,,,,,,,,,0.0,0.0
0.95951,inf,,,,,,,,,,0.0,0.0
1.03058,inf,,,,,,,,,,0.0,0.0
1.10166,inf,,,,,,,,,,0.0,0.0
1.17273,inf,,,,,,,,,,0.0,0.0
1.24381,inf,,,,,,,,,,0.0,0.0
1.31488,inf,,,,,,,,,,0.0,0.0
1.38596,inf,,,,,,,,,,0.0,0.0
1.45703,inf,,,,,,,,,,0.0,0.0
1.52811,inf,,,,,,,,,,0.0,0.0
1.59918,inf,,,,,,,,,,0.0,0.0
1.67026,inf,,,,,,,,,,0.0,0.0
1.74133,inf,,,,,,,,,,0.0,0.0
1.8124,inf,,,,,,,,,,0.0,0.0
1.88348,inf,,,,,,,,,,0.0,0.0
1.95455,inf,,,,,,,,,,0.0,0.0
2.02563,inf,,,,,,,,,,0.0,0.0
2.0967,inf,,,,,,,,,,0.0,0.0
2.16778,inf,,,,,,,,,,0.0,0.0
2.23885,inf,,,,,,,,,,0.0,0.0
2.30993,inf,,,,,,,,,,0.0,0.0
2.381,inf,,,,,,,,,,0.0,0.0
2.45208,inf,,,,,,,,,,0.0,0.0
2.52315,inf,,,,,,,,,,0.0,0.0
2.59423,inf,,,,,,,,,,0.0,0.0
2.6653,inf,,,,,,,,,,0.0,0.0
2.73638,inf,,,,,,,,,,0.0,0.0
2.80745,inf,,,,,,,,,,0.0,0.0
2.87852,inf,,,,,,,,,,0.0,0.0
2.9496,4.20394,0.58668,-44.4327,,48.63664,,-45.5098,,1.0771,,0.0,0.0
3.02067,2.45866,0.12222,-45.63682,0.5937196327968454,48.09548,0.606168896239671,-46.96623,0.562624514925129,1.32941,0.1896224078891633,0.0,0.0
3.09175,1.78843,0.07412,-46.31418615384615,0.3729099991471204,48.10261615384615,0.380204736772052,-47.208469230769225,0.3491385357405471,0.8942830769230771,0.1310120235888755,0.0,0.0
3.16282,1.36537,0.05391,-46.501336690647484,0.28811052668416115,47.86670669064748,0.2931108385683217,-46.92439424460432,0.2732702620370998,0.4230575539568345,0.0912745280590349,0.0,0.0
3.2339,0.89069,0.03166,-46.507482407407416,0.1796651937045242,47.398172407407415,0.1824333780558925,-46.55018518518519,0.1725485595227861,0.0427027777777777,0.0500657211622457,0.0,0.0
3.30497,0.63979,0.02647,-46.520758220502906,0.15375258734969643,47.1605482205029,0.15601448335563603,-46.321791295938105,0.1497463976105758,-0.1989669245647969,0.0348693923001445,0.0,0.0
3.37605,0.43456,0.0221,-46.44083106159897,0.14099857855254455,46.87539106159897,0.14272003767459593,-46.13324220183488,0.137459065350301,-0.3075888597640891,0.0313943387708638,0.0,0.0
3.44712,0.26404,0.01708,-46.21939010367578,0.1281353257459449,46.48343010367578,0.12926866636590406,-45.833561734213006,0.125155788321473,-0.3858283694627709,0.0274716281579752,0.0,0.0
3.5182,0.15622,0.01751,-45.93238212669682,0.11712063052785991,46.08860212669682,0.11842230446686752,-45.45322413273001,0.1145503239803262,-0.4791579939668175,0.0244021591513082,0.0,0.0
3.58927,0.03176,0.01518,-45.25192953611273,0.10408883951678671,45.28368953611273,0.10518991829995582,-44.72283006459189,0.1019373261408458,-0.5290994715208456,0.0210539319654599,0.0,0.0
3.66035,-0.0396,0.01427,-45.200980430430434,0.10147388955644726,45.161380430430434,0.10247235315788379,-44.688673423423424,0.099430378833593,-0.512307007007007,0.0202620341210412,0.0,0.0
3.73142,-0.07973,0.01218,-44.816707920792076,0.10281752711878758,44.73697792079208,0.10353644905453643,-44.30364243924392,0.1009080293644744,-0.5130654815481548,0.0197234249713631,0.0,0.0
3.8025,-0.15764,0.01309,-44.54574414893617,0.10018459110047165,44.38810414893617,0.1010361341004727,-43.988131610942254,0.0984973867737076,-0.557612537993921,0.0183089347783904,0.0,0.0
3.87357,-0.17129,0.01173,-44.37132497316637,0.09882220159435787,44.20003497316637,0.09951593052348909,-43.84743506261181,0.0972158189826092,-0.5238899105545618,0.0177457619587458,0.0,0.0
3.94464,-0.2181,0.0114,-44.16403027405992,0.09872089686501836,43.94593027405992,0.09937693634759322,-43.65944251115361,0.0973264318846046,-0.5045877629063098,0.0165342412721302,0.0,0.0
4.01572,-0.25343,0.0114,-44.22299762387714,0.09813354247666833,43.96956762387714,0.0987934823711568,-43.72268272964359,0.0968698526971524,-0.5003148942335555,0.0156978914970153,0.0,0.0
4.08679,-0.28185,0.01139,-44.08615641504401,0.09721436786903832,43.80430641504401,0.0978793411306835,-43.63992640704188,0.0958915912542224,-0.4462300080021339,0.0159823667493224,0.0,0.0
4.15787,-0.33007,0.01024,-44.08513572276287,0.09472869041749511,43.75506572276287,0.09528054569645174,-43.65713871350581,0.0935618081130285,-0.4279970092570614,0.0148227140171584,0.0,0.0
4.22894,-0.32555,0.00912,-43.99348854961832,0.09668953383786574,43.66793854961832,0.09711869209263366,-43.591877770067086,0.0955631649408733,-0.4016107795512375,0.0147155516467181,0.0,0.0
4.30002,-0.34374,0.00601,-43.66425513126491,0.09464613022571666,43.32051513126491,0.09483675483009378,-43.23622354089824,0.0936274422450954,-0.4280315903666739,0.0138488997882374,0.0,0.0
4.37109,-0.37004,0.00908,-43.49575120481928,0.09238279395309848,43.125711204819275,0.09282794309140244,-43.07084120481928,0.0914390033850617,-0.42491,0.0131715328844946,0.0,0.0
4.44217,-0.37243,0.00924,-42.850034263025385,0.09229943465116346,42.477604263025384,0.09276078501675368,-42.41827561495256,0.0913632910438259,-0.4317586480728259,0.0131123867608287,0.0,0.0
4.51324,-0.37103,0.00873,-42.50371352012035,0.09148827198497621,42.13268352012035,0.09190384546251035,-42.07642406919895,0.090601910568145,-0.427289450921399,0.0127042399299933,0.0,0.0
4.58432,-0.36737,0.0092,-42.03146630594277,0.09114095253292039,41.66409630594277,0.09160411141759985,-41.59333327219369,0.0903332654951047,-0.4381330337490829,0.0121067903921301,0.0,0.0
4.65539,-0.36912,0.00881,-41.253075882248616,0.09085071451106444,40.883955882248614,0.0912768778342628,-40.76651351303422,0.0901689924699924,-0.4865623692143997,0.0111087858975403,0.0,0.0
4.72647,-0.33867,0.00863,-40.42721065024452,0.09058619155933877,40.08854065024452,0.09099634608722054,-39.89602361890962,0.0899843768315324,-0.5311870313349032,0.0104244917125965,0.0,0.0
4.79754,-0.3354,0.00853,-40.011048612338705,0.08927441360775391,39.675648612338705,0.08968100035686664,-39.481113275587774,0.0887246982363912,-0.5299353367509281,0.0098918576551443,0.0,0.0
4.86862,-0.31146,0.00817,-38.8913218945487,0.0873231488836757,38.579861894548706,0.08770451089288733,-38.2862872922252,0.0869178661136785,-0.6050346023235031,0.0084033851039479,0.0,0.0
4.93969,-0.31653,0.00894,-38.208029471509725,0.08339030496375248,37.891499471509725,0.08386814986601077,-37.5701297985884,0.0830838384849933,-0.6378996729213289,0.0071427406887824,0.0,0.0
5.01077,-0.27495,0.00849,-37.3403501884084,0.08111434948538251,37.065400188408404,0.08155745087014904,-36.66078379687781,0.0808557394446417,-0.679566391530594,0.0064720237404531,0.0,0.0
5.08184,-0.26483,0.00941,-36.806682377994676,0.07748427724354028,36.54185237799467,0.07805357980229871,-36.1147879148181,0.0772655054452978,-0.691894463176575,0.0058184953584641,0.0,0.0
5.15291,-0.24024,0.00866,-36.3067417311499,0.07614161790192403,36.0665017311499,0.07663250992054611,-35.61276906604282,0.0759412567266394,-0.6939726651070721,0.0055200999539178,0.0,0.0
5.22399,-0.23143,0.00776,-35.74175505598009,0.0720119898087375,35.51032505598009,0.0724288911706766,-35.03823156211125,0.071836607306054,-0.7035234938688467,0.005022800709714,0.0,0.0
5.29506,-0.21342,0.009,-35.507347298983774,0.06995553614147886,35.293927298983775,0.07053209933669743,-34.82694881440542,0.06974866840842,-0.6803984845783562,0.0053758991893476,0.0,0.0
5.36614,-0.20456,0.00834,-35.29382627775819,0.06950525422547361,35.08926627775819,0.07000382821637484,-34.632592844554104,0.0693115221689728,-0.6612334332040888,0.0051858711483906,0.0,0.0
5.43721,-0.18982,0.0087,-34.98890058078142,0.06889943179584126,34.79908058078142,0.06944653844353786,-34.343353854276664,0.0687255649470612,-0.6455467265047519,0.0048916688866946,0.0,0.0
5.50829,-0.20629,0.00847,-34.82720328552368,0.06683669322254165,34.62091328552368,0.06737124357560981,-34.195268912608405,0.0666658111149612,-0.6319343729152769,0.0047763154531983,0.0,0.0
5.57936,-0.19229,0.00839,-34.64520733899151,0.06653167819491689,34.45291733899151,0.06705860350046054,-34.04702960559161,0.0663471475619496,-0.5981777333999001,0.0049517889519714,0.0,0.0
5.65044,-0.21896,0.00797,-34.39394602854483,0.0639527992178162,34.17498602854483,0.06444750908913635,-33.8021323611542,0.0637923490416168,-0.5918136673906298,0.0045273316144108,0.0,0.0
5.72151,-0.20937,0.00838,-34.03404383456335,0.062216124269835194,33.82467383456335,0.06277794612090759,-33.4569737392374,0.0620558607439548,-0.5770700953259532,0.0044627644444297,0.0,0.0
5.79259,-0.19648,0.00772,-33.80980765102729,0.06111349722436309,33.61332765102729,0.06159917160962666,-33.25652652560564,0.0609608931213108,-0.5532811254216498,0.004316138649807,0.0,0.0
5.86366,-0.18881,0.0076,-33.14734833282812,0.05830537166579782,32.95853833282813,0.05879860853019244,-32.624358714762046,0.0581568530887645,-0.5229896180660806,0.0041589426419083,0.0,0.0
5.93474,-0.17158,0.00792,-32.96230335161487,0.05778493213589243,32.79072335161487,0.05832516422565558,-32.45740485984156,0.0576408953206578,-0.5048984917733089,0.0040774463310586,0.0,0.0
6.00581,-0.18161,0.00734,-32.512206537955244,0.05497120986966142,32.330596537955245,0.055459079640166775,-32.030551543074445,0.0548355263972575,-0.4816549948807956,0.0038599170029985,0.0,0.0
6.07689,-0.1601,0.00768,-31.994542438157307,0.05380916771746322,31.834442438157307,0.054354474796893086,-31.53721444230484,0.053670926760736,-0.4573279958524663,0.0038546272309781,0.0,0.0
6.14796,-0.152,0.00794,-31.589364759389667,0.05208926148857788,31.437364759389666,0.05269093624548194,-31.151880340375584,0.0519636405305703,-0.4374844190140844,0.0036154149464638,0.0,0.0
6.21903,-0.14444,0.00765,-31.22679436456064,0.05003922713869201,31.08235436456064,0.050620615885601496,-30.817266347131447,0.0499210159238182,-0.4095280174291939,0.003437502257672,0.0,0.0
6.29011,-0.14198,0.00781,-30.68895188195039,0.04815340825924197,30.54697188195039,0.0487826488311288,-30.3094510122612,0.0480411987119493,-0.379500869689193,0.0032854152401536,0.0,0.0
6.36118,-0.13655,0.00809,-30.309496890827237,0.04615937234356035,30.172946890827237,0.04686294650522355,-29.9518153629713,0.0460548727211134,-0.357681527855937,0.0031042477016966,0.0,0.0
6.43226,-0.13796,0.00771,-29.89139935492726,0.04392979082194943,29.75343935492726,0.04460124013590017,-29.554372604995883,0.0438329782789695,-0.3370267499313752,0.0029148819625536,0.0,0.0
6.50333,-0.12932,0.00704,-29.378848194576918,0.04154633740578939,29.249528194576918,0.04213857795222443,-29.06710211200436,0.0414564450647541,-0.3117460825725575,0.0027315406694245,0.0,0.0
6.57441,-0.11208,0.00655,-29.0749615426846,0.040342995203585016,28.962881542684602,0.040871258385281994,-28.78326258578095,0.0402579984283438,-0.2916989569036508,0.0026174079811813,0.0,0.0
6.64548,-0.11649,0.00761,-28.726974676623545,0.038872844265147796,28.610484676623546,0.03961073239997506,-28.44733711161488,0.0387929992196022,-0.2796375650086677,0.0024902274615739,0.0,0.0
6.71656,-0.10955,0.00721,-28.32837867142102,0.03663340045916863,28.218828671421022,0.03733617721730247,-28.06834273639725,0.0365574242184294,-0.2600359350237717,0.0023581271627307,0.0,0.0
6.78763,-0.12234,0.00717,-27.95714577322197,0.0344032407050972,27.83480577322197,0.035142451124144096,-27.71947269045811,0.0343365062838639,-0.2376730827638572,0.0021417999979064,0.0,0.0
6.85871,-0.10738,0.00673,-27.6443587009025,0.033447893306220076,27.5369787009025,0.034118242431641785,-27.41635286640396,0.0333839026584614,-0.2280058344985382,0.0020679965944498,0.0,0.0
6.92978,-0.10325,0.00721,-27.32590709806873,0.03235156565228646,27.22265709806873,0.03314525456463113,-27.115596087283677,0.0322932504416329,-0.2103110107850514,0.0019415911176603,0.0,0.0
7.00086,-0.10366,0.00679,-27.07548780697446,0.031017383988861336,26.97182780697446,0.03175188513320858,-26.87580275049116,0.0309639639469652,-0.1996850564833006,0.0018196280398781,0.0,0.0
7.07193,-0.09438,0.00595,-26.729906967363398,0.030417038016542514,26.635526967363397,0.03099352677092093,-26.542935521329905,0.0303681496242728,-0.1869714460334922,0.001723859071262,0.0,0.0
7.14301,-0.08058,0.00679,-26.4121850766401,0.02987102699290374,26.3316050766401,0.030633027170209343,-26.23859866339669,0.0298270133909679,-0.1735864132434089,0.0016209644616109,0.0,0.0
7.21408,-0.08058,0.0069,-26.10365963457146,0.029366956872671934,26.02307963457146,0.030166672934902408,-25.941534294987378,0.0293275414635742,-0.1621253395840846,0.0015210087651652,0.0,0.0
7.28515,-0.08088,0.00651,-25.840265123129495,0.028695573062062316,25.759385123129494,0.029424751712803905,-25.689223094143987,0.0286626181680353,-0.1510420289855072,0.0013748574884581,0.0,0.0
7.35623,-0.08133,0.00647,-25.615963953354115,0.028397784738933823,25.534633953354113,0.02912550562786546,-25.474403763999536,0.028369297430483,-0.141560189354578,0.00127166873816,0.0,0.0
7.4273,-0.06238,0.00691,-25.324597544146883,0.02763008622332218,25.262217544146882,0.028481042198420656,-25.19309808209566,0.0276044252672236,-0.1314994620512221,0.0011905336511352,0.0,0.0
7.49838,-0.06742,0.00712,-25.04286261948111,0.02710129936412048,24.97544261948111,0.028020971204147743,-24.9192437983614,0.027079322873919,-0.1236188211197086,0.0010911919692356,0.0,0.0
7.56945,-0.06255,0.00576,-24.850496971402837,0.026884949454971562,24.787946971402835,0.027495056050067905,-24.73522606394956,0.0268672008116147,-0.1152709074532762,0.0009767434385477,0.0,0.0
7.64053,-0.06225,0.00632,-24.581633723886377,0.026093942061685728,24.519383723886378,0.026848393104962755,-24.473578257986077,0.0260787214863635,-0.1080554659002984,0.0008911217398843,0.0,0.0
7.7116,-0.05929,0.00594,-24.368045485278085,0.025608936458462274,24.308755485278084,0.02628880420509001,-24.26706305343512,0.0255966660517955,-0.1009824318429662,0.0007926623281184,0.0,0.0
7.78268,-0.05867,0.00657,-24.0871463822489,0.0254376301322872,24.0284763822489,0.02627237954101314,-23.9915455247079,0.0254270236131497,-0.0956008575410011,0.000734504542786,0.0,0.0
7.85375,-0.05847,0.00615,-23.843577171738442,0.024429301348032676,23.785107171738442,0.025191531599983975,-23.75491181425713,0.0244207017969031,-0.0886653574813099,0.0006481420366903,0.0,0.0
7.92483,-0.06887,0.00635,-23.67122575203252,0.023702545353023373,23.60235575203252,0.02453840166376225,-23.587089776422765,0.0236948660287718,-0.0841359756097561,0.000603307625251,0.0,0.0
7.9959,-0.07526,0.00625,-23.464547640205375,0.02292897245075733,23.389287640205374,0.023765527085414885,-23.38543908965245,0.0229228012778383,-0.0791085505529225,0.0005319391171209,0.0,0.0
8.06698,-0.07158,0.00591,-23.19882080242093,0.022606861719299737,23.12724080242093,0.023366606445856444,-23.125380095665754,0.0226017784638686,-0.0734407067551737,0.0004793819622655,0.0,0.0
8.13805,-0.06792,0.00601,-23.05253251930502,0.022291175025470233,22.98461251930502,0.023087151925175783,-22.982609083011585,0.0222867139496381,-0.0699234362934363,0.0004459432061982,0.0,0.0
8.20913,-0.06535,0.00602,-22.861998018292685,0.02163614943077289,22.796648018292686,0.02245803558174076,-22.79533440358232,0.0216323126587083,-0.0666636147103658,0.0004074447528471,0.0,0.0
8.2802,-0.0769,0.0062,-22.637747846450548,0.020883189792514904,22.56084784645055,0.021784113842665227,-22.574926705849943,0.020879782906176,-0.0628211406006061,0.0003772024670641,0.0,0.0
8.35128,-0.07268,0.0055,-22.486982854545456,0.020427496667775515,22.414302854545458,0.021154966795340988,-22.42698914545455,0.0204244862720989,-0.059993709090909,0.0003506859461446,0.0,0.0
8.42235,-0.06162,0.00604,-22.277094899817854,0.020009173406160385,22.215474899817853,0.02090092391254023,-22.219963861566487,0.0200063908079876,-0.0571310382513661,0.0003336873324914,0.0,0.0
8.49342,-0.07072,0.00511,-22.10927045334274,0.01959375220865713,22.03855045334274,0.020249129008780998,-22.055576927147644,0.0195914567534508,-0.0536935261950961,0.0002999131406311,0.0,0.0
8.5645,-0.07925,0.00574,-21.901491784218173,0.0186487644833552,21.822241784218175,0.019512150490288108,-21.850590707018892,0.0186466267696422,-0.0509010771992818,0.0002823594682551,0.0,0.0
8.63557,-0.07981,0.00587,-21.762265294463578,0.018077962673935247,21.68245529446358,0.01900709431870627,-21.714079408552465,0.018076120214782,-0.0481858859111148,0.0002580938219827,0.0,0.0
8.70665,-0.06163,0.0061,-21.581558603937612,0.01790525746622079,21.51992860393761,0.018915819964560227,-21.53554421716526,0.017903512247575,-0.0460143867723514,0.0002499882648991,0.0,0.0
8.77772,-0.06754,0.0059,-21.398542133665423,0.017456015119807218,21.33100213366542,0.01842613534800334,-21.35478672478207,0.0174544951949524,-0.043755408883354,0.0002303504988531,0.0,0.0
8.8488,-0.06513,0.00579,-21.224097580182104,0.016997830166817426,21.158967580182104,0.01795690202623962,-21.182662800426545,0.0169964812912314,-0.0414347797555573,0.0002141356971397,0.0,0.0
8.91987,-0.06696,0.00577,-21.091632163836806,0.016590849596120453,21.024672163836804,0.017565568317623265,-21.052010791019555,0.0165896023525348,-0.0396213728172527,0.0002034308380313,0.0,0.0
8.99095,-0.06551,0.0057,-20.86650581183009,0.015826252922298466,20.80099581183009,0.016821423291759847,-20.829020031758635,0.0158251129197003,-0.0374857800714569,0.0001899543084412,0.0,0.0
9.06202,-0.0598,0.00547,-20.728616407544788,0.015644605416339233,20.66881640754479,0.01657330922395859,-20.69271253255465,0.0156435475551502,-0.0359038749901349,0.0001819299939674,0.0,0.0
9.1331,-0.05358,0.00509,-20.560012647197357,0.015249669675627648,20.506432647197357,0.01607670753654981,-20.526068299576067,0.0152486944687158,-0.0339443476212906,0.0001724593155316,0.0,0.0
9.20417,-0.05746,0.00557,-20.38127998924979,0.014752997324182967,20.32381998924979,0.01576945877471227,-20.34933128311449,0.0147521699054947,-0.031948706135299,0.0001562470056233,0.0,0.0
9.27525,-0.05044,0.0053,-20.23870717073544,0.01458242956799895,20.188267170735443,0.015515709848590558,-20.207887219713783,0.0145816427004866,-0.0308199510216576,0.0001514868343977,0.0,0.0
9.34632,-0.03817,0.00526,-20.0745728224069,0.014222636839181789,20.0364028224069,0.015164135275684233,-20.04540137734688,0.0142219178530166,-0.0291714450600184,0.0001430078364937,0.0,0.0
9.4174,-0.054,0.00513,-19.906352991516048,0.013736980937043742,19.85235299151605,0.014663612967638746,-19.878582943563263,0.0137363403419657,-0.0277700479527849,0.0001326622568359,0.0,0.0
