r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03543,inf,,,,,,,,,,0.0,0.0
0.10628,inf,,,,,,,,,,0.0,0.0
0.17714,inf,,,,,,,,,,0.0,0.0
0.248,inf,,,,,,,,,,0.0,0.0
0.31885,inf,,,,,,,,,,0.0,0.0
0.38971,inf,,,,,,,,,,0.0,0.0
0.46056,inf,,,,,,,,,,0.0,0.0
0.53142,inf,,,,,,,,,,0.0,0.0
0.60227,inf,,,,,,,,,,0.0,0.0
0.67313,inf,,,,,,,,,,0.0,0.0
0.74399,inf,,,,,,,,,,0.0,0.0
0.81484,inf,,,,,,,,,,0.0,0.0
0.8857,inf,,,,,,,,,,0.0,0.0
0.95655,inf,,,,,,,,,,0.0,0.0
1.02741,inf,,,,,,,,,,0.0,0.0
1.09826,inf,,,,,,,,,,0.0,0.0
1.16912,inf,,,,,,,,,,0.0,0.0
1.23998,inf,,,,,,,,,,0.0,0.0
1.31083,inf,,,,,,,,,,0.0,0.0
1.38169,inf,,,,,,,,,,0.0,0.0
1.45254,inf,,,,,,,,,,0.0,0.0
1.5234,inf,,,,,,,,,,0.0,0.0
1.59425,inf,,,,,,,,,,0.0,0.0
1.66511,inf,,,,,,,,,,0.0,0.0
1.73597,inf,,,,,,,,,,0.0,0.0
1.80682,inf,,,,,,,,,,0.0,0.0
1.87768,inf,,,,,,,,,,0.0,0.0
1.94853,inf,,,,,,,,,,0.0,0.0
2.01939,inf,,,,,,,,,,0.0,0.0
2.09025,inf,,,,,,,,,,0.0,0.0
2.1611,inf,,,,,,,,,,0.0,0.0
2.23196,inf,,,,,,,,,,0.0,0.0
2.30281,inf,,,,,,,,,,0.0,0.0
2.37367,inf,,,,,,,,,,0.0,0.0
2.44452,inf,,,,,,,,,,0.0,0.0
2.51538,inf,,,,,,,,,,0.0,0.0
2.58624,inf,,,,,,,,,,0.0,0.0
2.65709,inf,,,,,,,,,,0.0,0.0
2.72795,inf,,,,,,,,,,0.0,0.0
2.7988,inf,,,,,,,,,,0.0,0.0
2.86966,3.35386,0.29244,-57.96045,1.2591513926384446,61.31431,1.2926652247133958,-60.645625,1.2042890256461145,2.685175,0.3676277632220758,0.0,0.0
2.94051,2.13349,0.10524,-59.09619696969697,0.6309650380294062,61.22968696969697,0.6396814338523903,-61.99771515151515,0.6011032344988863,2.901518181818182,0.1918118366796663,0.0,0.0
3.01137,1.19471,0.04154,-59.9853349112426,0.3492544360769335,61.180044911242604,0.35171612519106493,-62.263384615384616,0.3316724999596759,2.278049704142012,0.1094166984052966,0.0,0.0
3.08223,0.48614,0.02388,-59.84069641638225,0.18867899708396255,60.32683641638225,0.19018416953208786,-61.51923259385666,0.18075803503233,1.6785361774744028,0.0540952559090065,0.0,0.0
3.15308,0.07267,0.01806,-60.2924194647202,0.13173437764439208,60.3650894647202,0.13296657419575533,-61.58793527980536,0.1275140880846897,1.2955158150851582,0.0330772367843099,0.0,0.0
3.22394,-0.2213,0.01247,-59.95812911750826,0.09913296272381668,59.73682911750826,0.09991418917451927,-60.85494766399245,0.0963933718493295,0.8968185464841906,0.0231443764642411,0.0,0.0
3.29479,-0.37647,0.01149,-59.295136660869574,0.08291831156626851,58.918666660869576,0.08371061159136743,-59.95302361739131,0.0805435444922726,0.6578869565217392,0.0197023814200741,0.0,0.0
3.36565,-0.47995,0.01056,-58.49665919395466,0.07171485763836354,58.01670919395466,0.07248816735227032,-58.91053352924713,0.0695377288307432,0.4138743352924713,0.0175363928774641,0.0,0.0
3.4365,-0.54062,0.00939,-57.4755438817543,0.06542439153069157,56.9349238817543,0.0660948039346606,-57.81431994184638,0.0631909051641205,0.3387760600920765,0.0169487613618328,0.0,0.0
3.50736,-0.56186,0.01005,-56.377954296612074,0.06186526385166661,55.81609429661207,0.06267625843520278,-56.67852171864483,0.0595755896982711,0.3005674220327574,0.0166751306903299,0.0,0.0
3.57822,-0.58858,0.00766,-55.36094306614466,0.05841096281956453,54.772363066144656,0.0589110870508137,-55.611724520914905,0.0563048543834115,0.2507814547702452,0.0155436144564698,0.0,0.0
3.64907,-0.59022,0.00855,-54.64720371541504,0.056701281126997044,54.056983715415036,0.0573422861546586,-54.7969522332016,0.0547122957751057,0.1497485177865612,0.0148862343277305,0.0,0.0
3.71993,-0.55777,0.00952,-53.91653658095621,0.05731533841202621,53.358766580956214,0.05810058878604491,-54.03696333869024,0.0554314846865023,0.1204267577340297,0.0145738986800083,0.0,0.0
3.79078,-0.51806,0.00968,-53.15728415390981,0.0592033234568556,52.639224153909815,0.059989464977919814,-53.19505461315681,0.0574784393801222,0.0377704592470004,0.0141867020396809,0.0,0.0
3.86164,-0.45742,0.00777,-52.48643012367491,0.06331065123867222,52.02901012367491,0.06378566814155659,-52.44694684187279,0.0618581106832086,-0.0394832818021201,0.0134837940865582,0.0,0.0
3.9325,-0.36515,0.00922,-51.64829258337482,0.06757201323689833,51.28314258337482,0.06819813320676428,-51.47837503733201,0.0664461002788587,-0.1699175460428074,0.0122838402228057,0.0,0.0
4.00335,-0.26213,0.00998,-50.67160039988575,0.07525571799813932,50.40947039988575,0.07591458022946232,-50.35052927734933,0.074507959959171,-0.3210711225364182,0.0105823907571985,0.0,0.0
4.07421,-0.16102,0.01104,-49.43994837970539,0.07839387252773007,49.27892837970539,0.07916742290799916,-48.9775575777414,0.0779059930672588,-0.4623908019639934,0.0087324391837685,0.0,0.0
4.14506,-0.07511,0.01165,-48.15529744058501,0.0821370616840044,48.08018744058501,0.08295914296858391,-47.61077513711152,0.0817885736777475,-0.5445223034734918,0.0075581821783821,0.0,0.0
4.21592,-0.00751,0.01249,-46.707673386138616,0.08642266007526593,46.70016338613861,0.08732053752975279,-46.10928015841584,0.0861061728065743,-0.5983932277227723,0.0073893963954661,0.0,0.0
4.28677,0.03567,0.01149,-45.53831352019785,0.08369170618787618,45.57398352019786,0.084476752924327,-44.917820898598514,0.0833939627393167,-0.6204926215993404,0.0070532732310077,0.0,0.0
4.35763,0.04205,0.01226,-44.15341495967742,0.08061217783931558,44.19546495967742,0.08153913671358952,-43.54124935483871,0.0802649695004883,-0.6121656048387096,0.0074738134230877,0.0,0.0
4.42849,0.06546,0.01185,-43.23173407798537,0.07700475180624278,43.297194077985374,0.07791119496414524,-42.61201779041429,0.0767081349508141,-0.6197162875710804,0.0067523205721249,0.0,0.0
4.49934,0.03712,0.01173,-42.16422648162039,0.07307814847324036,42.20134648162039,0.07401357094666465,-41.57075521380344,0.0727914821712837,-0.5934712678169543,0.0064665220624885,0.0,0.0
4.5702,0.02553,0.01071,-41.349437754010694,0.0707063872364984,41.3749677540107,0.07151291698733638,-40.77703771836007,0.0704159684103176,-0.5724000356506239,0.0064019207176298,0.0,0.0
4.64105,-0.03369,0.01137,-40.572902220137586,0.06419189434592253,40.539212220137586,0.06519107454029333,-40.023892370231394,0.0638755558307036,-0.5490098499061913,0.0063649561692716,0.0,0.0
4.71191,-0.0273,0.00944,-39.978731554737806,0.06257368916862112,39.95143155473781,0.06328175231590234,-39.42949711744863,0.0623458635599474,-0.5492344372891751,0.0053347795770429,0.0,0.0
4.78276,-0.05858,0.00981,-39.29523194012991,0.05935088714139595,39.23665194012991,0.06015616264748541,-38.75690463146004,0.0591369818245342,-0.5383273086698673,0.0050344001783162,0.0,0.0
4.85362,-0.09254,0.00933,-38.73845050478902,0.056951221735640926,38.64591050478902,0.057710402504073215,-38.21768506342221,0.0567269229121253,-0.5207654413668134,0.005049541969717,0.0,0.0
4.92448,-0.10716,0.00986,-38.164003706431025,0.05393331447448367,38.056843706431025,0.054827201371249565,-37.65272886597938,0.0537493487590066,-0.5112748404516446,0.0044508334260254,0.0,0.0
