r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03543,inf,,,,,,,,,,0.0,0.0
0.10628,inf,,,,,,,,,,0.0,0.0
0.17714,inf,,,,,,,,,,0.0,0.0
0.248,inf,,,,,,,,,,0.0,0.0
0.31885,inf,,,,,,,,,,0.0,0.0
0.38971,inf,,,,,,,,,,0.0,0.0
0.46056,inf,,,,,,,,,,0.0,0.0
0.53142,inf,,,,,,,,,,0.0,0.0
0.60227,inf,,,,,,,,,,0.0,0.0
0.67313,inf,,,,,,,,,,0.0,0.0
0.74399,inf,,,,,,,,,,0.0,0.0
0.81484,inf,,,,,,,,,,0.0,0.0
0.8857,inf,,,,,,,,,,0.0,0.0
0.95655,inf,,,,,,,,,,0.0,0.0
1.02741,inf,,,,,,,,,,0.0,0.0
1.09826,inf,,,,,,,,,,0.0,0.0
1.16912,inf,,,,,,,,,,0.0,0.0
1.23998,inf,,,,,,,,,,0.0,0.0
1.31083,inf,,,,,,,,,,0.0,0.0
1.38169,inf,,,,,,,,,,0.0,0.0
1.45254,inf,,,,,,,,,,0.0,0.0
1.5234,inf,,,,,,,,,,0.0,0.0
1.59425,inf,,,,,,,,,,0.0,0.0
1.66511,inf,,,,,,,,,,0.0,0.0
1.73597,inf,,,,,,,,,,0.0,0.0
1.80682,inf,,,,,,,,,,0.0,0.0
1.87768,inf,,,,,,,,,,0.0,0.0
1.94853,inf,,,,,,,,,,0.0,0.0
2.01939,inf,,,,,,,,,,0.0,0.0
2.09025,inf,,,,,,,,,,0.0,0.0
2.1611,inf,,,,,,,,,,0.0,0.0
2.23196,inf,,,,,,,,,,0.0,0.0
2.30281,inf,,,,,,,,,,0.0,0.0
2.37367,inf,,,,,,,,,,0.0,0.0
2.44452,inf,,,,,,,,,,0.0,0.0
2.51538,inf,,,,,,,,,,0.0,0.0
2.58624,inf,,,,,,,,,,0.0,0.0
2.65709,inf,,,,,,,,,,0.0,0.0
2.72795,inf,,,,,,,,,,0.0,0.0
2.7988,inf,,,,,,,,,,0.0,0.0
2.86966,3.35386,0.29244,-105.12926944444445,2.1722919870078283,108.48312944444444,2.191888142770616,-107.81444444444445,2.1409582678153147,2.685175,0.3676277632220758,0.0,0.0
2.94051,2.13349,0.10524,-107.31664208754209,1.0857060026438647,109.45013208754209,1.0907946561002761,-110.21816026936027,1.0686279724424645,2.901518181818182,0.1918118366796663,0.0,0.0
3.01137,1.19471,0.04154,-108.41241183431953,0.5997060474977522,109.60712183431953,0.6011430071167561,-110.69046153846153,0.5896399999283127,2.278049704142012,0.1094166984052966,0.0,0.0
3.08223,0.48614,0.02388,-107.68898843382632,0.32586897397612574,108.17512843382633,0.3267427774263004,-109.36752461130072,0.32134761783525334,1.6785361774744028,0.0540952559090065,0.0,0.0
3.15308,0.07267,0.01806,-108.19414690456881,0.22909219967305175,108.26681690456881,0.22980295809897097,-109.48966271965396,0.22669171215055947,1.2955158150851582,0.0330772367843099,0.0,0.0
3.22394,-0.2213,0.01247,-107.28975507839128,0.1729218499733646,107.06845507839128,0.17337089461097793,-108.18657362487546,0.171365994398808,0.8968185464841906,0.0231443764642411,0.0,0.0
3.29479,-0.37647,0.01149,-105.92526614106282,0.14453766674368257,105.54879614106282,0.14499364540457574,-106.58315309758456,0.14318852354181796,0.6578869565217392,0.0197023814200741,0.0,0.0
3.36565,-0.47995,0.01056,-104.31596305003576,0.1248602398045237,103.83601305003576,0.1253059977975642,-104.72983738532824,0.12362262903243236,0.4138743352924713,0.0175363928774641,0.0,0.0
3.4365,-0.54062,0.00939,-102.44223716985704,0.11361073177256485,101.90161716985703,0.11399811609802013,-102.78101322994911,0.11233938695843644,0.3387760600920765,0.0169487613618328,0.0,0.0
3.50736,-0.56186,0.01005,-100.46124896666916,0.10721681540589212,99.89938896666916,0.10768680516099058,-100.76181638870192,0.10591215946359306,0.3005674220327574,0.0166751306903299,0.0,0.0
3.57822,-0.58858,0.00766,-98.6145065824118,0.1012971729174932,98.02592658241181,0.10158638117915471,-98.86528803718205,0.10009751890384266,0.2507814547702452,0.0155436144564698,0.0,0.0
3.64907,-0.59022,0.00855,-97.26705545234962,0.09839885054462795,96.67683545234962,0.09876961217147726,-97.41680397013619,0.09726630360018791,0.1497485177865612,0.0148862343277305,0.0,0.0
3.71993,-0.55777,0.00952,-95.94528584438196,0.09961670684823928,95.38751584438195,0.10007056851686236,-96.06571260211598,0.09854486166489299,0.1204267577340297,0.0145738986800083,0.0,0.0
3.79078,-0.51806,0.00968,-94.53121551969845,0.10316399733582647,94.01315551969844,0.10361714504031855,-94.56898597894545,0.10218389223132834,0.0377704592470004,0.0141867020396809,0.0,0.0
3.86164,-0.45742,0.00777,-93.27849988957597,0.11079353774043088,92.82107988957597,0.11106566033225698,-93.23901660777385,0.1099699745479264,-0.0394832818021201,0.0134837940865582,0.0,0.0
3.9325,-0.36515,0.00922,-91.68702872352193,0.11876337492973775,91.32187872352193,0.11912072709944924,-91.51711117747912,0.1181264004957488,-0.1699175460428074,0.0122838402228057,0.0,0.0
4.00335,-0.26213,0.00998,-89.83312317115745,0.13288064761830182,89.57099317115745,0.13325489451220657,-89.51205204862103,0.13245859548297068,-0.3210711225364182,0.0105823907571985,0.0,0.0
4.07421,-0.16102,0.01104,-87.53360427350425,0.13877456167902621,87.37258427350426,0.1392130043106816,-87.07121347154026,0.1384995432306823,-0.4623908019639934,0.0087324391837685,0.0,0.0
4.14506,-0.07511,0.01165,-85.18590032500506,0.14559821835799,85.11079032500507,0.14606356044209295,-84.64137802153158,0.14540190876044,-0.5445223034734918,0.0075581821783821,0.0,0.0
4.21592,-0.00751,0.01249,-82.57044684268426,0.15325588802365794,82.56293684268427,0.1537639987575765,-81.9720536149615,0.153077640545021,-0.5983932277227723,0.0073893963954661,0.0,0.0
4.28677,0.03567,0.01149,-80.47439644133003,0.148423618598795,80.51006644133003,0.1488676951455908,-79.85390381973069,0.14825593375878524,-0.6204926215993404,0.0070532732310077,0.0,0.0
4.35763,0.04205,0.01226,-78.01883112455198,0.1428888721727914,78.06088112455198,0.1434138674982734,-77.40666551971327,0.14269327911197918,-0.6121656048387096,0.0074738134230877,0.0,0.0
4.42849,0.06546,0.01185,-76.37441458164093,0.13653708491824243,76.43987458164094,0.1370503486240416,-75.75469829406985,0.1363700176903362,-0.6197162875710804,0.0067523205721249,0.0,0.0
4.49934,0.03712,0.01173,-74.4970360923564,0.12956854599193454,74.5341560923564,0.13009842816292616,-73.90356482453944,0.12940707941561547,-0.5934712678169543,0.0064665220624885,0.0,0.0
4.5702,0.02553,0.01071,-73.06491153495742,0.12534753441672655,73.09044153495742,0.12580424668647894,-72.49251149930679,0.1251839438405646,-0.5724000356506239,0.0064019207176298,0.0,0.0
4.64105,-0.03369,0.01137,-71.70259628587311,0.11373478484573725,71.6689062858731,0.1143016980797142,-71.15358643596693,0.11355654369902862,-0.5490098499061913,0.0063649561692716,0.0,0.0
4.71191,-0.0273,0.00944,-70.6461182016423,0.11096540255508039,70.6188182016423,0.111366216440225,-70.09688376435312,0.11083709077323983,-0.5492344372891751,0.0053347795770429,0.0,0.0
4.78276,-0.05858,0.00981,-69.43949109793215,0.10525288245912492,69.38091109793214,0.10570905999938873,-68.90116378926228,0.10513241213250525,-0.5383273086698673,0.0050344001783162,0.0,0.0
4.85362,-0.09254,0.00933,-68.46331666522852,0.10097420134208585,68.37077666522852,0.10140433046311233,-67.9425512238617,0.10084786295488941,-0.5207654413668134,0.005049541969717,0.0,0.0
4.92448,-0.10716,0.00986,-67.44945949108165,0.09565799943507074,67.34229949108166,0.09616481922158432,-66.93818465063,0.09555439779378952,-0.5112748404516446,0.0044508334260254,0.0,0.0
