r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03562,inf,,,,,,,,,,0.0,0.0
0.10686,inf,,,,,,,,,,0.0,0.0
0.1781,inf,,,,,,,,,,0.0,0.0
0.24933,inf,,,,,,,,,,0.0,0.0
0.32057,inf,,,,,,,,,,0.0,0.0
0.39181,inf,,,,,,,,,,0.0,0.0
0.46305,inf,,,,,,,,,,0.0,0.0
0.53429,inf,,,,,,,,,,0.0,0.0
0.60553,inf,,,,,,,,,,0.0,0.0
0.67677,inf,,,,,,,,,,0.0,0.0
0.748,inf,,,,,,,,,,0.0,0.0
0.81924,inf,,,,,,,,,,0.0,0.0
0.89048,inf,,,,,,,,,,0.0,0.0
0.96172,inf,,,,,,,,,,0.0,0.0
1.03296,inf,,,,,,,,,,0.0,0.0
1.1042,inf,,,,,,,,,,0.0,0.0
1.17544,inf,,,,,,,,,,0.0,0.0
1.24667,inf,,,,,,,,,,0.0,0.0
1.31791,inf,,,,,,,,,,0.0,0.0
1.38915,inf,,,,,,,,,,0.0,0.0
1.46039,inf,,,,,,,,,,0.0,0.0
1.53163,inf,,,,,,,,,,0.0,0.0
1.60287,inf,,,,,,,,,,0.0,0.0
1.67411,inf,,,,,,,,,,0.0,0.0
1.74534,inf,,,,,,,,,,0.0,0.0
1.81658,inf,,,,,,,,,,0.0,0.0
1.88782,inf,,,,,,,,,,0.0,0.0
1.95906,inf,,,,,,,,,,0.0,0.0
2.0303,inf,,,,,,,,,,0.0,0.0
2.10154,inf,,,,,,,,,,0.0,0.0
2.17278,inf,,,,,,,,,,0.0,0.0
2.24401,inf,,,,,,,,,,0.0,0.0
2.31525,inf,,,,,,,,,,0.0,0.0
2.38649,inf,,,,,,,,,,0.0,0.0
2.45773,inf,,,,,,,,,,0.0,0.0
2.52897,inf,,,,,,,,,,0.0,0.0
2.60021,inf,,,,,,,,,,0.0,0.0
2.67145,inf,,,,,,,,,,0.0,0.0
2.74268,inf,,,,,,,,,,0.0,0.0
2.81392,inf,,,,,,,,,,0.0,0.0
2.88516,inf,,,,,,,,,,0.0,0.0
2.9564,inf,,,,,,,,,,0.0,0.0
3.02764,inf,,,,,,,,,,0.0,0.0
3.09888,inf,,,,,,,,,,0.0,0.0
3.17012,inf,,,,,,,,,,0.0,0.0
3.24135,inf,,,,,,,,,,0.0,0.0
3.31259,inf,,,,,,,,,,0.0,0.0
3.38383,inf,,,,,,,,,,0.0,0.0
3.45507,3.97819,0.41034,-83.71471666666667,1.6389218265710854,87.69290666666667,1.689509890237729,-82.73466666666667,1.636533333333331,-0.98005,0.08845,0.0,0.0
3.52631,3.18167,0.21013,-84.82062777777779,2.0181991751940567,88.00229777777778,2.029108801334707,-83.56957777777778,2.001762885122504,-1.25105,0.2570471989732625,0.0,0.0
3.59755,2.38466,0.10349,-81.78470381944445,0.7356850428500469,84.16936381944444,0.7429284369125168,-80.49899444444445,0.721253379435185,-1.285709375,0.1450036031504055,0.0,0.0
3.66879,1.87288,0.06519,-82.54490295358652,0.7334563905356868,84.41778295358651,0.7363477527076713,-80.9752371308017,0.7231371494437564,-1.56966582278481,0.1226007337335154,0.0,0.0
3.74002,1.37302,0.03846,-82.92522006980802,0.5938345005395242,84.29824006980802,0.5950786381908078,-81.58884467713786,0.587100738707409,-1.336375392670157,0.0891747533791991,0.0,0.0
3.81126,0.89199,0.02975,-83.97162274422072,0.4357653657311985,84.86361274422073,0.43677971160625717,-82.71475853840417,0.4308110201873417,-1.256864205816555,0.0655234221938007,0.0,0.0
3.8825,0.44618,0.01862,-85.05119661590524,0.29997203669607614,85.49737661590524,0.3005493756433243,-83.99111093062605,0.29677515019824924,-1.060085685279188,0.0436776032355103,0.0,0.0
3.95374,0.09586,0.01479,-86.2504844047189,0.22753249823736946,86.3463444047189,0.22801267915214393,-85.25152107860839,0.22531351158491664,-0.9989633261105092,0.031699515002791,0.0,0.0
4.02498,-0.22725,0.01081,-86.49410587186219,0.1658887706554769,86.26685587186219,0.16624060974859728,-85.5160055993001,0.16427310909202986,-0.9781002725620837,0.0230961005112005,0.0,0.0
4.09622,-0.49349,0.00926,-86.69527739856603,0.12376108047914539,86.20178739856604,0.12410702091890491,-85.67780155000206,0.122633798876912,-1.0174758485639688,0.0166660257524881,0.0,0.0
4.16746,-0.70286,0.00806,-86.37985327148779,0.10052470584001937,85.67699327148779,0.10084731074363075,-85.30151821772435,0.09967990857711112,-1.0783350537634409,0.0130050878613408,0.0,0.0
4.23869,-0.83137,0.00762,-85.81830667979003,0.08631005058406799,84.98693667979002,0.08664576868967333,-84.64618593175854,0.08572068125454596,-1.172120748031496,0.0100692421304142,0.0,0.0
4.30993,-0.89957,0.00752,-84.70291875512571,0.07797287664166437,83.80334875512571,0.07833466596454094,-83.38991304544555,0.07750449646399787,-1.313005709680156,0.0085336111722031,0.0,0.0
4.38117,-0.90576,0.00732,-83.05879180930198,0.07549053843001836,82.15303180930198,0.07584460292238386,-81.64568626006572,0.07508005186104462,-1.4131055492362692,0.0078617558469422,0.0,0.0
4.45241,-0.88043,0.00638,-80.95974709107664,0.075725695960282,80.07931709107663,0.07599398284515077,-79.5178369178276,0.0753103613134823,-1.4419101732490354,0.0079202593077384,0.0,0.0
4.52365,-0.86546,0.00663,-79.19922169195628,0.07340642872989822,78.33376169195628,0.07370522830083105,-77.79810748898679,0.0729625453669776,-1.4011142029694896,0.0080604436881205,0.0,0.0
4.59489,-0.85412,0.00624,-77.68958490099675,0.07137570687519759,76.83546490099675,0.07164795274070383,-76.31302827973455,0.07094355352390383,-1.376556621262191,0.0078424323608891,0.0,0.0
4.66613,-0.84635,0.00679,-76.39346376570583,0.06949570551259321,75.54711376570583,0.06982662232052383,-75.05542278534473,0.06909959155044319,-1.3380409803611024,0.0074094218570006,0.0,0.0
4.73736,-0.82134,0.00634,-75.10514986465067,0.06936339743211561,74.28380986465066,0.06965254125533125,-73.80546093212944,0.0689839293782672,-1.2996889325212373,0.0072455773310253,0.0,0.0
4.8086,-0.79986,0.00667,-73.89422911111112,0.06761423176593563,73.09436911111112,0.06794242590088802,-72.60451794982079,0.06728509968833743,-1.2897111612903227,0.0066633097802934,0.0,0.0
4.87984,-0.77243,0.00651,-72.5658618056695,0.06783915783460744,71.7934318056695,0.06815079923015416,-71.28001712150215,0.06753179263344516,-1.2858446841673503,0.0064504511022207,0.0,0.0
4.95108,-0.72692,0.0068,-71.27279237521515,0.06883197618035547,70.54587237521514,0.06916705100619097,-70.00987318416523,0.06853988183878702,-1.2629191910499142,0.0063344725445877,0.0,0.0
5.02232,-0.70792,0.0069,-69.99739313124334,0.06793295761524101,69.28947313124334,0.068282477476686,-68.75249975530414,0.06767551769524677,-1.2448933759392002,0.0059085560871057,0.0,0.0
5.09356,-0.65547,0.007,-68.63278416557094,0.0697502015968808,67.97731416557095,0.07010057505331546,-67.40874981092458,0.06950701841126188,-1.2240343546463626,0.0058193654621459,0.0,0.0
5.1648,-0.60204,0.00686,-67.33276275243892,0.07107928573027303,66.73072275243892,0.07140955440223525,-66.10674728217816,0.07087975326480142,-1.2260154702607675,0.0053221646955602,0.0,0.0
5.23603,-0.57779,0.00698,-65.95281763832524,0.07012103078094914,65.37502763832525,0.07046757664190544,-64.73199326932594,0.06995119737329636,-1.2208243689993072,0.0048773910879643,0.0,0.0
