r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.0357,inf,,,,,,,,,,0.0,0.0
0.10709,inf,,,,,,,,,,0.0,0.0
0.17848,inf,,,,,,,,,,0.0,0.0
0.24987,inf,,,,,,,,,,0.0,0.0
0.32126,inf,,,,,,,,,,0.0,0.0
0.39265,inf,,,,,,,,,,0.0,0.0
0.46404,inf,,,,,,,,,,0.0,0.0
0.53543,inf,,,,,,,,,,0.0,0.0
0.60682,inf,,,,,,,,,,0.0,0.0
0.67821,inf,,,,,,,,,,0.0,0.0
0.7496,inf,,,,,,,,,,0.0,0.0
0.82099,inf,,,,,,,,,,0.0,0.0
0.89238,inf,,,,,,,,,,0.0,0.0
0.96377,inf,,,,,,,,,,0.0,0.0
1.03516,inf,,,,,,,,,,0.0,0.0
1.10655,inf,,,,,,,,,,0.0,0.0
1.17794,inf,,,,,,,,,,0.0,0.0
1.24933,inf,,,,,,,,,,0.0,0.0
1.32072,inf,,,,,,,,,,0.0,0.0
1.39211,inf,,,,,,,,,,0.0,0.0
1.4635,inf,,,,,,,,,,0.0,0.0
1.53489,inf,,,,,,,,,,0.0,0.0
1.60628,inf,,,,,,,,,,0.0,0.0
1.67767,inf,,,,,,,,,,0.0,0.0
1.74906,inf,,,,,,,,,,0.0,0.0
1.82045,inf,,,,,,,,,,0.0,0.0
1.89184,inf,,,,,,,,,,0.0,0.0
1.96323,inf,,,,,,,,,,0.0,0.0
2.03462,inf,,,,,,,,,,0.0,0.0
2.10601,inf,,,,,,,,,,0.0,0.0
2.1774,inf,,,,,,,,,,0.0,0.0
2.24879,inf,,,,,,,,,,0.0,0.0
2.32018,inf,,,,,,,,,,0.0,0.0
2.39157,inf,,,,,,,,,,0.0,0.0
2.46296,inf,,,,,,,,,,0.0,0.0
2.53435,inf,,,,,,,,,,0.0,0.0
2.60574,inf,,,,,,,,,,0.0,0.0
2.67713,inf,,,,,,,,,,0.0,0.0
2.74852,inf,,,,,,,,,,0.0,0.0
2.81991,inf,,,,,,,,,,0.0,0.0
2.8913,inf,,,,,,,,,,0.0,0.0
2.96269,inf,,,,,,,,,,0.0,0.0
3.03409,inf,,,,,,,,,,0.0,0.0
3.10548,inf,,,,,,,,,,0.0,0.0
3.17687,3.87583,0.4881,-47.06865,1.0173738558170236,50.94448,1.1284020438212605,-48.70195,0.3692499999999974,1.6333000000000002,0.948,0.0,0.0
3.24826,3.16051,0.20132,-47.68178571428571,0.8409239210656383,50.84229571428571,0.8646865232096588,-49.15707142857142,0.6563566694130509,1.4752857142857143,0.5256890369195604,0.0,0.0
3.31965,2.32472,0.09885,-46.86282999999998,0.30623759976771997,49.18754999999998,0.3217961932831,-47.24875999999998,0.2642076033084155,0.38593,0.1548412408420871,0.0,0.0
3.39104,1.3739,0.04712,-46.60113397435897,0.15574763645639095,47.97503397435897,0.1627194538515666,-46.71850705128205,0.1407184972792119,0.1173730769230769,0.0667505114979095,0.0,0.0
3.46243,0.90681,0.03144,-46.367548324022344,0.10687112486750219,47.274358324022344,0.11139977975941086,-46.24827905027933,0.0967702084799034,-0.1192692737430167,0.0453537658987793,0.0,0.0
3.53382,0.47147,0.02113,-45.82966593830335,0.07544156409122137,46.30113593830335,0.07834479237658276,-45.37484421593831,0.0698028568270497,-0.4548217223650386,0.0286180148038305,0.0,0.0
3.60521,0.16451,0.01632,-45.49068,0.0591375029006668,45.65519,0.061348077796507805,-44.7381325,0.0557822362065957,-0.7525475,0.0196363533559044,0.0,0.0
3.6766,-0.03044,0.01464,-45.05474572736521,0.05210556294889505,45.02430572736521,0.05412318625340958,-44.135031129196335,0.0495285779408413,-0.9197145981688708,0.016183623122752,0.0,0.0
3.74799,-0.13965,0.01267,-44.630139601139604,0.05003496759902156,44.4904896011396,0.05161421202183694,-43.58747997557998,0.0477800078820241,-1.0426596255596254,0.0148515598315077,0.0,0.0
3.81938,-0.27224,0.01183,-44.174414505012535,0.047107014870811516,43.90217450501254,0.04856974109503629,-43.0585328320802,0.0451395543785562,-1.1158816729323309,0.0134718773949374,0.0,0.0
3.89077,-0.32644,0.0112,-43.74469176308539,0.04718158412802671,43.418251763085394,0.04849269925287788,-42.56682280991735,0.0454620785667622,-1.1778689531680442,0.0126214616118579,0.0,0.0
