r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03559,inf,,,,,,,,,,0.0,0.0
0.10676,inf,,,,,,,,,,0.0,0.0
0.17793,inf,,,,,,,,,,0.0,0.0
0.2491,inf,,,,,,,,,,0.0,0.0
0.32027,inf,,,,,,,,,,0.0,0.0
0.39144,inf,,,,,,,,,,0.0,0.0
0.46261,inf,,,,,,,,,,0.0,0.0
0.53378,inf,,,,,,,,,,0.0,0.0
0.60495,inf,,,,,,,,,,0.0,0.0
0.67612,inf,,,,,,,,,,0.0,0.0
0.74729,inf,,,,,,,,,,0.0,0.0
0.81846,inf,,,,,,,,,,0.0,0.0
0.88964,inf,,,,,,,,,,0.0,0.0
0.96081,inf,,,,,,,,,,0.0,0.0
1.03198,inf,,,,,,,,,,0.0,0.0
1.10315,inf,,,,,,,,,,0.0,0.0
1.17432,inf,,,,,,,,,,0.0,0.0
1.24549,inf,,,,,,,,,,0.0,0.0
1.31666,inf,,,,,,,,,,0.0,0.0
1.38783,inf,,,,,,,,,,0.0,0.0
1.459,inf,,,,,,,,,,0.0,0.0
1.53017,inf,,,,,,,,,,0.0,0.0
1.60134,inf,,,,,,,,,,0.0,0.0
1.67251,inf,,,,,,,,,,0.0,0.0
1.74368,inf,,,,,,,,,,0.0,0.0
1.81486,inf,,,,,,,,,,0.0,0.0
1.88603,inf,,,,,,,,,,0.0,0.0
1.9572,inf,,,,,,,,,,0.0,0.0
2.02837,inf,,,,,,,,,,0.0,0.0
2.09954,inf,,,,,,,,,,0.0,0.0
2.17071,inf,,,,,,,,,,0.0,0.0
2.24188,inf,,,,,,,,,,0.0,0.0
2.31305,inf,,,,,,,,,,0.0,0.0
2.38422,inf,,,,,,,,,,0.0,0.0
2.45539,inf,,,,,,,,,,0.0,0.0
2.52656,inf,,,,,,,,,,0.0,0.0
2.59773,inf,,,,,,,,,,0.0,0.0
2.66891,inf,,,,,,,,,,0.0,0.0
2.74008,inf,,,,,,,,,,0.0,0.0
2.81125,inf,,,,,,,,,,0.0,0.0
2.88242,inf,,,,,,,,,,0.0,0.0
2.95359,inf,,,,,,,,,,0.0,0.0
3.02476,inf,,,,,,,,,,0.0,0.0
3.09593,3.60877,0.35224,-55.20106666666666,1.6029405589589274,58.80983666666666,1.6411859898121108,-58.62303333333333,1.4653199927357554,3.4219666666666666,0.6498120916422259,0.0,0.0
3.1671,2.72374,0.14405,-56.54841428571429,0.5001236861224653,59.27215428571429,0.5204556695057919,-59.03230714285714,0.3989203372048558,2.4838928571428576,0.3016392978129447,0.0,0.0
3.23827,1.50337,0.05152,-56.03559391304348,0.19908891874668613,57.538963913043474,0.20564704706784534,-57.69734695652174,0.1620278655221925,1.6617530434782608,0.1156865089889348,0.0,0.0
3.30944,0.83572,0.0299,-55.513735040431264,0.11305701321972554,56.349455040431266,0.11694399616126172,-56.6469102425876,0.0951992020768154,1.1331752021563344,0.0609836056830265,0.0,0.0
3.38061,0.2333,0.01874,-55.30921718020541,0.061883904837890615,55.54251718020541,0.06465914690115468,-55.91596909430438,0.0543800383174118,0.606751914098973,0.0295369109857806,0.0,0.0
3.45178,-0.19912,0.01342,-54.932241630716135,0.042352580102145064,54.733121630716134,0.044427890354017646,-55.09335772217429,0.0382010492906827,0.1611160914581535,0.0182871778686446,0.0,0.0
3.52296,-0.41822,0.00991,-54.37560263157894,0.033651522606807587,53.957382631578945,0.035080380182610366,-54.13895214530892,0.03088256976064,-0.2366504862700228,0.0133675674202783,0.0,0.0
3.59413,-0.5973,0.00973,-53.7039961210398,0.029078055578507945,53.1066961210398,0.03066278226493475,-53.262060235580826,0.0265631849183483,-0.4419358854589764,0.0118292232720678,0.0,0.0
3.6653,-0.62652,0.00937,-52.96762493496841,0.028235571526172707,52.34110493496841,0.0297496957868415,-52.35429485321442,0.0258120364413871,-0.6133300817539948,0.0114449235103656,0.0,0.0
3.73647,-0.64323,0.00878,-52.15431545818119,0.02810148293086315,51.511085458181185,0.029441157295758483,-51.46608742827335,0.0257918932589208,-0.688228029907842,0.0111566834244783,0.0,0.0
3.80764,-0.6442,0.00837,-51.290073040280795,0.0283126519641868,50.6458730402808,0.029523942169791127,-50.56999075714524,0.0260466433457128,-0.7200822831355508,0.0110985869220548,0.0,0.0
3.87881,-0.64404,0.00769,-50.41868179181437,0.028749464154568822,49.774641791814375,0.02976017118860101,-49.71191247180148,0.0264028264703115,-0.7067693200128907,0.0113763985317611,0.0,0.0
3.94998,-0.64313,0.00784,-49.65896541154505,0.028312361817160448,49.01583541154505,0.029377805085911455,-48.971123728022405,0.0261356808060598,-0.6878416835226389,0.0108865063482075,0.0,0.0
4.02115,-0.62217,0.00855,-48.93200807279515,0.02828358753550051,48.30983807279515,0.029547653441150276,-48.25357165966714,0.0261331261118452,-0.6784364131280137,0.0108176265188217,0.0,0.0
4.09232,-0.59752,0.00873,-48.2474189790166,0.028165854177173794,47.6498989790166,0.02948776426807937,-47.54332192295647,0.0263479320980029,-0.7040970560601315,0.0099549894871289,0.0,0.0
4.16349,-0.56927,0.00855,-47.5825434258525,0.027780237486862737,47.013273425852496,0.02906620193328488,-46.828054496431406,0.0263433628281672,-0.7544889294210944,0.0088186637156676,0.0,0.0
4.23466,-0.50067,0.00862,-46.85334288666897,0.028575604642341774,46.35267288666897,0.02984743842736634,-46.02513854633139,0.0275265800526551,-0.8282043403375816,0.0076715429530307,0.0,0.0
4.30583,-0.41237,0.00798,-46.11059226455232,0.02928326608723319,45.698222264552314,0.030351113204225337,-45.20517638754593,0.028451732196277,-0.9054158770063816,0.0069288244145047,0.0,0.0
4.377,-0.34181,0.00929,-45.275066729917775,0.030672127531741877,44.93325672991777,0.03204814358622724,-44.30267733502003,0.0300472701242467,-0.972389394897744,0.0061596238037716,0.0,0.0
4.44818,-0.26728,0.00918,-44.49317009259259,0.030110686619424017,44.22589009259259,0.031478974708417054,-43.50812594907407,0.0294874734947745,-0.9850441435185184,0.0060944528538772,0.0,0.0
4.51935,-0.20084,0.00976,-43.69927011292346,0.03095766309807343,43.49843011292346,0.032459736667043645,-42.70831488080301,0.0302644847735403,-0.9909552321204516,0.0065144351931664,0.0,0.0
4.59052,-0.15823,0.00933,-42.92255964453738,0.032864051860966234,42.764329644537376,0.03416276927768412,-41.94081610036592,0.0322405597661311,-0.9817435441714584,0.0063712016674099,0.0,0.0
4.66169,-0.13816,0.00907,-42.10709858453473,0.03422591104416125,41.96893858453473,0.03540731402977129,-41.150503093053736,0.0335528566499314,-0.956595491480996,0.0067541688927649,0.0,0.0
4.73286,-0.11162,0.01021,-41.39699372173451,0.03461074017718834,41.28537372173451,0.03608528004065978,-40.44521678637936,0.0340479768731611,-0.9517769353551476,0.006215996014922,0.0,0.0
4.80403,-0.10903,0.01056,-40.70961348198081,0.0349899131574158,40.60058348198081,0.036548702066742385,-39.79437321752657,0.0343228406649719,-0.915240264454239,0.006799752308022,0.0,0.0
4.8752,-0.10842,0.00986,-40.13388048903453,0.0348999641995586,40.02546048903453,0.03626605990634317,-39.2449273506428,0.0342645707827717,-0.8889531383917318,0.0066292299856695,0.0,0.0
4.94637,-0.1315,0.00955,-39.427082595383894,0.03486613176115739,39.29558259538389,0.03615037543354686,-38.54455496938295,0.034380278052157,-0.8825276260009421,0.0058003124952678,0.0,0.0
5.01754,-0.14502,0.00925,-38.871677862254025,0.03373200958296144,38.72665786225402,0.03497729221230544,-38.03802274150268,0.0331350117062402,-0.8336551207513417,0.0063181856361085,0.0,0.0
5.08871,-0.17481,0.00932,-38.35958833505688,0.03277304288062304,38.184778335056876,0.034072492419181144,-37.534931251292655,0.0322547344191439,-0.8246570837642192,0.0058055531352017,0.0,0.0
5.15988,-0.18821,0.00916,-37.742644907589465,0.03199317769307483,37.55443490758947,0.03327865710783206,-36.93143952025167,0.0315193474646917,-0.81120538733779,0.0054858139141511,0.0,0.0
5.23105,-0.20029,0.00864,-37.218438713910764,0.03183711969430568,37.01814871391076,0.03298866154346894,-36.42290239970004,0.0314345503498908,-0.7955363142107237,0.0050469034793353,0.0,0.0
5.30223,-0.23173,0.00802,-36.69150275134106,0.03007873566131209,36.45977275134106,0.031129579807364693,-35.90515800311473,0.0296876249200489,-0.7863447482263367,0.0048347973679958,0.0,0.0
5.3734,-0.22911,0.0089,-36.22024887459807,0.02908603403512192,35.99113887459807,0.030417221699101164,-35.44737916737181,0.0287118701313546,-0.772869707226265,0.0046503644429763,0.0,0.0
5.44457,-0.24741,0.00795,-35.693052277449254,0.028040009958507695,35.44564227744925,0.029145233889492306,-34.93691072398913,0.0276866838311594,-0.7561415534601247,0.0044373073937499,0.0,0.0
5.51574,-0.2359,0.00838,-35.148398603174606,0.027686785172992022,34.912498603174605,0.028927192625891142,-34.418576492063494,0.0273054076337936,-0.7298221111111112,0.0045796055690176,0.0,0.0
5.58691,-0.25309,0.00704,-34.73492202014129,0.026411520483884267,34.48183202014129,0.027333679120649643,-34.04785295355479,0.0260412084589602,-0.6870690665865024,0.0044072526893313,0.0,0.0
5.65808,-0.24404,0.00719,-34.18855418154762,0.025672291813693925,33.944514181547625,0.02666013253844504,-33.523465967261906,0.0253200518268332,-0.6650882142857142,0.004238105998431,0.0,0.0
